 Element: Kr
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    24
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     1.1168e+01
1.1310e-04     1.0000e-03     1.1110e+01
1.2800e-04     1.0000e-03     1.1045e+01
1.4480e-04     1.0000e-03     1.0973e+01
1.6380e-04     1.0000e-03     1.0891e+01
1.8520e-04     1.0000e-03     1.0800e+01
2.0950e-04     1.0000e-03     1.0697e+01
2.3700e-04     1.0000e-03     1.0583e+01
2.6810e-04     1.0000e-03     1.0454e+01
3.0330e-04     1.0000e-03     1.0311e+01
3.4310e-04     1.0000e-03     1.0152e+01
3.8820e-04     1.0000e-03     9.9751e+00
4.3910e-04     1.0000e-03     9.7795e+00
4.9670e-04     1.0000e-03     9.5632e+00
5.6190e-04     1.0000e-03     9.3249e+00
6.3560e-04     1.0000e-03     9.0637e+00
7.1900e-04     1.0000e-03     8.7783e+00
8.1340e-04     1.0000e-03     8.4678e+00
9.2010e-04     1.0000e-03     8.1322e+00
1.0410e-03     1.0000e-03     7.7709e+00
1.1770e-03     1.0000e-03     7.3871e+00
1.3320e-03     1.0000e-03     6.9772e+00
1.5070e-03     1.0000e-03     6.5471e+00
1.7040e-03     1.0000e-03     6.1011e+00
1.9280e-03     1.0000e-03     5.6384e+00
2.1810e-03     1.0000e-03     5.1668e+00
2.4670e-03     1.0000e-03     4.6911e+00
2.7910e-03     1.0000e-03     4.2161e+00
3.1570e-03     1.0000e-03     3.7494e+00
3.5710e-03     1.0000e-03     3.2964e+00
4.0400e-03     1.0000e-03     2.8625e+00
4.5700e-03     1.0000e-03     2.4542e+00
5.1700e-03     1.0000e-03     2.0754e+00
5.8480e-03     1.0000e-03     1.7305e+00
6.6150e-03     1.0000e-03     1.4213e+00
7.4830e-03     1.0000e-03     1.1489e+00
8.4650e-03     1.0000e-03     9.1357e-01
9.5760e-03     1.0000e-03     7.1404e-01
1.0830e-02     1.0000e-03     5.4853e-01
1.2250e-02     1.0000e-03     4.1358e-01
1.3860e-02     1.0000e-03     3.0579e-01
1.5680e-02     1.0000e-03     2.2185e-01
1.7740e-02     1.0000e-03     1.5787e-01
2.0070e-02     1.0000e-03     1.1029e-01
2.2700e-02     1.0000e-03     7.5812e-02
2.5680e-02     1.0000e-03     5.1350e-02
2.9050e-02     1.0000e-03     3.4473e-02
3.2860e-02     1.0000e-03     2.3124e-02
3.7170e-02     1.0000e-03     1.5672e-02
4.2050e-02     1.0000e-03     1.0880e-02
4.7570e-02     1.0000e-03     7.8467e-03
5.3810e-02     1.0000e-03     5.9323e-03
6.0870e-02     1.0000e-03     4.7007e-03
6.8850e-02     1.0000e-03     3.8707e-03
7.7890e-02     1.0000e-03     3.2685e-03
8.8110e-02     1.0000e-03     2.7944e-03
9.9670e-02     1.0000e-03     2.3944e-03
1.1270e-01     1.0000e-03     2.0430e-03
1.2750e-01     1.0000e-03     1.7266e-03
1.4430e-01     1.0000e-03     1.4422e-03
1.6320e-01     1.0000e-03     1.1914e-03
1.8460e-01     1.0000e-03     9.7191e-04
2.0890e-01     1.0000e-03     7.8270e-04
2.3630e-01     1.0000e-03     6.2327e-04
2.6730e-01     1.0000e-03     4.9058e-04
3.0230e-01     1.0000e-03     3.8193e-04
3.4200e-01     1.0000e-03     2.9399e-04
3.8690e-01     1.0000e-03     2.2378e-04
4.3760e-01     1.0000e-03     1.6863e-04
4.9510e-01     1.0000e-03     1.2566e-04
5.6000e-01     1.0000e-03     9.2692e-05
6.3350e-01     1.0000e-03     6.7624e-05
7.1660e-01     1.0000e-03     4.8802e-05
8.1070e-01     1.0000e-03     3.4799e-05
9.1700e-01     1.0000e-03     2.4587e-05
1.0370e+00     1.0000e-03     1.7183e-05
1.1730e+00     1.0000e-03     1.1878e-05
1.3270e+00     1.0000e-03     8.1171e-06
1.5020e+00     1.0000e-03     5.4863e-06
1.6990e+00     1.0000e-03     3.6774e-06
1.9220e+00     1.0000e-03     2.4373e-06
2.1740e+00     1.0000e-03     1.6043e-06
2.4590e+00     1.0000e-03     1.0448e-06
2.7820e+00     1.0000e-03     6.7531e-07
3.1470e+00     1.0000e-03     4.3262e-07
3.5600e+00     1.0000e-03     2.7569e-07
4.0270e+00     1.0000e-03     1.7426e-07
4.5550e+00     1.0000e-03     1.0916e-07
5.1530e+00     1.0000e-03     6.7677e-08
5.8290e+00     1.0000e-03     4.1859e-08
6.5940e+00     1.0000e-03     2.5676e-08
7.4590e+00     1.0000e-03     1.5548e-08
8.4370e+00     1.0000e-03     9.4387e-09
9.5450e+00     1.0000e-03     5.6563e-09
1.0800e+01     1.0000e-03     3.3595e-09
1.2210e+01     1.0000e-03     1.9733e-09
1.3820e+01     1.0000e-03     1.1559e-09
1.5630e+01     1.0000e-03     6.6937e-10
1.7680e+01     1.0000e-03     3.8645e-10
2.0000e+01     1.0000e-03     2.2443e-10
