 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions = 12
 No. of channels = 872
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.6825e-03
1.0000e-04     5.2320e-05     4.6038e-02
1.0000e-04     9.4650e-05     1.5053e-01
1.0000e-04     1.3700e-04     3.1491e-01
1.0000e-04     1.7930e-04     5.3834e-01
1.0000e-04     2.2160e-04     8.2025e-01
1.0000e-04     2.6390e-04     1.1598e+00
1.0000e-04     3.0630e-04     1.5568e+00
1.0000e-04     3.4860e-04     2.0082e+00
1.0000e-04     3.9090e-04     2.5135e+00
1.0000e-04     4.3320e-04     3.0711e+00
1.0000e-04     4.7560e-04     3.6806e+00
1.0000e-04     5.1790e-04     4.3375e+00
1.0000e-04     5.6020e-04     5.0408e+00
1.0000e-04     6.0250e-04     5.7886e+00
1.0000e-04     6.4480e-04     6.5785e+00
1.0000e-04     6.8720e-04     7.4099e+00
1.0000e-04     7.2950e-04     8.2766e+00
1.0000e-04     7.7180e-04     9.1777e+00
1.0000e-04     8.1410e-04     1.0111e+01
1.0000e-04     8.5650e-04     1.1075e+01
1.0000e-04     8.9880e-04     1.2062e+01
1.0000e-04     9.4110e-04     1.3073e+01
1.0000e-04     9.8340e-04     1.4104e+01
1.0000e-04     1.0260e-03     1.5159e+01
1.0000e-04     1.0680e-03     1.6213e+01
1.0000e-04     1.1100e-03     1.7278e+01
1.0000e-04     1.1530e-03     1.8377e+01
1.0000e-04     1.1950e-03     1.9454e+01
1.0000e-04     1.2370e-03     2.0533e+01
1.0000e-04     1.2800e-03     2.1636e+01
1.0000e-04     1.3220e-03     2.2709e+01
1.0000e-04     1.3640e-03     2.3775e+01
1.0000e-04     1.4070e-03     2.4855e+01
1.0000e-04     1.4490e-03     2.5898e+01
1.0000e-04     1.4910e-03     2.6924e+01
1.0000e-04     1.5340e-03     2.7956e+01
1.0000e-04     1.5760e-03     2.8943e+01
1.0000e-04     1.6180e-03     2.9907e+01
1.0000e-04     1.6610e-03     3.0867e+01
1.0000e-04     1.7030e-03     3.1776e+01
1.0000e-04     1.7450e-03     3.2655e+01
1.0000e-04     1.7880e-03     3.3522e+01
1.0000e-04     1.8300e-03     3.4334e+01
1.0000e-04     1.8720e-03     3.5111e+01
1.0000e-04     1.9150e-03     3.5868e+01
1.0000e-04     1.9570e-03     3.6567e+01
1.0000e-04     1.9990e-03     3.7227e+01
1.0000e-04     2.0420e-03     3.7859e+01
1.0000e-04     2.0840e-03     3.8434e+01
1.0000e-04     2.1260e-03     3.8966e+01
1.0000e-04     2.1680e-03     3.9453e+01
1.0000e-04     2.2110e-03     3.9906e+01
1.0000e-04     2.2530e-03     4.0303e+01
1.0000e-04     2.2950e-03     4.0654e+01
1.0000e-04     2.3380e-03     4.0966e+01
1.0000e-04     2.3800e-03     4.1225e+01
1.0000e-04     2.4220e-03     4.1437e+01
