 Element: Kr
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions = 12
 No. of channels = 872
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.6825e-03
1.0000e-04     1.0630e-05     1.9011e-03
1.0000e-04     1.1300e-05     2.1483e-03
1.0000e-04     1.2010e-05     2.4268e-03
1.0000e-04     1.2760e-05     2.7393e-03
1.0000e-04     1.3570e-05     3.0982e-03
1.0000e-04     1.4420e-05     3.4984e-03
1.0000e-04     1.5330e-05     3.9539e-03
1.0000e-04     1.6290e-05     4.4646e-03
1.0000e-04     1.7320e-05     5.0470e-03
1.0000e-04     1.8410e-05     5.7022e-03
1.0000e-04     1.9560e-05     6.4368e-03
1.0000e-04     2.0800e-05     7.2787e-03
1.0000e-04     2.2100e-05     8.2169e-03
1.0000e-04     2.3490e-05     9.2829e-03
1.0000e-04     2.4970e-05     1.0489e-02
1.0000e-04     2.6540e-05     1.1850e-02
1.0000e-04     2.8210e-05     1.3388e-02
1.0000e-04     2.9990e-05     1.5130e-02
1.0000e-04     3.1880e-05     1.7097e-02
1.0000e-04     3.3880e-05     1.9309e-02
1.0000e-04     3.6010e-05     2.1813e-02
1.0000e-04     3.8280e-05     2.4649e-02
1.0000e-04     4.0690e-05     2.7850e-02
1.0000e-04     4.3250e-05     3.1464e-02
1.0000e-04     4.5970e-05     3.5544e-02
1.0000e-04     4.8860e-05     4.0152e-02
1.0000e-04     5.1930e-05     4.5354e-02
1.0000e-04     5.5200e-05     5.1243e-02
1.0000e-04     5.8670e-05     5.7885e-02
1.0000e-04     6.2360e-05     6.5391e-02
1.0000e-04     6.6290e-05     7.3887e-02
1.0000e-04     7.0460e-05     8.3468e-02
1.0000e-04     7.4890e-05     9.4285e-02
1.0000e-04     7.9600e-05     1.0651e-01
1.0000e-04     8.4610e-05     1.2032e-01
1.0000e-04     8.9930e-05     1.3591e-01
1.0000e-04     9.5590e-05     1.5353e-01
1.0000e-04     1.0160e-04     1.7341e-01
1.0000e-04     1.0800e-04     1.9591e-01
1.0000e-04     1.1480e-04     2.2131e-01
1.0000e-04     1.2200e-04     2.4987e-01
1.0000e-04     1.2970e-04     2.8233e-01
1.0000e-04     1.3780e-04     3.1859e-01
1.0000e-04     1.4650e-04     3.5996e-01
1.0000e-04     1.5570e-04     4.0642e-01
1.0000e-04     1.6550e-04     4.5898e-01
1.0000e-04     1.7590e-04     5.1821e-01
1.0000e-04     1.8700e-04     5.8532e-01
1.0000e-04     1.9880e-04     6.6108e-01
1.0000e-04     2.1130e-04     7.4626e-01
1.0000e-04     2.2460e-04     8.4244e-01
1.0000e-04     2.3870e-04     9.5061e-01
1.0000e-04     2.5370e-04     1.0727e+00
1.0000e-04     2.6970e-04     1.2107e+00
1.0000e-04     2.8670e-04     1.3663e+00
1.0000e-04     3.0470e-04     1.5408e+00
1.0000e-04     3.2390e-04     1.7380e+00
1.0000e-04     3.4420e-04     1.9587e+00
1.0000e-04     3.6590e-04     2.2085e+00
1.0000e-04     3.8890e-04     2.4884e+00
1.0000e-04     4.1340e-04     2.8037e+00
1.0000e-04     4.3940e-04     3.1571e+00
1.0000e-04     4.6700e-04     3.5530e+00
1.0000e-04     4.9640e-04     3.9977e+00
1.0000e-04     5.2760e-04     4.4947e+00
1.0000e-04     5.6080e-04     5.0511e+00
1.0000e-04     5.9610e-04     5.6727e+00
1.0000e-04     6.3360e-04     6.3654e+00
1.0000e-04     6.7350e-04     7.1371e+00
1.0000e-04     7.1590e-04     7.9941e+00
1.0000e-04     7.6090e-04     8.9424e+00
1.0000e-04     8.0880e-04     9.9920e+00
1.0000e-04     8.5960e-04     1.1146e+01
1.0000e-04     9.1370e-04     1.2416e+01
1.0000e-04     9.7120e-04     1.3805e+01
1.0000e-04     1.0320e-03     1.5309e+01
1.0000e-04     1.0970e-03     1.6948e+01
1.0000e-04     1.1660e-03     1.8710e+01
1.0000e-04     1.2400e-03     2.0610e+01
1.0000e-04     1.3180e-03     2.2607e+01
1.0000e-04     1.4010e-03     2.4705e+01
1.0000e-04     1.4890e-03     2.6876e+01
1.0000e-04     1.5820e-03     2.9082e+01
1.0000e-04     1.6820e-03     3.1325e+01
1.0000e-04     1.7880e-03     3.3522e+01
1.0000e-04     1.9000e-03     3.5608e+01
1.0000e-04     2.0200e-03     3.7541e+01
1.0000e-04     2.1470e-03     3.9215e+01
1.0000e-04     2.2820e-03     4.0550e+01
1.0000e-04     2.4250e-03     4.1451e+01
1.0000e-04     2.5780e-03     4.1832e+01
1.0000e-04     2.7400e-03     4.1604e+01
1.0000e-04     2.9120e-03     4.0705e+01
1.0000e-04     3.0960e-03     3.9086e+01
1.0000e-04     3.2900e-03     3.6771e+01
1.0000e-04     3.4970e-03     3.3786e+01
1.0000e-04     3.7180e-03     3.0220e+01
1.0000e-04     3.9510e-03     2.6270e+01
1.0000e-04     4.2000e-03     2.2076e+01
1.1310e-04     1.0000e-05     1.6745e-03
1.1310e-04     1.0630e-05     1.8921e-03
1.1310e-04     1.1300e-05     2.1382e-03
1.1310e-04     1.2010e-05     2.4153e-03
1.1310e-04     1.2760e-05     2.7264e-03
1.1310e-04     1.3570e-05     3.0835e-03
1.1310e-04     1.4420e-05     3.4819e-03
1.1310e-04     1.5330e-05     3.9352e-03
1.1310e-04     1.6290e-05     4.4434e-03
1.1310e-04     1.7320e-05     5.0231e-03
1.1310e-04     1.8410e-05     5.6752e-03
1.1310e-04     1.9560e-05     6.4063e-03
1.1310e-04     2.0800e-05     7.2442e-03
1.1310e-04     2.2100e-05     8.1780e-03
1.1310e-04     2.3490e-05     9.2390e-03
