 Element: Kr
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions = 12
 No. of channels = 224
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     1.6825e+01
1.1310e-04     1.0000e-03     1.6745e+01
1.2800e-04     1.0000e-03     1.6655e+01
1.4480e-04     1.0000e-03     1.6554e+01
1.6380e-04     1.0000e-03     1.6440e+01
1.8520e-04     1.0000e-03     1.6313e+01
2.0950e-04     1.0000e-03     1.6170e+01
2.3700e-04     1.0000e-03     1.6009e+01
2.6810e-04     1.0000e-03     1.5829e+01
3.0330e-04     1.0000e-03     1.5628e+01
3.4310e-04     1.0000e-03     1.5404e+01
3.8820e-04     1.0000e-03     1.5154e+01
4.3910e-04     1.0000e-03     1.4876e+01
4.9670e-04     1.0000e-03     1.4569e+01
5.6190e-04     1.0000e-03     1.4229e+01
6.3560e-04     1.0000e-03     1.3855e+01
7.1900e-04     1.0000e-03     1.3444e+01
8.1340e-04     1.0000e-03     1.2996e+01
9.2010e-04     1.0000e-03     1.2509e+01
1.0410e-03     1.0000e-03     1.1982e+01
1.1770e-03     1.0000e-03     1.1420e+01
1.3320e-03     1.0000e-03     1.0816e+01
1.5070e-03     1.0000e-03     1.0178e+01
1.7040e-03     1.0000e-03     9.5136e+00
1.9280e-03     1.0000e-03     8.8200e+00
2.1810e-03     1.0000e-03     8.1089e+00
2.4670e-03     1.0000e-03     7.3875e+00
2.7910e-03     1.0000e-03     6.6630e+00
3.1570e-03     1.0000e-03     5.9471e+00
3.5710e-03     1.0000e-03     5.2485e+00
4.0400e-03     1.0000e-03     4.5758e+00
4.5700e-03     1.0000e-03     3.9398e+00
5.1700e-03     1.0000e-03     3.3469e+00
5.8480e-03     1.0000e-03     2.8047e+00
6.6150e-03     1.0000e-03     2.3166e+00
7.4830e-03     1.0000e-03     1.8852e+00
8.4650e-03     1.0000e-03     1.5112e+00
9.5760e-03     1.0000e-03     1.1932e+00
1.0830e-02     1.0000e-03     9.2894e-01
1.2250e-02     1.0000e-03     7.1330e-01
1.3860e-02     1.0000e-03     5.4121e-01
1.5680e-02     1.0000e-03     4.0767e-01
1.7740e-02     1.0000e-03     3.0673e-01
2.0070e-02     1.0000e-03     2.3280e-01
2.2700e-02     1.0000e-03     1.8066e-01
2.5680e-02     1.0000e-03     1.4533e-01
2.9050e-02     1.0000e-03     1.2276e-01
3.2860e-02     1.0000e-03     1.0941e-01
3.7170e-02     1.0000e-03     1.0233e-01
4.2050e-02     1.0000e-03     9.9184e-02
4.7570e-02     1.0000e-03     9.8123e-02
5.3810e-02     1.0000e-03     9.7753e-02
6.0870e-02     1.0000e-03     9.7082e-02
6.8850e-02     1.0000e-03     9.5446e-02
7.7890e-02     1.0000e-03     9.2470e-02
8.8110e-02     1.0000e-03     8.8009e-02
9.9670e-02     1.0000e-03     8.2127e-02
1.1270e-01     1.0000e-03     7.5067e-02
1.2750e-01     1.0000e-03     6.7105e-02
1.4430e-01     1.0000e-03     5.8628e-02
1.6320e-01     1.0000e-03     5.0120e-02
1.8460e-01     1.0000e-03     4.1911e-02
2.0890e-01     1.0000e-03     3.4275e-02
2.3630e-01     1.0000e-03     2.7480e-02
2.6730e-01     1.0000e-03     2.1615e-02
3.0230e-01     1.0000e-03     1.6709e-02
3.4200e-01     1.0000e-03     1.2707e-02
3.8690e-01     1.0000e-03     9.5257e-03
4.3760e-01     1.0000e-03     7.0601e-03
4.9510e-01     1.0000e-03     5.1771e-03
5.6000e-01     1.0000e-03     3.7677e-03
6.3350e-01     1.0000e-03     2.7247e-03
7.1660e-01     1.0000e-03     1.9619e-03
8.1070e-01     1.0000e-03     1.4076e-03
9.1700e-01     1.0000e-03     1.0105e-03
1.0370e+00     1.0000e-03     7.2540e-04
1.1730e+00     1.0000e-03     5.2126e-04
1.3270e+00     1.0000e-03     3.7464e-04
1.5020e+00     1.0000e-03     2.6937e-04
1.6990e+00     1.0000e-03     1.9412e-04
1.9220e+00     1.0000e-03     1.3967e-04
2.1740e+00     1.0000e-03     1.0058e-04
2.4590e+00     1.0000e-03     7.2166e-05
2.7820e+00     1.0000e-03     5.1663e-05
3.1470e+00     1.0000e-03     3.6842e-05
3.5600e+00     1.0000e-03     2.6197e-05
4.0270e+00     1.0000e-03     1.8553e-05
4.5550e+00     1.0000e-03     1.3064e-05
5.1530e+00     1.0000e-03     9.1529e-06
5.8290e+00     1.0000e-03     6.4279e-06
6.5940e+00     1.0000e-03     4.4826e-06
7.4590e+00     1.0000e-03     3.1303e-06
8.4370e+00     1.0000e-03     2.1916e-06
9.5450e+00     1.0000e-03     1.5270e-06
1.0800e+01     1.0000e-03     1.0690e-06
1.2210e+01     1.0000e-03     7.5062e-07
1.3820e+01     1.0000e-03     5.2565e-07
1.5630e+01     1.0000e-03     3.6677e-07
1.7680e+01     1.0000e-03     2.5740e-07
2.0000e+01     1.0000e-03     1.7903e-07
