 Element: Ne
 Maximum L = 10
 No. of velocities = 100
------------------------------------

   v               |<i|e^(ivz)|i>|^2
   0.1000000E-04   0.9999962E+00
   0.1816000E-03   0.9987456E+00
   0.3532000E-03   0.9952636E+00
   0.5248000E-03   0.9895753E+00
   0.6965000E-03   0.9817160E+00
   0.8681000E-03   0.9717506E+00
   0.1040000E-02   0.9597227E+00
   0.1211000E-02   0.9458101E+00
   0.1383000E-02   0.9299531E+00
   0.1555000E-02   0.9123358E+00
   0.1726000E-02   0.8931930E+00
   0.1898000E-02   0.8724276E+00
   0.2069000E-02   0.8504137E+00
   0.2241000E-02   0.8270336E+00
   0.2413000E-02   0.8025564E+00
   0.2584000E-02   0.7772797E+00
   0.2756000E-02   0.7510555E+00
   0.2927000E-02   0.7243348E+00
   0.3099000E-02   0.6969508E+00
   0.3271000E-02   0.6692015E+00
   0.3442000E-02   0.6413891E+00
   0.3614000E-02   0.6133216E+00
   0.3786000E-02   0.5852889E+00
   0.3957000E-02   0.5575729E+00
   0.4129000E-02   0.5299619E+00
   0.4300000E-02   0.5028800E+00
   0.4472000E-02   0.4761059E+00
   0.4644000E-02   0.4498856E+00
   0.4815000E-02   0.4244434E+00
   0.4987000E-02   0.3995494E+00
   0.5158000E-02   0.3755513E+00
   0.5330000E-02   0.3522178E+00
   0.5502000E-02   0.3297324E+00
   0.5673000E-02   0.3082506E+00
   0.5845000E-02   0.2875453E+00
   0.6017000E-02   0.2677614E+00
   0.6188000E-02   0.2490152E+00
   0.6360000E-02   0.2310903E+00
   0.6531000E-02   0.2141921E+00
   0.6703000E-02   0.1981143E+00
   0.6875000E-02   0.1829449E+00
   0.7046000E-02   0.1687465E+00
   0.7218000E-02   0.1553314E+00
   0.7389000E-02   0.1428310E+00
   0.7561000E-02   0.1310718E+00
   0.7733000E-02   0.1200994E+00
   0.7904000E-02   0.1099397E+00
   0.8076000E-02   0.1004411E+00
   0.8248000E-02   0.9163141E-01
   0.8419000E-02   0.8352205E-01
   0.8591000E-02   0.7598381E-01
   0.8762000E-02   0.6907039E-01
   0.8934000E-02   0.6266701E-01
   0.9106000E-02   0.5678228E-01
   0.9277000E-02   0.5141350E-01
   0.9449000E-02   0.4646619E-01
   0.9621000E-02   0.4194235E-01
   0.9792000E-02   0.3783529E-01
   0.9964000E-02   0.3406871E-01
   0.1014000E-01   0.3056475E-01
   0.1031000E-01   0.2749088E-01
   0.1048000E-01   0.2469846E-01
   0.1065000E-01   0.2216526E-01
   0.1082000E-01   0.1987038E-01
   0.1099000E-01   0.1779417E-01
   0.1117000E-01   0.1581378E-01
   0.1134000E-01   0.1413130E-01
   0.1151000E-01   0.1261511E-01
   0.1168000E-01   0.1125046E-01
   0.1185000E-01   0.1002369E-01
   0.1202000E-01   0.8922159E-02
   0.1219000E-01   0.7934230E-02
   0.1237000E-01   0.7000119E-02
   0.1254000E-01   0.6213317E-02
   0.1271000E-01   0.5510048E-02
   0.1288000E-01   0.4882113E-02
   0.1305000E-01   0.4322027E-02
   0.1322000E-01   0.3822969E-02
   0.1340000E-01   0.3354187E-02
   0.1357000E-01   0.2961871E-02
   0.1374000E-01   0.2613350E-02
   0.1391000E-01   0.2304029E-02
   0.1408000E-01   0.2029750E-02
   0.1425000E-01   0.1786766E-02
   0.1443000E-01   0.1559848E-02
   0.1460000E-01   0.1371028E-02
   0.1477000E-01   0.1204198E-02
   0.1494000E-01   0.1056919E-02
   0.1511000E-01   0.9270081E-03
   0.1528000E-01   0.8125093E-03
   0.1546000E-01   0.7061341E-03
   0.1563000E-01   0.6180682E-03
   0.1580000E-01   0.5406346E-03
   0.1597000E-01   0.4726005E-03
   0.1614000E-01   0.4128690E-03
   0.1631000E-01   0.3604646E-03
   0.1649000E-01   0.3120028E-03
   0.1666000E-01   0.2720645E-03
   0.1683000E-01   0.2370997E-03
   0.1700000E-01   0.2065097E-03
