 Element: Ne
 Info: 8s,8p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     4.7419e-10
1.8160e-04     1.5611e-07
3.5320e-04     5.8770e-07
5.2480e-04     1.2873e-06
6.9650e-04     2.2426e-06
8.6810e-04     3.4354e-06
1.0400e-03     4.8472e-06
1.2110e-03     6.4426e-06
1.3830e-03     8.2116e-06
1.5550e-03     1.0116e-05
1.7260e-03     1.2111e-05
1.8980e-03     1.4190e-05
2.0690e-03     1.6296e-05
2.2410e-03     1.8424e-05
2.4130e-03     2.0530e-05
2.5840e-03     2.2575e-05
2.7560e-03     2.4557e-05
2.9270e-03     2.6430e-05
3.0990e-03     2.8196e-05
3.2710e-03     2.9824e-05
3.4420e-03     3.1294e-05
3.6140e-03     3.2610e-05
3.7860e-03     3.3755e-05
3.9570e-03     3.4717e-05
4.1290e-03     3.5506e-05
4.3000e-03     3.6110e-05
4.4720e-03     3.6539e-05
4.6440e-03     3.6791e-05
4.8150e-03     3.6872e-05
4.9870e-03     3.6789e-05
5.1580e-03     3.6552e-05
5.3300e-03     3.6165e-05
5.5020e-03     3.5641e-05
5.6730e-03     3.4994e-05
5.8450e-03     3.4228e-05
6.0170e-03     3.3357e-05
6.1880e-03     3.2399e-05
6.3600e-03     3.1356e-05
6.5310e-03     3.0249e-05
6.7030e-03     2.9080e-05
6.8750e-03     2.7865e-05
7.0460e-03     2.6622e-05
7.2180e-03     2.5349e-05
7.3890e-03     2.4069e-05
7.5610e-03     2.2777e-05
7.7330e-03     2.1490e-05
7.9040e-03     2.0223e-05
8.0760e-03     1.8969e-05
8.2480e-03     1.7741e-05
8.4190e-03     1.6553e-05
8.5910e-03     1.5395e-05
8.7620e-03     1.4285e-05
8.9340e-03     1.3214e-05
9.1060e-03     1.2191e-05
9.2770e-03     1.1223e-05
9.4490e-03     1.0301e-05
9.6210e-03     9.4305e-06
9.7920e-03     8.6170e-06
9.9640e-03     7.8506e-06
1.0140e-02     7.1194e-06
1.0310e-02     6.4628e-06
1.0480e-02     5.8539e-06
1.0650e-02     5.2907e-06
1.0820e-02     4.7716e-06
1.0990e-02     4.2946e-06
1.1170e-02     3.8328e-06
1.1340e-02     3.4354e-06
1.1510e-02     3.0732e-06
1.1680e-02     2.7441e-06
1.1850e-02     2.4457e-06
1.2020e-02     2.1759e-06
1.2190e-02     1.9324e-06
1.2370e-02     1.7011e-06
1.2540e-02     1.5056e-06
1.2710e-02     1.3304e-06
1.2880e-02     1.1738e-06
1.3050e-02     1.0340e-06
1.3220e-02     9.0958e-07
1.3400e-02     7.9285e-07
1.3570e-02     6.9540e-07
1.3740e-02     6.0911e-07
1.3910e-02     5.3283e-07
1.4080e-02     4.6551e-07
1.4250e-02     4.0620e-07
1.4430e-02     3.5115e-07
1.4600e-02     3.0567e-07
1.4770e-02     2.6578e-07
1.4940e-02     2.3085e-07
1.5110e-02     2.0030e-07
1.5280e-02     1.7361e-07
1.5460e-02     1.4906e-07
1.5630e-02     1.2895e-07
1.5800e-02     1.1144e-07
1.5970e-02     9.6229e-08
1.6140e-02     8.3021e-08
1.6310e-02     7.1565e-08
1.6490e-02     6.1101e-08
1.6660e-02     5.2584e-08
1.6830e-02     4.5221e-08
1.7000e-02     3.8860e-08
