 Element: Ne
 Info: 8s,8p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     3.2126e-07
1.8160e-04     1.0576e-04
3.5320e-04     3.9809e-04
5.2480e-04     8.7176e-04
6.9650e-04     1.5183e-03
8.6810e-04     2.3247e-03
1.0400e-03     3.2780e-03
1.2110e-03     4.3535e-03
1.3830e-03     5.5433e-03
1.5550e-03     6.8201e-03
1.7260e-03     8.1532e-03
1.8980e-03     9.5350e-03
2.0690e-03     1.0926e-02
2.2410e-03     1.2320e-02
2.4130e-03     1.3686e-02
2.5840e-03     1.4995e-02
2.7560e-03     1.6243e-02
2.9270e-03     1.7399e-02
3.0990e-03     1.8460e-02
3.2710e-03     1.9408e-02
3.4420e-03     2.0226e-02
3.6140e-03     2.0916e-02
3.7860e-03     2.1469e-02
3.9570e-03     2.1881e-02
4.1290e-03     2.2154e-02
4.3000e-03     2.2289e-02
4.4720e-03     2.2292e-02
4.6440e-03     2.2167e-02
4.8150e-03     2.1923e-02
4.9870e-03     2.1568e-02
5.1580e-03     2.1114e-02
5.3300e-03     2.0567e-02
5.5020e-03     1.9942e-02
5.6730e-03     1.9252e-02
5.8450e-03     1.8503e-02
6.0170e-03     1.7709e-02
6.1880e-03     1.6886e-02
6.3600e-03     1.6034e-02
6.5310e-03     1.5174e-02
6.7030e-03     1.4303e-02
6.8750e-03     1.3435e-02
7.0460e-03     1.2582e-02
7.2180e-03     1.1741e-02
7.3890e-03     1.0926e-02
7.5610e-03     1.0133e-02
7.7330e-03     9.3704e-03
7.9040e-03     8.6447e-03
8.0760e-03     7.9500e-03
8.2480e-03     7.2919e-03
8.4190e-03     6.6751e-03
8.5910e-03     6.0925e-03
8.7620e-03     5.5509e-03
8.9340e-03     5.0435e-03
9.1060e-03     4.5726e-03
9.2770e-03     4.1395e-03
9.4490e-03     3.7379e-03
9.6210e-03     3.3688e-03
9.7920e-03     3.0326e-03
9.9640e-03     2.7235e-03
1.0140e-02     2.4356e-03
1.0310e-02     2.1829e-03
1.0480e-02     1.9536e-03
1.0650e-02     1.7458e-03
1.0820e-02     1.5581e-03
1.0990e-02     1.3887e-03
1.1170e-02     1.2277e-03
1.1340e-02     1.0914e-03
1.1510e-02     9.6924e-04
1.1680e-02     8.5978e-04
1.1850e-02     7.6190e-04
1.2020e-02     6.7449e-04
1.2190e-02     5.9654e-04
1.2370e-02     5.2328e-04
1.2540e-02     4.6196e-04
1.2710e-02     4.0749e-04
1.2880e-02     3.5915e-04
1.3050e-02     3.1631e-04
1.3220e-02     2.7837e-04
1.3400e-02     2.4297e-04
1.3570e-02     2.1352e-04
1.3740e-02     1.8752e-04
1.3910e-02     1.6458e-04
1.4080e-02     1.4437e-04
1.4250e-02     1.2656e-04
1.4430e-02     1.1002e-04
1.4600e-02     9.6333e-05
1.4770e-02     8.4305e-05
1.4940e-02     7.3741e-05
1.5110e-02     6.4467e-05
1.5280e-02     5.6331e-05
1.5460e-02     4.8807e-05
1.5630e-02     4.2605e-05
1.5800e-02     3.7174e-05
1.5970e-02     3.2420e-05
1.6140e-02     2.8261e-05
1.6310e-02     2.4625e-05
1.6490e-02     2.1273e-05
1.6660e-02     1.8519e-05
1.6830e-02     1.6115e-05
1.7000e-02     1.4017e-05
