 Element: Ne
 Info: 8s,8p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     4.4926e-08
1.8160e-04     1.4833e-05
3.5320e-04     5.6290e-05
5.2480e-04     1.2491e-04
6.9650e-04     2.2153e-04
8.6810e-04     3.4700e-04
1.0400e-03     5.0275e-04
1.2110e-03     6.8865e-04
1.3830e-03     9.0777e-04
1.5550e-03     1.1599e-03
1.7260e-03     1.4438e-03
1.8980e-03     1.7627e-03
2.0690e-03     2.1124e-03
2.2410e-03     2.4957e-03
2.4130e-03     2.9089e-03
2.5840e-03     3.3468e-03
2.7560e-03     3.8111e-03
2.9270e-03     4.2926e-03
3.0990e-03     4.7923e-03
3.2710e-03     5.3022e-03
3.4420e-03     5.8138e-03
3.6140e-03     6.3270e-03
3.7860e-03     6.8327e-03
3.9570e-03     7.3220e-03
4.1290e-03     7.7945e-03
4.3000e-03     8.2388e-03
4.4720e-03     8.6547e-03
4.6440e-03     9.0346e-03
4.8150e-03     9.3720e-03
4.9870e-03     9.6674e-03
5.1580e-03     9.9142e-03
5.3300e-03     1.0113e-02
5.5020e-03     1.0261e-02
5.6730e-03     1.0358e-02
5.8450e-03     1.0404e-02
6.0170e-03     1.0400e-02
6.1880e-03     1.0347e-02
6.3600e-03     1.0248e-02
6.5310e-03     1.0106e-02
6.7030e-03     9.9232e-03
6.8750e-03     9.7033e-03
7.0460e-03     9.4518e-03
7.2180e-03     9.1698e-03
7.3890e-03     8.8647e-03
7.5610e-03     8.5368e-03
7.7330e-03     8.1920e-03
7.9040e-03     7.8364e-03
8.0760e-03     7.4694e-03
8.2480e-03     7.0968e-03
8.4190e-03     6.7239e-03
8.5910e-03     6.3495e-03
8.7620e-03     5.9805e-03
8.9340e-03     5.6152e-03
9.1060e-03     5.2576e-03
9.2770e-03     4.9118e-03
9.4490e-03     4.5751e-03
9.6210e-03     4.2509e-03
9.7920e-03     3.9418e-03
9.9640e-03     3.6451e-03
1.0140e-02     3.3567e-03
1.0310e-02     3.0931e-03
1.0480e-02     2.8443e-03
1.0650e-02     2.6102e-03
1.0820e-02     2.3906e-03
1.0990e-02     2.1854e-03
1.1170e-02     1.9834e-03
1.1340e-02     1.8064e-03
1.1510e-02     1.6424e-03
1.1680e-02     1.4908e-03
1.1850e-02     1.3509e-03
1.2020e-02     1.2223e-03
1.2190e-02     1.1042e-03
1.2370e-02     9.8998e-04
1.2540e-02     8.9165e-04
1.2710e-02     8.0196e-04
1.2880e-02     7.2031e-04
1.3050e-02     6.4612e-04
1.3220e-02     5.7883e-04
1.3400e-02     5.1450e-04
1.3570e-02     4.5974e-04
1.3740e-02     4.1033e-04
1.3910e-02     3.6581e-04
1.4080e-02     3.2575e-04
1.4250e-02     2.8976e-04
1.4430e-02     2.5568e-04
1.4600e-02     2.2695e-04
1.4770e-02     2.0124e-04
1.4940e-02     1.7826e-04
1.5110e-02     1.5776e-04
1.5280e-02     1.3948e-04
1.5460e-02     1.2231e-04
1.5630e-02     1.0794e-04
1.5800e-02     9.5180e-05
1.5970e-02     8.3854e-05
1.6140e-02     7.3814e-05
1.6310e-02     6.4924e-05
1.6490e-02     5.6626e-05
1.6660e-02     4.9725e-05
1.6830e-02     4.3632e-05
1.7000e-02     3.8258e-05
