 Element: Ne
 Info: 8s,8p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     4.2903e-14
1.8160e-04     4.6597e-09
3.5320e-04     6.6426e-08
5.2480e-04     3.2175e-07
6.9650e-04     9.8961e-07
8.6810e-04     2.3617e-06
1.0400e-03     4.7993e-06
1.2110e-03     8.6832e-06
1.3830e-03     1.4499e-05
1.5550e-03     2.2689e-05
1.7260e-03     3.3641e-05
1.8980e-03     4.7923e-05
2.0690e-03     6.5769e-05
2.2410e-03     8.7736e-05
2.4130e-03     1.1401e-04
2.5840e-03     1.4459e-04
2.7560e-03     1.7994e-04
2.9270e-03     2.1963e-04
3.0990e-03     2.6401e-04
3.2710e-03     3.1262e-04
3.4420e-03     3.6480e-04
3.6140e-03     4.2070e-04
3.7860e-03     4.7948e-04
3.9570e-03     5.4014e-04
4.1290e-03     6.0266e-04
4.3000e-03     6.6557e-04
4.4720e-03     7.2878e-04
4.6440e-03     7.9112e-04
4.8150e-03     8.5139e-04
4.9870e-03     9.0952e-04
5.1580e-03     9.6407e-04
5.3300e-03     1.0150e-03
5.5020e-03     1.0613e-03
5.6730e-03     1.1022e-03
5.8450e-03     1.1377e-03
6.0170e-03     1.1674e-03
6.1880e-03     1.1907e-03
6.3600e-03     1.2078e-03
6.5310e-03     1.2185e-03
6.7030e-03     1.2230e-03
6.8750e-03     1.2213e-03
7.0460e-03     1.2138e-03
7.2180e-03     1.2007e-03
7.3890e-03     1.1825e-03
7.5610e-03     1.1594e-03
7.7330e-03     1.1321e-03
7.9040e-03     1.1010e-03
8.0760e-03     1.0665e-03
8.2480e-03     1.0292e-03
8.4190e-03     9.8984e-04
8.5910e-03     9.4843e-04
8.7620e-03     9.0594e-04
8.9340e-03     8.6232e-04
9.1060e-03     8.1822e-04
9.2770e-03     7.7429e-04
9.4490e-03     7.3036e-04
9.6210e-03     6.8699e-04
9.7920e-03     6.4469e-04
9.9640e-03     6.0320e-04
1.0140e-02     5.6205e-04
1.0310e-02     5.2371e-04
1.0480e-02     4.8687e-04
1.0650e-02     4.5164e-04
1.0820e-02     4.1806e-04
1.0990e-02     3.8620e-04
1.1170e-02     3.5434e-04
1.1340e-02     3.2604e-04
1.1510e-02     2.9944e-04
1.1680e-02     2.7453e-04
1.1850e-02     2.5126e-04
1.2020e-02     2.2959e-04
1.2190e-02     2.0945e-04
1.2370e-02     1.8972e-04
1.2540e-02     1.7254e-04
1.2710e-02     1.5668e-04
1.2880e-02     1.4209e-04
1.3050e-02     1.2867e-04
1.3220e-02     1.1637e-04
1.3400e-02     1.0448e-04
1.3570e-02     9.4245e-05
1.3740e-02     8.4909e-05
1.3910e-02     7.6408e-05
1.4080e-02     6.8678e-05
1.4250e-02     6.1661e-05
1.4430e-02     5.4944e-05
1.4600e-02     4.9220e-05
1.4770e-02     4.4046e-05
1.4940e-02     3.9375e-05
1.5110e-02     3.5164e-05
1.5280e-02     3.1373e-05
1.5460e-02     2.7774e-05
1.5630e-02     2.4730e-05
1.5800e-02     2.2000e-05
1.5970e-02     1.9554e-05
1.6140e-02     1.7364e-05
1.6310e-02     1.5405e-05
1.6490e-02     1.3559e-05
1.6660e-02     1.2009e-05
1.6830e-02     1.0627e-05
1.7000e-02     9.3967e-06
