 Element: Ne
 Info: 8s,8p,6d
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =   848
 No. of channels = 79832
 No. of energies =  50
 No. of velocities =  50
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     2.0610e-11
1.0000e-04     3.5670e-04     3.3122e-05
1.0000e-04     7.0350e-04     4.9072e-04
1.0000e-04     1.0500e-03     2.3524e-03
1.0000e-04     1.3970e-03     7.0251e-03
1.0000e-04     1.7440e-03     1.6050e-02
1.0000e-04     2.0900e-03     3.0750e-02
1.0000e-04     2.4370e-03     5.2146e-02
1.0000e-04     2.7840e-03     8.0514e-02
1.0000e-04     3.1310e-03     1.1546e-01
1.0000e-04     3.4770e-03     1.5578e-01
1.0000e-04     3.8240e-03     2.0008e-01
1.0000e-04     4.1710e-03     2.4627e-01
1.0000e-04     4.5180e-03     2.9216e-01
1.0000e-04     4.8640e-03     3.3552e-01
1.0000e-04     5.2110e-03     3.7465e-01
1.0000e-04     5.5580e-03     4.0781e-01
1.0000e-04     5.9040e-03     4.3371e-01
1.0000e-04     6.2510e-03     4.5174e-01
1.0000e-04     6.5980e-03     4.6148e-01
1.0000e-04     6.9450e-03     4.6299e-01
1.0000e-04     7.2910e-03     4.5678e-01
1.0000e-04     7.6380e-03     4.4357e-01
1.0000e-04     7.9850e-03     4.2435e-01
1.0000e-04     8.3320e-03     4.0028e-01
1.0000e-04     8.6780e-03     3.7264e-01
1.0000e-04     9.0250e-03     3.4247e-01
1.0000e-04     9.3720e-03     3.1099e-01
1.0000e-04     9.7190e-03     2.7921e-01
1.0000e-04     1.0070e-02     2.4764e-01
1.0000e-04     1.0410e-02     2.1829e-01
1.0000e-04     1.0760e-02     1.8987e-01
1.0000e-04     1.1110e-02     1.6362e-01
1.0000e-04     1.1450e-02     1.4043e-01
1.0000e-04     1.1800e-02     1.1901e-01
1.0000e-04     1.2150e-02     1.0007e-01
1.0000e-04     1.2490e-02     8.3976e-02
1.0000e-04     1.2840e-02     6.9626e-02
1.0000e-04     1.3190e-02     5.7349e-02
1.0000e-04     1.3530e-02     4.7217e-02
1.0000e-04     1.3880e-02     3.8429e-02
1.0000e-04     1.4230e-02     3.1101e-02
1.0000e-04     1.4570e-02     2.5195e-02
1.0000e-04     1.4920e-02     2.0183e-02
1.0000e-04     1.5270e-02     1.6091e-02
1.0000e-04     1.5610e-02     1.2854e-02
1.0000e-04     1.5960e-02     1.0157e-02
1.0000e-04     1.6310e-02     7.9926e-03
1.0000e-04     1.6650e-02     6.3081e-03
1.0000e-04     1.7000e-02     4.9253e-03
1.2830e-04     1.0000e-05     2.0680e-11
1.2830e-04     3.5670e-04     3.3236e-05
1.2830e-04     7.0350e-04     4.9240e-04
1.2830e-04     1.0500e-03     2.3604e-03
1.2830e-04     1.3970e-03     7.0492e-03
1.2830e-04     1.7440e-03     1.6105e-02
1.2830e-04     2.0900e-03     3.0855e-02
1.2830e-04     2.4370e-03     5.2322e-02
1.2830e-04     2.7840e-03     8.0781e-02
1.2830e-04     3.1310e-03     1.1583e-01
1.2830e-04     3.4770e-03     1.5627e-01
1.2830e-04     3.8240e-03     2.0069e-01
1.2830e-04     4.1710e-03     2.4698e-01
1.2830e-04     4.5180e-03     2.9297e-01
1.2830e-04     4.8640e-03     3.3638e-01
1.2830e-04     5.2110e-03     3.7554e-01
1.2830e-04     5.5580e-03     4.0869e-01
1.2830e-04     5.9040e-03     4.3456e-01
1.2830e-04     6.2510e-03     4.5253e-01
1.2830e-04     6.5980e-03     4.6218e-01
1.2830e-04     6.9450e-03     4.6361e-01
1.2830e-04     7.2910e-03     4.5730e-01
1.2830e-04     7.6380e-03     4.4398e-01
1.2830e-04     7.9850e-03     4.2467e-01
1.2830e-04     8.3320e-03     4.0051e-01
1.2830e-04     8.6780e-03     3.7280e-01
1.2830e-04     9.0250e-03     3.4257e-01
1.2830e-04     9.3720e-03     3.1104e-01
1.2830e-04     9.7190e-03     2.7923e-01
1.2830e-04     1.0070e-02     2.4763e-01
1.2830e-04     1.0410e-02     2.1826e-01
1.2830e-04     1.0760e-02     1.8982e-01
1.2830e-04     1.1110e-02     1.6357e-01
1.2830e-04     1.1450e-02     1.4037e-01
1.2830e-04     1.1800e-02     1.1895e-01
1.2830e-04     1.2150e-02     1.0002e-01
1.2830e-04     1.2490e-02     8.3922e-02
1.2830e-04     1.2840e-02     6.9576e-02
1.2830e-04     1.3190e-02     5.7305e-02
1.2830e-04     1.3530e-02     4.7178e-02
1.2830e-04     1.3880e-02     3.8395e-02
1.2830e-04     1.4230e-02     3.1073e-02
1.2830e-04     1.4570e-02     2.5171e-02
1.2830e-04     1.4920e-02     2.0163e-02
1.2830e-04     1.5270e-02     1.6074e-02
1.2830e-04     1.5610e-02     1.2840e-02
1.2830e-04     1.5960e-02     1.0146e-02
1.2830e-04     1.6310e-02     7.9832e-03
1.2830e-04     1.6650e-02     6.3004e-03
1.2830e-04     1.7000e-02     4.9191e-03
1.6460e-04     1.0000e-05     2.0770e-11
1.6460e-04     3.5670e-04     3.3380e-05
1.6460e-04     7.0350e-04     4.9454e-04
1.6460e-04     1.0500e-03     2.3707e-03
1.6460e-04     1.3970e-03     7.0798e-03
1.6460e-04     1.7440e-03     1.6175e-02
1.6460e-04     2.0900e-03     3.0988e-02
1.6460e-04     2.4370e-03     5.2545e-02
1.6460e-04     2.7840e-03     8.1121e-02
1.6460e-04     3.1310e-03     1.1631e-01
1.6460e-04     3.4770e-03     1.5690e-01
1.6460e-04     3.8240e-03     2.0147e-01
1.6460e-04     4.1710e-03     2.4790e-01
1.6460e-04     4.5180e-03     2.9399e-01
1.6460e-04     4.8640e-03     3.3748e-01
1.6460e-04     5.2110e-03     3.7668e-01
1.6460e-04     5.5580e-03     4.0982e-01
1.6460e-04     5.9040e-03     4.3565e-01
1.6460e-04     6.2510e-03     4.5354e-01
1.6460e-04     6.5980e-03     4.6308e-01
1.6460e-04     6.9450e-03     4.6439e-01
1.6460e-04     7.2910e-03     4.5795e-01
1.6460e-04     7.6380e-03     4.4451e-01
1.6460e-04     7.9850e-03     4.2508e-01
1.6460e-04     8.3320e-03     4.0081e-01
1.6460e-04     8.6780e-03     3.7301e-01
1.6460e-04     9.0250e-03     3.4270e-01
1.6460e-04     9.3720e-03     3.1111e-01
1.6460e-04     9.7190e-03     2.7924e-01
1.6460e-04     1.0070e-02     2.4761e-01
1.6460e-04     1.0410e-02     2.1821e-01
1.6460e-04     1.0760e-02     1.8976e-01
1.6460e-04     1.1110e-02     1.6349e-01
1.6460e-04     1.1450e-02     1.4029e-01
1.6460e-04     1.1800e-02     1.1887e-01
1.6460e-04     1.2150e-02     9.9943e-02
1.6460e-04     1.2490e-02     8.3853e-02
1.6460e-04     1.2840e-02     6.9514e-02
1.6460e-04     1.3190e-02     5.7249e-02
1.6460e-04     1.3530e-02     4.7128e-02
1.6460e-04     1.3880e-02     3.8352e-02
1.6460e-04     1.4230e-02     3.1036e-02
1.6460e-04     1.4570e-02     2.5139e-02
1.6460e-04     1.4920e-02     2.0137e-02
1.6460e-04     1.5270e-02     1.6052e-02
1.6460e-04     1.5610e-02     1.2822e-02
1.6460e-04     1.5960e-02     1.0131e-02
1.6460e-04     1.6310e-02     7.9712e-03
1.6460e-04     1.6650e-02     6.2907e-03
1.6460e-04     1.7000e-02     4.9113e-03
2.1110e-04     1.0000e-05     2.0884e-11
2.1110e-04     3.5670e-04     3.3563e-05
2.1110e-04     7.0350e-04     4.9725e-04
2.1110e-04     1.0500e-03     2.3837e-03
2.1110e-04     1.3970e-03     7.1186e-03
2.1110e-04     1.7440e-03     1.6263e-02
2.1110e-04     2.0900e-03     3.1156e-02
2.1110e-04     2.4370e-03     5.2829e-02
2.1110e-04     2.7840e-03     8.1554e-02
2.1110e-04     3.1310e-03     1.1692e-01
2.1110e-04     3.4770e-03     1.5769e-01
2.1110e-04     3.8240e-03     2.0246e-01
2.1110e-04     4.1710e-03     2.4906e-01
2.1110e-04     4.5180e-03     2.9530e-01
2.1110e-04     4.8640e-03     3.3889e-01
2.1110e-04     5.2110e-03     3.7813e-01
2.1110e-04     5.5580e-03     4.1127e-01
2.1110e-04     5.9040e-03     4.3704e-01
2.1110e-04     6.2510e-03     4.5483e-01
2.1110e-04     6.5980e-03     4.6424e-01
2.1110e-04     6.9450e-03     4.6539e-01
2.1110e-04     7.2910e-03     4.5879e-01
2.1110e-04     7.6380e-03     4.4519e-01
2.1110e-04     7.9850e-03     4.2561e-01
2.1110e-04     8.3320e-03     4.0120e-01
2.1110e-04     8.6780e-03     3.7327e-01
2.1110e-04     9.0250e-03     3.4287e-01
2.1110e-04     9.3720e-03     3.1119e-01
2.1110e-04     9.7190e-03     2.7926e-01
2.1110e-04     1.0070e-02     2.4758e-01
2.1110e-04     1.0410e-02     2.1815e-01
2.1110e-04     1.0760e-02     1.8968e-01
2.1110e-04     1.1110e-02     1.6340e-01
2.1110e-04     1.1450e-02     1.4019e-01
2.1110e-04     1.1800e-02     1.1878e-01
2.1110e-04     1.2150e-02     9.9850e-02
2.1110e-04     1.2490e-02     8.3766e-02
2.1110e-04     1.2840e-02     6.9434e-02
2.1110e-04     1.3190e-02     5.7177e-02
2.1110e-04     1.3530e-02     4.7065e-02
2.1110e-04     1.3880e-02     3.8297e-02
2.1110e-04     1.4230e-02     3.0989e-02
2.1110e-04     1.4570e-02     2.5099e-02
2.1110e-04     1.4920e-02     2.0103e-02
2.1110e-04     1.5270e-02     1.6024e-02
2.1110e-04     1.5610e-02     1.2799e-02
2.1110e-04     1.5960e-02     1.0112e-02
2.1110e-04     1.6310e-02     7.9559e-03
2.1110e-04     1.6650e-02     6.2782e-03
2.1110e-04     1.7000e-02     4.9013e-03
2.7090e-04     1.0000e-05     2.1028e-11
2.7090e-04     3.5670e-04     3.3795e-05
2.7090e-04     7.0350e-04     5.0069e-04
2.7090e-04     1.0500e-03     2.4002e-03
2.7090e-04     1.3970e-03     7.1678e-03
