 Element: Ne
 Info: 8s,8p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     3.7255e-07
1.8160e-04     1.2270e-04
3.5320e-04     4.6238e-04
5.2480e-04     1.0145e-03
6.9650e-04     1.7716e-03
8.6810e-04     2.7218e-03
1.0400e-03     3.8541e-03
1.2110e-03     5.1435e-03
1.3830e-03     6.5862e-03
1.5550e-03     8.1546e-03
1.7260e-03     9.8168e-03
1.8980e-03     1.1569e-02
2.0690e-03     1.3368e-02
2.2410e-03     1.5210e-02
2.4130e-03     1.7061e-02
2.5840e-03     1.8885e-02
2.7560e-03     2.0682e-02
2.9270e-03     2.2408e-02
3.0990e-03     2.4063e-02
3.2710e-03     2.5618e-02
3.4420e-03     2.7049e-02
3.6140e-03     2.8357e-02
3.7860e-03     2.9520e-02
3.9570e-03     3.0525e-02
4.1290e-03     3.1375e-02
4.3000e-03     3.2054e-02
4.4720e-03     3.2570e-02
4.6440e-03     3.2917e-02
4.8150e-03     3.3097e-02
4.9870e-03     3.3115e-02
5.1580e-03     3.2979e-02
5.3300e-03     3.2694e-02
5.5020e-03     3.2269e-02
5.6730e-03     3.1719e-02
5.8450e-03     3.1048e-02
6.0170e-03     3.0272e-02
6.1880e-03     2.9408e-02
6.3600e-03     2.8458e-02
6.5310e-03     2.7448e-02
6.7030e-03     2.6376e-02
6.8750e-03     2.5261e-02
7.0460e-03     2.4122e-02
7.2180e-03     2.2955e-02
7.3890e-03     2.1786e-02
7.5610e-03     2.0609e-02
7.7330e-03     1.9440e-02
7.9040e-03     1.8293e-02
8.0760e-03     1.7162e-02
8.2480e-03     1.6059e-02
8.4190e-03     1.4996e-02
8.5910e-03     1.3963e-02
8.7620e-03     1.2976e-02
8.9340e-03     1.2027e-02
9.1060e-03     1.1123e-02
9.2770e-03     1.0269e-02
9.4490e-03     9.4576e-03
9.6210e-03     8.6926e-03
9.7920e-03     7.9782e-03
9.9640e-03     7.3052e-03
1.0140e-02     6.6628e-03
1.0310e-02     6.0854e-03
1.0480e-02     5.5489e-03
1.0650e-02     5.0517e-03
1.0820e-02     4.5918e-03
1.0990e-02     4.1676e-03
1.1170e-02     3.7552e-03
1.1340e-02     3.3982e-03
1.1510e-02     3.0711e-03
1.1680e-02     2.7717e-03
1.1850e-02     2.4983e-03
1.2020e-02     2.2491e-03
1.2190e-02     2.0223e-03
1.2370e-02     1.8047e-03
1.2540e-02     1.6189e-03
1.2710e-02     1.4506e-03
1.2880e-02     1.2983e-03
1.3050e-02     1.1608e-03
1.3220e-02     1.0368e-03
1.3400e-02     9.1895e-04
1.3570e-02     8.1912e-04
1.3740e-02     7.2944e-04
1.3910e-02     6.4897e-04
1.4080e-02     5.7684e-04
1.4250e-02     5.1228e-04
1.4430e-02     4.5134e-04
1.4600e-02     4.0011e-04
1.4770e-02     3.5439e-04
1.4940e-02     3.1364e-04
1.5110e-02     2.7735e-04
1.5280e-02     2.4507e-04
1.5460e-02     2.1478e-04
1.5630e-02     1.8948e-04
1.5800e-02     1.6703e-04
1.5970e-02     1.4713e-04
1.6140e-02     1.2951e-04
1.6310e-02     1.1392e-04
1.6490e-02     9.9373e-05
1.6660e-02     8.7283e-05
1.6830e-02     7.6612e-05
1.7000e-02     6.7201e-05
