 Element: Ne
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     3.2426e-09
5.6000e-01     1.8160e-04     1.0695e-06
5.6000e-01     3.5320e-04     4.0473e-06
5.6000e-01     5.2480e-04     8.9409e-06
5.6000e-01     6.9650e-04     1.5762e-05
5.6000e-01     8.6810e-04     2.4513e-05
5.6000e-01     1.0400e-03     3.5229e-05
5.6000e-01     1.2110e-03     4.7843e-05
5.6000e-01     1.3830e-03     6.2513e-05
5.6000e-01     1.5550e-03     7.9194e-05
5.6000e-01     1.7260e-03     9.7796e-05
5.6000e-01     1.8980e-03     1.1856e-04
5.6000e-01     2.0690e-03     1.4128e-04
5.6000e-01     2.2410e-03     1.6625e-04
5.6000e-01     2.4130e-03     1.9339e-04
5.6000e-01     2.5840e-03     2.2255e-04
5.6000e-01     2.7560e-03     2.5412e-04
5.6000e-01     2.9270e-03     2.8777e-04
5.6000e-01     3.0990e-03     3.2396e-04
5.6000e-01     3.2710e-03     3.6254e-04
5.6000e-01     3.4420e-03     4.0332e-04
5.6000e-01     3.6140e-03     4.4684e-04
5.6000e-01     3.7860e-03     4.9294e-04
5.6000e-01     3.9570e-03     5.4138e-04
5.6000e-01     4.1290e-03     5.9280e-04
5.6000e-01     4.3000e-03     6.4669e-04
5.6000e-01     4.4720e-03     7.0374e-04
5.6000e-01     4.6440e-03     7.6374e-04
5.6000e-01     4.8150e-03     8.2639e-04
5.6000e-01     4.9870e-03     8.9253e-04
5.6000e-01     5.1580e-03     9.6146e-04
5.6000e-01     5.3300e-03     1.0341e-03
5.6000e-01     5.5020e-03     1.1102e-03
5.6000e-01     5.6730e-03     1.1893e-03
5.6000e-01     5.8450e-03     1.2725e-03
5.6000e-01     6.0170e-03     1.3595e-03
5.6000e-01     6.1880e-03     1.4499e-03
5.6000e-01     6.3600e-03     1.5447e-03
5.6000e-01     6.5310e-03     1.6432e-03
5.6000e-01     6.7030e-03     1.7465e-03
5.6000e-01     6.8750e-03     1.8542e-03
