 Element: Ne
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     6.3446e-09
5.6000e-01     1.8160e-04     2.0926e-06
5.6000e-01     3.5320e-04     7.9190e-06
5.6000e-01     5.2480e-04     1.7494e-05
5.6000e-01     6.9650e-04     3.0840e-05
5.6000e-01     8.6810e-04     4.7962e-05
5.6000e-01     1.0400e-03     6.8931e-05
5.6000e-01     1.2110e-03     9.3611e-05
5.6000e-01     1.3830e-03     1.2232e-04
5.6000e-01     1.5550e-03     1.5495e-04
5.6000e-01     1.7260e-03     1.9135e-04
5.6000e-01     1.8980e-03     2.3198e-04
5.6000e-01     2.0690e-03     2.7644e-04
5.6000e-01     2.2410e-03     3.2530e-04
5.6000e-01     2.4130e-03     3.7840e-04
5.6000e-01     2.5840e-03     4.3546e-04
5.6000e-01     2.7560e-03     4.9723e-04
5.6000e-01     2.9270e-03     5.6308e-04
5.6000e-01     3.0990e-03     6.3389e-04
5.6000e-01     3.2710e-03     7.0938e-04
5.6000e-01     3.4420e-03     7.8918e-04
5.6000e-01     3.6140e-03     8.7435e-04
5.6000e-01     3.7860e-03     9.6454e-04
5.6000e-01     3.9570e-03     1.0593e-03
5.6000e-01     4.1290e-03     1.1600e-03
5.6000e-01     4.3000e-03     1.2654e-03
5.6000e-01     4.4720e-03     1.3771e-03
5.6000e-01     4.6440e-03     1.4945e-03
5.6000e-01     4.8150e-03     1.6171e-03
5.6000e-01     4.9870e-03     1.7465e-03
5.6000e-01     5.1580e-03     1.8814e-03
5.6000e-01     5.3300e-03     2.0236e-03
5.6000e-01     5.5020e-03     2.1725e-03
5.6000e-01     5.6730e-03     2.3273e-03
5.6000e-01     5.8450e-03     2.4902e-03
5.6000e-01     6.0170e-03     2.6605e-03
5.6000e-01     6.1880e-03     2.8373e-03
5.6000e-01     6.3600e-03     3.0230e-03
5.6000e-01     6.5310e-03     3.2157e-03
5.6000e-01     6.7030e-03     3.4179e-03
5.6000e-01     6.8750e-03     3.6288e-03
5.6000e-01     7.0460e-03     3.8474e-03
5.6000e-01     7.2180e-03     4.0765e-03
5.6000e-01     7.3890e-03     4.3139e-03
5.6000e-01     7.5610e-03     4.5626e-03
5.6000e-01     7.7330e-03     4.8217e-03
5.6000e-01     7.9040e-03     5.0899e-03
5.6000e-01     8.0760e-03     5.3706e-03
5.6000e-01     8.2480e-03     5.6629e-03
5.6000e-01     8.4190e-03     5.9653e-03
5.6000e-01     8.5910e-03     6.2817e-03
5.6000e-01     8.7620e-03     6.6089e-03
5.6000e-01     8.9340e-03     6.9513e-03
5.6000e-01     9.1060e-03     7.3073e-03
5.6000e-01     9.2770e-03     7.6754e-03
5.6000e-01     9.4490e-03     8.0603e-03
5.6000e-01     9.6210e-03     8.4605e-03
5.6000e-01     9.7920e-03     8.8741e-03
5.6000e-01     9.9640e-03     9.3065e-03
5.6000e-01     1.0140e-02     9.7666e-03
5.6000e-01     1.0310e-02     1.0228e-02
5.6000e-01     1.0480e-02     1.0708e-02
5.6000e-01     1.0650e-02     1.1207e-02
5.6000e-01     1.0820e-02     1.1724e-02
5.6000e-01     1.0990e-02     1.2262e-02
5.6000e-01     1.1170e-02     1.2854e-02
5.6000e-01     1.1340e-02     1.3434e-02
5.6000e-01     1.1510e-02     1.4038e-02
5.6000e-01     1.1680e-02     1.4664e-02
5.6000e-01     1.1850e-02     1.5314e-02
5.6000e-01     1.2020e-02     1.5989e-02
5.6000e-01     1.2190e-02     1.6690e-02
5.6000e-01     1.2370e-02     1.7460e-02
5.6000e-01     1.2540e-02     1.8217e-02
5.6000e-01     1.2710e-02     1.9002e-02
5.6000e-01     1.2880e-02     1.9818e-02
5.6000e-01     1.3050e-02     2.0664e-02
5.6000e-01     1.3220e-02     2.1541e-02
5.6000e-01     1.3400e-02     2.2507e-02
5.6000e-01     1.3570e-02     2.3455e-02
5.6000e-01     1.3740e-02     2.4438e-02
5.6000e-01     1.3910e-02     2.5459e-02
5.6000e-01     1.4080e-02     2.6518e-02
5.6000e-01     1.4250e-02     2.7616e-02
5.6000e-01     1.4430e-02     2.8825e-02
5.6000e-01     1.4600e-02     3.0010e-02
5.6000e-01     1.4770e-02     3.1240e-02
5.6000e-01     1.4940e-02     3.2516e-02
5.6000e-01     1.5110e-02     3.3840e-02
5.6000e-01     1.5280e-02     3.5213e-02
5.6000e-01     1.5460e-02     3.6724e-02
5.6000e-01     1.5630e-02     3.8205e-02
5.6000e-01     1.5800e-02     3.9742e-02
5.6000e-01     1.5970e-02     4.1336e-02
5.6000e-01     1.6140e-02     4.2990e-02
5.6000e-01     1.6310e-02     4.4705e-02
5.6000e-01     1.6490e-02     4.6591e-02
5.6000e-01     1.6660e-02     4.8440e-02
5.6000e-01     1.6830e-02     5.0359e-02
5.6000e-01     1.7000e-02     5.2348e-02
6.3350e-01     1.0000e-05     3.8745e-09
6.3350e-01     1.8160e-04     1.2779e-06
6.3350e-01     3.5320e-04     4.8358e-06
6.3350e-01     5.2480e-04     1.0682e-05
6.3350e-01     6.9650e-04     1.8830e-05
6.3350e-01     8.6810e-04     2.9282e-05
6.3350e-01     1.0400e-03     4.2079e-05
6.3350e-01     1.2110e-03     5.7137e-05
6.3350e-01     1.3830e-03     7.4646e-05
6.3350e-01     1.5550e-03     9.4549e-05
6.3350e-01     1.7260e-03     1.1673e-04
6.3350e-01     1.8980e-03     1.4149e-04
6.3350e-01     2.0690e-03     1.6857e-04
6.3350e-01     2.2410e-03     1.9831e-04
6.3350e-01     2.4130e-03     2.3062e-04
6.3350e-01     2.5840e-03     2.6531e-04
6.3350e-01     2.7560e-03     3.0285e-04
6.3350e-01     2.9270e-03     3.4285e-04
6.3350e-01     3.0990e-03     3.8583e-04
6.3350e-01     3.2710e-03     4.3162e-04
6.3350e-01     3.4420e-03     4.7999e-04
6.3350e-01     3.6140e-03     5.3157e-04
6.3350e-01     3.7860e-03     5.8616e-04
6.3350e-01     3.9570e-03     6.4348e-04
6.3350e-01     4.1290e-03     7.0428e-04
6.3350e-01     4.3000e-03     7.6794e-04
6.3350e-01     4.4720e-03     8.3528e-04
6.3350e-01     4.6440e-03     9.0604e-04
6.3350e-01     4.8150e-03     9.7985e-04
6.3350e-01     4.9870e-03     1.0577e-03
6.3350e-01     5.1580e-03     1.1388e-03
6.3350e-01     5.3300e-03     1.2241e-03
6.3350e-01     5.5020e-03     1.3134e-03
6.3350e-01     5.6730e-03     1.4062e-03
6.3350e-01     5.8450e-03     1.5036e-03
6.3350e-01     6.0170e-03     1.6054e-03
6.3350e-01     6.1880e-03     1.7110e-03
6.3350e-01     6.3600e-03     1.8217e-03
6.3350e-01     6.5310e-03     1.9365e-03
6.3350e-01     6.7030e-03     2.0568e-03
6.3350e-01     6.8750e-03     2.1822e-03
6.3350e-01     7.0460e-03     2.3120e-03
6.3350e-01     7.2180e-03     2.4479e-03
6.3350e-01     7.3890e-03     2.5885e-03
6.3350e-01     7.5610e-03     2.7357e-03
6.3350e-01     7.7330e-03     2.8887e-03
6.3350e-01     7.9040e-03     3.0470e-03
6.3350e-01     8.0760e-03     3.2125e-03
6.3350e-01     8.2480e-03     3.3846e-03
6.3350e-01     8.4190e-03     3.5624e-03
6.3350e-01     8.5910e-03     3.7483e-03
6.3350e-01     8.7620e-03     3.9402e-03
6.3350e-01     8.9340e-03     4.1408e-03
6.3350e-01     9.1060e-03     4.3492e-03
6.3350e-01     9.2770e-03     4.5643e-03
6.3350e-01     9.4490e-03     4.7890e-03
6.3350e-01     9.6210e-03     5.0223e-03
6.3350e-01     9.7920e-03     5.2631e-03
6.3350e-01     9.9640e-03     5.5145e-03
6.3350e-01     1.0140e-02     5.7817e-03
6.3350e-01     1.0310e-02     6.0497e-03
6.3350e-01     1.0480e-02     6.3277e-03
6.3350e-01     1.0650e-02     6.6161e-03
6.3350e-01     1.0820e-02     6.9152e-03
6.3350e-01     1.0990e-02     7.2255e-03
6.3350e-01     1.1170e-02     7.5666e-03
6.3350e-01     1.1340e-02     7.9011e-03
6.3350e-01     1.1510e-02     8.2479e-03
6.3350e-01     1.1680e-02     8.6076e-03
6.3350e-01     1.1850e-02     8.9806e-03
6.3350e-01     1.2020e-02     9.3673e-03
6.3350e-01     1.2190e-02     9.7683e-03
6.3350e-01     1.2370e-02     1.0209e-02
6.3350e-01     1.2540e-02     1.0641e-02
6.3350e-01     1.2710e-02     1.1089e-02
6.3350e-01     1.2880e-02     1.1553e-02
6.3350e-01     1.3050e-02     1.2034e-02
6.3350e-01     1.3220e-02     1.2533e-02
6.3350e-01     1.3400e-02     1.3081e-02
6.3350e-01     1.3570e-02     1.3618e-02
6.3350e-01     1.3740e-02     1.4175e-02
6.3350e-01     1.3910e-02     1.4752e-02
6.3350e-01     1.4080e-02     1.5351e-02
6.3350e-01     1.4250e-02     1.5971e-02
6.3350e-01     1.4430e-02     1.6652e-02
6.3350e-01     1.4600e-02     1.7319e-02
6.3350e-01     1.4770e-02     1.8011e-02
6.3350e-01     1.4940e-02     1.8728e-02
6.3350e-01     1.5110e-02     1.9470e-02
6.3350e-01     1.5280e-02     2.0240e-02
6.3350e-01     1.5460e-02     2.1086e-02
6.3350e-01     1.5630e-02     2.1915e-02
6.3350e-01     1.5800e-02     2.2773e-02
6.3350e-01     1.5970e-02     2.3663e-02
6.3350e-01     1.6140e-02     2.4585e-02
6.3350e-01     1.6310e-02     2.5540e-02
6.3350e-01     1.6490e-02     2.6589e-02
6.3350e-01     1.6660e-02     2.7617e-02
6.3350e-01     1.6830e-02     2.8682e-02
6.3350e-01     1.7000e-02     2.9786e-02
7.1660e-01     1.0000e-05     2.3506e-09
7.1660e-01     1.8160e-04     7.7529e-07
7.1660e-01     3.5320e-04     2.9337e-06
7.1660e-01     5.2480e-04     6.4801e-06
7.1660e-01     6.9650e-04     1.1422e-05
7.1660e-01     8.6810e-04     1.7760e-05
7.1660e-01     1.0400e-03     2.5519e-05
7.1660e-01     1.2110e-03     3.4647e-05
7.1660e-01     1.3830e-03     4.5258e-05
7.1660e-01     1.5550e-03     5.7315e-05
7.1660e-01     1.7260e-03     7.0750e-05
7.1660e-01     1.8980e-03     8.5737e-05
7.1660e-01     2.0690e-03     1.0212e-04
7.1660e-01     2.2410e-03     1.2011e-04
7.1660e-01     2.4130e-03     1.3964e-04
7.1660e-01     2.5840e-03     1.6060e-04
7.1660e-01     2.7560e-03     1.8327e-04
7.1660e-01     2.9270e-03     2.0741e-04
7.1660e-01     3.0990e-03     2.3333e-04
7.1660e-01     3.2710e-03     2.6093e-04
7.1660e-01     3.4420e-03     2.9006e-04
7.1660e-01     3.6140e-03     3.2110e-04
7.1660e-01     3.7860e-03     3.5393e-04
7.1660e-01     3.9570e-03     3.8838e-04
7.1660e-01     4.1290e-03     4.2488e-04
7.1660e-01     4.3000e-03     4.6307e-04
7.1660e-01     4.4720e-03     5.0344e-04
7.1660e-01     4.6440e-03     5.4581e-04
7.1660e-01     4.8150e-03     5.8997e-04
7.1660e-01     4.9870e-03     6.3650e-04
7.1660e-01     5.1580e-03     6.8491e-04
7.1660e-01     5.3300e-03     7.3582e-04
7.1660e-01     5.5020e-03     7.8903e-04
7.1660e-01     5.6730e-03     8.4426e-04
7.1660e-01     5.8450e-03     9.0222e-04
7.1660e-01     6.0170e-03     9.6268e-04
7.1660e-01     6.1880e-03     1.0253e-03
7.1660e-01     6.3600e-03     1.0910e-03
7.1660e-01     6.5310e-03     1.1590e-03
7.1660e-01     6.7030e-03     1.2301e-03
7.1660e-01     6.8750e-03     1.3042e-03
7.1660e-01     7.0460e-03     1.3808e-03
7.1660e-01     7.2180e-03     1.4609e-03
7.1660e-01     7.3890e-03     1.5436e-03
7.1660e-01     7.5610e-03     1.6301e-03
7.1660e-01     7.7330e-03     1.7200e-03
7.1660e-01     7.9040e-03     1.8129e-03
7.1660e-01     8.0760e-03     1.9098e-03
7.1660e-01     8.2480e-03     2.0105e-03
7.1660e-01     8.4190e-03     2.1144e-03
7.1660e-01     8.5910e-03     2.2229e-03
7.1660e-01     8.7620e-03     2.3348e-03
7.1660e-01     8.9340e-03     2.4515e-03
7.1660e-01     9.1060e-03     2.5727e-03
7.1660e-01     9.2770e-03     2.6976e-03
7.1660e-01     9.4490e-03     2.8279e-03
7.1660e-01     9.6210e-03     2.9630e-03
7.1660e-01     9.7920e-03     3.1023e-03
7.1660e-01     9.9640e-03     3.2476e-03
7.1660e-01     1.0140e-02     3.4017e-03
7.1660e-01     1.0310e-02     3.5561e-03
7.1660e-01     1.0480e-02     3.7161e-03
7.1660e-01     1.0650e-02     3.8818e-03
7.1660e-01     1.0820e-02     4.0535e-03
7.1660e-01     1.0990e-02     4.2313e-03
7.1660e-01     1.1170e-02     4.4266e-03
7.1660e-01     1.1340e-02     4.6178e-03
7.1660e-01     1.1510e-02     4.8159e-03
7.1660e-01     1.1680e-02     5.0210e-03
7.1660e-01     1.1850e-02     5.2334e-03
7.1660e-01     1.2020e-02     5.4534e-03
7.1660e-01     1.2190e-02     5.6812e-03
7.1660e-01     1.2370e-02     5.9312e-03
7.1660e-01     1.2540e-02     6.1759e-03
7.1660e-01     1.2710e-02     6.4293e-03
7.1660e-01     1.2880e-02     6.6917e-03
7.1660e-01     1.3050e-02     6.9633e-03
7.1660e-01     1.3220e-02     7.2445e-03
7.1660e-01     1.3400e-02     7.5532e-03
7.1660e-01     1.3570e-02     7.8552e-03
7.1660e-01     1.3740e-02     8.1679e-03
7.1660e-01     1.3910e-02     8.4916e-03
7.1660e-01     1.4080e-02     8.8267e-03
7.1660e-01     1.4250e-02     9.1736e-03
7.1660e-01     1.4430e-02     9.5542e-03
7.1660e-01     1.4600e-02     9.9267e-03
7.1660e-01     1.4770e-02     1.0312e-02
7.1660e-01     1.4940e-02     1.0711e-02
7.1660e-01     1.5110e-02     1.1124e-02
7.1660e-01     1.5280e-02     1.1552e-02
7.1660e-01     1.5460e-02     1.2021e-02
7.1660e-01     1.5630e-02     1.2480e-02
7.1660e-01     1.5800e-02     1.2955e-02
7.1660e-01     1.5970e-02     1.3447e-02
7.1660e-01     1.6140e-02     1.3956e-02
7.1660e-01     1.6310e-02     1.4483e-02
7.1660e-01     1.6490e-02     1.5061e-02
7.1660e-01     1.6660e-02     1.5627e-02
7.1660e-01     1.6830e-02     1.6212e-02
7.1660e-01     1.7000e-02     1.6818e-02
8.1070e-01     1.0000e-05     1.4164e-09
8.1070e-01     1.8160e-04     4.6715e-07
8.1070e-01     3.5320e-04     1.7676e-06
8.1070e-01     5.2480e-04     3.9043e-06
8.1070e-01     6.9650e-04     6.8814e-06
8.1070e-01     8.6810e-04     1.0699e-05
8.1070e-01     1.0400e-03     1.5371e-05
8.1070e-01     1.2110e-03     2.0867e-05
8.1070e-01     1.3830e-03     2.7253e-05
8.1070e-01     1.5550e-03     3.4508e-05
8.1070e-01     1.7260e-03     4.2590e-05
8.1070e-01     1.8980e-03     5.1602e-05
8.1070e-01     2.0690e-03     6.1449e-05
8.1070e-01     2.2410e-03     7.2257e-05
8.1070e-01     2.4130e-03     8.3984e-05
8.1070e-01     2.5840e-03     9.6566e-05
8.1070e-01     2.7560e-03     1.1016e-04
8.1070e-01     2.9270e-03     1.2464e-04
8.1070e-01     3.0990e-03     1.4017e-04
8.1070e-01     3.2710e-03     1.5669e-04
8.1070e-01     3.4420e-03     1.7412e-04
8.1070e-01     3.6140e-03     1.9268e-04
8.1070e-01     3.7860e-03     2.1230e-04
8.1070e-01     3.9570e-03     2.3286e-04
8.1070e-01     4.1290e-03     2.5464e-04
8.1070e-01     4.3000e-03     2.7740e-04
8.1070e-01     4.4720e-03     3.0144e-04
8.1070e-01     4.6440e-03     3.2665e-04
8.1070e-01     4.8150e-03     3.5291e-04
8.1070e-01     4.9870e-03     3.8054e-04
8.1070e-01     5.1580e-03     4.0927e-04
8.1070e-01     5.3300e-03     4.3945e-04
8.1070e-01     5.5020e-03     4.7096e-04
8.1070e-01     5.6730e-03     5.0363e-04
8.1070e-01     5.8450e-03     5.3789e-04
8.1070e-01     6.0170e-03     5.7359e-04
8.1070e-01     6.1880e-03     6.1054e-04
8.1070e-01     6.3600e-03     6.4921e-04
8.1070e-01     6.5310e-03     6.8921e-04
8.1070e-01     6.7030e-03     7.3104e-04
8.1070e-01     6.8750e-03     7.7452e-04
8.1070e-01     7.0460e-03     8.1943e-04
8.1070e-01     7.2180e-03     8.6635e-04
8.1070e-01     7.3890e-03     9.1478e-04
8.1070e-01     7.5610e-03     9.6533e-04
8.1070e-01     7.7330e-03     1.0178e-03
8.1070e-01     7.9040e-03     1.0719e-03
8.1070e-01     8.0760e-03     1.1284e-03
8.1070e-01     8.2480e-03     1.1869e-03
8.1070e-01     8.4190e-03     1.2473e-03
8.1070e-01     8.5910e-03     1.3102e-03
8.1070e-01     8.7620e-03     1.3750e-03
8.1070e-01     8.9340e-03     1.4425e-03
8.1070e-01     9.1060e-03     1.5125e-03
8.1070e-01     9.2770e-03     1.5846e-03
8.1070e-01     9.4490e-03     1.6597e-03
8.1070e-01     9.6210e-03     1.7375e-03
8.1070e-01     9.7920e-03     1.8175e-03
8.1070e-01     9.9640e-03     1.9009e-03
8.1070e-01     1.0140e-02     1.9893e-03
8.1070e-01     1.0310e-02     2.0777e-03
8.1070e-01     1.0480e-02     2.1691e-03
8.1070e-01     1.0650e-02     2.2638e-03
8.1070e-01     1.0820e-02     2.3617e-03
8.1070e-01     1.0990e-02     2.4630e-03
8.1070e-01     1.1170e-02     2.5740e-03
8.1070e-01     1.1340e-02     2.6826e-03
8.1070e-01     1.1510e-02     2.7950e-03
8.1070e-01     1.1680e-02     2.9111e-03
8.1070e-01     1.1850e-02     3.0313e-03
8.1070e-01     1.2020e-02     3.1556e-03
8.1070e-01     1.2190e-02     3.2841e-03
8.1070e-01     1.2370e-02     3.4249e-03
8.1070e-01     1.2540e-02     3.5626e-03
8.1070e-01     1.2710e-02     3.7050e-03
8.1070e-01     1.2880e-02     3.8523e-03
8.1070e-01     1.3050e-02     4.0045e-03
8.1070e-01     1.3220e-02     4.1619e-03
8.1070e-01     1.3400e-02     4.3344e-03
8.1070e-01     1.3570e-02     4.5030e-03
8.1070e-01     1.3740e-02     4.6773e-03
8.1070e-01     1.3910e-02     4.8575e-03
8.1070e-01     1.4080e-02     5.0438e-03
8.1070e-01     1.4250e-02     5.2364e-03
8.1070e-01     1.4430e-02     5.4475e-03
8.1070e-01     1.4600e-02     5.6538e-03
8.1070e-01     1.4770e-02     5.8670e-03
8.1070e-01     1.4940e-02     6.0874e-03
8.1070e-01     1.5110e-02     6.3153e-03
8.1070e-01     1.5280e-02     6.5509e-03
8.1070e-01     1.5460e-02     6.8090e-03
8.1070e-01     1.5630e-02     7.0613e-03
8.1070e-01     1.5800e-02     7.3220e-03
8.1070e-01     1.5970e-02     7.5916e-03
8.1070e-01     1.6140e-02     7.8703e-03
8.1070e-01     1.6310e-02     8.1583e-03
8.1070e-01     1.6490e-02     8.4739e-03
8.1070e-01     1.6660e-02     8.7823e-03
8.1070e-01     1.6830e-02     9.1012e-03
8.1070e-01     1.7000e-02     9.4307e-03
9.1700e-01     1.0000e-05     8.4780e-10
9.1700e-01     1.8160e-04     2.7962e-07
9.1700e-01     3.5320e-04     1.0580e-06
9.1700e-01     5.2480e-04     2.3368e-06
9.1700e-01     6.9650e-04     4.1184e-06
9.1700e-01     8.6810e-04     6.4026e-06
9.1700e-01     1.0400e-03     9.1979e-06
9.1700e-01     1.2110e-03     1.2485e-05
9.1700e-01     1.3830e-03     1.6304e-05
9.1700e-01     1.5550e-03     2.0641e-05
9.1700e-01     1.7260e-03     2.5470e-05
9.1700e-01     1.8980e-03     3.0854e-05
9.1700e-01     2.0690e-03     3.6734e-05
9.1700e-01     2.2410e-03     4.3186e-05
9.1700e-01     2.4130e-03     5.0183e-05
9.1700e-01     2.5840e-03     5.7687e-05
9.1700e-01     2.7560e-03     6.5792e-05
9.1700e-01     2.9270e-03     7.4413e-05
9.1700e-01     3.0990e-03     8.3660e-05
9.1700e-01     3.2710e-03     9.3492e-05
9.1700e-01     3.4420e-03     1.0386e-04
9.1700e-01     3.6140e-03     1.1489e-04
9.1700e-01     3.7860e-03     1.2654e-04
9.1700e-01     3.9570e-03     1.3874e-04
9.1700e-01     4.1290e-03     1.5166e-04
9.1700e-01     4.3000e-03     1.6514e-04
9.1700e-01     4.4720e-03     1.7938e-04
9.1700e-01     4.6440e-03     1.9429e-04
9.1700e-01     4.8150e-03     2.0981e-04
9.1700e-01     4.9870e-03     2.2613e-04
9.1700e-01     5.1580e-03     2.4308e-04
9.1700e-01     5.3300e-03     2.6087e-04
9.1700e-01     5.5020e-03     2.7943e-04
9.1700e-01     5.6730e-03     2.9865e-04
9.1700e-01     5.8450e-03     3.1879e-04
9.1700e-01     6.0170e-03     3.3975e-04
9.1700e-01     6.1880e-03     3.6142e-04
9.1700e-01     6.3600e-03     3.8409e-04
9.1700e-01     6.5310e-03     4.0750e-04
9.1700e-01     6.7030e-03     4.3196e-04
9.1700e-01     6.8750e-03     4.5735e-04
9.1700e-01     7.0460e-03     4.8356e-04
9.1700e-01     7.2180e-03     5.1090e-04
9.1700e-01     7.3890e-03     5.3909e-04
9.1700e-01     7.5610e-03     5.6848e-04
9.1700e-01     7.7330e-03     5.9895e-04
9.1700e-01     7.9040e-03     6.3034e-04
9.1700e-01     8.0760e-03     6.6305e-04
9.1700e-01     8.2480e-03     6.9693e-04
9.1700e-01     8.4190e-03     7.3180e-04
9.1700e-01     8.5910e-03     7.6812e-04
