 Element: Ne
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     1.1760e-08
5.6000e-01     1.8160e-04     3.8786e-06
5.6000e-01     3.5320e-04     1.4674e-05
5.6000e-01     5.2480e-04     3.2402e-05
5.6000e-01     6.9650e-04     5.7089e-05
5.6000e-01     8.6810e-04     8.8717e-05
5.6000e-01     1.0400e-03     1.2739e-04
5.6000e-01     1.2110e-03     1.7281e-04
5.6000e-01     1.3830e-03     2.2553e-04
5.6000e-01     1.5550e-03     2.8531e-04
5.6000e-01     1.7260e-03     3.5177e-04
5.6000e-01     1.8980e-03     4.2574e-04
5.6000e-01     2.0690e-03     5.0637e-04
5.6000e-01     2.2410e-03     5.9466e-04
5.6000e-01     2.4130e-03     6.9019e-04
5.6000e-01     2.5840e-03     7.9239e-04
5.6000e-01     2.7560e-03     9.0250e-04
5.6000e-01     2.9270e-03     1.0193e-03
5.6000e-01     3.0990e-03     1.1442e-03
5.6000e-01     3.2710e-03     1.2766e-03
5.6000e-01     3.4420e-03     1.4158e-03
5.6000e-01     3.6140e-03     1.5633e-03
5.6000e-01     3.7860e-03     1.7186e-03
5.6000e-01     3.9570e-03     1.8806e-03
5.6000e-01     4.1290e-03     2.0514e-03
5.6000e-01     4.3000e-03     2.2291e-03
5.6000e-01     4.4720e-03     2.4158e-03
5.6000e-01     4.6440e-03     2.6106e-03
5.6000e-01     4.8150e-03     2.8124e-03
5.6000e-01     4.9870e-03     3.0235e-03
5.6000e-01     5.1580e-03     3.2418e-03
5.6000e-01     5.3300e-03     3.4697e-03
5.6000e-01     5.5020e-03     3.7062e-03
5.6000e-01     5.6730e-03     3.9499e-03
5.6000e-01     5.8450e-03     4.2037e-03
5.6000e-01     6.0170e-03     4.4665e-03
5.6000e-01     6.1880e-03     4.7365e-03
5.6000e-01     6.3600e-03     5.0173e-03
5.6000e-01     6.5310e-03     5.3055e-03
5.6000e-01     6.7030e-03     5.6048e-03
5.6000e-01     6.8750e-03     5.9135e-03
5.6000e-01     7.0460e-03     6.2299e-03
5.6000e-01     7.2180e-03     6.5578e-03
5.6000e-01     7.3890e-03     6.8936e-03
5.6000e-01     7.5610e-03     7.2413e-03
5.6000e-01     7.7330e-03     7.5991e-03
5.6000e-01     7.9040e-03     7.9650e-03
5.6000e-01     8.0760e-03     8.3434e-03
5.6000e-01     8.2480e-03     8.7323e-03
5.6000e-01     8.4190e-03     9.1296e-03
5.6000e-01     8.5910e-03     9.5400e-03
5.6000e-01     8.7620e-03     9.9590e-03
5.6000e-01     8.9340e-03     1.0391e-02
5.6000e-01     9.1060e-03     1.0835e-02
5.6000e-01     9.2770e-03     1.1288e-02
5.6000e-01     9.4490e-03     1.1755e-02
5.6000e-01     9.6210e-03     1.2233e-02
5.6000e-01     9.7920e-03     1.2721e-02
5.6000e-01     9.9640e-03     1.3223e-02
5.6000e-01     1.0140e-02     1.3750e-02
5.6000e-01     1.0310e-02     1.4272e-02
5.6000e-01     1.0480e-02     1.4806e-02
5.6000e-01     1.0650e-02     1.5352e-02
5.6000e-01     1.0820e-02     1.5911e-02
5.6000e-01     1.0990e-02     1.6483e-02
5.6000e-01     1.1170e-02     1.7103e-02
5.6000e-01     1.1340e-02     1.7702e-02
5.6000e-01     1.1510e-02     1.8314e-02
5.6000e-01     1.1680e-02     1.8940e-02
5.6000e-01     1.1850e-02     1.9579e-02
5.6000e-01     1.2020e-02     2.0233e-02
5.6000e-01     1.2190e-02     2.0901e-02
5.6000e-01     1.2370e-02     2.1624e-02
5.6000e-01     1.2540e-02     2.2321e-02
5.6000e-01     1.2710e-02     2.3033e-02
5.6000e-01     1.2880e-02     2.3760e-02
5.6000e-01     1.3050e-02     2.4502e-02
5.6000e-01     1.3220e-02     2.5260e-02
5.6000e-01     1.3400e-02     2.6079e-02
5.6000e-01     1.3570e-02     2.6868e-02
5.6000e-01     1.3740e-02     2.7673e-02
5.6000e-01     1.3910e-02     2.8495e-02
5.6000e-01     1.4080e-02     2.9332e-02
5.6000e-01     1.4250e-02     3.0186e-02
5.6000e-01     1.4430e-02     3.1109e-02
5.6000e-01     1.4600e-02     3.1997e-02
5.6000e-01     1.4770e-02     3.2903e-02
5.6000e-01     1.4940e-02     3.3826e-02
5.6000e-01     1.5110e-02     3.4766e-02
5.6000e-01     1.5280e-02     3.5723e-02
5.6000e-01     1.5460e-02     3.6757e-02
5.6000e-01     1.5630e-02     3.7752e-02
5.6000e-01     1.5800e-02     3.8764e-02
5.6000e-01     1.5970e-02     3.9796e-02
5.6000e-01     1.6140e-02     4.0846e-02
5.6000e-01     1.6310e-02     4.1914e-02
5.6000e-01     1.6490e-02     4.3067e-02
5.6000e-01     1.6660e-02     4.4175e-02
5.6000e-01     1.6830e-02     4.5302e-02
5.6000e-01     1.7000e-02     4.6449e-02
6.3350e-01     1.0000e-05     8.2119e-09
6.3350e-01     1.8160e-04     2.7083e-06
6.3350e-01     3.5320e-04     1.0246e-05
6.3350e-01     5.2480e-04     2.2625e-05
6.3350e-01     6.9650e-04     3.9863e-05
6.3350e-01     8.6810e-04     6.1948e-05
6.3350e-01     1.0400e-03     8.8950e-05
6.3350e-01     1.2110e-03     1.2067e-04
6.3350e-01     1.3830e-03     1.5747e-04
6.3350e-01     1.5550e-03     1.9921e-04
6.3350e-01     1.7260e-03     2.4562e-04
