 Element: Ne
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     3.7798e-08
5.6000e-01     1.8160e-04     1.2466e-05
5.6000e-01     3.5320e-04     4.7163e-05
5.6000e-01     5.2480e-04     1.0415e-04
5.6000e-01     6.9650e-04     1.8351e-04
5.6000e-01     8.6810e-04     2.8519e-04
5.6000e-01     1.0400e-03     4.0953e-04
5.6000e-01     1.2110e-03     5.5562e-04
5.6000e-01     1.3830e-03     7.2517e-04
5.6000e-01     1.5550e-03     9.1750e-04
5.6000e-01     1.7260e-03     1.1314e-03
5.6000e-01     1.8980e-03     1.3695e-03
5.6000e-01     2.0690e-03     1.6291e-03
5.6000e-01     2.2410e-03     1.9135e-03
5.6000e-01     2.4130e-03     2.2214e-03
5.6000e-01     2.5840e-03     2.5508e-03
5.6000e-01     2.7560e-03     2.9060e-03
5.6000e-01     2.9270e-03     3.2828e-03
5.6000e-01     3.0990e-03     3.6861e-03
5.6000e-01     3.2710e-03     4.1138e-03
5.6000e-01     3.4420e-03     4.5635e-03
5.6000e-01     3.6140e-03     5.0408e-03
5.6000e-01     3.7860e-03     5.5432e-03
5.6000e-01     3.9570e-03     6.0681e-03
5.6000e-01     4.1290e-03     6.6218e-03
5.6000e-01     4.3000e-03     7.1982e-03
5.6000e-01     4.4720e-03     7.8044e-03
5.6000e-01     4.6440e-03     8.4375e-03
5.6000e-01     4.8150e-03     9.0938e-03
5.6000e-01     4.9870e-03     9.7815e-03
5.6000e-01     5.1580e-03     1.0493e-02
5.6000e-01     5.3300e-03     1.1237e-02
5.6000e-01     5.5020e-03     1.2010e-02
5.6000e-01     5.6730e-03     1.2807e-02
5.6000e-01     5.8450e-03     1.3639e-02
5.6000e-01     6.0170e-03     1.4500e-02
5.6000e-01     6.1880e-03     1.5388e-02
5.6000e-01     6.3600e-03     1.6312e-02
5.6000e-01     6.5310e-03     1.7262e-02
5.6000e-01     6.7030e-03     1.8250e-02
5.6000e-01     6.8750e-03     1.9271e-02
5.6000e-01     7.0460e-03     2.0319e-02
5.6000e-01     7.2180e-03     2.1408e-02
5.6000e-01     7.3890e-03     2.2525e-02
5.6000e-01     7.5610e-03     2.3684e-02
5.6000e-01     7.7330e-03     2.4879e-02
5.6000e-01     7.9040e-03     2.6104e-02
5.6000e-01     8.0760e-03     2.7374e-02
5.6000e-01     8.2480e-03     2.8683e-02
5.6000e-01     8.4190e-03     3.0023e-02
5.6000e-01     8.5910e-03     3.1411e-02
5.6000e-01     8.7620e-03     3.2831e-02
5.6000e-01     8.9340e-03     3.4302e-02
5.6000e-01     9.1060e-03     3.5816e-02
5.6000e-01     9.2770e-03     3.7364e-02
5.6000e-01     9.4490e-03     3.8967e-02
5.6000e-01     9.6210e-03     4.0615e-02
5.6000e-01     9.7920e-03     4.2300e-02
5.6000e-01     9.9640e-03     4.4043e-02
5.6000e-01     1.0140e-02     4.5877e-02
5.6000e-01     1.0310e-02     4.7699e-02
5.6000e-01     1.0480e-02     4.9571e-02
5.6000e-01     1.0650e-02     5.1495e-02
5.6000e-01     1.0820e-02     5.3471e-02
5.6000e-01     1.0990e-02     5.5502e-02
5.6000e-01     1.1170e-02     5.7712e-02
5.6000e-01     1.1340e-02     5.9859e-02
