 Element: Ne
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  1
 No. of channels =    46
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.7694e-07
1.0000e-04     1.0780e-05     2.0562e-07
1.0000e-04     1.1620e-05     2.3891e-07
1.0000e-04     1.2530e-05     2.7780e-07
1.0000e-04     1.3510e-05     3.2295e-07
1.0000e-04     1.4560e-05     3.7510e-07
1.0000e-04     1.5700e-05     4.3614e-07
1.0000e-04     1.6920e-05     5.0656e-07
1.0000e-04     1.8240e-05     5.8867e-07
1.0000e-04     1.9660e-05     6.8390e-07
1.0000e-04     2.1200e-05     7.9523e-07
1.0000e-04     2.2850e-05     9.2383e-07
1.0000e-04     2.4640e-05     1.0742e-06
1.0000e-04     2.6560e-05     1.2482e-06
1.0000e-04     2.8630e-05     1.4503e-06
1.0000e-04     3.0860e-05     1.6850e-06
1.0000e-04     3.3270e-05     1.9585e-06
1.0000e-04     3.5870e-05     2.2765e-06
1.0000e-04     3.8670e-05     2.6457e-06
1.0000e-04     4.1690e-05     3.0751e-06
1.0000e-04     4.4940e-05     3.5732e-06
1.0000e-04     4.8440e-05     4.1514e-06
1.0000e-04     5.2220e-05     4.8244e-06
1.0000e-04     5.6300e-05     5.6076e-06
1.0000e-04     6.0690e-05     6.5161e-06
1.0000e-04     6.5430e-05     7.5734e-06
1.0000e-04     7.0530e-05     8.7998e-06
1.0000e-04     7.6040e-05     1.0228e-05
1.0000e-04     8.1970e-05     1.1885e-05
1.0000e-04     8.8370e-05     1.3813e-05
1.0000e-04     9.5260e-05     1.6049e-05
1.0000e-04     1.0270e-04     1.8653e-05
1.0000e-04     1.1070e-04     2.1670e-05
1.0000e-04     1.1930e-04     2.5166e-05
1.0000e-04     1.2870e-04     2.9284e-05
1.0000e-04     1.3870e-04     3.4007e-05
1.0000e-04     1.4950e-04     3.9503e-05
1.0000e-04     1.6120e-04     4.5920e-05
1.0000e-04     1.7380e-04     5.3368e-05
1.0000e-04     1.8730e-04     6.1966e-05
1.0000e-04     2.0190e-04     7.1982e-05
1.0000e-04     2.1770e-04     8.3662e-05
1.0000e-04     2.3470e-04     9.7201e-05
1.0000e-04     2.5300e-04     1.1290e-04
1.0000e-04     2.7270e-04     1.3110e-04
1.0000e-04     2.9400e-04     1.5229e-04
1.0000e-04     3.1700e-04     1.7692e-04
1.0000e-04     3.4170e-04     2.0540e-04
1.0000e-04     3.6840e-04     2.3853e-04
1.0000e-04     3.9710e-04     2.7684e-04
1.0000e-04     4.2810e-04     3.2134e-04
1.0000e-04     4.6150e-04     3.7289e-04
1.0000e-04     4.9750e-04     4.3259e-04
1.0000e-04     5.3630e-04     5.0170e-04
1.0000e-04     5.7820e-04     5.8180e-04
1.0000e-04     6.2330e-04     6.7428e-04
1.0000e-04     6.7190e-04     7.8108e-04
1.0000e-04     7.2440e-04     9.0461e-04
1.0000e-04     7.8090e-04     1.0468e-03
1.0000e-04     8.4180e-04     1.2104e-03
1.0000e-04     9.0750e-04     1.3987e-03
1.0000e-04     9.7830e-04     1.6147e-03
1.0000e-04     1.0550e-03     1.8632e-03
1.0000e-04     1.1370e-03     2.1447e-03
1.0000e-04     1.2260e-03     2.4675e-03
1.0000e-04     1.3210e-03     2.8301e-03
1.0000e-04     1.4240e-03     3.2422e-03
1.0000e-04     1.5360e-03     3.7098e-03
1.0000e-04     1.6550e-03     4.2252e-03
1.0000e-04     1.7850e-03     4.8051e-03
1.0000e-04     1.9240e-03     5.4385e-03
1.0000e-04     2.0740e-03     6.1297e-03
1.0000e-04     2.2360e-03     6.8753e-03
1.0000e-04     2.4100e-03     7.6631e-03
1.0000e-04     2.5980e-03     8.4848e-03
1.0000e-04     2.8010e-03     9.3206e-03
1.0000e-04     3.0200e-03     1.0143e-02
1.0000e-04     3.2550e-03     1.0914e-02
1.0000e-04     3.5090e-03     1.1598e-02
1.0000e-04     3.7830e-03     1.2143e-02
1.0000e-04     4.0780e-03     1.2497e-02
1.0000e-04     4.3960e-03     1.2610e-02
1.0000e-04     4.7390e-03     1.2437e-02
1.0000e-04     5.1090e-03     1.1950e-02
1.0000e-04     5.5080e-03     1.1147e-02
1.0000e-04     5.9380e-03     1.0056e-02
1.0000e-04     6.4010e-03     8.7406e-03
1.0000e-04     6.9000e-03     7.2902e-03
1.0000e-04     7.4390e-03     5.8085e-03
1.0000e-04     8.0190e-03     4.4074e-03
1.0000e-04     8.6450e-03     3.1701e-03
1.0000e-04     9.3200e-03     2.1535e-03
1.0000e-04     1.0050e-02     1.3740e-03
1.0000e-04     1.0830e-02     8.2422e-04
1.0000e-04     1.1680e-02     4.5761e-04
1.0000e-04     1.2590e-02     2.3600e-04
1.0000e-04     1.3570e-02     1.1193e-04
1.0000e-04     1.4630e-02     4.8296e-05
1.0000e-04     1.5770e-02     1.8925e-05
1.0000e-04     1.7000e-02     6.6766e-06
1.1310e-04     1.0000e-05     1.7676e-07
1.1310e-04     1.0780e-05     2.0540e-07
1.1310e-04     1.1620e-05     2.3866e-07
1.1310e-04     1.2530e-05     2.7751e-07
1.1310e-04     1.3510e-05     3.2261e-07
1.1310e-04     1.4560e-05     3.7471e-07
1.1310e-04     1.5700e-05     4.3568e-07
1.1310e-04     1.6920e-05     5.0602e-07
1.1310e-04     1.8240e-05     5.8806e-07
