 Element: Ne
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    10
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     1.7694e-03
1.1310e-04     1.0000e-03     1.7676e-03
1.2800e-04     1.0000e-03     1.7655e-03
1.4480e-04     1.0000e-03     1.7631e-03
1.6380e-04     1.0000e-03     1.7604e-03
1.8520e-04     1.0000e-03     1.7574e-03
2.0950e-04     1.0000e-03     1.7540e-03
2.3700e-04     1.0000e-03     1.7502e-03
2.6810e-04     1.0000e-03     1.7459e-03
3.0330e-04     1.0000e-03     1.7410e-03
3.4310e-04     1.0000e-03     1.7355e-03
3.8820e-04     1.0000e-03     1.7294e-03
4.3910e-04     1.0000e-03     1.7225e-03
4.9670e-04     1.0000e-03     1.7148e-03
5.6190e-04     1.0000e-03     1.7062e-03
6.3560e-04     1.0000e-03     1.6965e-03
7.1900e-04     1.0000e-03     1.6857e-03
8.1340e-04     1.0000e-03     1.6737e-03
9.2010e-04     1.0000e-03     1.6604e-03
1.0410e-03     1.0000e-03     1.6456e-03
1.1770e-03     1.0000e-03     1.6294e-03
1.3320e-03     1.0000e-03     1.6114e-03
1.5070e-03     1.0000e-03     1.5917e-03
1.7040e-03     1.0000e-03     1.5703e-03
1.9280e-03     1.0000e-03     1.5469e-03
2.1810e-03     1.0000e-03     1.5217e-03
2.4670e-03     1.0000e-03     1.4946e-03
2.7910e-03     1.0000e-03     1.4658e-03
3.1570e-03     1.0000e-03     1.4352e-03
3.5710e-03     1.0000e-03     1.4031e-03
4.0400e-03     1.0000e-03     1.3696e-03
4.5700e-03     1.0000e-03     1.3349e-03
5.1700e-03     1.0000e-03     1.2994e-03
5.8480e-03     1.0000e-03     1.2633e-03
6.6150e-03     1.0000e-03     1.2269e-03
7.4830e-03     1.0000e-03     1.1905e-03
8.4650e-03     1.0000e-03     1.1544e-03
9.5760e-03     1.0000e-03     1.1189e-03
1.0830e-02     1.0000e-03     1.0843e-03
1.2250e-02     1.0000e-03     1.0507e-03
1.3860e-02     1.0000e-03     1.0182e-03
1.5680e-02     1.0000e-03     9.8691e-04
1.7740e-02     1.0000e-03     9.5694e-04
2.0070e-02     1.0000e-03     9.2828e-04
2.2700e-02     1.0000e-03     9.0089e-04
2.5680e-02     1.0000e-03     8.7460e-04
2.9050e-02     1.0000e-03     8.4935e-04
3.2860e-02     1.0000e-03     8.2494e-04
3.7170e-02     1.0000e-03     8.0117e-04
4.2050e-02     1.0000e-03     7.7785e-04
4.7570e-02     1.0000e-03     7.5477e-04
5.3810e-02     1.0000e-03     7.3174e-04
6.0870e-02     1.0000e-03     7.0850e-04
6.8850e-02     1.0000e-03     6.8486e-04
7.7890e-02     1.0000e-03     6.6051e-04
8.8110e-02     1.0000e-03     6.3534e-04
9.9670e-02     1.0000e-03     6.0926e-04
1.1270e-01     1.0000e-03     5.8203e-04
1.2750e-01     1.0000e-03     5.5356e-04
1.4430e-01     1.0000e-03     5.2374e-04
1.6320e-01     1.0000e-03     4.9280e-04
1.8460e-01     1.0000e-03     4.6068e-04
2.0890e-01     1.0000e-03     4.2745e-04
2.3630e-01     1.0000e-03     3.9347e-04
2.6730e-01     1.0000e-03     3.5902e-04
3.0230e-01     1.0000e-03     3.2455e-04
3.4200e-01     1.0000e-03     2.9026e-04
3.8690e-01     1.0000e-03     2.5663e-04
4.3760e-01     1.0000e-03     2.2425e-04
4.9510e-01     1.0000e-03     1.9332e-04
5.6000e-01     1.0000e-03     1.6451e-04
6.3350e-01     1.0000e-03     1.3794e-04
7.1660e-01     1.0000e-03     1.1400e-04
8.1070e-01     1.0000e-03     9.2801e-05
9.1700e-01     1.0000e-03     7.4396e-05
1.0370e+00     1.0000e-03     5.8734e-05
1.1730e+00     1.0000e-03     4.5595e-05
1.3270e+00     1.0000e-03     3.4780e-05
1.5020e+00     1.0000e-03     2.6119e-05
1.6990e+00     1.0000e-03     1.9315e-05
1.9220e+00     1.0000e-03     1.4092e-05
2.1740e+00     1.0000e-03     1.0114e-05
2.4590e+00     1.0000e-03     7.1427e-06
2.7820e+00     1.0000e-03     4.9818e-06
3.1470e+00     1.0000e-03     3.4206e-06
3.5600e+00     1.0000e-03     2.3210e-06
4.0270e+00     1.0000e-03     1.5623e-06
4.5550e+00     1.0000e-03     1.0355e-06
5.1530e+00     1.0000e-03     6.7904e-07
5.8290e+00     1.0000e-03     4.3896e-07
6.5940e+00     1.0000e-03     2.8177e-07
7.4590e+00     1.0000e-03     1.7940e-07
8.4370e+00     1.0000e-03     1.1331e-07
9.5450e+00     1.0000e-03     7.1373e-08
1.0800e+01     1.0000e-03     4.4440e-08
1.2210e+01     1.0000e-03     2.7242e-08
1.3820e+01     1.0000e-03     1.6651e-08
1.5630e+01     1.0000e-03     1.0153e-08
1.7680e+01     1.0000e-03     6.2235e-09
2.0000e+01     1.0000e-03     3.7034e-09
