 Element: Ne
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  1
 No. of channels =    46
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     2.2475e-05
1.0000e-04     1.8160e-04     7.3983e-03
1.0000e-04     3.5320e-04     2.7841e-02
1.0000e-04     5.2480e-04     6.0944e-02
1.0000e-04     6.9650e-04     1.0608e-01
1.0000e-04     8.6810e-04     1.6232e-01
1.0000e-04     1.0400e-03     2.2873e-01
1.0000e-04     1.2110e-03     3.0354e-01
1.0000e-04     1.3830e-03     3.8620e-01
1.0000e-04     1.5550e-03     4.7480e-01
1.0000e-04     1.7260e-03     5.6724e-01
1.0000e-04     1.8980e-03     6.6303e-01
1.0000e-04     2.0690e-03     7.5953e-01
1.0000e-04     2.2410e-03     8.5636e-01
1.0000e-04     2.4130e-03     9.5155e-01
1.0000e-04     2.5840e-03     1.0433e+00
1.0000e-04     2.7560e-03     1.1314e+00
1.0000e-04     2.9270e-03     1.2139e+00
1.0000e-04     3.0990e-03     1.2909e+00
1.0000e-04     3.2710e-03     1.3611e+00
1.0000e-04     3.4420e-03     1.4236e+00
1.0000e-04     3.6140e-03     1.4788e+00
1.0000e-04     3.7860e-03     1.5260e+00
1.0000e-04     3.9570e-03     1.5648e+00
1.0000e-04     4.1290e-03     1.5958e+00
1.0000e-04     4.3000e-03     1.6186e+00
1.0000e-04     4.4720e-03     1.6337e+00
1.0000e-04     4.6440e-03     1.6413e+00
1.0000e-04     4.8150e-03     1.6416e+00
1.0000e-04     4.9870e-03     1.6352e+00
1.0000e-04     5.1580e-03     1.6224e+00
1.0000e-04     5.3300e-03     1.6036e+00
1.0000e-04     5.5020e-03     1.5794e+00
1.0000e-04     5.6730e-03     1.5503e+00
1.0000e-04     5.8450e-03     1.5167e+00
1.0000e-04     6.0170e-03     1.4791e+00
1.0000e-04     6.1880e-03     1.4382e+00
1.0000e-04     6.3600e-03     1.3941e+00
1.0000e-04     6.5310e-03     1.3478e+00
1.0000e-04     6.7030e-03     1.2991e+00
1.0000e-04     6.8750e-03     1.2487e+00
1.0000e-04     7.0460e-03     1.1974e+00
1.0000e-04     7.2180e-03     1.1450e+00
1.0000e-04     7.3890e-03     1.0923e+00
1.0000e-04     7.5610e-03     1.0393e+00
1.0000e-04     7.7330e-03     9.8633e-01
1.0000e-04     7.9040e-03     9.3415e-01
1.0000e-04     8.0760e-03     8.8237e-01
1.0000e-04     8.2480e-03     8.3154e-01
1.0000e-04     8.4190e-03     7.8214e-01
1.0000e-04     8.5910e-03     7.3378e-01
1.0000e-04     8.7620e-03     6.8717e-01
1.0000e-04     8.9340e-03     6.4190e-01
1.0000e-04     9.1060e-03     5.9834e-01
1.0000e-04     9.2770e-03     5.5683e-01
1.0000e-04     9.4490e-03     5.1694e-01
1.0000e-04     9.6210e-03     4.7895e-01
1.0000e-04     9.7920e-03     4.4310e-01
1.0000e-04     9.9640e-03     4.0897e-01
1.0000e-04     1.0140e-02     3.7604e-01
1.0000e-04     1.0310e-02     3.4612e-01
1.0000e-04     1.0480e-02     3.1803e-01
1.0000e-04     1.0650e-02     2.9172e-01
1.0000e-04     1.0820e-02     2.6715e-01
1.0000e-04     1.0990e-02     2.4425e-01
1.0000e-04     1.1170e-02     2.2175e-01
1.0000e-04     1.1340e-02     2.0209e-01
1.0000e-04     1.1510e-02     1.8389e-01
1.0000e-04     1.1680e-02     1.6708e-01
1.0000e-04     1.1850e-02     1.5160e-01
1.0000e-04     1.2020e-02     1.3735e-01
1.0000e-04     1.2190e-02     1.2427e-01
1.0000e-04     1.2370e-02     1.1162e-01
1.0000e-04     1.2540e-02     1.0071e-01
1.0000e-04     1.2710e-02     9.0759e-02
1.0000e-04     1.2880e-02     8.1687e-02
1.0000e-04     1.3050e-02     7.3433e-02
1.0000e-04     1.3220e-02     6.5935e-02
1.0000e-04     1.3400e-02     5.8754e-02
1.0000e-04     1.3570e-02     5.2630e-02
1.0000e-04     1.3740e-02     4.7093e-02
1.0000e-04     1.3910e-02     4.2092e-02
1.0000e-04     1.4080e-02     3.7583e-02
1.0000e-04     1.4250e-02     3.3523e-02
1.0000e-04     1.4430e-02     2.9668e-02
1.0000e-04     1.4600e-02     2.6408e-02
1.0000e-04     1.4770e-02     2.3484e-02
1.0000e-04     1.4940e-02     2.0865e-02
1.0000e-04     1.5110e-02     1.8520e-02
1.0000e-04     1.5280e-02     1.6424e-02
1.0000e-04     1.5460e-02     1.4449e-02
1.0000e-04     1.5630e-02     1.2791e-02
1.0000e-04     1.5800e-02     1.1313e-02
1.0000e-04     1.5970e-02     9.9981e-03
1.0000e-04     1.6140e-02     8.8288e-03
1.0000e-04     1.6310e-02     7.7901e-03
1.0000e-04     1.6490e-02     6.8173e-03
1.0000e-04     1.6660e-02     6.0057e-03
1.0000e-04     1.6830e-02     5.2868e-03
1.0000e-04     1.7000e-02     4.6506e-03
1.1310e-04     1.0000e-05     2.2509e-05
1.1310e-04     1.8160e-04     7.4092e-03
1.1310e-04     3.5320e-04     2.7882e-02
1.1310e-04     5.2480e-04     6.1034e-02
1.1310e-04     6.9650e-04     1.0624e-01
1.1310e-04     8.6810e-04     1.6256e-01
1.1310e-04     1.0400e-03     2.2907e-01
1.1310e-04     1.2110e-03     3.0399e-01
1.1310e-04     1.3830e-03     3.8677e-01
1.1310e-04     1.5550e-03     4.7550e-01
1.1310e-04     1.7260e-03     5.6808e-01
1.1310e-04     1.8980e-03     6.6401e-01
1.1310e-04     2.0690e-03     7.6065e-01
1.1310e-04     2.2410e-03     8.5763e-01
1.1310e-04     2.4130e-03     9.5295e-01
1.1310e-04     2.5840e-03     1.0448e+00
1.1310e-04     2.7560e-03     1.1330e+00
1.1310e-04     2.9270e-03     1.2157e+00
1.1310e-04     3.0990e-03     1.2927e+00
1.1310e-04     3.2710e-03     1.3630e+00
1.1310e-04     3.4420e-03     1.4256e+00
1.1310e-04     3.6140e-03     1.4808e+00
1.1310e-04     3.7860e-03     1.5280e+00
1.1310e-04     3.9570e-03     1.5669e+00
1.1310e-04     4.1290e-03     1.5979e+00
1.1310e-04     4.3000e-03     1.6207e+00
1.1310e-04     4.4720e-03     1.6358e+00
1.1310e-04     4.6440e-03     1.6433e+00
1.1310e-04     4.8150e-03     1.6436e+00
1.1310e-04     4.9870e-03     1.6370e+00
1.1310e-04     5.1580e-03     1.6242e+00
1.1310e-04     5.3300e-03     1.6053e+00
1.1310e-04     5.5020e-03     1.5810e+00
1.1310e-04     5.6730e-03     1.5519e+00
1.1310e-04     5.8450e-03     1.5181e+00
1.1310e-04     6.0170e-03     1.4804e+00
1.1310e-04     6.1880e-03     1.4394e+00
1.1310e-04     6.3600e-03     1.3953e+00
1.1310e-04     6.5310e-03     1.3488e+00
1.1310e-04     6.7030e-03     1.3000e+00
1.1310e-04     6.8750e-03     1.2496e+00
1.1310e-04     7.0460e-03     1.1982e+00
1.1310e-04     7.2180e-03     1.1457e+00
1.1310e-04     7.3890e-03     1.0930e+00
1.1310e-04     7.5610e-03     1.0398e+00
1.1310e-04     7.7330e-03     9.8683e-01
1.1310e-04     7.9040e-03     9.3459e-01
1.1310e-04     8.0760e-03     8.8276e-01
1.1310e-04     8.2480e-03     8.3188e-01
1.1310e-04     8.4190e-03     7.8243e-01
