 Element: Ne
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  1
 No. of channels =    46
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     2.2475e-05
1.0000e-04     1.0780e-05     2.6118e-05
1.0000e-04     1.1620e-05     3.0347e-05
1.0000e-04     1.2530e-05     3.5287e-05
1.0000e-04     1.3510e-05     4.1022e-05
1.0000e-04     1.4560e-05     4.7646e-05
1.0000e-04     1.5700e-05     5.5399e-05
1.0000e-04     1.6920e-05     6.4344e-05
1.0000e-04     1.8240e-05     7.4774e-05
1.0000e-04     1.9660e-05     8.6870e-05
1.0000e-04     2.1200e-05     1.0101e-04
1.0000e-04     2.2850e-05     1.1735e-04
1.0000e-04     2.4640e-05     1.3645e-04
1.0000e-04     2.6560e-05     1.5854e-04
1.0000e-04     2.8630e-05     1.8422e-04
1.0000e-04     3.0860e-05     2.1403e-04
1.0000e-04     3.3270e-05     2.4877e-04
1.0000e-04     3.5870e-05     2.8916e-04
1.0000e-04     3.8670e-05     3.3606e-04
1.0000e-04     4.1690e-05     3.9060e-04
1.0000e-04     4.4940e-05     4.5387e-04
1.0000e-04     4.8440e-05     5.2730e-04
1.0000e-04     5.2220e-05     6.1280e-04
1.0000e-04     5.6300e-05     7.1228e-04
1.0000e-04     6.0690e-05     8.2767e-04
1.0000e-04     6.5430e-05     9.6197e-04
1.0000e-04     7.0530e-05     1.1177e-03
1.0000e-04     7.6040e-05     1.2991e-03
1.0000e-04     8.1970e-05     1.5096e-03
1.0000e-04     8.8370e-05     1.7544e-03
1.0000e-04     9.5260e-05     2.0385e-03
1.0000e-04     1.0270e-04     2.3691e-03
1.0000e-04     1.1070e-04     2.7524e-03
1.0000e-04     1.1930e-04     3.1963e-03
1.0000e-04     1.2870e-04     3.7193e-03
1.0000e-04     1.3870e-04     4.3191e-03
1.0000e-04     1.4950e-04     5.0170e-03
1.0000e-04     1.6120e-04     5.8318e-03
1.0000e-04     1.7380e-04     6.7775e-03
1.0000e-04     1.8730e-04     7.8691e-03
1.0000e-04     2.0190e-04     9.1407e-03
1.0000e-04     2.1770e-04     1.0623e-02
1.0000e-04     2.3470e-04     1.2342e-02
1.0000e-04     2.5300e-04     1.4334e-02
1.0000e-04     2.7270e-04     1.6644e-02
1.0000e-04     2.9400e-04     1.9332e-02
1.0000e-04     3.1700e-04     2.2457e-02
