 Element: Ne
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    10
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     2.2476e-01
1.1310e-04     1.0000e-03     2.2509e-01
1.2800e-04     1.0000e-03     2.2546e-01
1.4480e-04     1.0000e-03     2.2589e-01
1.6380e-04     1.0000e-03     2.2636e-01
1.8520e-04     1.0000e-03     2.2690e-01
2.0950e-04     1.0000e-03     2.2750e-01
2.3700e-04     1.0000e-03     2.2817e-01
2.6810e-04     1.0000e-03     2.2893e-01
3.0330e-04     1.0000e-03     2.2978e-01
3.4310e-04     1.0000e-03     2.3074e-01
3.8820e-04     1.0000e-03     2.3180e-01
4.3910e-04     1.0000e-03     2.3299e-01
4.9670e-04     1.0000e-03     2.3432e-01
5.6190e-04     1.0000e-03     2.3579e-01
6.3560e-04     1.0000e-03     2.3743e-01
7.1900e-04     1.0000e-03     2.3924e-01
8.1340e-04     1.0000e-03     2.4124e-01
9.2010e-04     1.0000e-03     2.4343e-01
1.0410e-03     1.0000e-03     2.4584e-01
1.1770e-03     1.0000e-03     2.4845e-01
1.3320e-03     1.0000e-03     2.5129e-01
1.5070e-03     1.0000e-03     2.5434e-01
1.7040e-03     1.0000e-03     2.5757e-01
1.9280e-03     1.0000e-03     2.6101e-01
2.1810e-03     1.0000e-03     2.6459e-01
2.4670e-03     1.0000e-03     2.6826e-01
2.7910e-03     1.0000e-03     2.7197e-01
3.1570e-03     1.0000e-03     2.7562e-01
3.5710e-03     1.0000e-03     2.7909e-01
4.0400e-03     1.0000e-03     2.8225e-01
4.5700e-03     1.0000e-03     2.8491e-01
5.1700e-03     1.0000e-03     2.8686e-01
5.8480e-03     1.0000e-03     2.8789e-01
6.6150e-03     1.0000e-03     2.8772e-01
7.4830e-03     1.0000e-03     2.8608e-01
8.4650e-03     1.0000e-03     2.8271e-01
9.5760e-03     1.0000e-03     2.7735e-01
1.0830e-02     1.0000e-03     2.6981e-01
1.2250e-02     1.0000e-03     2.5993e-01
1.3860e-02     1.0000e-03     2.4764e-01
1.5680e-02     1.0000e-03     2.3306e-01
1.7740e-02     1.0000e-03     2.1638e-01
2.0070e-02     1.0000e-03     1.9793e-01
2.2700e-02     1.0000e-03     1.7825e-01
2.5680e-02     1.0000e-03     1.5780e-01
2.9050e-02     1.0000e-03     1.3725e-01
3.2860e-02     1.0000e-03     1.1720e-01
3.7170e-02     1.0000e-03     9.8198e-02
4.2050e-02     1.0000e-03     8.0699e-02
4.7570e-02     1.0000e-03     6.5050e-02
5.3810e-02     1.0000e-03     5.1445e-02
6.0870e-02     1.0000e-03     3.9920e-02
6.8850e-02     1.0000e-03     3.0415e-02
7.7890e-02     1.0000e-03     2.2748e-02
8.8110e-02     1.0000e-03     1.6722e-02
9.9670e-02     1.0000e-03     1.2090e-02
1.1270e-01     1.0000e-03     8.6101e-03
1.2750e-01     1.0000e-03     6.0299e-03
1.4430e-01     1.0000e-03     4.1566e-03
1.6320e-01     1.0000e-03     2.8312e-03
1.8460e-01     1.0000e-03     1.9022e-03
2.0890e-01     1.0000e-03     1.2600e-03
2.3630e-01     1.0000e-03     8.2577e-04
2.6730e-01     1.0000e-03     5.3525e-04
3.0230e-01     1.0000e-03     3.4341e-04
3.4200e-01     1.0000e-03     2.1795e-04
3.8690e-01     1.0000e-03     1.3704e-04
4.3760e-01     1.0000e-03     8.5471e-05
4.9510e-01     1.0000e-03     5.2799e-05
5.6000e-01     1.0000e-03     3.2426e-05
6.3350e-01     1.0000e-03     1.9749e-05
7.1660e-01     1.0000e-03     1.1952e-05
8.1070e-01     1.0000e-03     7.1867e-06
9.1700e-01     1.0000e-03     4.2941e-06
1.0370e+00     1.0000e-03     2.5558e-06
1.1730e+00     1.0000e-03     1.5105e-06
1.3270e+00     1.0000e-03     8.8826e-07
1.5020e+00     1.0000e-03     5.1765e-07
1.6990e+00     1.0000e-03     3.0126e-07
1.9220e+00     1.0000e-03     1.7409e-07
2.1740e+00     1.0000e-03     1.0021e-07
2.4590e+00     1.0000e-03     5.7377e-08
2.7820e+00     1.0000e-03     3.2609e-08
3.1470e+00     1.0000e-03     1.8495e-08
3.5600e+00     1.0000e-03     1.0408e-08
4.0270e+00     1.0000e-03     5.8066e-09
4.5550e+00     1.0000e-03     3.2318e-09
5.1530e+00     1.0000e-03     1.7890e-09
5.8290e+00     1.0000e-03     9.8681e-10
6.5940e+00     1.0000e-03     5.4126e-10
7.4590e+00     1.0000e-03     2.9492e-10
8.4370e+00     1.0000e-03     1.5972e-10
9.5450e+00     1.0000e-03     8.5598e-11
1.0800e+01     1.0000e-03     4.5873e-11
1.2210e+01     1.0000e-03     2.4809e-11
1.3820e+01     1.0000e-03     1.3176e-11
1.5630e+01     1.0000e-03     6.9981e-12
1.7680e+01     1.0000e-03     3.6627e-12
2.0000e+01     1.0000e-03     1.9479e-12
