 Element: Ne
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  1
 No. of channels =    88
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     4.6511e-05
1.0000e-04     1.8160e-04     1.5310e-02
1.0000e-04     3.5320e-04     5.7617e-02
1.0000e-04     5.2480e-04     1.2613e-01
1.0000e-04     6.9650e-04     2.1957e-01
1.0000e-04     8.6810e-04     3.3601e-01
1.0000e-04     1.0400e-03     4.7353e-01
1.0000e-04     1.2110e-03     6.2850e-01
1.0000e-04     1.3830e-03     7.9979e-01
1.0000e-04     1.5550e-03     9.8346e-01
1.0000e-04     1.7260e-03     1.1752e+00
1.0000e-04     1.8980e-03     1.3740e+00
1.0000e-04     2.0690e-03     1.5743e+00
1.0000e-04     2.2410e-03     1.7756e+00
1.0000e-04     2.4130e-03     1.9735e+00
1.0000e-04     2.5840e-03     2.1644e+00
1.0000e-04     2.7560e-03     2.3481e+00
1.0000e-04     2.9270e-03     2.5202e+00
1.0000e-04     3.0990e-03     2.6810e+00
1.0000e-04     3.2710e-03     2.8280e+00
1.0000e-04     3.4420e-03     2.9591e+00
1.0000e-04     3.6140e-03     3.0751e+00
1.0000e-04     3.7860e-03     3.1747e+00
1.0000e-04     3.9570e-03     3.2569e+00
1.0000e-04     4.1290e-03     3.3229e+00
1.0000e-04     4.3000e-03     3.3720e+00
1.0000e-04     4.4720e-03     3.4051e+00
1.0000e-04     4.6440e-03     3.4224e+00
1.0000e-04     4.8150e-03     3.4247e+00
1.0000e-04     4.9870e-03     3.4128e+00
1.0000e-04     5.1580e-03     3.3876e+00
1.0000e-04     5.3300e-03     3.3499e+00
1.0000e-04     5.5020e-03     3.3007e+00
1.0000e-04     5.6730e-03     3.2413e+00
1.0000e-04     5.8450e-03     3.1722e+00
1.0000e-04     6.0170e-03     3.0947e+00
1.0000e-04     6.1880e-03     3.0102e+00
1.0000e-04     6.3600e-03     2.9189e+00
1.0000e-04     6.5310e-03     2.8228e+00
1.0000e-04     6.7030e-03     2.7215e+00
1.0000e-04     6.8750e-03     2.6167e+00
1.0000e-04     7.0460e-03     2.5098e+00
1.0000e-04     7.2180e-03     2.4004e+00
1.0000e-04     7.3890e-03     2.2904e+00
1.0000e-04     7.5610e-03     2.1795e+00
1.0000e-04     7.7330e-03     2.0687e+00
1.0000e-04     7.9040e-03     1.9595e+00
1.0000e-04     8.0760e-03     1.8510e+00
1.0000e-04     8.2480e-03     1.7445e+00
1.0000e-04     8.4190e-03     1.6409e+00
1.0000e-04     8.5910e-03     1.5394e+00
1.0000e-04     8.7620e-03     1.4416e+00
1.0000e-04     8.9340e-03     1.3466e+00
1.0000e-04     9.1060e-03     1.2551e+00
1.0000e-04     9.2770e-03     1.1679e+00
1.0000e-04     9.4490e-03     1.0841e+00
1.0000e-04     9.6210e-03     1.0044e+00
1.0000e-04     9.7920e-03     9.2904e-01
1.0000e-04     9.9640e-03     8.5734e-01
1.0000e-04     1.0140e-02     7.8817e-01
1.0000e-04     1.0310e-02     7.2533e-01
1.0000e-04     1.0480e-02     6.6634e-01
1.0000e-04     1.0650e-02     6.1109e-01
1.0000e-04     1.0820e-02     5.5949e-01
1.0000e-04     1.0990e-02     5.1141e-01
1.0000e-04     1.1170e-02     4.6418e-01
1.0000e-04     1.1340e-02     4.2292e-01
1.0000e-04     1.1510e-02     3.8473e-01
1.0000e-04     1.1680e-02     3.4948e-01
1.0000e-04     1.1850e-02     3.1699e-01
1.0000e-04     1.2020e-02     2.8712e-01
1.0000e-04     1.2190e-02     2.5971e-01
1.0000e-04     1.2370e-02     2.3319e-01
1.0000e-04     1.2540e-02     2.1035e-01
1.0000e-04     1.2710e-02     1.8950e-01
