 Element: Ne
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  1
 No. of channels =    88
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     4.6511e-05
1.0000e-04     1.0780e-05     5.4050e-05
1.0000e-04     1.1620e-05     6.2802e-05
1.0000e-04     1.2530e-05     7.3023e-05
1.0000e-04     1.3510e-05     8.4892e-05
1.0000e-04     1.4560e-05     9.8600e-05
1.0000e-04     1.5700e-05     1.1464e-04
1.0000e-04     1.6920e-05     1.3315e-04
1.0000e-04     1.8240e-05     1.5474e-04
1.0000e-04     1.9660e-05     1.7977e-04
1.0000e-04     2.1200e-05     2.0904e-04
1.0000e-04     2.2850e-05     2.4284e-04
1.0000e-04     2.4640e-05     2.8238e-04
1.0000e-04     2.6560e-05     3.2810e-04
1.0000e-04     2.8630e-05     3.8123e-04
1.0000e-04     3.0860e-05     4.4293e-04
1.0000e-04     3.3270e-05     5.1480e-04
1.0000e-04     3.5870e-05     5.9840e-04
1.0000e-04     3.8670e-05     6.9546e-04
1.0000e-04     4.1690e-05     8.0832e-04
1.0000e-04     4.4940e-05     9.3924e-04
1.0000e-04     4.8440e-05     1.0912e-03
1.0000e-04     5.2220e-05     1.2681e-03
1.0000e-04     5.6300e-05     1.4740e-03
1.0000e-04     6.0690e-05     1.7128e-03
1.0000e-04     6.5430e-05     1.9907e-03
1.0000e-04     7.0530e-05     2.3131e-03
1.0000e-04     7.6040e-05     2.6885e-03
1.0000e-04     8.1970e-05     3.1240e-03
1.0000e-04     8.8370e-05     3.6306e-03
1.0000e-04     9.5260e-05     4.2185e-03
1.0000e-04     1.0270e-04     4.9028e-03
1.0000e-04     1.1070e-04     5.6958e-03
1.0000e-04     1.1930e-04     6.6145e-03
1.0000e-04     1.2870e-04     7.6969e-03
1.0000e-04     1.3870e-04     8.9381e-03
1.0000e-04     1.4950e-04     1.0382e-02
1.0000e-04     1.6120e-04     1.2069e-02
1.0000e-04     1.7380e-04     1.4026e-02
1.0000e-04     1.8730e-04     1.6285e-02
1.0000e-04     2.0190e-04     1.8916e-02
1.0000e-04     2.1770e-04     2.1985e-02
1.0000e-04     2.3470e-04     2.5541e-02
1.0000e-04     2.5300e-04     2.9665e-02
1.0000e-04     2.7270e-04     3.4444e-02
1.0000e-04     2.9400e-04     4.0008e-02
1.0000e-04     3.1700e-04     4.6475e-02
1.0000e-04     3.4170e-04     5.3951e-02
1.0000e-04     3.6840e-04     6.2645e-02
1.0000e-04     3.9710e-04     7.2696e-02
1.0000e-04     4.2810e-04     8.4367e-02
1.0000e-04     4.6150e-04     9.7882e-02
1.0000e-04     4.9750e-04     1.1353e-01
1.0000e-04     5.3630e-04     1.3163e-01
1.0000e-04     5.7820e-04     1.5260e-01
1.0000e-04     6.2330e-04     1.7680e-01
1.0000e-04     6.7190e-04     2.0472e-01
1.0000e-04     7.2440e-04     2.3699e-01
1.0000e-04     7.8090e-04     2.7409e-01
1.0000e-04     8.4180e-04     3.1675e-01
1.0000e-04     9.0750e-04     3.6578e-01
1.0000e-04     9.7830e-04     4.2193e-01
1.0000e-04     1.0550e-03     4.8644e-01
1.0000e-04     1.1370e-03     5.5939e-01
1.0000e-04     1.2260e-03     6.4287e-01
1.0000e-04     1.3210e-03     7.3645e-01
1.0000e-04     1.4240e-03     8.4256e-01
1.0000e-04     1.5360e-03     9.6266e-01
1.0000e-04     1.6550e-03     1.0947e+00
1.0000e-04     1.7850e-03     1.2429e+00
1.0000e-04     1.9240e-03     1.4043e+00
1.0000e-04     2.0740e-03     1.5802e+00
1.0000e-04     2.2360e-03     1.7697e+00
1.0000e-04     2.4100e-03     1.9701e+00
1.0000e-04     2.5980e-03     2.1797e+00
1.0000e-04     2.8010e-03     2.3945e+00
1.0000e-04     3.0200e-03     2.6088e+00
1.0000e-04     3.2550e-03     2.8149e+00
1.0000e-04     3.5090e-03     3.0062e+00
1.0000e-04     3.7830e-03     3.1731e+00
1.0000e-04     4.0780e-03     3.3051e+00
1.0000e-04     4.3960e-03     3.3924e+00
1.0000e-04     4.7390e-03     3.4255e+00
1.0000e-04     5.1090e-03     3.3961e+00
1.0000e-04     5.5080e-03     3.2987e+00
1.0000e-04     5.9380e-03     3.1313e+00
1.0000e-04     6.4010e-03     2.8963e+00
1.0000e-04     6.9000e-03     2.6012e+00
1.0000e-04     7.4390e-03     2.2582e+00
1.0000e-04     8.0190e-03     1.8868e+00
1.0000e-04     8.6450e-03     1.5082e+00
1.0000e-04     9.3200e-03     1.1466e+00
1.0000e-04     1.0050e-02     8.2302e-01
1.0000e-04     1.0830e-02     5.5656e-01
1.0000e-04     1.1680e-02     3.4948e-01
1.0000e-04     1.2590e-02     2.0401e-01
1.0000e-04     1.3570e-02     1.0971e-01
1.0000e-04     1.4630e-02     5.3819e-02
1.0000e-04     1.5770e-02     2.4001e-02
1.0000e-04     1.7000e-02     9.6326e-03
1.1310e-04     1.0000e-05     4.6581e-05
1.1310e-04     1.0780e-05     5.4131e-05
1.1310e-04     1.1620e-05     6.2896e-05
1.1310e-04     1.2530e-05     7.3132e-05
1.1310e-04     1.3510e-05     8.5019e-05
1.1310e-04     1.4560e-05     9.8748e-05
1.1310e-04     1.5700e-05     1.1482e-04
1.1310e-04     1.6920e-05     1.3335e-04
1.1310e-04     1.8240e-05     1.5497e-04
1.1310e-04     1.9660e-05     1.8004e-04
1.1310e-04     2.1200e-05     2.0935e-04
1.1310e-04     2.2850e-05     2.4320e-04
1.1310e-04     2.4640e-05     2.8280e-04
1.1310e-04     2.6560e-05     3.2859e-04
1.1310e-04     2.8630e-05     3.8180e-04
1.1310e-04     3.0860e-05     4.4359e-04
1.1310e-04     3.3270e-05     5.1557e-04
1.1310e-04     3.5870e-05     5.9930e-04
1.1310e-04     3.8670e-05     6.9650e-04
1.1310e-04     4.1690e-05     8.0953e-04
1.1310e-04     4.4940e-05     9.4065e-04
1.1310e-04     4.8440e-05     1.0929e-03
1.1310e-04     5.2220e-05     1.2700e-03
1.1310e-04     5.6300e-05     1.4762e-03
1.1310e-04     6.0690e-05     1.7154e-03
1.1310e-04     6.5430e-05     1.9937e-03
1.1310e-04     7.0530e-05     2.3165e-03
1.1310e-04     7.6040e-05     2.6925e-03
1.1310e-04     8.1970e-05     3.1286e-03
1.1310e-04     8.8370e-05     3.6361e-03
1.1310e-04     9.5260e-05     4.2248e-03
1.1310e-04     1.0270e-04     4.9101e-03
1.1310e-04     1.1070e-04     5.7044e-03
1.1310e-04     1.1930e-04     6.6244e-03
1.1310e-04     1.2870e-04     7.7084e-03
1.1310e-04     1.3870e-04     8.9515e-03
1.1310e-04     1.4950e-04     1.0398e-02
1.1310e-04     1.6120e-04     1.2087e-02
1.1310e-04     1.7380e-04     1.4047e-02
1.1310e-04     1.8730e-04     1.6309e-02
1.1310e-04     2.0190e-04     1.8945e-02
1.1310e-04     2.1770e-04     2.2018e-02
1.1310e-04     2.3470e-04     2.5579e-02
1.1310e-04     2.5300e-04     2.9709e-02
1.1310e-04     2.7270e-04     3.4496e-02
1.1310e-04     2.9400e-04     4.0068e-02
1.1310e-04     3.1700e-04     4.6545e-02
1.1310e-04     3.4170e-04     5.4032e-02
1.1310e-04     3.6840e-04     6.2738e-02
1.1310e-04     3.9710e-04     7.2804e-02
1.1310e-04     4.2810e-04     8.4494e-02
1.1310e-04     4.6150e-04     9.8029e-02
1.1310e-04     4.9750e-04     1.1370e-01
1.1310e-04     5.3630e-04     1.3183e-01
1.1310e-04     5.7820e-04     1.5283e-01
1.1310e-04     6.2330e-04     1.7706e-01
1.1310e-04     6.7190e-04     2.0503e-01
1.1310e-04     7.2440e-04     2.3734e-01
1.1310e-04     7.8090e-04     2.7450e-01
1.1310e-04     8.4180e-04     3.1723e-01
1.1310e-04     9.0750e-04     3.6632e-01
1.1310e-04     9.7830e-04     4.2256e-01
1.1310e-04     1.0550e-03     4.8717e-01
1.1310e-04     1.1370e-03     5.6023e-01
1.1310e-04     1.2260e-03     6.4383e-01
1.1310e-04     1.3210e-03     7.3755e-01
1.1310e-04     1.4240e-03     8.4382e-01
1.1310e-04     1.5360e-03     9.6410e-01
1.1310e-04     1.6550e-03     1.0963e+00
1.1310e-04     1.7850e-03     1.2447e+00
1.1310e-04     1.9240e-03     1.4064e+00
1.1310e-04     2.0740e-03     1.5825e+00
1.1310e-04     2.2360e-03     1.7723e+00
1.1310e-04     2.4100e-03     1.9730e+00
1.1310e-04     2.5980e-03     2.1829e+00
1.1310e-04     2.8010e-03     2.3979e+00
1.1310e-04     3.0200e-03     2.6125e+00
1.1310e-04     3.2550e-03     2.8188e+00
1.1310e-04     3.5090e-03     3.0103e+00
1.1310e-04     3.7830e-03     3.1772e+00
1.1310e-04     4.0780e-03     3.3092e+00
1.1310e-04     4.3960e-03     3.3964e+00
1.1310e-04     4.7390e-03     3.4293e+00
1.1310e-04     5.1090e-03     3.3996e+00
1.1310e-04     5.5080e-03     3.3017e+00
1.1310e-04     5.9380e-03     3.1338e+00
1.1310e-04     6.4010e-03     2.8983e+00
1.1310e-04     6.9000e-03     2.6026e+00
1.1310e-04     7.4390e-03     2.2591e+00
1.1310e-04     8.0190e-03     1.8873e+00
