 Element: Ne
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    16
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     4.6512e-01
1.1310e-04     1.0000e-03     4.6581e-01
1.2800e-04     1.0000e-03     4.6660e-01
1.4480e-04     1.0000e-03     4.6749e-01
1.6380e-04     1.0000e-03     4.6849e-01
1.8520e-04     1.0000e-03     4.6960e-01
2.0950e-04     1.0000e-03     4.7086e-01
2.3700e-04     1.0000e-03     4.7228e-01
2.6810e-04     1.0000e-03     4.7387e-01
3.0330e-04     1.0000e-03     4.7566e-01
3.4310e-04     1.0000e-03     4.7765e-01
3.8820e-04     1.0000e-03     4.7989e-01
4.3910e-04     1.0000e-03     4.8238e-01
4.9670e-04     1.0000e-03     4.8516e-01
5.6190e-04     1.0000e-03     4.8825e-01
6.3560e-04     1.0000e-03     4.9168e-01
7.1900e-04     1.0000e-03     4.9547e-01
8.1340e-04     1.0000e-03     4.9965e-01
9.2010e-04     1.0000e-03     5.0425e-01
1.0410e-03     1.0000e-03     5.0928e-01
1.1770e-03     1.0000e-03     5.1473e-01
1.3320e-03     1.0000e-03     5.2067e-01
1.5070e-03     1.0000e-03     5.2704e-01
1.7040e-03     1.0000e-03     5.3380e-01
1.9280e-03     1.0000e-03     5.4096e-01
2.1810e-03     1.0000e-03     5.4840e-01
2.4670e-03     1.0000e-03     5.5604e-01
2.7910e-03     1.0000e-03     5.6372e-01
3.1570e-03     1.0000e-03     5.7125e-01
3.5710e-03     1.0000e-03     5.7838e-01
4.0400e-03     1.0000e-03     5.8480e-01
4.5700e-03     1.0000e-03     5.9013e-01
5.1700e-03     1.0000e-03     5.9393e-01
5.8480e-03     1.0000e-03     5.9570e-01
6.6150e-03     1.0000e-03     5.9489e-01
7.4830e-03     1.0000e-03     5.9092e-01
8.4650e-03     1.0000e-03     5.8322e-01
9.5760e-03     1.0000e-03     5.7126e-01
1.0830e-02     1.0000e-03     5.5468e-01
1.2250e-02     1.0000e-03     5.3315e-01
1.3860e-02     1.0000e-03     5.0658e-01
1.5680e-02     1.0000e-03     4.7525e-01
1.7740e-02     1.0000e-03     4.3964e-01
2.0070e-02     1.0000e-03     4.0054e-01
2.2700e-02     1.0000e-03     3.5910e-01
2.5680e-02     1.0000e-03     3.1638e-01
2.9050e-02     1.0000e-03     2.7376e-01
3.2860e-02     1.0000e-03     2.3253e-01
3.7170e-02     1.0000e-03     1.9379e-01
4.2050e-02     1.0000e-03     1.5840e-01
4.7570e-02     1.0000e-03     1.2702e-01
5.3810e-02     1.0000e-03     9.9968e-02
6.0870e-02     1.0000e-03     7.7227e-02
6.8850e-02     1.0000e-03     5.8606e-02
7.7890e-02     1.0000e-03     4.3684e-02
8.8110e-02     1.0000e-03     3.2025e-02
9.9670e-02     1.0000e-03     2.3105e-02
1.1270e-01     1.0000e-03     1.6432e-02
1.2750e-01     1.0000e-03     1.1500e-02
1.4430e-01     1.0000e-03     7.9266e-03
1.6320e-01     1.0000e-03     5.4022e-03
1.8460e-01     1.0000e-03     3.6336e-03
2.0890e-01     1.0000e-03     2.4109e-03
2.3630e-01     1.0000e-03     1.5833e-03
2.6730e-01     1.0000e-03     1.0288e-03
3.0230e-01     1.0000e-03     6.6189e-04
3.4200e-01     1.0000e-03     4.2133e-04
3.8690e-01     1.0000e-03     2.6573e-04
4.3760e-01     1.0000e-03     1.6625e-04
4.9510e-01     1.0000e-03     1.0301e-04
5.6000e-01     1.0000e-03     6.3446e-05
6.3350e-01     1.0000e-03     3.8745e-05
7.1660e-01     1.0000e-03     2.3506e-05
8.1070e-01     1.0000e-03     1.4164e-05
9.1700e-01     1.0000e-03     8.4780e-06
1.0370e+00     1.0000e-03     5.0533e-06
1.1730e+00     1.0000e-03     2.9897e-06
1.3270e+00     1.0000e-03     1.7594e-06
1.5020e+00     1.0000e-03     1.0257e-06
1.6990e+00     1.0000e-03     5.9704e-07
1.9220e+00     1.0000e-03     3.4496e-07
2.1740e+00     1.0000e-03     1.9849e-07
2.4590e+00     1.0000e-03     1.1360e-07
2.7820e+00     1.0000e-03     6.4516e-08
3.1470e+00     1.0000e-03     3.6565e-08
3.5600e+00     1.0000e-03     2.0560e-08
4.0270e+00     1.0000e-03     1.1460e-08
4.5550e+00     1.0000e-03     6.3726e-09
5.1530e+00     1.0000e-03     3.5245e-09
5.8290e+00     1.0000e-03     1.9422e-09
6.5940e+00     1.0000e-03     1.0643e-09
7.4590e+00     1.0000e-03     5.7936e-10
8.4370e+00     1.0000e-03     3.1346e-10
9.5450e+00     1.0000e-03     1.6784e-10
1.0800e+01     1.0000e-03     8.9859e-11
1.2210e+01     1.0000e-03     4.8548e-11
1.3820e+01     1.0000e-03     2.5758e-11
1.5630e+01     1.0000e-03     1.3666e-11
1.7680e+01     1.0000e-03     7.1446e-12
2.0000e+01     1.0000e-03     3.7948e-12
