 Element: Ne
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  1
 No. of channels =    46
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     3.2020e-06
1.0000e-04     1.8160e-04     1.0557e-03
1.0000e-04     3.5320e-04     3.9906e-03
1.0000e-04     5.2480e-04     8.7995e-03
1.0000e-04     6.9650e-04     1.5473e-02
1.0000e-04     8.6810e-04     2.3981e-02
1.0000e-04     1.0400e-03     3.4319e-02
1.0000e-04     1.2110e-03     4.6367e-02
1.0000e-04     1.3830e-03     6.0213e-02
1.0000e-04     1.5550e-03     7.5730e-02
1.0000e-04     1.7260e-03     9.2743e-02
1.0000e-04     1.8980e-03     1.1137e-01
1.0000e-04     2.0690e-03     1.3128e-01
1.0000e-04     2.2410e-03     1.5262e-01
1.0000e-04     2.4130e-03     1.7513e-01
1.0000e-04     2.5840e-03     1.9853e-01
1.0000e-04     2.7560e-03     2.2296e-01
1.0000e-04     2.9270e-03     2.4796e-01
1.0000e-04     3.0990e-03     2.7365e-01
1.0000e-04     3.2710e-03     2.9971e-01
1.0000e-04     3.4420e-03     3.2580e-01
1.0000e-04     3.6140e-03     3.5202e-01
1.0000e-04     3.7860e-03     3.7803e-01
1.0000e-04     3.9570e-03     4.0348e-01
1.0000e-04     4.1290e-03     4.2846e-01
1.0000e-04     4.3000e-03     4.5249e-01
1.0000e-04     4.4720e-03     4.7565e-01
1.0000e-04     4.6440e-03     4.9761e-01
1.0000e-04     4.8150e-03     5.1808e-01
1.0000e-04     4.9870e-03     5.3710e-01
1.0000e-04     5.1580e-03     5.5431e-01
1.0000e-04     5.3300e-03     5.6975e-01
1.0000e-04     5.5020e-03     5.8320e-01
1.0000e-04     5.6730e-03     5.9446e-01
1.0000e-04     5.8450e-03     6.0358e-01
1.0000e-04     6.0170e-03     6.1043e-01
1.0000e-04     6.1880e-03     6.1492e-01
1.0000e-04     6.3600e-03     6.1709e-01
1.0000e-04     6.5310e-03     6.1692e-01
1.0000e-04     6.7030e-03     6.1443e-01
1.0000e-04     6.8750e-03     6.0968e-01
1.0000e-04     7.0460e-03     6.0278e-01
1.0000e-04     7.2180e-03     5.9375e-01
1.0000e-04     7.3890e-03     5.8283e-01
1.0000e-04     7.5610e-03     5.7001e-01
1.0000e-04     7.7330e-03     5.5552e-01
1.0000e-04     7.9040e-03     5.3961e-01
1.0000e-04     8.0760e-03     5.2229e-01
1.0000e-04     8.2480e-03     5.0382e-01
1.0000e-04     8.4190e-03     4.8451e-01
1.0000e-04     8.5910e-03     4.6432e-01
1.0000e-04     8.7620e-03     4.4367e-01
1.0000e-04     8.9340e-03     4.2250e-01
1.0000e-04     9.1060e-03     4.0110e-01
1.0000e-04     9.2770e-03     3.7975e-01
1.0000e-04     9.4490e-03     3.5836e-01
1.0000e-04     9.6210e-03     3.3720e-01
1.0000e-04     9.7920e-03     3.1650e-01
1.0000e-04     9.9640e-03     2.9615e-01
1.0000e-04     1.0140e-02     2.7590e-01
1.0000e-04     1.0310e-02     2.5698e-01
1.0000e-04     1.0480e-02     2.3875e-01
1.0000e-04     1.0650e-02     2.2127e-01
1.0000e-04     1.0820e-02     2.0458e-01
1.0000e-04     1.0990e-02     1.8871e-01
1.0000e-04     1.1170e-02     1.7282e-01
1.0000e-04     1.1340e-02     1.5868e-01
1.0000e-04     1.1510e-02     1.4538e-01
1.0000e-04     1.1680e-02     1.3292e-01
1.0000e-04     1.1850e-02     1.2128e-01
1.0000e-04     1.2020e-02     1.1044e-01
1.0000e-04     1.2190e-02     1.0038e-01
1.0000e-04     1.2370e-02     9.0536e-02
1.0000e-04     1.2540e-02     8.1976e-02
1.0000e-04     1.2710e-02     7.4095e-02
1.0000e-04     1.2880e-02     6.6858e-02
1.0000e-04     1.3050e-02     6.0228e-02
1.0000e-04     1.3220e-02     5.4169e-02
1.0000e-04     1.3400e-02     4.8335e-02
1.0000e-04     1.3570e-02     4.3335e-02
1.0000e-04     1.3740e-02     3.8796e-02
1.0000e-04     1.3910e-02     3.4683e-02
1.0000e-04     1.4080e-02     3.0963e-02
1.0000e-04     1.4250e-02     2.7606e-02
1.0000e-04     1.4430e-02     2.4412e-02
1.0000e-04     1.4600e-02     2.1708e-02
1.0000e-04     1.4770e-02     1.9280e-02
1.0000e-04     1.4940e-02     1.7103e-02
1.0000e-04     1.5110e-02     1.5155e-02
1.0000e-04     1.5280e-02     1.3414e-02
1.0000e-04     1.5460e-02     1.1774e-02
1.0000e-04     1.5630e-02     1.0398e-02
1.0000e-04     1.5800e-02     9.1740e-03
1.0000e-04     1.5970e-02     8.0860e-03
1.0000e-04     1.6140e-02     7.1202e-03
1.0000e-04     1.6310e-02     6.2640e-03
1.0000e-04     1.6490e-02     5.4639e-03
1.0000e-04     1.6660e-02     4.7981e-03
1.0000e-04     1.6830e-02     4.2098e-03
1.0000e-04     1.7000e-02     3.6905e-03
1.1310e-04     1.0000e-05     3.1997e-06
1.1310e-04     1.8160e-04     1.0550e-03
1.1310e-04     3.5320e-04     3.9878e-03
1.1310e-04     5.2480e-04     8.7933e-03
1.1310e-04     6.9650e-04     1.5462e-02
1.1310e-04     8.6810e-04     2.3964e-02
1.1310e-04     1.0400e-03     3.4294e-02
1.1310e-04     1.2110e-03     4.6333e-02
1.1310e-04     1.3830e-03     6.0168e-02
1.1310e-04     1.5550e-03     7.5674e-02
1.1310e-04     1.7260e-03     9.2674e-02
1.1310e-04     1.8980e-03     1.1128e-01
1.1310e-04     2.0690e-03     1.3118e-01
1.1310e-04     2.2410e-03     1.5250e-01
1.1310e-04     2.4130e-03     1.7499e-01
1.1310e-04     2.5840e-03     1.9838e-01
1.1310e-04     2.7560e-03     2.2278e-01
1.1310e-04     2.9270e-03     2.4776e-01
1.1310e-04     3.0990e-03     2.7343e-01
1.1310e-04     3.2710e-03     2.9946e-01
1.1310e-04     3.4420e-03     3.2552e-01
1.1310e-04     3.6140e-03     3.5172e-01
1.1310e-04     3.7860e-03     3.7770e-01
1.1310e-04     3.9570e-03     4.0312e-01
1.1310e-04     4.1290e-03     4.2808e-01
1.1310e-04     4.3000e-03     4.5208e-01
1.1310e-04     4.4720e-03     4.7522e-01
1.1310e-04     4.6440e-03     4.9716e-01
1.1310e-04     4.8150e-03     5.1760e-01
1.1310e-04     4.9870e-03     5.3661e-01
1.1310e-04     5.1580e-03     5.5380e-01
1.1310e-04     5.3300e-03     5.6923e-01
1.1310e-04     5.5020e-03     5.8266e-01
1.1310e-04     5.6730e-03     5.9392e-01
1.1310e-04     5.8450e-03     6.0303e-01
1.1310e-04     6.0170e-03     6.0987e-01
1.1310e-04     6.1880e-03     6.1437e-01
1.1310e-04     6.3600e-03     6.1654e-01
1.1310e-04     6.5310e-03     6.1638e-01
1.1310e-04     6.7030e-03     6.1390e-01
1.1310e-04     6.8750e-03     6.0916e-01
1.1310e-04     7.0460e-03     6.0227e-01
1.1310e-04     7.2180e-03     5.9326e-01
1.1310e-04     7.3890e-03     5.8235e-01
1.1310e-04     7.5610e-03     5.6955e-01
1.1310e-04     7.7330e-03     5.5507e-01
1.1310e-04     7.9040e-03     5.3919e-01
1.1310e-04     8.0760e-03     5.2189e-01
1.1310e-04     8.2480e-03     5.0344e-01
1.1310e-04     8.4190e-03     4.8416e-01
1.1310e-04     8.5910e-03     4.6399e-01
1.1310e-04     8.7620e-03     4.4336e-01
1.1310e-04     8.9340e-03     4.2221e-01
1.1310e-04     9.1060e-03     4.0082e-01
1.1310e-04     9.2770e-03     3.7949e-01
1.1310e-04     9.4490e-03     3.5812e-01
1.1310e-04     9.6210e-03     3.3698e-01
1.1310e-04     9.7920e-03     3.1630e-01
1.1310e-04     9.9640e-03     2.9596e-01
1.1310e-04     1.0140e-02     2.7573e-01
1.1310e-04     1.0310e-02     2.5682e-01
1.1310e-04     1.0480e-02     2.3861e-01
1.1310e-04     1.0650e-02     2.2114e-01
1.1310e-04     1.0820e-02     2.0446e-01
1.1310e-04     1.0990e-02     1.8860e-01
1.1310e-04     1.1170e-02     1.7272e-01
1.1310e-04     1.1340e-02     1.5859e-01
1.1310e-04     1.1510e-02     1.4530e-01
1.1310e-04     1.1680e-02     1.3284e-01
1.1310e-04     1.1850e-02     1.2121e-01
1.1310e-04     1.2020e-02     1.1038e-01
1.1310e-04     1.2190e-02     1.0032e-01
1.1310e-04     1.2370e-02     9.0484e-02
1.1310e-04     1.2540e-02     8.1929e-02
1.1310e-04     1.2710e-02     7.4053e-02
1.1310e-04     1.2880e-02     6.6820e-02
1.1310e-04     1.3050e-02     6.0194e-02
1.1310e-04     1.3220e-02     5.4138e-02
1.1310e-04     1.3400e-02     4.8307e-02
1.1310e-04     1.3570e-02     4.3310e-02
1.1310e-04     1.3740e-02     3.8773e-02
1.1310e-04     1.3910e-02     3.4663e-02
1.1310e-04     1.4080e-02     3.0945e-02
1.1310e-04     1.4250e-02     2.7590e-02
1.1310e-04     1.4430e-02     2.4398e-02
1.1310e-04     1.4600e-02     2.1695e-02
1.1310e-04     1.4770e-02     1.9268e-02
1.1310e-04     1.4940e-02     1.7093e-02
1.1310e-04     1.5110e-02     1.5146e-02
1.1310e-04     1.5280e-02     1.3405e-02
1.1310e-04     1.5460e-02     1.1766e-02
1.1310e-04     1.5630e-02     1.0392e-02
1.1310e-04     1.5800e-02     9.1683e-03
1.1310e-04     1.5970e-02     8.0809e-03
1.1310e-04     1.6140e-02     7.1157e-03
1.1310e-04     1.6310e-02     6.2600e-03
1.1310e-04     1.6490e-02     5.4604e-03
1.1310e-04     1.6660e-02     4.7949e-03
1.1310e-04     1.6830e-02     4.2070e-03
1.1310e-04     1.7000e-02     3.6881e-03
1.2800e-04     1.0000e-05     3.1972e-06
1.2800e-04     1.8160e-04     1.0541e-03
1.2800e-04     3.5320e-04     3.9846e-03
1.2800e-04     5.2480e-04     8.7862e-03
1.2800e-04     6.9650e-04     1.5449e-02
1.2800e-04     8.6810e-04     2.3944e-02
1.2800e-04     1.0400e-03     3.4266e-02
1.2800e-04     1.2110e-03     4.6295e-02
1.2800e-04     1.3830e-03     6.0118e-02
1.2800e-04     1.5550e-03     7.5610e-02
1.2800e-04     1.7260e-03     9.2595e-02
1.2800e-04     1.8980e-03     1.1119e-01
1.2800e-04     2.0690e-03     1.3107e-01
1.2800e-04     2.2410e-03     1.5236e-01
1.2800e-04     2.4130e-03     1.7483e-01
1.2800e-04     2.5840e-03     1.9820e-01
1.2800e-04     2.7560e-03     2.2258e-01
1.2800e-04     2.9270e-03     2.4753e-01
1.2800e-04     3.0990e-03     2.7317e-01
1.2800e-04     3.2710e-03     2.9918e-01
1.2800e-04     3.4420e-03     3.2521e-01
1.2800e-04     3.6140e-03     3.5137e-01
1.2800e-04     3.7860e-03     3.7733e-01
1.2800e-04     3.9570e-03     4.0272e-01
1.2800e-04     4.1290e-03     4.2765e-01
1.2800e-04     4.3000e-03     4.5162e-01
1.2800e-04     4.4720e-03     4.7474e-01
1.2800e-04     4.6440e-03     4.9665e-01
1.2800e-04     4.8150e-03     5.1707e-01
1.2800e-04     4.9870e-03     5.3605e-01
1.2800e-04     5.1580e-03     5.5322e-01
1.2800e-04     5.3300e-03     5.6864e-01
1.2800e-04     5.5020e-03     5.8205e-01
1.2800e-04     5.6730e-03     5.9330e-01
1.2800e-04     5.8450e-03     6.0241e-01
1.2800e-04     6.0170e-03     6.0925e-01
1.2800e-04     6.1880e-03     6.1374e-01
1.2800e-04     6.3600e-03     6.1592e-01
1.2800e-04     6.5310e-03     6.1576e-01
1.2800e-04     6.7030e-03     6.1329e-01
1.2800e-04     6.8750e-03     6.0856e-01
1.2800e-04     7.0460e-03     6.0169e-01
1.2800e-04     7.2180e-03     5.9269e-01
1.2800e-04     7.3890e-03     5.8180e-01
1.2800e-04     7.5610e-03     5.6902e-01
1.2800e-04     7.7330e-03     5.5457e-01
1.2800e-04     7.9040e-03     5.3871e-01
1.2800e-04     8.0760e-03     5.2144e-01
1.2800e-04     8.2480e-03     5.0301e-01
1.2800e-04     8.4190e-03     4.8375e-01
1.2800e-04     8.5910e-03     4.6361e-01
1.2800e-04     8.7620e-03     4.4300e-01
1.2800e-04     8.9340e-03     4.2187e-01
1.2800e-04     9.1060e-03     4.0051e-01
1.2800e-04     9.2770e-03     3.7920e-01
1.2800e-04     9.4490e-03     3.5786e-01
