 Element: Ne
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions = 4
 No. of channels = 226
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     7.2366e-05
1.0000e-04     1.8160e-04     2.3823e-02
1.0000e-04     3.5320e-04     8.9668e-02
1.0000e-04     5.2480e-04     1.9636e-01
1.0000e-04     6.9650e-04     3.4196e-01
1.0000e-04     8.6810e-04     5.2360e-01
1.0000e-04     1.0400e-03     7.3840e-01
1.0000e-04     1.2110e-03     9.8082e-01
1.0000e-04     1.3830e-03     1.2493e+00
1.0000e-04     1.5550e-03     1.5378e+00
1.0000e-04     1.7260e-03     1.8397e+00
1.0000e-04     1.8980e-03     2.1537e+00
1.0000e-04     2.0690e-03     2.4713e+00
1.0000e-04     2.2410e-03     2.7914e+00
1.0000e-04     2.4130e-03     3.1079e+00
1.0000e-04     2.5840e-03     3.4147e+00
1.0000e-04     2.7560e-03     3.7116e+00
1.0000e-04     2.9270e-03     3.9919e+00
1.0000e-04     3.0990e-03     4.2560e+00
1.0000e-04     3.2710e-03     4.4997e+00
1.0000e-04     3.4420e-03     4.7200e+00
1.0000e-04     3.6140e-03     4.9178e+00
1.0000e-04     3.7860e-03     5.0908e+00
1.0000e-04     3.9570e-03     5.2376e+00
1.0000e-04     4.1290e-03     5.3597e+00
1.0000e-04     4.3000e-03     5.4556e+00
1.0000e-04     4.4720e-03     5.5270e+00
1.0000e-04     4.6440e-03     5.5738e+00
1.0000e-04     4.8150e-03     5.5968e+00
1.0000e-04     4.9870e-03     5.5972e+00
1.0000e-04     5.1580e-03     5.5762e+00
1.0000e-04     5.3300e-03     5.5348e+00
1.0000e-04     5.5020e-03     5.4744e+00
1.0000e-04     5.6730e-03     5.3969e+00
1.0000e-04     5.8450e-03     5.3028e+00
1.0000e-04     6.0170e-03     5.1940e+00
1.0000e-04     6.1880e-03     5.0727e+00
1.0000e-04     6.3600e-03     4.9390e+00
1.0000e-04     6.5310e-03     4.7958e+00
1.0000e-04     6.7030e-03     4.6429e+00
1.0000e-04     6.8750e-03     4.4825e+00
1.0000e-04     7.0460e-03     4.3169e+00
1.0000e-04     7.2180e-03     4.1455e+00
1.0000e-04     7.3890e-03     3.9716e+00
1.0000e-04     7.5610e-03     3.7942e+00
1.0000e-04     7.7330e-03     3.6156e+00
1.0000e-04     7.9040e-03     3.4379e+00
1.0000e-04     8.0760e-03     3.2600e+00
1.0000e-04     8.2480e-03     3.0837e+00
1.0000e-04     8.4190e-03     2.9111e+00
1.0000e-04     8.5910e-03     2.7408e+00
1.0000e-04     8.7620e-03     2.5754e+00
1.0000e-04     8.9340e-03     2.4136e+00
1.0000e-04     9.1060e-03     2.2570e+00
1.0000e-04     9.2770e-03     2.1067e+00
1.0000e-04     9.4490e-03     1.9614e+00
1.0000e-04     9.6210e-03     1.8223e+00
1.0000e-04     9.7920e-03     1.6903e+00
1.0000e-04     9.9640e-03     1.5639e+00
