 Element: Ne
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions = 4
 No. of channels = 226
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     7.2366e-05
1.0000e-04     1.0780e-05     8.4095e-05
1.0000e-04     1.1620e-05     9.7711e-05
1.0000e-04     1.2530e-05     1.1361e-04
1.0000e-04     1.3510e-05     1.3208e-04
1.0000e-04     1.4560e-05     1.5341e-04
1.0000e-04     1.5700e-05     1.7837e-04
1.0000e-04     1.6920e-05     2.0717e-04
1.0000e-04     1.8240e-05     2.4076e-04
1.0000e-04     1.9660e-05     2.7970e-04
1.0000e-04     2.1200e-05     3.2523e-04
1.0000e-04     2.2850e-05     3.7783e-04
1.0000e-04     2.4640e-05     4.3934e-04
1.0000e-04     2.6560e-05     5.1048e-04
1.0000e-04     2.8630e-05     5.9314e-04
1.0000e-04     3.0860e-05     6.8914e-04
1.0000e-04     3.3270e-05     8.0097e-04
1.0000e-04     3.5870e-05     9.3104e-04
1.0000e-04     3.8670e-05     1.0821e-03
1.0000e-04     4.1690e-05     1.2576e-03
1.0000e-04     4.4940e-05     1.4613e-03
1.0000e-04     4.8440e-05     1.6978e-03
1.0000e-04     5.2220e-05     1.9731e-03
1.0000e-04     5.6300e-05     2.2934e-03
1.0000e-04     6.0690e-05     2.6649e-03
1.0000e-04     6.5430e-05     3.0973e-03
1.0000e-04     7.0530e-05     3.5989e-03
1.0000e-04     7.6040e-05     4.1830e-03
1.0000e-04     8.1970e-05     4.8606e-03
1.0000e-04     8.8370e-05     5.6489e-03
1.0000e-04     9.5260e-05     6.5636e-03
1.0000e-04     1.0270e-04     7.6283e-03
1.0000e-04     1.1070e-04     8.8622e-03
1.0000e-04     1.1930e-04     1.0292e-02
1.0000e-04     1.2870e-04     1.1976e-02
1.0000e-04     1.3870e-04     1.3907e-02
1.0000e-04     1.4950e-04     1.6154e-02
1.0000e-04     1.6120e-04     1.8778e-02
1.0000e-04     1.7380e-04     2.1823e-02
1.0000e-04     1.8730e-04     2.5339e-02
1.0000e-04     2.0190e-04     2.9434e-02
1.0000e-04     2.1770e-04     3.4209e-02
1.0000e-04     2.3470e-04     3.9743e-02
1.0000e-04     2.5300e-04     4.6160e-02
1.0000e-04     2.7270e-04     5.3599e-02
