 Element: Ne
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions = 4
 No. of channels = 46
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     7.2366e-01
1.1310e-04     1.0000e-03     7.2467e-01
1.2800e-04     1.0000e-03     7.2580e-01
1.4480e-04     1.0000e-03     7.2708e-01
1.6380e-04     1.0000e-03     7.2852e-01
1.8520e-04     1.0000e-03     7.3013e-01
2.0950e-04     1.0000e-03     7.3195e-01
2.3700e-04     1.0000e-03     7.3399e-01
2.6810e-04     1.0000e-03     7.3628e-01
3.0330e-04     1.0000e-03     7.3885e-01
3.4310e-04     1.0000e-03     7.4173e-01
3.8820e-04     1.0000e-03     7.4495e-01
4.3910e-04     1.0000e-03     7.4854e-01
4.9670e-04     1.0000e-03     7.5255e-01
5.6190e-04     1.0000e-03     7.5700e-01
6.3560e-04     1.0000e-03     7.6193e-01
7.1900e-04     1.0000e-03     7.6739e-01
8.1340e-04     1.0000e-03     7.7342e-01
9.2010e-04     1.0000e-03     7.8003e-01
1.0410e-03     1.0000e-03     7.8727e-01
1.1770e-03     1.0000e-03     7.9511e-01
1.3320e-03     1.0000e-03     8.0366e-01
1.5070e-03     1.0000e-03     8.1281e-01
1.7040e-03     1.0000e-03     8.2252e-01
1.9280e-03     1.0000e-03     8.3280e-01
2.1810e-03     1.0000e-03     8.4349e-01
2.4670e-03     1.0000e-03     8.5443e-01
2.7910e-03     1.0000e-03     8.6544e-01
3.1570e-03     1.0000e-03     8.7620e-01
3.5710e-03     1.0000e-03     8.8637e-01
4.0400e-03     1.0000e-03     8.9550e-01
4.5700e-03     1.0000e-03     9.0301e-01
5.1700e-03     1.0000e-03     9.0828e-01
5.8480e-03     1.0000e-03     9.1057e-01
6.6150e-03     1.0000e-03     9.0907e-01
7.4830e-03     1.0000e-03     9.0292e-01
8.4650e-03     1.0000e-03     8.9131e-01
9.5760e-03     1.0000e-03     8.7342e-01
1.0830e-02     1.0000e-03     8.4871e-01
1.2250e-02     1.0000e-03     8.1669e-01
1.3860e-02     1.0000e-03     7.7719e-01
1.5680e-02     1.0000e-03     7.3058e-01
1.7740e-02     1.0000e-03     6.7754e-01
2.0070e-02     1.0000e-03     6.1920e-01
2.2700e-02     1.0000e-03     5.5720e-01
2.5680e-02     1.0000e-03     4.9309e-01
2.9050e-02     1.0000e-03     4.2890e-01
3.2860e-02     1.0000e-03     3.6652e-01
3.7170e-02     1.0000e-03     3.0762e-01
4.2050e-02     1.0000e-03     2.5352e-01
4.7570e-02     1.0000e-03     2.0523e-01
5.3810e-02     1.0000e-03     1.6330e-01
6.0870e-02     1.0000e-03     1.2776e-01
6.8850e-02     1.0000e-03     9.8384e-02
7.7890e-02     1.0000e-03     7.4596e-02
8.8110e-02     1.0000e-03     5.5782e-02
9.9670e-02     1.0000e-03     4.1186e-02
1.1270e-01     1.0000e-03     3.0088e-02
1.2750e-01     1.0000e-03     2.1732e-02
1.4430e-01     1.0000e-03     1.5545e-02
1.6320e-01     1.0000e-03     1.1062e-02
1.8460e-01     1.0000e-03     7.8281e-03
2.0890e-01     1.0000e-03     5.5141e-03
2.3630e-01     1.0000e-03     3.8835e-03
2.6730e-01     1.0000e-03     2.7379e-03
3.0230e-01     1.0000e-03     1.9371e-03
3.4200e-01     1.0000e-03     1.3764e-03
3.8690e-01     1.0000e-03     9.8454e-04
4.3760e-01     1.0000e-03     7.1013e-04
4.9510e-01     1.0000e-03     5.1582e-04
5.6000e-01     1.0000e-03     3.7798e-04
6.3350e-01     1.0000e-03     2.7855e-04
7.1660e-01     1.0000e-03     2.0631e-04
8.1070e-01     1.0000e-03     1.5316e-04
9.1700e-01     1.0000e-03     1.1372e-04
1.0370e+00     1.0000e-03     8.4294e-05
1.1730e+00     1.0000e-03     6.2123e-05
1.3270e+00     1.0000e-03     4.5414e-05
1.5020e+00     1.0000e-03     3.2928e-05
1.6990e+00     1.0000e-03     2.3665e-05
1.9220e+00     1.0000e-03     1.6863e-05
2.1740e+00     1.0000e-03     1.1870e-05
2.4590e+00     1.0000e-03     8.2504e-06
2.7820e+00     1.0000e-03     5.6781e-06
3.1470e+00     1.0000e-03     3.8558e-06
3.5600e+00     1.0000e-03     2.5921e-06
4.0270e+00     1.0000e-03     1.7311e-06
4.5550e+00     1.0000e-03     1.1398e-06
5.1530e+00     1.0000e-03     7.4326e-07
5.8290e+00     1.0000e-03     4.7820e-07
6.5940e+00     1.0000e-03     3.0571e-07
7.4590e+00     1.0000e-03     1.9395e-07
8.4370e+00     1.0000e-03     1.2213e-07
9.5450e+00     1.0000e-03     7.6724e-08
1.0800e+01     1.0000e-03     4.7662e-08
1.2210e+01     1.0000e-03     2.9161e-08
1.3820e+01     1.0000e-03     1.7793e-08
1.5630e+01     1.0000e-03     1.0833e-08
1.7680e+01     1.0000e-03     6.6314e-09
2.0000e+01     1.0000e-03     3.9417e-09
