 Element: Si
 Maximum L = 10
 No. of velocities = 100
------------------------------------

   v               |<i|e^(ivz)|i>|^2
   0.1000000E-03   0.9984491E+00
   0.2202000E-03   0.9925036E+00
   0.3404000E-03   0.9821833E+00
   0.4606000E-03   0.9676316E+00
   0.5808000E-03   0.9490490E+00
   0.7010000E-03   0.9266877E+00
   0.8212000E-03   0.9008461E+00
   0.9414000E-03   0.8718620E+00
   0.1062000E-02   0.8399946E+00
   0.1182000E-02   0.8059077E+00
   0.1302000E-02   0.7698554E+00
   0.1422000E-02   0.7322504E+00
   0.1542000E-02   0.6935045E+00
   0.1663000E-02   0.6536899E+00
   0.1783000E-02   0.6138554E+00
   0.1903000E-02   0.5740409E+00
   0.2023000E-02   0.5345867E+00
   0.2143000E-02   0.4958026E+00
   0.2264000E-02   0.4576544E+00
   0.2384000E-02   0.4210150E+00
   0.2504000E-02   0.3857689E+00
   0.2624000E-02   0.3520838E+00
   0.2744000E-02   0.3200911E+00
   0.2865000E-02   0.2896439E+00
   0.2985000E-02   0.2613103E+00
   0.3105000E-02   0.2348655E+00
   0.3225000E-02   0.2103164E+00
   0.3345000E-02   0.1876462E+00
   0.3466000E-02   0.1666511E+00
   0.3586000E-02   0.1476221E+00
   0.3706000E-02   0.1303083E+00
   0.3826000E-02   0.1146280E+00
   0.3946000E-02   0.1004916E+00
   0.4067000E-02   0.8770311E-01
   0.4187000E-02   0.7637391E-01
   0.4307000E-02   0.6629154E-01
   0.4427000E-02   0.5735544E-01
   0.4547000E-02   0.4946691E-01
   0.4668000E-02   0.4247623E-01
   0.4788000E-02   0.3640671E-01
   0.4908000E-02   0.3110991E-01
   0.5028000E-02   0.2650431E-01
   0.5148000E-02   0.2251400E-01
   0.5269000E-02   0.1904225E-01
   0.5389000E-02   0.1608171E-01
   0.5509000E-02   0.1354301E-01
   0.5629000E-02   0.1137321E-01
   0.5749000E-02   0.9524667E-02
   0.5870000E-02   0.7942801E-02
   0.5990000E-02   0.6615639E-02
   0.6110000E-02   0.5495537E-02
   0.6230000E-02   0.4553032E-02
   0.6351000E-02   0.3756296E-02
   0.6471000E-02   0.3095842E-02
   0.6591000E-02   0.2544965E-02
   0.6711000E-02   0.2086786E-02
   0.6831000E-02   0.1706770E-02
   0.6952000E-02   0.1390078E-02
   0.7072000E-02   0.1131228E-02
   0.7192000E-02   0.9182940E-03
   0.7312000E-02   0.7435979E-03
   0.7432000E-02   0.6006522E-03
   0.7553000E-02   0.4831181E-03
   0.7673000E-02   0.3883234E-03
   0.7793000E-02   0.3113632E-03
   0.7913000E-02   0.2490429E-03
   0.8033000E-02   0.1987068E-03
   0.8154000E-02   0.1578517E-03
   0.8274000E-02   0.1253234E-03
   0.8394000E-02   0.9925091E-04
   0.8514000E-02   0.7840603E-04
   0.8634000E-02   0.6178298E-04
   0.8755000E-02   0.4846259E-04
   0.8875000E-02   0.3799220E-04
   0.8995000E-02   0.2970654E-04
   0.9115000E-02   0.2316669E-04
   0.9235000E-02   0.1801826E-04
   0.9356000E-02   0.1394615E-04
   0.9476000E-02   0.1078711E-04
   0.9596000E-02   0.8320032E-05
   0.9716000E-02   0.6398614E-05
   0.9836000E-02   0.4906322E-05
   0.9957000E-02   0.3742155E-05
   0.1008000E-01   0.2832164E-05
   0.1020000E-01   0.2150979E-05
   0.1032000E-01   0.1628135E-05
   0.1044000E-01   0.1228073E-05
   0.1056000E-01   0.9229406E-06
   0.1068000E-01   0.6909825E-06
   0.1080000E-01   0.5152554E-06
   0.1092000E-01   0.3826026E-06
   0.1104000E-01   0.2828382E-06
   0.1116000E-01   0.2081005E-06
   0.1128000E-01   0.1523406E-06
   0.1140000E-01   0.1109193E-06
   0.1152000E-01   0.8029039E-07
   0.1164000E-01   0.5775259E-07
   0.1176000E-01   0.4125526E-07
   0.1188000E-01   0.2924758E-07
   0.1200000E-01   0.2056119E-07
