 Element: Si
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-04     3.3928e-06
5.6000e-01     2.2020e-04     1.6453e-05
5.6000e-01     3.4040e-04     3.9324e-05
5.6000e-01     4.6060e-04     7.2017e-05
5.6000e-01     5.8080e-04     1.1455e-04
5.6000e-01     7.0100e-04     1.6693e-04
5.6000e-01     8.2120e-04     2.2920e-04
5.6000e-01     9.4140e-04     3.0137e-04
5.6000e-01     1.0620e-03     3.8378e-04
5.6000e-01     1.1820e-03     4.7574e-04
5.6000e-01     1.3020e-03     5.7769e-04
5.6000e-01     1.4220e-03     6.8967e-04
5.6000e-01     1.5420e-03     8.1173e-04
5.6000e-01     1.6630e-03     9.4508e-04
5.6000e-01     1.7830e-03     1.0876e-03
5.6000e-01     1.9030e-03     1.2403e-03
5.6000e-01     2.0230e-03     1.4034e-03
5.6000e-01     2.1430e-03     1.5769e-03
5.6000e-01     2.2640e-03     1.7624e-03
5.6000e-01     2.3840e-03     1.9570e-03
5.6000e-01     2.5040e-03     2.1623e-03
5.6000e-01     2.6240e-03     2.3783e-03
5.6000e-01     2.7440e-03     2.6052e-03
5.6000e-01     2.8650e-03     2.8450e-03
5.6000e-01     2.9850e-03     3.0939e-03
5.6000e-01     3.1050e-03     3.3540e-03
5.6000e-01     3.2250e-03     3.6254e-03
5.6000e-01     3.3450e-03     3.9081e-03
5.6000e-01     3.4660e-03     4.2049e-03
5.6000e-01     3.5860e-03     4.5110e-03
5.6000e-01     3.7060e-03     4.8288e-03
5.6000e-01     3.8260e-03     5.1586e-03
5.6000e-01     3.9460e-03     5.5004e-03
5.6000e-01     4.0670e-03     5.8575e-03
5.6000e-01     4.1870e-03     6.2240e-03
5.6000e-01     4.3070e-03     6.6031e-03
5.6000e-01     4.4270e-03     6.9949e-03
5.6000e-01     4.5470e-03     7.3996e-03
5.6000e-01     4.6680e-03     7.8209e-03
5.6000e-01     4.7880e-03     8.2520e-03
5.6000e-01     4.9080e-03     8.6965e-03
5.6000e-01     5.0280e-03     9.1547e-03
5.6000e-01     5.1480e-03     9.6267e-03
5.6000e-01     5.2690e-03     1.0117e-02
5.6000e-01     5.3890e-03     1.0617e-02
5.6000e-01     5.5090e-03     1.1132e-02
5.6000e-01     5.6290e-03     1.1662e-02
5.6000e-01     5.7490e-03     1.2206e-02
5.6000e-01     5.8700e-03     1.2770e-02
5.6000e-01     5.9900e-03     1.3345e-02
5.6000e-01     6.1100e-03     1.3936e-02
5.6000e-01     6.2300e-03     1.4543e-02
5.6000e-01     6.3510e-03     1.5171e-02
5.6000e-01     6.4710e-03     1.5810e-02
5.6000e-01     6.5910e-03     1.6466e-02
5.6000e-01     6.7110e-03     1.7139e-02
5.6000e-01     6.8310e-03     1.7829e-02
5.6000e-01     6.9520e-03     1.8543e-02
5.6000e-01     7.0720e-03     1.9268e-02
5.6000e-01     7.1920e-03     2.0012e-02
5.6000e-01     7.3120e-03     2.0774e-02
5.6000e-01     7.4320e-03     2.1555e-02
5.6000e-01     7.5530e-03     2.2362e-02
5.6000e-01     7.6730e-03     2.3182e-02
5.6000e-01     7.7930e-03     2.4021e-02
5.6000e-01     7.9130e-03     2.4881e-02
5.6000e-01     8.0330e-03     2.5761e-02
5.6000e-01     8.1540e-03     2.6669e-02
5.6000e-01     8.2740e-03     2.7591e-02
5.6000e-01     8.3940e-03     2.8535e-02
5.6000e-01     8.5140e-03     2.9501e-02
5.6000e-01     8.6340e-03     3.0489e-02
5.6000e-01     8.7550e-03     3.1508e-02
5.6000e-01     8.8750e-03     3.2542e-02
5.6000e-01     8.9950e-03     3.3600e-02
5.6000e-01     9.1150e-03     3.4682e-02
5.6000e-01     9.2350e-03     3.5788e-02
5.6000e-01     9.3560e-03     3.6928e-02
5.6000e-01     9.4760e-03     3.8085e-02
5.6000e-01     9.5960e-03     3.9267e-02
5.6000e-01     9.7160e-03     4.0476e-02
5.6000e-01     9.8360e-03     4.1711e-02
5.6000e-01     9.9570e-03     4.2984e-02
5.6000e-01     1.0080e-02     4.4307e-02
5.6000e-01     1.0200e-02     4.5626e-02
5.6000e-01     1.0320e-02     4.6975e-02
5.6000e-01     1.0440e-02     4.8352e-02
5.6000e-01     1.0560e-02     4.9759e-02
5.6000e-01     1.0680e-02     5.1196e-02
5.6000e-01     1.0800e-02     5.2664e-02
5.6000e-01     1.0920e-02     5.4164e-02
5.6000e-01     1.1040e-02     5.5696e-02
5.6000e-01     1.1160e-02     5.7260e-02
5.6000e-01     1.1280e-02     5.8858e-02
5.6000e-01     1.1400e-02     6.0489e-02
5.6000e-01     1.1520e-02     6.2154e-02
5.6000e-01     1.1640e-02     6.3855e-02
5.6000e-01     1.1760e-02     6.5591e-02
5.6000e-01     1.1880e-02     6.7364e-02
5.6000e-01     1.2000e-02     6.9173e-02
6.3350e-01     1.0000e-04     2.2175e-06
6.3350e-01     2.2020e-04     1.0753e-05
6.3350e-01     3.4040e-04     2.5701e-05
6.3350e-01     4.6060e-04     4.7068e-05
6.3350e-01     5.8080e-04     7.4864e-05
6.3350e-01     7.0100e-04     1.0910e-04
6.3350e-01     8.2120e-04     1.4979e-04
6.3350e-01     9.4140e-04     1.9696e-04
6.3350e-01     1.0620e-03     2.5081e-04
6.3350e-01     1.1820e-03     3.1090e-04
6.3350e-01     1.3020e-03     3.7751e-04
6.3350e-01     1.4220e-03     4.5068e-04
6.3350e-01     1.5420e-03     5.3043e-04
6.3350e-01     1.6630e-03     6.1755e-04
6.3350e-01     1.7830e-03     7.1063e-04
6.3350e-01     1.9030e-03     8.1040e-04
6.3350e-01     2.0230e-03     9.1692e-04
6.3350e-01     2.1430e-03     1.0302e-03
6.3350e-01     2.2640e-03     1.1514e-03
6.3350e-01     2.3840e-03     1.2785e-03
6.3350e-01     2.5040e-03     1.4125e-03
6.3350e-01     2.6240e-03     1.5535e-03
6.3350e-01     2.7440e-03     1.7016e-03
6.3350e-01     2.8650e-03     1.8582e-03
6.3350e-01     2.9850e-03     2.0207e-03
6.3350e-01     3.1050e-03     2.1904e-03
6.3350e-01     3.2250e-03     2.3675e-03
6.3350e-01     3.3450e-03     2.5520e-03
6.3350e-01     3.4660e-03     2.7456e-03
6.3350e-01     3.5860e-03     2.9452e-03
6.3350e-01     3.7060e-03     3.1525e-03
6.3350e-01     3.8260e-03     3.3676e-03
6.3350e-01     3.9460e-03     3.5905e-03
