 Element: Si
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-04     2.2783e-06
5.6000e-01     2.2020e-04     1.1047e-05
5.6000e-01     3.4040e-04     2.6400e-05
5.6000e-01     4.6060e-04     4.8338e-05
5.6000e-01     5.8080e-04     7.6862e-05
5.6000e-01     7.0100e-04     1.1197e-04
5.6000e-01     8.2120e-04     1.5368e-04
5.6000e-01     9.4140e-04     2.0197e-04
5.6000e-01     1.0620e-03     2.5705e-04
5.6000e-01     1.1820e-03     3.1845e-04
5.6000e-01     1.3020e-03     3.8644e-04
5.6000e-01     1.4220e-03     4.6100e-04
5.6000e-01     1.5420e-03     5.4215e-04
5.6000e-01     1.6630e-03     6.3066e-04
5.6000e-01     1.7830e-03     7.2506e-04
5.6000e-01     1.9030e-03     8.2606e-04
5.6000e-01     2.0230e-03     9.3367e-04
5.6000e-01     2.1430e-03     1.0479e-03
5.6000e-01     2.2640e-03     1.1698e-03
5.6000e-01     2.3840e-03     1.2973e-03
5.6000e-01     2.5040e-03     1.4315e-03
5.6000e-01     2.6240e-03     1.5723e-03
5.6000e-01     2.7440e-03     1.7198e-03
5.6000e-01     2.8650e-03     1.8752e-03
5.6000e-01     2.9850e-03     2.0360e-03
5.6000e-01     3.1050e-03     2.2036e-03
5.6000e-01     3.2250e-03     2.3778e-03
5.6000e-01     3.3450e-03     2.5587e-03
5.6000e-01     3.4660e-03     2.7479e-03
5.6000e-01     3.5860e-03     2.9423e-03
5.6000e-01     3.7060e-03     3.1434e-03
5.6000e-01     3.8260e-03     3.3512e-03
5.6000e-01     3.9460e-03     3.5658e-03
5.6000e-01     4.0670e-03     3.7891e-03
5.6000e-01     4.1870e-03     4.0172e-03
5.6000e-01     4.3070e-03     4.2522e-03
5.6000e-01     4.4270e-03     4.4940e-03
5.6000e-01     4.5470e-03     4.7426e-03
5.6000e-01     4.6680e-03     5.0002e-03
5.6000e-01     4.7880e-03     5.2625e-03
5.6000e-01     4.9080e-03     5.5316e-03
5.6000e-01     5.0280e-03     5.8077e-03
5.6000e-01     5.1480e-03     6.0906e-03
5.6000e-01     5.2690e-03     6.3828e-03
5.6000e-01     5.3890e-03     6.6796e-03
5.6000e-01     5.5090e-03     6.9833e-03
5.6000e-01     5.6290e-03     7.2939e-03
5.6000e-01     5.7490e-03     7.6116e-03
5.6000e-01     5.8700e-03     7.9389e-03
5.6000e-01     5.9900e-03     8.2705e-03
5.6000e-01     6.1100e-03     8.6091e-03
5.6000e-01     6.2300e-03     8.9548e-03
5.6000e-01     6.3510e-03     9.3105e-03
5.6000e-01     6.4710e-03     9.6703e-03
5.6000e-01     6.5910e-03     1.0037e-02
5.6000e-01     6.7110e-03     1.0411e-02
5.6000e-01     6.8310e-03     1.0792e-02
5.6000e-01     6.9520e-03     1.1184e-02
5.6000e-01     7.0720e-03     1.1579e-02
5.6000e-01     7.1920e-03     1.1982e-02
5.6000e-01     7.3120e-03     1.2392e-02
5.6000e-01     7.4320e-03     1.2809e-02
5.6000e-01     7.5530e-03     1.3237e-02
5.6000e-01     7.6730e-03     1.3668e-02
5.6000e-01     7.7930e-03     1.4107e-02
5.6000e-01     7.9130e-03     1.4553e-02
5.6000e-01     8.0330e-03     1.5007e-02
5.6000e-01     8.1540e-03     1.5471e-02
5.6000e-01     8.2740e-03     1.5940e-02
5.6000e-01     8.3940e-03     1.6415e-02
5.6000e-01     8.5140e-03     1.6898e-02
5.6000e-01     8.6340e-03     1.7389e-02
5.6000e-01     8.7550e-03     1.7891e-02
5.6000e-01     8.8750e-03     1.8396e-02
5.6000e-01     8.9950e-03     1.8909e-02
5.6000e-01     9.1150e-03     1.9429e-02
5.6000e-01     9.2350e-03     1.9957e-02
5.6000e-01     9.3560e-03     2.0497e-02
5.6000e-01     9.4760e-03     2.1041e-02
5.6000e-01     9.5960e-03     2.1591e-02
5.6000e-01     9.7160e-03     2.2150e-02
5.6000e-01     9.8360e-03     2.2716e-02
5.6000e-01     9.9570e-03     2.3294e-02
5.6000e-01     1.0080e-02     2.3891e-02
5.6000e-01     1.0200e-02     2.4480e-02
5.6000e-01     1.0320e-02     2.5077e-02
5.6000e-01     1.0440e-02     2.5682e-02
5.6000e-01     1.0560e-02     2.6295e-02
5.6000e-01     1.0680e-02     2.6916e-02
5.6000e-01     1.0800e-02     2.7545e-02
5.6000e-01     1.0920e-02     2.8181e-02
5.6000e-01     1.1040e-02     2.8826e-02
5.6000e-01     1.1160e-02     2.9478e-02
5.6000e-01     1.1280e-02     3.0139e-02
5.6000e-01     1.1400e-02     3.0807e-02
5.6000e-01     1.1520e-02     3.1484e-02
5.6000e-01     1.1640e-02     3.2168e-02
5.6000e-01     1.1760e-02     3.2861e-02
5.6000e-01     1.1880e-02     3.3562e-02
5.6000e-01     1.2000e-02     3.4271e-02
6.3350e-01     1.0000e-04     1.6997e-06
6.3350e-01     2.2020e-04     8.2415e-06
6.3350e-01     3.4040e-04     1.9695e-05
6.3350e-01     4.6060e-04     3.6062e-05
6.3350e-01     5.8080e-04     5.7342e-05
6.3350e-01     7.0100e-04     8.3539e-05
6.3350e-01     8.2120e-04     1.1465e-04
6.3350e-01     9.4140e-04     1.5068e-04
6.3350e-01     1.0620e-03     1.9178e-04
6.3350e-01     1.1820e-03     2.3760e-04
6.3350e-01     1.3020e-03     2.8833e-04
6.3350e-01     1.4220e-03     3.4397e-04
6.3350e-01     1.5420e-03     4.0454e-04
6.3350e-01     1.6630e-03     4.7059e-04
6.3350e-01     1.7830e-03     5.4105e-04
6.3350e-01     1.9030e-03     6.1644e-04
6.3350e-01     2.0230e-03     6.9676e-04
6.3350e-01     2.1430e-03     7.8204e-04
6.3350e-01     2.2640e-03     8.7303e-04
6.3350e-01     2.3840e-03     9.6825e-04
6.3350e-01     2.5040e-03     1.0684e-03
6.3350e-01     2.6240e-03     1.1736e-03
6.3350e-01     2.7440e-03     1.2837e-03
6.3350e-01     2.8650e-03     1.3998e-03
6.3350e-01     2.9850e-03     1.5200e-03
6.3350e-01     3.1050e-03     1.6451e-03
6.3350e-01     3.2250e-03     1.7753e-03
6.3350e-01     3.3450e-03     1.9105e-03
6.3350e-01     3.4660e-03     2.0519e-03
6.3350e-01     3.5860e-03     2.1972e-03
6.3350e-01     3.7060e-03     2.3475e-03
6.3350e-01     3.8260e-03     2.5029e-03
6.3350e-01     3.9460e-03     2.6634e-03
6.3350e-01     4.0670e-03     2.8303e-03
6.3350e-01     4.1870e-03     3.0010e-03
6.3350e-01     4.3070e-03     3.1768e-03
6.3350e-01     4.4270e-03     3.3577e-03
6.3350e-01     4.5470e-03     3.5437e-03
6.3350e-01     4.6680e-03     3.7365e-03
6.3350e-01     4.7880e-03     3.9328e-03
6.3350e-01     4.9080e-03     4.1343e-03
6.3350e-01     5.0280e-03     4.3410e-03
6.3350e-01     5.1480e-03     4.5529e-03
6.3350e-01     5.2690e-03     4.7718e-03
6.3350e-01     5.3890e-03     4.9942e-03
6.3350e-01     5.5090e-03     5.2218e-03
6.3350e-01     5.6290e-03     5.4546e-03
6.3350e-01     5.7490e-03     5.6927e-03
6.3350e-01     5.8700e-03     5.9381e-03
6.3350e-01     5.9900e-03     6.1868e-03
6.3350e-01     6.1100e-03     6.4408e-03
6.3350e-01     6.2300e-03     6.7001e-03
6.3350e-01     6.3510e-03     6.9670e-03
6.3350e-01     6.4710e-03     7.2371e-03
6.3350e-01     6.5910e-03     7.5126e-03
6.3350e-01     6.7110e-03     7.7934e-03
6.3350e-01     6.8310e-03     8.0796e-03
6.3350e-01     6.9520e-03     8.3738e-03
6.3350e-01     7.0720e-03     8.6709e-03
6.3350e-01     7.1920e-03     8.9735e-03
6.3350e-01     7.3120e-03     9.2816e-03
6.3350e-01     7.4320e-03     9.5952e-03
6.3350e-01     7.5530e-03     9.9170e-03
6.3350e-01     7.6730e-03     1.0242e-02
6.3350e-01     7.7930e-03     1.0572e-02
6.3350e-01     7.9130e-03     1.0908e-02
6.3350e-01     8.0330e-03     1.1249e-02
6.3350e-01     8.1540e-03     1.1599e-02
6.3350e-01     8.2740e-03     1.1952e-02
6.3350e-01     8.3940e-03     1.2310e-02
6.3350e-01     8.5140e-03     1.2674e-02
6.3350e-01     8.6340e-03     1.3044e-02
6.3350e-01     8.7550e-03     1.3422e-02
6.3350e-01     8.8750e-03     1.3803e-02
6.3350e-01     8.9950e-03     1.4190e-02
6.3350e-01     9.1150e-03     1.4583e-02
6.3350e-01     9.2350e-03     1.4981e-02
6.3350e-01     9.3560e-03     1.5389e-02
6.3350e-01     9.4760e-03     1.5799e-02
6.3350e-01     9.5960e-03     1.6215e-02
6.3350e-01     9.7160e-03     1.6637e-02
6.3350e-01     9.8360e-03     1.7065e-02
6.3350e-01     9.9570e-03     1.7502e-02
6.3350e-01     1.0080e-02     1.7953e-02
6.3350e-01     1.0200e-02     1.8399e-02
6.3350e-01     1.0320e-02     1.8851e-02
6.3350e-01     1.0440e-02     1.9308e-02
6.3350e-01     1.0560e-02     1.9772e-02
6.3350e-01     1.0680e-02     2.0242e-02
6.3350e-01     1.0800e-02     2.0718e-02
6.3350e-01     1.0920e-02     2.1200e-02
6.3350e-01     1.1040e-02     2.1689e-02
6.3350e-01     1.1160e-02     2.2183e-02
6.3350e-01     1.1280e-02     2.2684e-02
6.3350e-01     1.1400e-02     2.3191e-02
