 Element: Si
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-04     7.8173e-08
5.6000e-01     2.2020e-04     3.7909e-07
5.6000e-01     3.4040e-04     9.0609e-07
5.6000e-01     4.6060e-04     1.6595e-06
5.6000e-01     5.8080e-04     2.6396e-06
5.6000e-01     7.0100e-04     3.8470e-06
5.6000e-01     8.2120e-04     5.2823e-06
5.6000e-01     9.4140e-04     6.9463e-06
5.6000e-01     1.0620e-03     8.8465e-06
5.6000e-01     1.1820e-03     1.0968e-05
5.6000e-01     1.3020e-03     1.3320e-05
5.6000e-01     1.4220e-03     1.5904e-05
5.6000e-01     1.5420e-03     1.8721e-05
5.6000e-01     1.6630e-03     2.1800e-05
5.6000e-01     1.7830e-03     2.5091e-05
5.6000e-01     1.9030e-03     2.8620e-05
5.6000e-01     2.0230e-03     3.2389e-05
5.6000e-01     2.1430e-03     3.6400e-05
5.6000e-01     2.2640e-03     4.0692e-05
5.6000e-01     2.3840e-03     4.5195e-05
5.6000e-01     2.5040e-03     4.9947e-05
5.6000e-01     2.6240e-03     5.4950e-05
5.6000e-01     2.7440e-03     6.0207e-05
5.6000e-01     2.8650e-03     6.5767e-05
5.6000e-01     2.9850e-03     7.1541e-05
5.6000e-01     3.1050e-03     7.7578e-05
5.6000e-01     3.2250e-03     8.3879e-05
5.6000e-01     3.3450e-03     9.0449e-05
5.6000e-01     3.4660e-03     9.7349e-05
5.6000e-01     3.5860e-03     1.0447e-04
5.6000e-01     3.7060e-03     1.1187e-04
5.6000e-01     3.8260e-03     1.1955e-04
5.6000e-01     3.9460e-03     1.2751e-04
5.6000e-01     4.0670e-03     1.3584e-04
5.6000e-01     4.1870e-03     1.4440e-04
5.6000e-01     4.3070e-03     1.5325e-04
5.6000e-01     4.4270e-03     1.6241e-04
5.6000e-01     4.5470e-03     1.7187e-04
5.6000e-01     4.6680e-03     1.8173e-04
5.6000e-01     4.7880e-03     1.9183e-04
5.6000e-01     4.9080e-03     2.0225e-04
5.6000e-01     5.0280e-03     2.1300e-04
5.6000e-01     5.1480e-03     2.2408e-04
5.6000e-01     5.2690e-03     2.3560e-04
5.6000e-01     5.3890e-03     2.4736e-04
5.6000e-01     5.5090e-03     2.5948e-04
5.6000e-01     5.6290e-03     2.7195e-04
5.6000e-01     5.7490e-03     2.8479e-04
5.6000e-01     5.8700e-03     2.9811e-04
5.6000e-01     5.9900e-03     3.1169e-04
5.6000e-01     6.1100e-03     3.2565e-04
5.6000e-01     6.2300e-03     3.4001e-04
5.6000e-01     6.3510e-03     3.5488e-04
5.6000e-01     6.4710e-03     3.7003e-04
5.6000e-01     6.5910e-03     3.8560e-04
5.6000e-01     6.7110e-03     4.0158e-04
5.6000e-01     6.8310e-03     4.1799e-04
5.6000e-01     6.9520e-03     4.3497e-04
5.6000e-01     7.0720e-03     4.5226e-04
5.6000e-01     7.1920e-03     4.6999e-04
