 Element: Si
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-04     8.5569e-06
5.6000e-01     2.2020e-04     4.1493e-05
5.6000e-01     3.4040e-04     9.9168e-05
5.6000e-01     4.6060e-04     1.8160e-04
5.6000e-01     5.8080e-04     2.8881e-04
5.6000e-01     7.0100e-04     4.2083e-04
5.6000e-01     8.2120e-04     5.7770e-04
5.6000e-01     9.4140e-04     7.5948e-04
5.6000e-01     1.0620e-03     9.6693e-04
5.6000e-01     1.1820e-03     1.1983e-03
5.6000e-01     1.3020e-03     1.4548e-03
5.6000e-01     1.4220e-03     1.7363e-03
5.6000e-01     1.5420e-03     2.0429e-03
5.6000e-01     1.6630e-03     2.3777e-03
5.6000e-01     1.7830e-03     2.7351e-03
5.6000e-01     1.9030e-03     3.1181e-03
5.6000e-01     2.0230e-03     3.5265e-03
5.6000e-01     2.1430e-03     3.9607e-03
5.6000e-01     2.2640e-03     4.4247e-03
5.6000e-01     2.3840e-03     4.9108e-03
5.6000e-01     2.5040e-03     5.4231e-03
5.6000e-01     2.6240e-03     5.9616e-03
5.6000e-01     2.7440e-03     6.5266e-03
5.6000e-01     2.8650e-03     7.1231e-03
5.6000e-01     2.9850e-03     7.7416e-03
5.6000e-01     3.1050e-03     8.3871e-03
5.6000e-01     3.2250e-03     9.0596e-03
5.6000e-01     3.3450e-03     9.7595e-03
5.6000e-01     3.4660e-03     1.0493e-02
5.6000e-01     3.5860e-03     1.1249e-02
5.6000e-01     3.7060e-03     1.2032e-02
5.6000e-01     3.8260e-03     1.2844e-02
5.6000e-01     3.9460e-03     1.3684e-02
5.6000e-01     4.0670e-03     1.4560e-02
5.6000e-01     4.1870e-03     1.5458e-02
5.6000e-01     4.3070e-03     1.6385e-02
5.6000e-01     4.4270e-03     1.7342e-02
5.6000e-01     4.5470e-03     1.8328e-02
5.6000e-01     4.6680e-03     1.9353e-02
5.6000e-01     4.7880e-03     2.0400e-02
5.6000e-01     4.9080e-03     2.1478e-02
5.6000e-01     5.0280e-03     2.2587e-02
5.6000e-01     5.1480e-03     2.3727e-02
5.6000e-01     5.2690e-03     2.4909e-02
5.6000e-01     5.3890e-03     2.6113e-02
5.6000e-01     5.5090e-03     2.7349e-02
5.6000e-01     5.6290e-03     2.8618e-02
5.6000e-01     5.7490e-03     2.9921e-02
5.6000e-01     5.8700e-03     3.1268e-02
5.6000e-01     5.9900e-03     3.2637e-02
5.6000e-01     6.1100e-03     3.4042e-02
5.6000e-01     6.2300e-03     3.5480e-02
5.6000e-01     6.3510e-03     3.6967e-02
5.6000e-01     6.4710e-03     3.8477e-02
5.6000e-01     6.5910e-03     4.0022e-02
5.6000e-01     6.7110e-03     4.1605e-02
5.6000e-01     6.8310e-03     4.3224e-02
5.6000e-01     6.9520e-03     4.4894e-02
5.6000e-01     7.0720e-03     4.6589e-02
5.6000e-01     7.1920e-03     4.8322e-02
5.6000e-01     7.3120e-03     5.0094e-02
5.6000e-01     7.4320e-03     5.1905e-02
