 Element: Si
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =     2
 No. of channels =    92
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     1.8684e-06
1.0000e-04     2.2020e-04     8.9990e-06
1.0000e-04     3.4040e-04     2.1255e-05
1.0000e-04     4.6060e-04     3.8273e-05
1.0000e-04     5.8080e-04     5.9552e-05
1.0000e-04     7.0100e-04     8.4474e-05
1.0000e-04     8.2120e-04     1.1233e-04
1.0000e-04     9.4140e-04     1.4234e-04
1.0000e-04     1.0620e-03     1.7379e-04
1.0000e-04     1.1820e-03     2.0560e-04
1.0000e-04     1.3020e-03     2.3711e-04
1.0000e-04     1.4220e-03     2.6756e-04
1.0000e-04     1.5420e-03     2.9627e-04
1.0000e-04     1.6630e-03     3.2282e-04
1.0000e-04     1.7830e-03     3.4627e-04
1.0000e-04     1.9030e-03     3.6643e-04
1.0000e-04     2.0230e-03     3.8303e-04
1.0000e-04     2.1430e-03     3.9588e-04
1.0000e-04     2.2640e-03     4.0498e-04
1.0000e-04     2.3840e-03     4.1020e-04
1.0000e-04     2.5040e-03     4.1176e-04
1.0000e-04     2.6240e-03     4.0986e-04
1.0000e-04     2.7440e-03     4.0475e-04
1.0000e-04     2.8650e-03     3.9669e-04
1.0000e-04     2.9850e-03     3.8614e-04
1.0000e-04     3.1050e-03     3.7341e-04
1.0000e-04     3.2250e-03     3.5889e-04
1.0000e-04     3.3450e-03     3.4293e-04
1.0000e-04     3.4660e-03     3.2575e-04
1.0000e-04     3.5860e-03     3.0797e-04
1.0000e-04     3.7060e-03     2.8975e-04
1.0000e-04     3.8260e-03     2.7136e-04
1.0000e-04     3.9460e-03     2.5305e-04
1.0000e-04     4.0670e-03     2.3487e-04
1.0000e-04     4.1870e-03     2.1729e-04
1.0000e-04     4.3070e-03     2.0030e-04
1.0000e-04     4.4270e-03     1.8401e-04
1.0000e-04     4.5470e-03     1.6850e-04
1.0000e-04     4.6680e-03     1.5371e-04
