 Element: Si
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =     2
 No. of channels =    92
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     2.3982e-04
1.0000e-04     2.2020e-04     1.1561e-03
1.0000e-04     3.4040e-04     2.7349e-03
1.0000e-04     4.6060e-04     4.9354e-03
1.0000e-04     5.8080e-04     7.7012e-03
1.0000e-04     7.0100e-04     1.0962e-02
1.0000e-04     8.2120e-04     1.4637e-02
1.0000e-04     9.4140e-04     1.8635e-02
1.0000e-04     1.0620e-03     2.2874e-02
1.0000e-04     1.1820e-03     2.7220e-02
1.0000e-04     1.3020e-03     3.1594e-02
1.0000e-04     1.4220e-03     3.5902e-02
1.0000e-04     1.5420e-03     4.0051e-02
1.0000e-04     1.6630e-03     4.3992e-02
1.0000e-04     1.7830e-03     4.7585e-02
1.0000e-04     1.9030e-03     5.0802e-02
1.0000e-04     2.0230e-03     5.3594e-02
1.0000e-04     2.1430e-03     5.5922e-02
1.0000e-04     2.2640e-03     5.7775e-02
1.0000e-04     2.3840e-03     5.9110e-02
1.0000e-04     2.5040e-03     5.9945e-02
1.0000e-04     2.6240e-03     6.0289e-02
1.0000e-04     2.7440e-03     6.0162e-02
1.0000e-04     2.8650e-03     5.9587e-02
1.0000e-04     2.9850e-03     5.8606e-02
1.0000e-04     3.1050e-03     5.7257e-02
1.0000e-04     3.2250e-03     5.5584e-02
1.0000e-04     3.3450e-03     5.3632e-02
1.0000e-04     3.4660e-03     5.1428e-02
1.0000e-04     3.5860e-03     4.9055e-02
1.0000e-04     3.7060e-03     4.6540e-02
1.0000e-04     3.8260e-03     4.3927e-02
1.0000e-04     3.9460e-03     4.1253e-02
1.0000e-04     4.0670e-03     3.8534e-02
1.0000e-04     4.1870e-03     3.5847e-02
1.0000e-04     4.3070e-03     3.3197e-02
1.0000e-04     4.4270e-03     3.0609e-02
1.0000e-04     4.5470e-03     2.8104e-02
1.0000e-04     4.6680e-03     2.5678e-02
1.0000e-04     4.7880e-03     2.3385e-02
1.0000e-04     4.9080e-03     2.1214e-02
1.0000e-04     5.0280e-03     1.9172e-02
1.0000e-04     5.1480e-03     1.7262e-02
1.0000e-04     5.2690e-03     1.5472e-02
1.0000e-04     5.3890e-03     1.3831e-02
1.0000e-04     5.5090e-03     1.2321e-02
1.0000e-04     5.6290e-03     1.0938e-02
1.0000e-04     5.7490e-03     9.6783e-03
1.0000e-04     5.8700e-03     8.5266e-03
1.0000e-04     5.9900e-03     7.4954e-03
1.0000e-04     6.1100e-03     6.5681e-03
1.0000e-04     6.2300e-03     5.7376e-03
1.0000e-04     6.3510e-03     4.9909e-03
1.0000e-04     6.4710e-03     4.3332e-03
1.0000e-04     6.5910e-03     3.7509e-03
1.0000e-04     6.7110e-03     3.2373e-03
1.0000e-04     6.8310e-03     2.7860e-03
1.0000e-04     6.9520e-03     2.3876e-03
1.0000e-04     7.0720e-03     2.0430e-03
1.0000e-04     7.1920e-03     1.7432e-03
1.0000e-04     7.3120e-03     1.4834e-03
1.0000e-04     7.4320e-03     1.2588e-03
1.0000e-04     7.5530e-03     1.0638e-03
1.0000e-04     7.6730e-03     8.9793e-04
1.0000e-04     7.7930e-03     7.5591e-04
1.0000e-04     7.9130e-03     6.3470e-04
1.0000e-04     8.0330e-03     5.3155e-04
1.0000e-04     8.1540e-03     4.4337e-04
1.0000e-04     8.2740e-03     3.6944e-04
1.0000e-04     8.3940e-03     3.0708e-04
1.0000e-04     8.5140e-03     2.5461e-04
1.0000e-04     8.6340e-03     2.1060e-04
1.0000e-04     8.7550e-03     1.7351e-04
1.0000e-04     8.8750e-03     1.4283e-04
1.0000e-04     8.9950e-03     1.1731e-04
1.0000e-04     9.1150e-03     9.6125e-05
1.0000e-04     9.2350e-03     7.8587e-05
1.0000e-04     9.3560e-03     6.3997e-05
1.0000e-04     9.4760e-03     5.2088e-05
1.0000e-04     9.5960e-03     4.2303e-05
1.0000e-04     9.7160e-03     3.4283e-05
1.0000e-04     9.8360e-03     2.7725e-05
1.0000e-04     9.9570e-03     2.2335e-05
1.0000e-04     1.0080e-02     1.7891e-05
1.0000e-04     1.0200e-02     1.4380e-05
1.0000e-04     1.0320e-02     1.1536e-05
1.0000e-04     1.0440e-02     9.2360e-06
1.0000e-04     1.0560e-02     7.3812e-06
1.0000e-04     1.0680e-02     5.8882e-06
1.0000e-04     1.0800e-02     4.6889e-06
1.0000e-04     1.0920e-02     3.7276e-06
1.0000e-04     1.1040e-02     2.9584e-06
1.0000e-04     1.1160e-02     2.3443e-06
1.0000e-04     1.1280e-02     1.8549e-06
1.0000e-04     1.1400e-02     1.4655e-06
1.0000e-04     1.1520e-02     1.1563e-06
1.0000e-04     1.1640e-02     9.1121e-07
1.0000e-04     1.1760e-02     7.1721e-07
1.0000e-04     1.1880e-02     5.6391e-07
1.0000e-04     1.2000e-02     4.4296e-07
1.1310e-04     1.0000e-04     2.3970e-04
1.1310e-04     2.2020e-04     1.1555e-03
1.1310e-04     3.4040e-04     2.7335e-03
1.1310e-04     4.6060e-04     4.9328e-03
1.1310e-04     5.8080e-04     7.6972e-03
1.1310e-04     7.0100e-04     1.0956e-02
1.1310e-04     8.2120e-04     1.4629e-02
1.1310e-04     9.4140e-04     1.8625e-02
1.1310e-04     1.0620e-03     2.2861e-02
1.1310e-04     1.1820e-03     2.7205e-02
1.1310e-04     1.3020e-03     3.1577e-02
1.1310e-04     1.4220e-03     3.5881e-02
1.1310e-04     1.5420e-03     4.0028e-02
1.1310e-04     1.6630e-03     4.3966e-02
1.1310e-04     1.7830e-03     4.7557e-02
1.1310e-04     1.9030e-03     5.0772e-02
1.1310e-04     2.0230e-03     5.3560e-02
1.1310e-04     2.1430e-03     5.5886e-02
1.1310e-04     2.2640e-03     5.7737e-02
1.1310e-04     2.3840e-03     5.9071e-02
1.1310e-04     2.5040e-03     5.9904e-02
1.1310e-04     2.6240e-03     6.0247e-02
1.1310e-04     2.7440e-03     6.0120e-02
1.1310e-04     2.8650e-03     5.9543e-02
1.1310e-04     2.9850e-03     5.8563e-02
1.1310e-04     3.1050e-03     5.7214e-02
1.1310e-04     3.2250e-03     5.5541e-02
1.1310e-04     3.3450e-03     5.3589e-02
1.1310e-04     3.4660e-03     5.1386e-02
1.1310e-04     3.5860e-03     4.9014e-02
1.1310e-04     3.7060e-03     4.6501e-02
1.1310e-04     3.8260e-03     4.3889e-02
1.1310e-04     3.9460e-03     4.1217e-02
1.1310e-04     4.0670e-03     3.8500e-02
1.1310e-04     4.1870e-03     3.5814e-02
1.1310e-04     4.3070e-03     3.3167e-02
1.1310e-04     4.4270e-03     3.0581e-02
1.1310e-04     4.5470e-03     2.8078e-02
1.1310e-04     4.6680e-03     2.5654e-02
1.1310e-04     4.7880e-03     2.3363e-02
1.1310e-04     4.9080e-03     2.1194e-02
1.1310e-04     5.0280e-03     1.9153e-02
1.1310e-04     5.1480e-03     1.7245e-02
1.1310e-04     5.2690e-03     1.5457e-02
1.1310e-04     5.3890e-03     1.3817e-02
1.1310e-04     5.5090e-03     1.2309e-02
1.1310e-04     5.6290e-03     1.0928e-02
1.1310e-04     5.7490e-03     9.6691e-03
1.1310e-04     5.8700e-03     8.5185e-03
1.1310e-04     5.9900e-03     7.4884e-03
1.1310e-04     6.1100e-03     6.5621e-03
1.1310e-04     6.2300e-03     5.7324e-03
1.1310e-04     6.3510e-03     4.9865e-03
1.1310e-04     6.4710e-03     4.3294e-03
1.1310e-04     6.5910e-03     3.7477e-03
1.1310e-04     6.7110e-03     3.2347e-03
1.1310e-04     6.8310e-03     2.7837e-03
1.1310e-04     6.9520e-03     2.3858e-03
1.1310e-04     7.0720e-03     2.0415e-03
1.1310e-04     7.1920e-03     1.7420e-03
1.1310e-04     7.3120e-03     1.4823e-03
1.1310e-04     7.4320e-03     1.2580e-03
1.1310e-04     7.5530e-03     1.0632e-03
1.1310e-04     7.6730e-03     8.9740e-04
1.1310e-04     7.7930e-03     7.5549e-04
1.1310e-04     7.9130e-03     6.3436e-04
1.1310e-04     8.0330e-03     5.3129e-04
1.1310e-04     8.1540e-03     4.4317e-04
1.1310e-04     8.2740e-03     3.6929e-04
1.1310e-04     8.3940e-03     3.0696e-04
1.1310e-04     8.5140e-03     2.5453e-04
1.1310e-04     8.6340e-03     2.1054e-04
1.1310e-04     8.7550e-03     1.7346e-04
1.1310e-04     8.8750e-03     1.4280e-04
1.1310e-04     8.9950e-03     1.1729e-04
1.1310e-04     9.1150e-03     9.6109e-05
1.1310e-04     9.2350e-03     7.8578e-05
1.1310e-04     9.3560e-03     6.3991e-05
1.1310e-04     9.4760e-03     5.2086e-05
1.1310e-04     9.5960e-03     4.2303e-05
1.1310e-04     9.7160e-03     3.4284e-05
1.1310e-04     9.8360e-03     2.7727e-05
1.1310e-04     9.9570e-03     2.2338e-05
1.1310e-04     1.0080e-02     1.7894e-05
1.1310e-04     1.0200e-02     1.4383e-05
1.1310e-04     1.0320e-02     1.1538e-05
1.1310e-04     1.0440e-02     9.2384e-06
1.1310e-04     1.0560e-02     7.3834e-06
1.1310e-04     1.0680e-02     5.8901e-06
1.1310e-04     1.0800e-02     4.6906e-06
1.1310e-04     1.0920e-02     3.7291e-06
1.1310e-04     1.1040e-02     2.9597e-06
1.1310e-04     1.1160e-02     2.3454e-06
1.1310e-04     1.1280e-02     1.8558e-06
1.1310e-04     1.1400e-02     1.4663e-06
1.1310e-04     1.1520e-02     1.1570e-06
1.1310e-04     1.1640e-02     9.1177e-07
1.1310e-04     1.1760e-02     7.1768e-07
1.1310e-04     1.1880e-02     5.6430e-07
1.1310e-04     1.2000e-02     4.4328e-07
1.2800e-04     1.0000e-04     2.3956e-04
1.2800e-04     2.2020e-04     1.1549e-03
1.2800e-04     3.4040e-04     2.7319e-03
1.2800e-04     4.6060e-04     4.9300e-03
1.2800e-04     5.8080e-04     7.6927e-03
1.2800e-04     7.0100e-04     1.0950e-02
1.2800e-04     8.2120e-04     1.4620e-02
1.2800e-04     9.4140e-04     1.8613e-02
1.2800e-04     1.0620e-03     2.2848e-02
1.2800e-04     1.1820e-03     2.7188e-02
1.2800e-04     1.3020e-03     3.1557e-02
1.2800e-04     1.4220e-03     3.5858e-02
1.2800e-04     1.5420e-03     4.0002e-02
1.2800e-04     1.6630e-03     4.3937e-02
1.2800e-04     1.7830e-03     4.7525e-02
1.2800e-04     1.9030e-03     5.0737e-02
1.2800e-04     2.0230e-03     5.3523e-02
1.2800e-04     2.1430e-03     5.5846e-02
1.2800e-04     2.2640e-03     5.7695e-02
1.2800e-04     2.3840e-03     5.9027e-02
1.2800e-04     2.5040e-03     5.9859e-02
1.2800e-04     2.6240e-03     6.0200e-02
1.2800e-04     2.7440e-03     6.0072e-02
1.2800e-04     2.8650e-03     5.9495e-02
1.2800e-04     2.9850e-03     5.8513e-02
1.2800e-04     3.1050e-03     5.7165e-02
1.2800e-04     3.2250e-03     5.5492e-02
1.2800e-04     3.3450e-03     5.3541e-02
1.2800e-04     3.4660e-03     5.1339e-02
1.2800e-04     3.5860e-03     4.8968e-02
1.2800e-04     3.7060e-03     4.6456e-02
1.2800e-04     3.8260e-03     4.3846e-02
1.2800e-04     3.9460e-03     4.1176e-02
1.2800e-04     4.0670e-03     3.8461e-02
