 Element: Si
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =     2
 No. of channels =    92
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     2.3982e-04
1.0000e-04     1.0500e-04     2.6436e-04
1.0000e-04     1.1020e-04     2.9114e-04
1.0000e-04     1.1560e-04     3.2032e-04
1.0000e-04     1.2130e-04     3.5261e-04
1.0000e-04     1.2740e-04     3.8888e-04
1.0000e-04     1.3370e-04     4.2819e-04
1.0000e-04     1.4030e-04     4.7138e-04
1.0000e-04     1.4720e-04     5.1872e-04
1.0000e-04     1.5450e-04     5.7126e-04
1.0000e-04     1.6220e-04     6.2939e-04
1.0000e-04     1.7020e-04     6.9273e-04
1.0000e-04     1.7870e-04     7.6331e-04
1.0000e-04     1.8750e-04     8.3993e-04
1.0000e-04     1.9680e-04     9.2482e-04
1.0000e-04     2.0660e-04     1.0186e-03
1.0000e-04     2.1680e-04     1.1209e-03
1.0000e-04     2.2750e-04     1.2334e-03
1.0000e-04     2.3880e-04     1.3579e-03
1.0000e-04     2.5060e-04     1.4942e-03
1.0000e-04     2.6300e-04     1.6441e-03
1.0000e-04     2.7610e-04     1.8100e-03
1.0000e-04     2.8980e-04     1.9918e-03
1.0000e-04     3.0410e-04     2.1904e-03
1.0000e-04     3.1920e-04     2.4099e-03
1.0000e-04     3.3500e-04     2.6503e-03
1.0000e-04     3.5160e-04     2.9144e-03
1.0000e-04     3.6900e-04     3.2040e-03
1.0000e-04     3.8730e-04     3.5223e-03
1.0000e-04     4.0650e-04     3.8713e-03
1.0000e-04     4.2660e-04     4.2529e-03
1.0000e-04     4.4780e-04     4.6731e-03
1.0000e-04     4.7000e-04     5.1321e-03
1.0000e-04     4.9320e-04     5.6324e-03
1.0000e-04     5.1770e-04     6.1828e-03
1.0000e-04     5.4330e-04     6.7816e-03
1.0000e-04     5.7030e-04     7.4387e-03
1.0000e-04     5.9850e-04     8.1521e-03
1.0000e-04     6.2820e-04     8.9323e-03
1.0000e-04     6.5930e-04     9.7796e-03
1.0000e-04     6.9190e-04     1.0700e-02
1.0000e-04     7.2620e-04     1.1701e-02
1.0000e-04     7.6220e-04     1.2787e-02
1.0000e-04     8.0000e-04     1.3962e-02
1.0000e-04     8.3960e-04     1.5230e-02
1.0000e-04     8.8120e-04     1.6598e-02
1.0000e-04     9.2490e-04     1.8070e-02
1.0000e-04     9.7070e-04     1.9647e-02
1.0000e-04     1.0190e-03     2.1342e-02
1.0000e-04     1.0690e-03     2.3125e-02
1.0000e-04     1.1220e-03     2.5037e-02
1.0000e-04     1.1780e-03     2.7074e-02
1.0000e-04     1.2360e-03     2.9191e-02
1.0000e-04     1.2970e-03     3.1413e-02
1.0000e-04     1.3620e-03     3.3762e-02
1.0000e-04     1.4290e-03     3.6149e-02
1.0000e-04     1.5000e-03     3.8622e-02
1.0000e-04     1.5740e-03     4.1121e-02
1.0000e-04     1.6520e-03     4.3646e-02
1.0000e-04     1.7340e-03     4.6160e-02
1.0000e-04     1.8200e-03     4.8620e-02
1.0000e-04     1.9100e-03     5.0977e-02
1.0000e-04     2.0050e-03     5.3204e-02
1.0000e-04     2.1040e-03     5.5218e-02
1.0000e-04     2.2090e-03     5.6995e-02
1.0000e-04     2.3180e-03     5.8438e-02
1.0000e-04     2.4330e-03     5.9511e-02
1.0000e-04     2.5530e-03     6.0144e-02
1.0000e-04     2.6800e-03     6.0287e-02
1.0000e-04     2.8130e-03     5.9887e-02
1.0000e-04     2.9520e-03     5.8914e-02
1.0000e-04     3.0980e-03     5.7345e-02
1.0000e-04     3.2520e-03     5.5167e-02
1.0000e-04     3.4130e-03     5.2419e-02
1.0000e-04     3.5820e-03     4.9136e-02
1.0000e-04     3.7600e-03     4.5374e-02
1.0000e-04     3.9460e-03     4.1253e-02
1.0000e-04     4.1410e-03     3.6874e-02
1.0000e-04     4.3470e-03     3.2327e-02
1.0000e-04     4.5620e-03     2.7798e-02
1.0000e-04     4.7880e-03     2.3385e-02
1.0000e-04     5.0250e-03     1.9221e-02
1.0000e-04     5.2740e-03     1.5401e-02
1.0000e-04     5.5350e-03     1.2010e-02
1.0000e-04     5.8100e-03     9.0832e-03
1.0000e-04     6.0980e-03     6.6564e-03
1.0000e-04     6.4000e-03     4.7128e-03
1.0000e-04     6.7170e-03     3.2133e-03
1.0000e-04     7.0500e-03     2.1026e-03
1.0000e-04     7.3990e-03     1.3173e-03
1.0000e-04     7.7650e-03     7.8708e-04
1.0000e-04     8.1500e-03     4.4606e-04
1.0000e-04     8.5540e-03     2.3907e-04
1.0000e-04     8.9780e-03     1.2064e-04
1.0000e-04     9.4230e-03     5.7062e-05
1.0000e-04     9.8890e-03     2.5227e-05
1.0000e-04     1.0380e-02     1.0324e-05
1.0000e-04     1.0890e-02     3.9482e-06
1.0000e-04     1.1430e-02     1.3814e-06
1.0000e-04     1.2000e-02     4.4296e-07
1.1310e-04     1.0000e-04     2.3970e-04
1.1310e-04     1.0500e-04     2.6423e-04
1.1310e-04     1.1020e-04     2.9099e-04
1.1310e-04     1.1560e-04     3.2015e-04
1.1310e-04     1.2130e-04     3.5243e-04
1.1310e-04     1.2740e-04     3.8868e-04
1.1310e-04     1.3370e-04     4.2797e-04
1.1310e-04     1.4030e-04     4.7113e-04
1.1310e-04     1.4720e-04     5.1846e-04
1.1310e-04     1.5450e-04     5.7097e-04
1.1310e-04     1.6220e-04     6.2907e-04
1.1310e-04     1.7020e-04     6.9237e-04
1.1310e-04     1.7870e-04     7.6292e-04
1.1310e-04     1.8750e-04     8.3950e-04
1.1310e-04     1.9680e-04     9.2434e-04
1.1310e-04     2.0660e-04     1.0181e-03
1.1310e-04     2.1680e-04     1.1204e-03
1.1310e-04     2.2750e-04     1.2328e-03
1.1310e-04     2.3880e-04     1.3572e-03
1.1310e-04     2.5060e-04     1.4934e-03
1.1310e-04     2.6300e-04     1.6433e-03
1.1310e-04     2.7610e-04     1.8091e-03
1.1310e-04     2.8980e-04     1.9908e-03
1.1310e-04     3.0410e-04     2.1893e-03
1.1310e-04     3.1920e-04     2.4087e-03
1.1310e-04     3.3500e-04     2.6489e-03
1.1310e-04     3.5160e-04     2.9129e-03
1.1310e-04     3.6900e-04     3.2023e-03
1.1310e-04     3.8730e-04     3.5205e-03
1.1310e-04     4.0650e-04     3.8693e-03
1.1310e-04     4.2660e-04     4.2507e-03
1.1310e-04     4.4780e-04     4.6706e-03
1.1310e-04     4.7000e-04     5.1295e-03
1.1310e-04     4.9320e-04     5.6294e-03
1.1310e-04     5.1770e-04     6.1796e-03
1.1310e-04     5.4330e-04     6.7781e-03
1.1310e-04     5.7030e-04     7.4349e-03
1.1310e-04     5.9850e-04     8.1479e-03
1.1310e-04     6.2820e-04     8.9276e-03
1.1310e-04     6.5930e-04     9.7745e-03
1.1310e-04     6.9190e-04     1.0694e-02
1.1310e-04     7.2620e-04     1.1695e-02
1.1310e-04     7.6220e-04     1.2780e-02
1.1310e-04     8.0000e-04     1.3955e-02
1.1310e-04     8.3960e-04     1.5222e-02
1.1310e-04     8.8120e-04     1.6589e-02
1.1310e-04     9.2490e-04     1.8060e-02
1.1310e-04     9.7070e-04     1.9637e-02
1.1310e-04     1.0190e-03     2.1331e-02
1.1310e-04     1.0690e-03     2.3112e-02
1.1310e-04     1.1220e-03     2.5023e-02
1.1310e-04     1.1780e-03     2.7059e-02
1.1310e-04     1.2360e-03     2.9174e-02
1.1310e-04     1.2970e-03     3.1395e-02
1.1310e-04     1.3620e-03     3.3743e-02
1.1310e-04     1.4290e-03     3.6128e-02
1.1310e-04     1.5000e-03     3.8600e-02
1.1310e-04     1.5740e-03     4.1097e-02
1.1310e-04     1.6520e-03     4.3620e-02
1.1310e-04     1.7340e-03     4.6133e-02
1.1310e-04     1.8200e-03     4.8591e-02
