 Element: Si
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =     3
 No. of channels =   264
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     3.7948e-04
1.0000e-04     2.2020e-04     1.8299e-03
1.0000e-04     3.4040e-04     4.3307e-03
1.0000e-04     4.6060e-04     7.8205e-03
1.0000e-04     5.8080e-04     1.2214e-02
1.0000e-04     7.0100e-04     1.7404e-02
1.0000e-04     8.2120e-04     2.3267e-02
1.0000e-04     9.4140e-04     2.9665e-02
1.0000e-04     1.0620e-03     3.6474e-02
1.0000e-04     1.1820e-03     4.3484e-02
1.0000e-04     1.3020e-03     5.0574e-02
1.0000e-04     1.4220e-03     5.7595e-02
1.0000e-04     1.5420e-03     6.4406e-02
1.0000e-04     1.6630e-03     7.0927e-02
1.0000e-04     1.7830e-03     7.6931e-02
1.0000e-04     1.9030e-03     8.2372e-02
1.0000e-04     2.0230e-03     8.7166e-02
1.0000e-04     2.1430e-03     9.1249e-02
1.0000e-04     2.2640e-03     9.4598e-02
1.0000e-04     2.3840e-03     9.7131e-02
1.0000e-04     2.5040e-03     9.8870e-02
1.0000e-04     2.6240e-03     9.9822e-02
1.0000e-04     2.7440e-03     1.0001e-01
1.0000e-04     2.8650e-03     9.9463e-02
1.0000e-04     2.9850e-03     9.8238e-02
1.0000e-04     3.1050e-03     9.6389e-02
1.0000e-04     3.2250e-03     9.3981e-02
1.0000e-04     3.3450e-03     9.1080e-02
1.0000e-04     3.4660e-03     8.7728e-02
1.0000e-04     3.5860e-03     8.4052e-02
1.0000e-04     3.7060e-03     8.0096e-02
1.0000e-04     3.8260e-03     7.5929e-02
1.0000e-04     3.9460e-03     7.1616e-02
1.0000e-04     4.0670e-03     6.7180e-02
1.0000e-04     4.1870e-03     6.2751e-02
1.0000e-04     4.3070e-03     5.8342e-02
1.0000e-04     4.4270e-03     5.3997e-02
1.0000e-04     4.5470e-03     4.9756e-02
1.0000e-04     4.6680e-03     4.5616e-02
1.0000e-04     4.7880e-03     4.1673e-02
1.0000e-04     4.9080e-03     3.7913e-02
1.0000e-04     5.0280e-03     3.4353e-02
1.0000e-04     5.1480e-03     3.1003e-02
1.0000e-04     5.2690e-03     2.7846e-02
1.0000e-04     5.3890e-03     2.4935e-02
1.0000e-04     5.5090e-03     2.2245e-02
1.0000e-04     5.6290e-03     1.9772e-02
1.0000e-04     5.7490e-03     1.7510e-02
1.0000e-04     5.8700e-03     1.5434e-02
1.0000e-04     5.9900e-03     1.3571e-02
1.0000e-04     6.1100e-03     1.1891e-02
