 Element: Si
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =     3
 No. of channels =   264
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     3.7948e-04
1.0000e-04     1.0500e-04     4.1831e-04
1.0000e-04     1.1020e-04     4.6070e-04
1.0000e-04     1.1560e-04     5.0686e-04
1.0000e-04     1.2130e-04     5.5797e-04
1.0000e-04     1.2740e-04     6.1537e-04
1.0000e-04     1.3370e-04     6.7757e-04
1.0000e-04     1.4030e-04     7.4593e-04
1.0000e-04     1.4720e-04     8.2087e-04
1.0000e-04     1.5450e-04     9.0402e-04
1.0000e-04     1.6220e-04     9.9602e-04
1.0000e-04     1.7020e-04     1.0963e-03
1.0000e-04     1.7870e-04     1.2080e-03
1.0000e-04     1.8750e-04     1.3293e-03
1.0000e-04     1.9680e-04     1.4637e-03
1.0000e-04     2.0660e-04     1.6122e-03
1.0000e-04     2.1680e-04     1.7742e-03
1.0000e-04     2.2750e-04     1.9523e-03
1.0000e-04     2.3880e-04     2.1494e-03
1.0000e-04     2.5060e-04     2.3651e-03
1.0000e-04     2.6300e-04     2.6026e-03
1.0000e-04     2.7610e-04     2.8654e-03
1.0000e-04     2.8980e-04     3.1533e-03
1.0000e-04     3.0410e-04     3.4680e-03
1.0000e-04     3.1920e-04     3.8158e-03
1.0000e-04     3.3500e-04     4.1966e-03
1.0000e-04     3.5160e-04     4.6153e-03
1.0000e-04     3.6900e-04     5.0743e-03
1.0000e-04     3.8730e-04     5.5789e-03
1.0000e-04     4.0650e-04     6.1324e-03
1.0000e-04     4.2660e-04     6.7376e-03
1.0000e-04     4.4780e-04     7.4042e-03
1.0000e-04     4.7000e-04     8.1327e-03
1.0000e-04     4.9320e-04     8.9268e-03
1.0000e-04     5.1770e-04     9.8008e-03
1.0000e-04     5.4330e-04     1.0752e-02
1.0000e-04     5.7030e-04     1.1796e-02
1.0000e-04     5.9850e-04     1.2931e-02
1.0000e-04     6.2820e-04     1.4172e-02
1.0000e-04     6.5930e-04     1.5520e-02
1.0000e-04     6.9190e-04     1.6986e-02
1.0000e-04     7.2620e-04     1.8582e-02
1.0000e-04     7.6220e-04     2.0313e-02
1.0000e-04     8.0000e-04     2.2190e-02
1.0000e-04     8.3960e-04     2.4215e-02
1.0000e-04     8.8120e-04     2.6403e-02
1.0000e-04     9.2490e-04     2.8761e-02
1.0000e-04     9.7070e-04     3.1289e-02
1.0000e-04     1.0190e-03     3.4011e-02
1.0000e-04     1.0690e-03     3.6878e-02
1.0000e-04     1.1220e-03     3.9959e-02
1.0000e-04     1.1780e-03     4.3248e-02
1.0000e-04     1.2360e-03     4.6673e-02
1.0000e-04     1.2970e-03     5.0279e-02
1.0000e-04     1.3620e-03     5.4102e-02
1.0000e-04     1.4290e-03     5.8000e-02
1.0000e-04     1.5000e-03     6.2055e-02
1.0000e-04     1.5740e-03     6.6170e-02
1.0000e-04     1.6520e-03     7.0352e-02
1.0000e-04     1.7340e-03     7.4542e-02
1.0000e-04     1.8200e-03     7.8673e-02
1.0000e-04     1.9100e-03     8.2670e-02
1.0000e-04     2.0050e-03     8.6491e-02
1.0000e-04     2.1040e-03     9.0004e-02
1.0000e-04     2.2090e-03     9.3174e-02
1.0000e-04     2.3180e-03     9.5836e-02
1.0000e-04     2.4330e-03     9.7937e-02
1.0000e-04     2.5530e-03     9.9352e-02
1.0000e-04     2.6800e-03     1.0000e-01
1.0000e-04     2.8130e-03     9.9786e-02
1.0000e-04     2.9520e-03     9.8639e-02
1.0000e-04     3.0980e-03     9.6513e-02
1.0000e-04     3.2520e-03     9.3369e-02
1.0000e-04     3.4130e-03     8.9244e-02
1.0000e-04     3.5820e-03     8.4179e-02
1.0000e-04     3.7600e-03     7.8243e-02
1.0000e-04     3.9460e-03     7.1616e-02
1.0000e-04     4.1410e-03     6.4449e-02
1.0000e-04     4.3470e-03     5.6884e-02
1.0000e-04     4.5620e-03     4.9234e-02
1.0000e-04     4.7880e-03     4.1673e-02
1.0000e-04     5.0250e-03     3.4439e-02
1.0000e-04     5.2740e-03     2.7720e-02
1.0000e-04     5.5350e-03     2.1691e-02
1.0000e-04     5.8100e-03     1.6438e-02
1.0000e-04     6.0980e-03     1.2051e-02
1.0000e-04     6.4000e-03     8.5214e-03
1.0000e-04     6.7170e-03     5.7921e-03
1.0000e-04     7.0500e-03     3.7712e-03
1.0000e-04     7.3990e-03     2.3468e-03
1.0000e-04     7.7650e-03     1.3908e-03
1.0000e-04     8.1500e-03     7.8079e-04
1.0000e-04     8.5540e-03     4.1426e-04
1.0000e-04     8.9780e-03     2.0692e-04
1.0000e-04     9.4230e-03     9.6948e-05
1.0000e-04     9.8890e-03     4.2535e-05
1.0000e-04     1.0380e-02     1.7333e-05
1.0000e-04     1.0890e-02     6.6373e-06
1.0000e-04     1.1430e-02     2.3466e-06
1.0000e-04     1.2000e-02     7.7191e-07
1.1310e-04     1.0000e-04     3.8013e-04
1.1310e-04     1.0500e-04     4.1903e-04
1.1310e-04     1.1020e-04     4.6149e-04
1.1310e-04     1.1560e-04     5.0774e-04
1.1310e-04     1.2130e-04     5.5894e-04
1.1310e-04     1.2740e-04     6.1643e-04
1.1310e-04     1.3370e-04     6.7874e-04
1.1310e-04     1.4030e-04     7.4722e-04
1.1310e-04     1.4720e-04     8.2229e-04
1.1310e-04     1.5450e-04     9.0558e-04
1.1310e-04     1.6220e-04     9.9774e-04
1.1310e-04     1.7020e-04     1.0982e-03
1.1310e-04     1.7870e-04     1.2101e-03
1.1310e-04     1.8750e-04     1.3316e-03
1.1310e-04     1.9680e-04     1.4662e-03
1.1310e-04     2.0660e-04     1.6149e-03
1.1310e-04     2.1680e-04     1.7772e-03
1.1310e-04     2.2750e-04     1.9557e-03
1.1310e-04     2.3880e-04     2.1531e-03
1.1310e-04     2.5060e-04     2.3692e-03
1.1310e-04     2.6300e-04     2.6071e-03
1.1310e-04     2.7610e-04     2.8704e-03
1.1310e-04     2.8980e-04     3.1588e-03
1.1310e-04     3.0410e-04     3.4740e-03
1.1310e-04     3.1920e-04     3.8223e-03
1.1310e-04     3.3500e-04     4.2039e-03
1.1310e-04     3.5160e-04     4.6232e-03
1.1310e-04     3.6900e-04     5.0830e-03
1.1310e-04     3.8730e-04     5.5886e-03
1.1310e-04     4.0650e-04     6.1429e-03
1.1310e-04     4.2660e-04     6.7492e-03
1.1310e-04     4.4780e-04     7.4169e-03
1.1310e-04     4.7000e-04     8.1467e-03
1.1310e-04     4.9320e-04     8.9421e-03
1.1310e-04     5.1770e-04     9.8177e-03
1.1310e-04     5.4330e-04     1.0771e-02
1.1310e-04     5.7030e-04     1.1817e-02
1.1310e-04     5.9850e-04     1.2953e-02
1.1310e-04     6.2820e-04     1.4196e-02
1.1310e-04     6.5930e-04     1.5547e-02
1.1310e-04     6.9190e-04     1.7015e-02
1.1310e-04     7.2620e-04     1.8613e-02
1.1310e-04     7.6220e-04     2.0348e-02
1.1310e-04     8.0000e-04     2.2228e-02
1.1310e-04     8.3960e-04     2.4257e-02
1.1310e-04     8.8120e-04     2.6448e-02
1.1310e-04     9.2490e-04     2.8809e-02
1.1310e-04     9.7070e-04     3.1343e-02
1.1310e-04     1.0190e-03     3.4069e-02
1.1310e-04     1.0690e-03     3.6940e-02
1.1310e-04     1.1220e-03     4.0027e-02
1.1310e-04     1.1780e-03     4.3321e-02
1.1310e-04     1.2360e-03     4.6752e-02
1.1310e-04     1.2970e-03     5.0363e-02
1.1310e-04     1.3620e-03     5.4193e-02
1.1310e-04     1.4290e-03     5.8096e-02
1.1310e-04     1.5000e-03     6.2158e-02
1.1310e-04     1.5740e-03     6.6279e-02
1.1310e-04     1.6520e-03     7.0467e-02
1.1310e-04     1.7340e-03     7.4663e-02
1.1310e-04     1.8200e-03     7.8800e-02
1.1310e-04     1.9100e-03     8.2803e-02
1.1310e-04     2.0050e-03     8.6629e-02
1.1310e-04     2.1040e-03     9.0146e-02
1.1310e-04     2.2090e-03     9.3320e-02
1.1310e-04     2.3180e-03     9.5985e-02
1.1310e-04     2.4330e-03     9.8087e-02
1.1310e-04     2.5530e-03     9.9502e-02
1.1310e-04     2.6800e-03     1.0015e-01
1.1310e-04     2.8130e-03     9.9931e-02
1.1310e-04     2.9520e-03     9.8781e-02
1.1310e-04     3.0980e-03     9.6649e-02
1.1310e-04     3.2520e-03     9.3497e-02
1.1310e-04     3.4130e-03     8.9364e-02
1.1310e-04     3.5820e-03     8.4290e-02
1.1310e-04     3.7600e-03     7.8344e-02
1.1310e-04     3.9460e-03     7.1706e-02
1.1310e-04     4.1410e-03     6.4528e-02
1.1310e-04     4.3470e-03     5.6953e-02
1.1310e-04     4.5620e-03     4.9293e-02
1.1310e-04     4.7880e-03     4.1722e-02
1.1310e-04     5.0250e-03     3.4480e-02
1.1310e-04     5.2740e-03     2.7753e-02
1.1310e-04     5.5350e-03     2.1717e-02
1.1310e-04     5.8100e-03     1.6458e-02
1.1310e-04     6.0980e-03     1.2067e-02
1.1310e-04     6.4000e-03     8.5327e-03
1.1310e-04     6.7170e-03     5.8000e-03
1.1310e-04     7.0500e-03     3.7767e-03
1.1310e-04     7.3990e-03     2.3504e-03
1.1310e-04     7.7650e-03     1.3930e-03
1.1310e-04     8.1500e-03     7.8209e-04
1.1310e-04     8.5540e-03     4.1497e-04
1.1310e-04     8.9780e-03     2.0729e-04
1.1310e-04     9.4230e-03     9.7125e-05
1.1310e-04     9.8890e-03     4.2614e-05
1.1310e-04     1.0380e-02     1.7365e-05
1.1310e-04     1.0890e-02     6.6493e-06
1.1310e-04     1.1430e-02     2.3506e-06
1.1310e-04     1.2000e-02     7.7312e-07
1.2800e-04     1.0000e-04     3.8087e-04
1.2800e-04     1.0500e-04     4.1985e-04
1.2800e-04     1.1020e-04     4.6239e-04
1.2800e-04     1.1560e-04     5.0873e-04
1.2800e-04     1.2130e-04     5.6003e-04
1.2800e-04     1.2740e-04     6.1764e-04
1.2800e-04     1.3370e-04     6.8007e-04
1.2800e-04     1.4030e-04     7.4868e-04
1.2800e-04     1.4720e-04     8.2389e-04
1.2800e-04     1.5450e-04     9.0735e-04
1.2800e-04     1.6220e-04     9.9969e-04
1.2800e-04     1.7020e-04     1.1003e-03
1.2800e-04     1.7870e-04     1.2124e-03
1.2800e-04     1.8750e-04     1.3342e-03
1.2800e-04     1.9680e-04     1.4691e-03
1.2800e-04     2.0660e-04     1.6181e-03
1.2800e-04     2.1680e-04     1.7807e-03
1.2800e-04     2.2750e-04     1.9595e-03
1.2800e-04     2.3880e-04     2.1573e-03
1.2800e-04     2.5060e-04     2.3738e-03
1.2800e-04     2.6300e-04     2.6122e-03
1.2800e-04     2.7610e-04     2.8760e-03
1.2800e-04     2.8980e-04     3.1649e-03
1.2800e-04     3.0410e-04     3.4807e-03
1.2800e-04     3.1920e-04     3.8298e-03
1.2800e-04     3.3500e-04     4.2121e-03
1.2800e-04     3.5160e-04     4.6323e-03
1.2800e-04     3.6900e-04     5.0929e-03
1.2800e-04     3.8730e-04     5.5994e-03
1.2800e-04     4.0650e-04     6.1549e-03
1.2800e-04     4.2660e-04     6.7624e-03
1.2800e-04     4.4780e-04     7.4314e-03
1.2800e-04     4.7000e-04     8.1626e-03
1.2800e-04     4.9320e-04     8.9595e-03
1.2800e-04     5.1770e-04     9.8368e-03
1.2800e-04     5.4330e-04     1.0792e-02
1.2800e-04     5.7030e-04     1.1840e-02
1.2800e-04     5.9850e-04     1.2978e-02
1.2800e-04     6.2820e-04     1.4224e-02
1.2800e-04     6.5930e-04     1.5577e-02
1.2800e-04     6.9190e-04     1.7048e-02
1.2800e-04     7.2620e-04     1.8650e-02
1.2800e-04     7.6220e-04     2.0387e-02
1.2800e-04     8.0000e-04     2.2271e-02
1.2800e-04     8.3960e-04     2.4303e-02
1.2800e-04     8.8120e-04     2.6499e-02
1.2800e-04     9.2490e-04     2.8865e-02
1.2800e-04     9.7070e-04     3.1403e-02
1.2800e-04     1.0190e-03     3.4134e-02
1.2800e-04     1.0690e-03     3.7011e-02
1.2800e-04     1.1220e-03     4.0103e-02
1.2800e-04     1.1780e-03     4.3403e-02
1.2800e-04     1.2360e-03     4.6840e-02
1.2800e-04     1.2970e-03     5.0458e-02
1.2800e-04     1.3620e-03     5.4295e-02
1.2800e-04     1.4290e-03     5.8206e-02
1.2800e-04     1.5000e-03     6.2274e-02
1.2800e-04     1.5740e-03     6.6402e-02
1.2800e-04     1.6520e-03     7.0598e-02
1.2800e-04     1.7340e-03     7.4801e-02
1.2800e-04     1.8200e-03     7.8944e-02
1.2800e-04     1.9100e-03     8.2953e-02
1.2800e-04     2.0050e-03     8.6785e-02
1.2800e-04     2.1040e-03     9.0307e-02
1.2800e-04     2.2090e-03     9.3485e-02
1.2800e-04     2.3180e-03     9.6153e-02
1.2800e-04     2.4330e-03     9.8256e-02
1.2800e-04     2.5530e-03     9.9672e-02
1.2800e-04     2.6800e-03     1.0032e-01
1.2800e-04     2.8130e-03     1.0010e-01
1.2800e-04     2.9520e-03     9.8941e-02
1.2800e-04     3.0980e-03     9.6802e-02
1.2800e-04     3.2520e-03     9.3642e-02
1.2800e-04     3.4130e-03     8.9500e-02
1.2800e-04     3.5820e-03     8.4415e-02
1.2800e-04     3.7600e-03     7.8457e-02
1.2800e-04     3.9460e-03     7.1808e-02
1.2800e-04     4.1410e-03     6.4618e-02
1.2800e-04     4.3470e-03     5.7030e-02
1.2800e-04     4.5620e-03     4.9359e-02
1.2800e-04     4.7880e-03     4.1777e-02
1.2800e-04     5.0250e-03     3.4526e-02
1.2800e-04     5.2740e-03     2.7790e-02
1.2800e-04     5.5350e-03     2.1747e-02
1.2800e-04     5.8100e-03     1.6481e-02
1.2800e-04     6.0980e-03     1.2084e-02
1.2800e-04     6.4000e-03     8.5453e-03
1.2800e-04     6.7170e-03     5.8090e-03
1.2800e-04     7.0500e-03     3.7828e-03
1.2800e-04     7.3990e-03     2.3544e-03
1.2800e-04     7.7650e-03     1.3955e-03
1.2800e-04     8.1500e-03     7.8355e-04
1.2800e-04     8.5540e-03     4.1578e-04
1.2800e-04     8.9780e-03     2.0771e-04
1.2800e-04     9.4230e-03     9.7325e-05
1.2800e-04     9.8890e-03     4.2703e-05
1.2800e-04     1.0380e-02     1.7402e-05
1.2800e-04     1.0890e-02     6.6628e-06
1.2800e-04     1.1430e-02     2.3551e-06
1.2800e-04     1.2000e-02     7.7448e-07
1.4480e-04     1.0000e-04     3.8171e-04
1.4480e-04     1.0500e-04     4.2077e-04
1.4480e-04     1.1020e-04     4.6341e-04
1.4480e-04     1.1560e-04     5.0985e-04
1.4480e-04     1.2130e-04     5.6126e-04
1.4480e-04     1.2740e-04     6.1899e-04
1.4480e-04     1.3370e-04     6.8156e-04
1.4480e-04     1.4030e-04     7.5032e-04
1.4480e-04     1.4720e-04     8.2570e-04
1.4480e-04     1.5450e-04     9.0934e-04
1.4480e-04     1.6220e-04     1.0019e-03
1.4480e-04     1.7020e-04     1.1027e-03
1.4480e-04     1.7870e-04     1.2151e-03
1.4480e-04     1.8750e-04     1.3371e-03
1.4480e-04     1.9680e-04     1.4723e-03
1.4480e-04     2.0660e-04     1.6216e-03
1.4480e-04     2.1680e-04     1.7846e-03
1.4480e-04     2.2750e-04     1.9638e-03
1.4480e-04     2.3880e-04     2.1621e-03
1.4480e-04     2.5060e-04     2.3790e-03
1.4480e-04     2.6300e-04     2.6179e-03
1.4480e-04     2.7610e-04     2.8823e-03
1.4480e-04     2.8980e-04     3.1719e-03
1.4480e-04     3.0410e-04     3.4883e-03
1.4480e-04     3.1920e-04     3.8382e-03
