 Element: Si
 Maximum L =  1
 Maximum kappa =  3
 No. of transitions =     3
 No. of channels =    48
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     3.8002e-02
1.1310e-04     1.0000e-03     3.8068e-02
1.2800e-04     1.0000e-03     3.8142e-02
1.4480e-04     1.0000e-03     3.8226e-02
1.6380e-04     1.0000e-03     3.8320e-02
1.8520e-04     1.0000e-03     3.8425e-02
2.0950e-04     1.0000e-03     3.8545e-02
2.3700e-04     1.0000e-03     3.8679e-02
2.6810e-04     1.0000e-03     3.8829e-02
3.0330e-04     1.0000e-03     3.8998e-02
3.4310e-04     1.0000e-03     3.9187e-02
3.8820e-04     1.0000e-03     3.9400e-02
4.3910e-04     1.0000e-03     3.9637e-02
4.9670e-04     1.0000e-03     3.9901e-02
5.6190e-04     1.0000e-03     4.0196e-02
6.3560e-04     1.0000e-03     4.0523e-02
7.1900e-04     1.0000e-03     4.0886e-02
8.1340e-04     1.0000e-03     4.1288e-02
9.2010e-04     1.0000e-03     4.1731e-02
1.0410e-03     1.0000e-03     4.2218e-02
1.1770e-03     1.0000e-03     4.2748e-02
1.3320e-03     1.0000e-03     4.3329e-02
1.5070e-03     1.0000e-03     4.3959e-02
1.7040e-03     1.0000e-03     4.4634e-02
1.9280e-03     1.0000e-03     4.5360e-02
2.1810e-03     1.0000e-03     4.6132e-02
2.4670e-03     1.0000e-03     4.6947e-02
2.7910e-03     1.0000e-03     4.7802e-02
3.1570e-03     1.0000e-03     4.8689e-02
3.5710e-03     1.0000e-03     4.9603e-02
4.0400e-03     1.0000e-03     5.0536e-02
4.5700e-03     1.0000e-03     5.1477e-02
5.1700e-03     1.0000e-03     5.2419e-02
5.8480e-03     1.0000e-03     5.3347e-02
6.6150e-03     1.0000e-03     5.4254e-02
7.4830e-03     1.0000e-03     5.5124e-02
8.4650e-03     1.0000e-03     5.5944e-02
9.5760e-03     1.0000e-03     5.6698e-02
1.0830e-02     1.0000e-03     5.7363e-02
1.2250e-02     1.0000e-03     5.7917e-02
1.3860e-02     1.0000e-03     5.8331e-02
1.5680e-02     1.0000e-03     5.8568e-02
1.7740e-02     1.0000e-03     5.8587e-02
2.0070e-02     1.0000e-03     5.8342e-02
2.2700e-02     1.0000e-03     5.7788e-02
2.5680e-02     1.0000e-03     5.6876e-02
2.9050e-02     1.0000e-03     5.5562e-02
3.2860e-02     1.0000e-03     5.3813e-02
3.7170e-02     1.0000e-03     5.1610e-02
4.2050e-02     1.0000e-03     4.8952e-02
4.7570e-02     1.0000e-03     4.5863e-02
5.3810e-02     1.0000e-03     4.2395e-02
6.0870e-02     1.0000e-03     3.8621e-02
6.8850e-02     1.0000e-03     3.4640e-02
7.7890e-02     1.0000e-03     3.0552e-02
8.8110e-02     1.0000e-03     2.6489e-02
9.9670e-02     1.0000e-03     2.2554e-02
1.1270e-01     1.0000e-03     1.8863e-02
1.2750e-01     1.0000e-03     1.5471e-02
1.4430e-01     1.0000e-03     1.2440e-02
1.6320e-01     1.0000e-03     9.8242e-03
1.8460e-01     1.0000e-03     7.6099e-03
2.0890e-01     1.0000e-03     5.7772e-03
2.3630e-01     1.0000e-03     4.3088e-03
2.6730e-01     1.0000e-03     3.1540e-03
3.0230e-01     1.0000e-03     2.2697e-03
3.4200e-01     1.0000e-03     1.6032e-03
3.8690e-01     1.0000e-03     1.1132e-03
4.3760e-01     1.0000e-03     7.6126e-04
4.9510e-01     1.0000e-03     5.1189e-04
5.6000e-01     1.0000e-03     3.3927e-04
6.3350e-01     1.0000e-03     2.2174e-04
7.1660e-01     1.0000e-03     1.4293e-04
8.1070e-01     1.0000e-03     9.1022e-05
9.1700e-01     1.0000e-03     5.7272e-05
1.0370e+00     1.0000e-03     3.5709e-05
1.1730e+00     1.0000e-03     2.1998e-05
1.3270e+00     1.0000e-03     1.3429e-05
1.5020e+00     1.0000e-03     8.1010e-06
1.6990e+00     1.0000e-03     4.8671e-06
1.9220e+00     1.0000e-03     2.8983e-06
2.1740e+00     1.0000e-03     1.7150e-06
2.4590e+00     1.0000e-03     1.0097e-06
2.7820e+00     1.0000e-03     5.8986e-07
3.1470e+00     1.0000e-03     3.4209e-07
3.5600e+00     1.0000e-03     1.9755e-07
4.0270e+00     1.0000e-03     1.1374e-07
4.5550e+00     1.0000e-03     6.4939e-08
5.1530e+00     1.0000e-03     3.6903e-08
5.8290e+00     1.0000e-03     2.0802e-08
6.5940e+00     1.0000e-03     1.1720e-08
7.4590e+00     1.0000e-03     6.5270e-09
8.4370e+00     1.0000e-03     3.6262e-09
9.5450e+00     1.0000e-03     2.0061e-09
1.0800e+01     1.0000e-03     1.1093e-09
1.2210e+01     1.0000e-03     6.0652e-10
1.3820e+01     1.0000e-03     3.2888e-10
1.5630e+01     1.0000e-03     1.7777e-10
1.7680e+01     1.0000e-03     9.6416e-11
2.0000e+01     1.0000e-03     5.0923e-11
