 Element: Si
 Maximum L =  1
 Maximum kappa =  3
 No. of transitions =     1
 No. of channels =    10
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     3.8319e+00
1.1310e-04     1.0000e-03     3.7964e+00
1.2800e-04     1.0000e-03     3.7565e+00
1.4480e-04     1.0000e-03     3.7120e+00
1.6380e-04     1.0000e-03     3.6626e+00
1.8520e-04     1.0000e-03     3.6078e+00
2.0950e-04     1.0000e-03     3.5468e+00
2.3700e-04     1.0000e-03     3.4792e+00
2.6810e-04     1.0000e-03     3.4047e+00
3.0330e-04     1.0000e-03     3.3227e+00
3.4310e-04     1.0000e-03     3.2328e+00
3.8820e-04     1.0000e-03     3.1344e+00
4.3910e-04     1.0000e-03     3.0277e+00
4.9670e-04     1.0000e-03     2.9121e+00
5.6190e-04     1.0000e-03     2.7876e+00
6.3560e-04     1.0000e-03     2.6545e+00
7.1900e-04     1.0000e-03     2.5129e+00
8.1340e-04     1.0000e-03     2.3633e+00
9.2010e-04     1.0000e-03     2.2068e+00
1.0410e-03     1.0000e-03     2.0441e+00
1.1770e-03     1.0000e-03     1.8777e+00
1.3320e-03     1.0000e-03     1.7072e+00
1.5070e-03     1.0000e-03     1.5361e+00
1.7040e-03     1.0000e-03     1.3669e+00
1.9280e-03     1.0000e-03     1.2004e+00
2.1810e-03     1.0000e-03     1.0399e+00
2.4670e-03     1.0000e-03     8.8763e-01
2.7910e-03     1.0000e-03     7.4525e-01
3.1570e-03     1.0000e-03     6.1498e-01
3.5710e-03     1.0000e-03     4.9800e-01
4.0400e-03     1.0000e-03     3.9508e-01
4.5700e-03     1.0000e-03     3.0685e-01
5.1700e-03     1.0000e-03     2.3298e-01
5.8480e-03     1.0000e-03     1.7292e-01
6.6150e-03     1.0000e-03     1.2549e-01
7.4830e-03     1.0000e-03     8.9259e-02
8.4650e-03     1.0000e-03     6.2602e-02
9.5760e-03     1.0000e-03     4.3808e-02
1.0830e-02     1.0000e-03     3.1213e-02
1.2250e-02     1.0000e-03     2.3212e-02
1.3860e-02     1.0000e-03     1.8456e-02
1.5680e-02     1.0000e-03     1.5839e-02
1.7740e-02     1.0000e-03     1.4478e-02
2.0070e-02     1.0000e-03     1.3737e-02
2.2700e-02     1.0000e-03     1.3190e-02
2.5680e-02     1.0000e-03     1.2585e-02
2.9050e-02     1.0000e-03     1.1806e-02
3.2860e-02     1.0000e-03     1.0832e-02
3.7170e-02     1.0000e-03     9.6957e-03
4.2050e-02     1.0000e-03     8.4617e-03
4.7570e-02     1.0000e-03     7.2028e-03
5.3810e-02     1.0000e-03     5.9859e-03
6.0870e-02     1.0000e-03     4.8611e-03
6.8850e-02     1.0000e-03     3.8628e-03
7.7890e-02     1.0000e-03     3.0057e-03
8.8110e-02     1.0000e-03     2.2946e-03
9.9670e-02     1.0000e-03     1.7202e-03
1.1270e-01     1.0000e-03     1.2695e-03
1.2750e-01     1.0000e-03     9.2125e-04
1.4430e-01     1.0000e-03     6.5828e-04
1.6320e-01     1.0000e-03     4.6495e-04
1.8460e-01     1.0000e-03     3.2424e-04
2.0890e-01     1.0000e-03     2.2316e-04
2.3630e-01     1.0000e-03     1.5210e-04
2.6730e-01     1.0000e-03     1.0255e-04
3.0230e-01     1.0000e-03     6.8512e-05
3.4200e-01     1.0000e-03     4.5255e-05
3.8690e-01     1.0000e-03     2.9594e-05
4.3760e-01     1.0000e-03     1.9188e-05
4.9510e-01     1.0000e-03     1.2303e-05
5.6000e-01     1.0000e-03     7.8170e-06
6.3350e-01     1.0000e-03     4.9200e-06
7.1660e-01     1.0000e-03     3.0660e-06
8.1070e-01     1.0000e-03     1.8941e-06
9.1700e-01     1.0000e-03     1.1594e-06
1.0370e+00     1.0000e-03     7.0503e-07
1.1730e+00     1.0000e-03     4.2446e-07
1.3270e+00     1.0000e-03     2.5370e-07
1.5020e+00     1.0000e-03     1.5007e-07
1.6990e+00     1.0000e-03     8.8562e-08
1.9220e+00     1.0000e-03     5.1872e-08
2.1740e+00     1.0000e-03     3.0231e-08
2.4590e+00     1.0000e-03     1.7553e-08
2.7820e+00     1.0000e-03     1.0126e-08
3.1470e+00     1.0000e-03     5.8058e-09
3.5600e+00     1.0000e-03     3.3185e-09
4.0270e+00     1.0000e-03     1.8934e-09
4.5550e+00     1.0000e-03     1.0723e-09
5.1530e+00     1.0000e-03     6.0505e-10
5.8290e+00     1.0000e-03     3.3896e-10
6.5940e+00     1.0000e-03     1.8996e-10
7.4590e+00     1.0000e-03     1.0532e-10
8.4370e+00     1.0000e-03     5.8289e-11
9.5450e+00     1.0000e-03     3.2145e-11
1.0800e+01     1.0000e-03     1.7730e-11
1.2210e+01     1.0000e-03     9.6737e-12
1.3820e+01     1.0000e-03     5.2376e-12
1.5630e+01     1.0000e-03     2.8275e-12
1.7680e+01     1.0000e-03     1.5325e-12
2.0000e+01     1.0000e-03     8.0907e-13
