 Element: Si
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =     1
 No. of channels =    88
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     1.2154e-01
1.0000e-04     2.2020e-04     2.7509e-01
1.0000e-04     3.4040e-04     5.4129e-01
1.0000e-04     4.6060e-04     9.1579e-01
1.0000e-04     5.8080e-04     1.3924e+00
1.0000e-04     7.0100e-04     1.9628e+00
1.0000e-04     8.2120e-04     2.6171e+00
1.0000e-04     9.4140e-04     3.3432e+00
1.0000e-04     1.0620e-03     4.1301e+00
1.0000e-04     1.1820e-03     4.9558e+00
1.0000e-04     1.3020e-03     5.8074e+00
1.0000e-04     1.4220e-03     6.6673e+00
1.0000e-04     1.5420e-03     7.5175e+00
1.0000e-04     1.6630e-03     8.3463e+00
1.0000e-04     1.7830e-03     9.1222e+00
1.0000e-04     1.9030e-03     9.8356e+00
1.0000e-04     2.0230e-03     1.0471e+01
1.0000e-04     2.1430e-03     1.1016e+01
1.0000e-04     2.2640e-03     1.1463e+01
1.0000e-04     2.3840e-03     1.1796e+01
1.0000e-04     2.5040e-03     1.2016e+01
1.0000e-04     2.6240e-03     1.2120e+01
1.0000e-04     2.7440e-03     1.2110e+01
1.0000e-04     2.8650e-03     1.1989e+01
1.0000e-04     2.9850e-03     1.1766e+01
1.0000e-04     3.1050e-03     1.1449e+01
1.0000e-04     3.2250e-03     1.1049e+01
1.0000e-04     3.3450e-03     1.0578e+01
1.0000e-04     3.4660e-03     1.0045e+01
1.0000e-04     3.5860e-03     9.4700e+00
1.0000e-04     3.7060e-03     8.8632e+00
1.0000e-04     3.8260e-03     8.2367e+00
1.0000e-04     3.9460e-03     7.6020e+00
1.0000e-04     4.0670e-03     6.9642e+00
1.0000e-04     4.1870e-03     6.3433e+00
1.0000e-04     4.3070e-03     5.7415e+00
1.0000e-04     4.4270e-03     5.1653e+00
1.0000e-04     4.5470e-03     4.6196e+00
1.0000e-04     4.6680e-03     4.1039e+00
1.0000e-04     4.7880e-03     3.6292e+00
1.0000e-04     4.9080e-03     3.1923e+00
1.0000e-04     5.0280e-03     2.7935e+00
