 Element: Si
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =     1
 No. of channels =    88
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     1.2154e-01
1.0000e-04     1.0500e-04     1.2564e-01
1.0000e-04     1.1020e-04     1.3012e-01
1.0000e-04     1.1560e-04     1.3500e-01
1.0000e-04     1.2130e-04     1.4040e-01
1.0000e-04     1.2740e-04     1.4647e-01
1.0000e-04     1.3370e-04     1.5305e-01
1.0000e-04     1.4030e-04     1.6028e-01
1.0000e-04     1.4720e-04     1.6820e-01
1.0000e-04     1.5450e-04     1.7700e-01
1.0000e-04     1.6220e-04     1.8674e-01
1.0000e-04     1.7020e-04     1.9735e-01
1.0000e-04     1.7870e-04     2.0918e-01
1.0000e-04     1.8750e-04     2.2202e-01
1.0000e-04     1.9680e-04     2.3626e-01
1.0000e-04     2.0660e-04     2.5200e-01
1.0000e-04     2.1680e-04     2.6918e-01
1.0000e-04     2.2750e-04     2.8808e-01
1.0000e-04     2.3880e-04     3.0900e-01
1.0000e-04     2.5060e-04     3.3191e-01
1.0000e-04     2.6300e-04     3.5714e-01
1.0000e-04     2.7610e-04     3.8509e-01
1.0000e-04     2.8980e-04     4.1573e-01
1.0000e-04     3.0410e-04     4.4924e-01
1.0000e-04     3.1920e-04     4.8632e-01
1.0000e-04     3.3500e-04     5.2696e-01
1.0000e-04     3.5160e-04     5.7169e-01
1.0000e-04     3.6900e-04     6.2078e-01
1.0000e-04     3.8730e-04     6.7483e-01
1.0000e-04     4.0650e-04     7.3418e-01
1.0000e-04     4.2660e-04     7.9920e-01
1.0000e-04     4.4780e-04     8.7093e-01
1.0000e-04     4.7000e-04     9.4947e-01
1.0000e-04     4.9320e-04     1.0353e+00
1.0000e-04     5.1770e-04     1.1299e+00
1.0000e-04     5.4330e-04     1.2332e+00
1.0000e-04     5.7030e-04     1.3469e+00
1.0000e-04     5.9850e-04     1.4707e+00
1.0000e-04     6.2820e-04     1.6066e+00
