 Element: Si
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =     2
 No. of channels =    92
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     1.4610e-04
1.0000e-04     1.0500e-04     1.6192e-04
1.0000e-04     1.1020e-04     1.7937e-04
1.0000e-04     1.1560e-04     1.9859e-04
1.0000e-04     1.2130e-04     2.2013e-04
1.0000e-04     1.2740e-04     2.4466e-04
1.0000e-04     1.3370e-04     2.7164e-04
1.0000e-04     1.4030e-04     3.0176e-04
1.0000e-04     1.4720e-04     3.3536e-04
1.0000e-04     1.5450e-04     3.7335e-04
1.0000e-04     1.6220e-04     4.1624e-04
1.0000e-04     1.7020e-04     4.6402e-04
1.0000e-04     1.7870e-04     5.1854e-04
1.0000e-04     1.8750e-04     5.7924e-04
1.0000e-04     1.9680e-04     6.4835e-04
1.0000e-04     2.0660e-04     7.2698e-04
1.0000e-04     2.1680e-04     8.1549e-04
1.0000e-04     2.2750e-04     9.1609e-04
1.0000e-04     2.3880e-04     1.0314e-03
1.0000e-04     2.5060e-04     1.1625e-03
1.0000e-04     2.6300e-04     1.3127e-03
1.0000e-04     2.7610e-04     1.4861e-03
1.0000e-04     2.8980e-04     1.6847e-03
1.0000e-04     3.0410e-04     1.9122e-03
1.0000e-04     3.1920e-04     2.1765e-03
1.0000e-04     3.3500e-04     2.4813e-03
1.0000e-04     3.5160e-04     2.8350e-03
1.0000e-04     3.6900e-04     3.2453e-03
1.0000e-04     3.8730e-04     3.7240e-03
1.0000e-04     4.0650e-04     4.2821e-03
1.0000e-04     4.2660e-04     4.9326e-03
1.0000e-04     4.4780e-04     5.6978e-03
1.0000e-04     4.7000e-04     6.5932e-03
1.0000e-04     4.9320e-04     7.6399e-03
1.0000e-04     5.1770e-04     8.8784e-03
1.0000e-04     5.4330e-04     1.0330e-02
1.0000e-04     5.7030e-04     1.2051e-02
1.0000e-04     5.9850e-04     1.4071e-02
1.0000e-04     6.2820e-04     1.6466e-02
1.0000e-04     6.5930e-04     1.9290e-02
1.0000e-04     6.9190e-04     2.2626e-02
1.0000e-04     7.2620e-04     2.6582e-02
1.0000e-04     7.6220e-04     3.1263e-02
1.0000e-04     8.0000e-04     3.6806e-02
1.0000e-04     8.3960e-04     4.3352e-02
1.0000e-04     8.8120e-04     5.1102e-02
1.0000e-04     9.2490e-04     6.0270e-02
1.0000e-04     9.7070e-04     7.1084e-02
1.0000e-04     1.0190e-03     8.3907e-02
1.0000e-04     1.0690e-03     9.8805e-02
1.0000e-04     1.1220e-03     1.1650e-01
1.0000e-04     1.1780e-03     1.3742e-01
1.0000e-04     1.2360e-03     1.6162e-01
1.0000e-04     1.2970e-03     1.8994e-01
1.0000e-04     1.3620e-03     2.2345e-01
1.0000e-04     1.4290e-03     2.6169e-01
1.0000e-04     1.5000e-03     3.0635e-01
1.0000e-04     1.5740e-03     3.5744e-01
1.0000e-04     1.6520e-03     4.1625e-01
