 Element: Si
 Maximum L =  1
 Maximum kappa =  3
 No. of transitions =     2
 No. of channels =    20
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     1.4381e-02
1.1310e-04     1.0000e-03     1.4398e-02
1.2800e-04     1.0000e-03     1.4418e-02
1.4480e-04     1.0000e-03     1.4441e-02
1.6380e-04     1.0000e-03     1.4469e-02
1.8520e-04     1.0000e-03     1.4501e-02
2.0950e-04     1.0000e-03     1.4538e-02
2.3700e-04     1.0000e-03     1.4583e-02
2.6810e-04     1.0000e-03     1.4636e-02
3.0330e-04     1.0000e-03     1.4700e-02
3.4310e-04     1.0000e-03     1.4775e-02
3.8820e-04     1.0000e-03     1.4865e-02
4.3910e-04     1.0000e-03     1.4972e-02
4.9670e-04     1.0000e-03     1.5101e-02
5.6190e-04     1.0000e-03     1.5255e-02
6.3560e-04     1.0000e-03     1.5439e-02
7.1900e-04     1.0000e-03     1.5659e-02
8.1340e-04     1.0000e-03     1.5922e-02
9.2010e-04     1.0000e-03     1.6235e-02
1.0410e-03     1.0000e-03     1.6607e-02
1.1770e-03     1.0000e-03     1.7045e-02
1.3320e-03     1.0000e-03     1.7562e-02
1.5070e-03     1.0000e-03     1.8165e-02
1.7040e-03     1.0000e-03     1.8859e-02
1.9280e-03     1.0000e-03     1.9658e-02
2.1810e-03     1.0000e-03     2.0561e-02
2.4670e-03     1.0000e-03     2.1567e-02
2.7910e-03     1.0000e-03     2.2674e-02
3.1570e-03     1.0000e-03     2.3865e-02
3.5710e-03     1.0000e-03     2.5120e-02
4.0400e-03     1.0000e-03     2.6409e-02
4.5700e-03     1.0000e-03     2.7688e-02
5.1700e-03     1.0000e-03     2.8906e-02
5.8480e-03     1.0000e-03     3.0003e-02
6.6150e-03     1.0000e-03     3.0916e-02
7.4830e-03     1.0000e-03     3.1579e-02
8.4650e-03     1.0000e-03     3.1931e-02
9.5760e-03     1.0000e-03     3.1920e-02
1.0830e-02     1.0000e-03     3.1514e-02
1.2250e-02     1.0000e-03     3.0696e-02
1.3860e-02     1.0000e-03     2.9472e-02
1.5680e-02     1.0000e-03     2.7877e-02
1.7740e-02     1.0000e-03     2.5964e-02
2.0070e-02     1.0000e-03     2.3806e-02
2.2700e-02     1.0000e-03     2.1489e-02
2.5680e-02     1.0000e-03     1.9091e-02
2.9050e-02     1.0000e-03     1.6698e-02
3.2860e-02     1.0000e-03     1.4386e-02
3.7170e-02     1.0000e-03     1.2211e-02
4.2050e-02     1.0000e-03     1.0217e-02
4.7570e-02     1.0000e-03     8.4332e-03
5.3810e-02     1.0000e-03     6.8721e-03
6.0870e-02     1.0000e-03     5.5319e-03
6.8850e-02     1.0000e-03     4.4034e-03
7.7890e-02     1.0000e-03     3.4671e-03
8.8110e-02     1.0000e-03     2.7040e-03
9.9670e-02     1.0000e-03     2.0898e-03
1.1270e-01     1.0000e-03     1.6033e-03
1.2750e-01     1.0000e-03     1.2195e-03
1.4430e-01     1.0000e-03     9.2030e-04
1.6320e-01     1.0000e-03     6.9108e-04
1.8460e-01     1.0000e-03     5.1565e-04
2.0890e-01     1.0000e-03     3.8206e-04
2.3630e-01     1.0000e-03     2.8179e-04
2.6730e-01     1.0000e-03     2.0663e-04
3.0230e-01     1.0000e-03     1.5075e-04
3.4200e-01     1.0000e-03     1.0923e-04
3.8690e-01     1.0000e-03     7.8676e-05
4.3760e-01     1.0000e-03     5.6336e-05
4.9510e-01     1.0000e-03     4.0042e-05
5.6000e-01     1.0000e-03     2.8292e-05
6.3350e-01     1.0000e-03     1.9841e-05
7.1660e-01     1.0000e-03     1.3815e-05
8.1070e-01     1.0000e-03     9.5477e-06
9.1700e-01     1.0000e-03     6.5554e-06
1.0370e+00     1.0000e-03     4.4686e-06
1.1730e+00     1.0000e-03     3.0264e-06
1.3270e+00     1.0000e-03     2.0330e-06
1.5020e+00     1.0000e-03     1.3538e-06
1.6990e+00     1.0000e-03     8.9806e-07
1.9220e+00     1.0000e-03     5.9228e-07
2.1740e+00     1.0000e-03     3.8920e-07
2.4590e+00     1.0000e-03     2.5335e-07
2.7820e+00     1.0000e-03     1.6452e-07
3.1470e+00     1.0000e-03     1.0632e-07
3.5600e+00     1.0000e-03     6.8187e-08
4.0270e+00     1.0000e-03     4.3487e-08
4.5550e+00     1.0000e-03     2.7754e-08
5.1530e+00     1.0000e-03     1.7510e-08
5.8290e+00     1.0000e-03     1.1063e-08
6.5940e+00     1.0000e-03     6.9162e-09
7.4590e+00     1.0000e-03     4.3436e-09
8.4370e+00     1.0000e-03     2.6986e-09
9.5450e+00     1.0000e-03     1.6694e-09
1.0800e+01     1.0000e-03     1.0174e-09
1.2210e+01     1.0000e-03     6.2855e-10
1.3820e+01     1.0000e-03     3.8116e-10
1.5630e+01     1.0000e-03     2.3328e-10
1.7680e+01     1.0000e-03     1.4002e-10
2.0000e+01     1.0000e-03     8.5458e-11
