 Element: Si
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions = 13
 No. of channels = 766
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     1.6068e-01
1.0000e-04     2.2020e-04     4.6485e-01
1.0000e-04     3.4040e-04     9.9454e-01
1.0000e-04     4.6060e-04     1.7449e+00
1.0000e-04     5.8080e-04     2.7085e+00
1.0000e-04     7.0100e-04     3.8751e+00
1.0000e-04     8.2120e-04     5.2311e+00
1.0000e-04     9.4140e-04     6.7592e+00
1.0000e-04     1.0620e-03     8.4441e+00
1.0000e-04     1.1820e-03     1.0246e+01
1.0000e-04     1.3020e-03     1.2145e+01
1.0000e-04     1.4220e-03     1.4107e+01
1.0000e-04     1.5420e-03     1.6097e+01
1.0000e-04     1.6630e-03     1.8094e+01
1.0000e-04     1.7830e-03     2.0026e+01
1.0000e-04     1.9030e-03     2.1872e+01
1.0000e-04     2.0230e-03     2.3593e+01
1.0000e-04     2.1430e-03     2.5155e+01
1.0000e-04     2.2640e-03     2.6538e+01
1.0000e-04     2.3840e-03     2.7693e+01
1.0000e-04     2.5040e-03     2.8612e+01
1.0000e-04     2.6240e-03     2.9279e+01
1.0000e-04     2.7440e-03     2.9689e+01
1.0000e-04     2.8650e-03     2.9840e+01
1.0000e-04     2.9850e-03     2.9735e+01
1.0000e-04     3.1050e-03     2.9388e+01
1.0000e-04     3.2250e-03     2.8815e+01
1.0000e-04     3.3450e-03     2.8037e+01
1.0000e-04     3.4660e-03     2.7070e+01
1.0000e-04     3.5860e-03     2.5955e+01
1.0000e-04     3.7060e-03     2.4714e+01
1.0000e-04     3.8260e-03     2.3374e+01
1.0000e-04     3.9460e-03     2.1964e+01
1.0000e-04     4.0670e-03     2.0497e+01
1.0000e-04     4.1870e-03     1.9022e+01
1.0000e-04     4.3070e-03     1.7550e+01
1.0000e-04     4.4270e-03     1.6100e+01
1.0000e-04     4.5470e-03     1.4689e+01
1.0000e-04     4.6680e-03     1.3320e+01
1.0000e-04     4.7880e-03     1.2026e+01
1.0000e-04     4.9080e-03     1.0805e+01
1.0000e-04     5.0280e-03     9.6609e+00
1.0000e-04     5.1480e-03     8.5986e+00
1.0000e-04     5.2690e-03     7.6115e+00
1.0000e-04     5.3890e-03     6.7156e+00
1.0000e-04     5.5090e-03     5.9009e+00
1.0000e-04     5.6290e-03     5.1644e+00
1.0000e-04     5.7490e-03     4.5025e+00
1.0000e-04     5.8700e-03     3.9064e+00
1.0000e-04     5.9900e-03     3.3811e+00
1.0000e-04     6.1100e-03     2.9163e+00
1.0000e-04     6.2300e-03     2.5071e+00
1.0000e-04     6.3510e-03     2.1457e+00
1.0000e-04     6.4710e-03     1.8330e+00
1.0000e-04     6.5910e-03     1.5611e+00
1.0000e-04     6.7110e-03     1.3258e+00
1.0000e-04     6.8310e-03     1.1227e+00
1.0000e-04     6.9520e-03     9.4687e-01
1.0000e-04     7.0720e-03     7.9755e-01
1.0000e-04     7.1920e-03     6.7005e-01
1.0000e-04     7.3120e-03     5.6152e-01
1.0000e-04     7.4320e-03     4.6943e-01
1.0000e-04     7.5530e-03     3.9092e-01
1.0000e-04     7.6730e-03     3.2527e-01
1.0000e-04     7.7930e-03     2.7004e-01
1.0000e-04     7.9130e-03     2.2369e-01
1.0000e-04     8.0330e-03     1.8490e-01
1.0000e-04     8.1540e-03     1.5227e-01
1.0000e-04     8.2740e-03     1.2533e-01
1.0000e-04     8.3940e-03     1.0296e-01
1.0000e-04     8.5140e-03     8.4407e-02
1.0000e-04     8.6340e-03     6.9066e-02
1.0000e-04     8.7550e-03     5.6309e-02
1.0000e-04     8.8750e-03     4.5901e-02
1.0000e-04     8.9950e-03     3.7348e-02
1.0000e-04     9.1150e-03     3.0334e-02
1.0000e-04     9.2350e-03     2.4594e-02
1.0000e-04     9.3560e-03     1.9871e-02
1.0000e-04     9.4760e-03     1.6055e-02
1.0000e-04     9.5960e-03     1.2951e-02
1.0000e-04     9.7160e-03     1.0431e-02
1.0000e-04     9.8360e-03     8.3872e-03
1.0000e-04     9.9570e-03     6.7214e-03
1.0000e-04     1.0080e-02     5.3583e-03
1.0000e-04     1.0200e-02     4.2890e-03
1.0000e-04     1.0320e-02     3.4282e-03
1.0000e-04     1.0440e-02     2.7363e-03
1.0000e-04     1.0560e-02     2.1812e-03
1.0000e-04     1.0680e-02     1.7365e-03
1.0000e-04     1.0800e-02     1.3807e-03
1.0000e-04     1.0920e-02     1.0965e-03
1.0000e-04     1.1040e-02     8.6975e-04
1.0000e-04     1.1160e-02     6.8916e-04
1.0000e-04     1.1280e-02     5.4551e-04
1.0000e-04     1.1400e-02     4.3137e-04
1.0000e-04     1.1520e-02     3.4081e-04
1.0000e-04     1.1640e-02     2.6902e-04
1.0000e-04     1.1760e-02     2.1219e-04
1.0000e-04     1.1880e-02     1.6725e-04
1.0000e-04     1.2000e-02     1.3174e-04
1.1310e-04     1.0000e-04     1.5944e-01
1.1310e-04     2.2020e-04     4.6115e-01
1.1310e-04     3.4040e-04     9.8662e-01
1.1310e-04     4.6060e-04     1.7311e+00
1.1310e-04     5.8080e-04     2.6873e+00
1.1310e-04     7.0100e-04     3.8452e+00
1.1310e-04     8.2120e-04     5.1913e+00
1.1310e-04     9.4140e-04     6.7088e+00
1.1310e-04     1.0620e-03     8.3825e+00
1.1310e-04     1.1820e-03     1.0173e+01
1.1310e-04     1.3020e-03     1.2060e+01
1.1310e-04     1.4220e-03     1.4012e+01
1.1310e-04     1.5420e-03     1.5992e+01
1.1310e-04     1.6630e-03     1.7980e+01
1.1310e-04     1.7830e-03     1.9905e+01
1.1310e-04     1.9030e-03     2.1744e+01
1.1310e-04     2.0230e-03     2.3460e+01
1.1310e-04     2.1430e-03     2.5019e+01
1.1310e-04     2.2640e-03     2.6401e+01
1.1310e-04     2.3840e-03     2.7556e+01
1.1310e-04     2.5040e-03     2.8477e+01
1.1310e-04     2.6240e-03     2.9148e+01
1.1310e-04     2.7440e-03     2.9563e+01
1.1310e-04     2.8650e-03     2.9720e+01
1.1310e-04     2.9850e-03     2.9621e+01
1.1310e-04     3.1050e-03     2.9282e+01
1.1310e-04     3.2250e-03     2.8717e+01
1.1310e-04     3.3450e-03     2.7947e+01
1.1310e-04     3.4660e-03     2.6988e+01
1.1310e-04     3.5860e-03     2.5882e+01
1.1310e-04     3.7060e-03     2.4649e+01
1.1310e-04     3.8260e-03     2.3317e+01
1.1310e-04     3.9460e-03     2.1914e+01
1.1310e-04     4.0670e-03     2.0453e+01
1.1310e-04     4.1870e-03     1.8985e+01
1.1310e-04     4.3070e-03     1.7518e+01
1.1310e-04     4.4270e-03     1.6073e+01
1.1310e-04     4.5470e-03     1.4666e+01
1.1310e-04     4.6680e-03     1.3301e+01
1.1310e-04     4.7880e-03     1.2010e+01
1.1310e-04     4.9080e-03     1.0791e+01
1.1310e-04     5.0280e-03     9.6501e+00
1.1310e-04     5.1480e-03     8.5899e+00
1.1310e-04     5.2690e-03     7.6045e+00
1.1310e-04     5.3890e-03     6.7100e+00
1.1310e-04     5.5090e-03     5.8964e+00
1.1310e-04     5.6290e-03     5.1609e+00
1.1310e-04     5.7490e-03     4.4998e+00
1.1310e-04     5.8700e-03     3.9043e+00
1.1310e-04     5.9900e-03     3.3795e+00
1.1310e-04     6.1100e-03     2.9151e+00
1.1310e-04     6.2300e-03     2.5062e+00
1.1310e-04     6.3510e-03     2.1450e+00
1.1310e-04     6.4710e-03     1.8325e+00
1.1310e-04     6.5910e-03     1.5608e+00
1.1310e-04     6.7110e-03     1.3256e+00
1.1310e-04     6.8310e-03     1.1226e+00
1.1310e-04     6.9520e-03     9.4680e-01
1.1310e-04     7.0720e-03     7.9752e-01
1.1310e-04     7.1920e-03     6.7005e-01
1.1310e-04     7.3120e-03     5.6154e-01
1.1310e-04     7.4320e-03     4.6947e-01
1.1310e-04     7.5530e-03     3.9096e-01
1.1310e-04     7.6730e-03     3.2532e-01
1.1310e-04     7.7930e-03     2.7009e-01
1.1310e-04     7.9130e-03     2.2374e-01
1.1310e-04     8.0330e-03     1.8494e-01
1.1310e-04     8.1540e-03     1.5231e-01
1.1310e-04     8.2740e-03     1.2537e-01
1.1310e-04     8.3940e-03     1.0299e-01
1.1310e-04     8.5140e-03     8.4437e-02
1.1310e-04     8.6340e-03     6.9092e-02
1.1310e-04     8.7550e-03     5.6332e-02
1.1310e-04     8.8750e-03     4.5920e-02
1.1310e-04     8.9950e-03     3.7364e-02
1.1310e-04     9.1150e-03     3.0348e-02
1.1310e-04     9.2350e-03     2.4606e-02
1.1310e-04     9.3560e-03     1.9881e-02
1.1310e-04     9.4760e-03     1.6064e-02
1.1310e-04     9.5960e-03     1.2959e-02
1.1310e-04     9.7160e-03     1.0437e-02
1.1310e-04     9.8360e-03     8.3924e-03
1.1310e-04     9.9570e-03     6.7256e-03
1.1310e-04     1.0080e-02     5.3618e-03
1.1310e-04     1.0200e-02     4.2919e-03
1.1310e-04     1.0320e-02     3.4305e-03
1.1310e-04     1.0440e-02     2.7383e-03
1.1310e-04     1.0560e-02     2.1828e-03
1.1310e-04     1.0680e-02     1.7377e-03
1.1310e-04     1.0800e-02     1.3817e-03
1.1310e-04     1.0920e-02     1.0973e-03
1.1310e-04     1.1040e-02     8.7043e-04
1.1310e-04     1.1160e-02     6.8971e-04
1.1310e-04     1.1280e-02     5.4595e-04
1.1310e-04     1.1400e-02     4.3173e-04
1.1310e-04     1.1520e-02     3.4109e-04
1.1310e-04     1.1640e-02     2.6925e-04
1.1310e-04     1.1760e-02     2.1237e-04
1.1310e-04     1.1880e-02     1.6739e-04
1.1310e-04     1.2000e-02     1.3185e-04
1.2800e-04     1.0000e-04     1.5803e-01
1.2800e-04     2.2020e-04     4.5699e-01
1.2800e-04     3.4040e-04     9.7769e-01
1.2800e-04     4.6060e-04     1.7155e+00
1.2800e-04     5.8080e-04     2.6634e+00
1.2800e-04     7.0100e-04     3.8114e+00
1.2800e-04     8.2120e-04     5.1465e+00
1.2800e-04     9.4140e-04     6.6520e+00
1.2800e-04     1.0620e-03     8.3131e+00
1.2800e-04     1.1820e-03     1.0091e+01
1.2800e-04     1.3020e-03     1.1965e+01
1.2800e-04     1.4220e-03     1.3904e+01
1.2800e-04     1.5420e-03     1.5873e+01
1.2800e-04     1.6630e-03     1.7851e+01
1.2800e-04     1.7830e-03     1.9767e+01
1.2800e-04     1.9030e-03     2.1599e+01
1.2800e-04     2.0230e-03     2.3310e+01
1.2800e-04     2.1430e-03     2.4866e+01
1.2800e-04     2.2640e-03     2.6246e+01
1.2800e-04     2.3840e-03     2.7402e+01
1.2800e-04     2.5040e-03     2.8324e+01
1.2800e-04     2.6240e-03     2.8999e+01
1.2800e-04     2.7440e-03     2.9419e+01
1.2800e-04     2.8650e-03     2.9583e+01
1.2800e-04     2.9850e-03     2.9493e+01
1.2800e-04     3.1050e-03     2.9162e+01
1.2800e-04     3.2250e-03     2.8606e+01
1.2800e-04     3.3450e-03     2.7845e+01
1.2800e-04     3.4660e-03     2.6896e+01
1.2800e-04     3.5860e-03     2.5799e+01
1.2800e-04     3.7060e-03     2.4575e+01
1.2800e-04     3.8260e-03     2.3251e+01
1.2800e-04     3.9460e-03     2.1856e+01
1.2800e-04     4.0670e-03     2.0403e+01
1.2800e-04     4.1870e-03     1.8942e+01
1.2800e-04     4.3070e-03     1.7481e+01
1.2800e-04     4.4270e-03     1.6042e+01
1.2800e-04     4.5470e-03     1.4640e+01
1.2800e-04     4.6680e-03     1.3279e+01
1.2800e-04     4.7880e-03     1.1992e+01
1.2800e-04     4.9080e-03     1.0776e+01
1.2800e-04     5.0280e-03     9.6378e+00
1.2800e-04     5.1480e-03     8.5799e+00
1.2800e-04     5.2690e-03     7.5964e+00
1.2800e-04     5.3890e-03     6.7036e+00
1.2800e-04     5.5090e-03     5.8913e+00
1.2800e-04     5.6290e-03     5.1569e+00
1.2800e-04     5.7490e-03     4.4967e+00
1.2800e-04     5.8700e-03     3.9019e+00
1.2800e-04     5.9900e-03     3.3776e+00
1.2800e-04     6.1100e-03     2.9137e+00
1.2800e-04     6.2300e-03     2.5052e+00
1.2800e-04     6.3510e-03     2.1443e+00
