 Element: Si
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions = 13
 No. of channels = 766
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     1.6068e-01
1.0000e-04     1.0500e-04     1.6880e-01
1.0000e-04     1.1020e-04     1.7766e-01
1.0000e-04     1.1560e-04     1.8731e-01
1.0000e-04     1.2130e-04     1.9800e-01
1.0000e-04     1.2740e-04     2.1000e-01
1.0000e-04     1.3370e-04     2.2302e-01
1.0000e-04     1.4030e-04     2.3732e-01
1.0000e-04     1.4720e-04     2.5302e-01
1.0000e-04     1.5450e-04     2.7043e-01
1.0000e-04     1.6220e-04     2.8971e-01
1.0000e-04     1.7020e-04     3.1073e-01
1.0000e-04     1.7870e-04     3.3417e-01
1.0000e-04     1.8750e-04     3.5962e-01
1.0000e-04     1.9680e-04     3.8785e-01
1.0000e-04     2.0660e-04     4.1905e-01
1.0000e-04     2.1680e-04     4.5313e-01
1.0000e-04     2.2750e-04     4.9063e-01
1.0000e-04     2.3880e-04     5.3216e-01
1.0000e-04     2.5060e-04     5.7766e-01
1.0000e-04     2.6300e-04     6.2781e-01
1.0000e-04     2.7610e-04     6.8338e-01
1.0000e-04     2.8980e-04     7.4433e-01
1.0000e-04     3.0410e-04     8.1105e-01
1.0000e-04     3.1920e-04     8.8492e-01
1.0000e-04     3.3500e-04     9.6597e-01
1.0000e-04     3.5160e-04     1.0552e+00
1.0000e-04     3.6900e-04     1.1533e+00
1.0000e-04     3.8730e-04     1.2614e+00
1.0000e-04     4.0650e-04     1.3803e+00
1.0000e-04     4.2660e-04     1.5106e+00
1.0000e-04     4.4780e-04     1.6547e+00
1.0000e-04     4.7000e-04     1.8127e+00
1.0000e-04     4.9320e-04     1.9855e+00
1.0000e-04     5.1770e-04     2.1766e+00
1.0000e-04     5.4330e-04     2.3855e+00
1.0000e-04     5.7030e-04     2.6161e+00
1.0000e-04     5.9850e-04     2.8678e+00
1.0000e-04     6.2820e-04     3.1450e+00
1.0000e-04     6.5930e-04     3.4482e+00
1.0000e-04     6.9190e-04     3.7800e+00
1.0000e-04     7.2620e-04     4.1442e+00
1.0000e-04     7.6220e-04     4.5428e+00
1.0000e-04     8.0000e-04     4.9789e+00
1.0000e-04     8.3960e-04     5.4543e+00
1.0000e-04     8.8120e-04     5.9736e+00
1.0000e-04     9.2490e-04     6.5400e+00
1.0000e-04     9.7070e-04     7.1555e+00
1.0000e-04     1.0190e-03     7.8274e+00
1.0000e-04     1.0690e-03     8.5460e+00
1.0000e-04     1.1220e-03     9.3312e+00
1.0000e-04     1.1780e-03     1.0184e+01
1.0000e-04     1.2360e-03     1.1090e+01
1.0000e-04     1.2970e-03     1.2064e+01
1.0000e-04     1.3620e-03     1.3120e+01
1.0000e-04     1.4290e-03     1.4222e+01
1.0000e-04     1.5000e-03     1.5399e+01
1.0000e-04     1.5740e-03     1.6628e+01
1.0000e-04     1.6520e-03     1.7914e+01
1.0000e-04     1.7340e-03     1.9246e+01
1.0000e-04     1.8200e-03     2.0607e+01
1.0000e-04     1.9100e-03     2.1976e+01
1.0000e-04     2.0050e-03     2.3344e+01
1.0000e-04     2.1040e-03     2.4667e+01
1.0000e-04     2.2090e-03     2.5936e+01
1.0000e-04     2.3180e-03     2.7086e+01
1.0000e-04     2.4330e-03     2.8098e+01
1.0000e-04     2.5530e-03     2.8915e+01
1.0000e-04     2.6800e-03     2.9503e+01
1.0000e-04     2.8130e-03     2.9807e+01
1.0000e-04     2.9520e-03     2.9789e+01
1.0000e-04     3.0980e-03     2.9415e+01
1.0000e-04     3.2520e-03     2.8657e+01
1.0000e-04     3.4130e-03     2.7514e+01
1.0000e-04     3.5820e-03     2.5994e+01
1.0000e-04     3.7600e-03     2.4122e+01
1.0000e-04     3.9460e-03     2.1964e+01
1.0000e-04     4.1410e-03     1.9589e+01
1.0000e-04     4.3470e-03     1.7064e+01
1.0000e-04     4.5620e-03     1.4516e+01
1.0000e-04     4.7880e-03     1.2026e+01
1.0000e-04     5.0250e-03     9.6885e+00
1.0000e-04     5.2740e-03     7.5725e+00
1.0000e-04     5.5350e-03     5.7348e+00
1.0000e-04     5.8100e-03     4.1934e+00
1.0000e-04     6.0980e-03     2.9602e+00
1.0000e-04     6.4000e-03     2.0127e+00
1.0000e-04     6.7170e-03     1.3149e+00
1.0000e-04     7.0500e-03     8.2320e-01
1.0000e-04     7.3990e-03     4.9325e-01
1.0000e-04     7.7650e-03     2.8208e-01
1.0000e-04     8.1500e-03     1.5325e-01
1.0000e-04     8.5540e-03     7.8965e-02
1.0000e-04     8.9780e-03     3.8459e-02
1.0000e-04     9.4230e-03     1.7644e-02
1.0000e-04     9.8890e-03     7.6134e-03
1.0000e-04     1.0380e-02     3.0633e-03
1.0000e-04     1.0890e-02     1.1616e-03
1.0000e-04     1.1430e-02     4.0673e-04
1.0000e-04     1.2000e-02     1.3174e-04
1.1310e-04     1.0000e-04     1.5944e-01
1.1310e-04     1.0500e-04     1.6749e-01
1.1310e-04     1.1020e-04     1.7627e-01
1.1310e-04     1.1560e-04     1.8585e-01
1.1310e-04     1.2130e-04     1.9645e-01
1.1310e-04     1.2740e-04     2.0836e-01
1.1310e-04     1.3370e-04     2.2127e-01
1.1310e-04     1.4030e-04     2.3546e-01
1.1310e-04     1.4720e-04     2.5102e-01
1.1310e-04     1.5450e-04     2.6830e-01
1.1310e-04     1.6220e-04     2.8742e-01
1.1310e-04     1.7020e-04     3.0827e-01
1.1310e-04     1.7870e-04     3.3152e-01
1.1310e-04     1.8750e-04     3.5677e-01
1.1310e-04     1.9680e-04     3.8477e-01
1.1310e-04     2.0660e-04     4.1572e-01
1.1310e-04     2.1680e-04     4.4953e-01
1.1310e-04     2.2750e-04     4.8672e-01
1.1310e-04     2.3880e-04     5.2793e-01
1.1310e-04     2.5060e-04     5.7306e-01
1.1310e-04     2.6300e-04     6.2280e-01
1.1310e-04     2.7610e-04     6.7793e-01
1.1310e-04     2.8980e-04     7.3840e-01
1.1310e-04     3.0410e-04     8.0459e-01
1.1310e-04     3.1920e-04     8.7787e-01
1.1310e-04     3.3500e-04     9.5827e-01
1.1310e-04     3.5160e-04     1.0468e+00
1.1310e-04     3.6900e-04     1.1441e+00
1.1310e-04     3.8730e-04     1.2514e+00
1.1310e-04     4.0650e-04     1.3693e+00
1.1310e-04     4.2660e-04     1.4987e+00
1.1310e-04     4.4780e-04     1.6416e+00
1.1310e-04     4.7000e-04     1.7983e+00
1.1310e-04     4.9320e-04     1.9698e+00
1.1310e-04     5.1770e-04     2.1595e+00
1.1310e-04     5.4330e-04     2.3668e+00
1.1310e-04     5.7030e-04     2.5955e+00
1.1310e-04     5.9850e-04     2.8454e+00
1.1310e-04     6.2820e-04     3.1205e+00
1.1310e-04     6.5930e-04     3.4214e+00
1.1310e-04     6.9190e-04     3.7507e+00
1.1310e-04     7.2620e-04     4.1123e+00
