 Element: Si
 Maximum L =  1
 Maximum kappa =  3
 No. of transitions = 13
 No. of channels = 154
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     8.1464e+00
1.1310e-04     1.0000e-03     8.0805e+00
1.2800e-04     1.0000e-03     8.0063e+00
1.4480e-04     1.0000e-03     7.9236e+00
1.6380e-04     1.0000e-03     7.8312e+00
1.8520e-04     1.0000e-03     7.7287e+00
2.0950e-04     1.0000e-03     7.6141e+00
2.3700e-04     1.0000e-03     7.4869e+00
2.6810e-04     1.0000e-03     7.3459e+00
3.0330e-04     1.0000e-03     7.1900e+00
3.4310e-04     1.0000e-03     7.0183e+00
3.8820e-04     1.0000e-03     6.8295e+00
4.3910e-04     1.0000e-03     6.6234e+00
4.9670e-04     1.0000e-03     6.3987e+00
5.6190e-04     1.0000e-03     6.1550e+00
6.3560e-04     1.0000e-03     5.8922e+00
7.1900e-04     1.0000e-03     5.6103e+00
8.1340e-04     1.0000e-03     5.3098e+00
9.2010e-04     1.0000e-03     4.9923e+00
1.0410e-03     1.0000e-03     4.6585e+00
1.1770e-03     1.0000e-03     4.3134e+00
1.3320e-03     1.0000e-03     3.9555e+00
1.5070e-03     1.0000e-03     3.5918e+00
1.7040e-03     1.0000e-03     3.2279e+00
1.9280e-03     1.0000e-03     2.8648e+00
2.1810e-03     1.0000e-03     2.5105e+00
2.4670e-03     1.0000e-03     2.1699e+00
2.7910e-03     1.0000e-03     1.8477e+00
3.1570e-03     1.0000e-03     1.5496e+00
3.5710e-03     1.0000e-03     1.2792e+00
4.0400e-03     1.0000e-03     1.0392e+00
4.5700e-03     1.0000e-03     8.3205e-01
5.1700e-03     1.0000e-03     6.5766e-01
5.8480e-03     1.0000e-03     5.1539e-01
6.6150e-03     1.0000e-03     4.0284e-01
7.4830e-03     1.0000e-03     3.1683e-01
8.4650e-03     1.0000e-03     2.5360e-01
9.5760e-03     1.0000e-03     2.0903e-01
1.0830e-02     1.0000e-03     1.7907e-01
1.2250e-02     1.0000e-03     1.5982e-01
1.3860e-02     1.0000e-03     1.4796e-01
1.5680e-02     1.0000e-03     1.4083e-01
1.7740e-02     1.0000e-03     1.3628e-01
2.0070e-02     1.0000e-03     1.3278e-01
2.2700e-02     1.0000e-03     1.2932e-01
2.5680e-02     1.0000e-03     1.2528e-01
2.9050e-02     1.0000e-03     1.2036e-01
3.2860e-02     1.0000e-03     1.1447e-01
3.7170e-02     1.0000e-03     1.0767e-01
4.2050e-02     1.0000e-03     1.0010e-01
4.7570e-02     1.0000e-03     9.1934e-02
5.3810e-02     1.0000e-03     8.3385e-02
6.0870e-02     1.0000e-03     7.4653e-02
6.8850e-02     1.0000e-03     6.5943e-02
7.7890e-02     1.0000e-03     5.7422e-02
8.8110e-02     1.0000e-03     4.9288e-02
9.9670e-02     1.0000e-03     4.1669e-02
1.1270e-01     1.0000e-03     3.4709e-02
1.2750e-01     1.0000e-03     2.8439e-02
1.4430e-01     1.0000e-03     2.2919e-02
1.6320e-01     1.0000e-03     1.8200e-02
1.8460e-01     1.0000e-03     1.4224e-02
2.0890e-01     1.0000e-03     1.0936e-02
2.3630e-01     1.0000e-03     8.2919e-03
2.6730e-01     1.0000e-03     6.1971e-03
3.0230e-01     1.0000e-03     4.5743e-03
3.4200e-01     1.0000e-03     3.3321e-03
3.8690e-01     1.0000e-03     2.4006e-03
4.3760e-01     1.0000e-03     1.7149e-03
4.9510e-01     1.0000e-03     1.2145e-03
5.6000e-01     1.0000e-03     8.5567e-04
6.3350e-01     1.0000e-03     6.0069e-04
7.1660e-01     1.0000e-03     4.2097e-04
8.1070e-01     1.0000e-03     2.9531e-04
9.1700e-01     1.0000e-03     2.0775e-04
1.0370e+00     1.0000e-03     1.4686e-04
1.1730e+00     1.0000e-03     1.0433e-04
1.3270e+00     1.0000e-03     7.4474e-05
1.5020e+00     1.0000e-03     5.3316e-05
1.6990e+00     1.0000e-03     3.8400e-05
1.9220e+00     1.0000e-03     2.7711e-05
2.1740e+00     1.0000e-03     2.0034e-05
2.4590e+00     1.0000e-03     1.4407e-05
2.7820e+00     1.0000e-03     1.0344e-05
3.1470e+00     1.0000e-03     7.3840e-06
3.5600e+00     1.0000e-03     5.2201e-06
4.0270e+00     1.0000e-03     3.6566e-06
4.5550e+00     1.0000e-03     2.5502e-06
5.1530e+00     1.0000e-03     1.7498e-06
5.8290e+00     1.0000e-03     1.1952e-06
6.5940e+00     1.0000e-03     8.0334e-07
7.4590e+00     1.0000e-03     5.3916e-07
8.4370e+00     1.0000e-03     3.5603e-07
9.5450e+00     1.0000e-03     2.3287e-07
1.0800e+01     1.0000e-03     1.4932e-07
1.2210e+01     1.0000e-03     9.6552e-08
1.3820e+01     1.0000e-03     6.1043e-08
1.5630e+01     1.0000e-03     3.8778e-08
1.7680e+01     1.0000e-03     2.4075e-08
2.0000e+01     1.0000e-03     1.5144e-08
