 Element: Xe
 Maximum L = 10
 No. of velocities = 100
------------------------------------

   v               |<i|e^(ivz)|i>|^2
   0.1000000E-04   0.9999779E+00
   0.3717000E-04   0.9996953E+00
   0.6434000E-04   0.9990875E+00
   0.9152000E-04   0.9981545E+00
   0.1187000E-03   0.9968976E+00
   0.1459000E-03   0.9953166E+00
   0.1730000E-03   0.9934216E+00
   0.2002000E-03   0.9912004E+00
   0.2274000E-03   0.9886617E+00
   0.2545000E-03   0.9858190E+00
   0.2817000E-03   0.9826541E+00
   0.3089000E-03   0.9791801E+00
   0.3361000E-03   0.9754005E+00
   0.3632000E-03   0.9713344E+00
   0.3904000E-03   0.9669558E+00
   0.4176000E-03   0.9622835E+00
   0.4447000E-03   0.9573408E+00
   0.4719000E-03   0.9520959E+00
   0.4991000E-03   0.9465717E+00
   0.5263000E-03   0.9407734E+00
   0.5534000E-03   0.9347295E+00
   0.5806000E-03   0.9284009E+00
   0.6078000E-03   0.9218156E+00
   0.6349000E-03   0.9150053E+00
   0.6621000E-03   0.9079262E+00
   0.6893000E-03   0.9006095E+00
   0.7165000E-03   0.8930619E+00
   0.7436000E-03   0.8853195E+00
   0.7708000E-03   0.8773322E+00
   0.7980000E-03   0.8691353E+00
   0.8252000E-03   0.8607363E+00
   0.8523000E-03   0.8521746E+00
   0.8795000E-03   0.8433947E+00
   0.9067000E-03   0.8344355E+00
   0.9338000E-03   0.8253386E+00
   0.9610000E-03   0.8160450E+00
   0.9882000E-03   0.8065957E+00
   0.1015000E-02   0.7971410E+00
   0.1043000E-02   0.7871183E+00
   0.1070000E-02   0.7773217E+00
   0.1097000E-02   0.7674037E+00
   0.1124000E-02   0.7573723E+00
   0.1151000E-02   0.7472355E+00
   0.1178000E-02   0.7370011E+00
   0.1206000E-02   0.7262932E+00
   0.1233000E-02   0.7158848E+00
   0.1260000E-02   0.7054030E+00
   0.1287000E-02   0.6948555E+00
   0.1314000E-02   0.6842501E+00
   0.1341000E-02   0.6735945E+00
   0.1369000E-02   0.6624994E+00
   0.1396000E-02   0.6517651E+00
   0.1423000E-02   0.6410034E+00
   0.1450000E-02   0.6302218E+00
   0.1477000E-02   0.6194274E+00
   0.1504000E-02   0.6086274E+00
   0.1532000E-02   0.5974289E+00
   0.1559000E-02   0.5866388E+00
   0.1586000E-02   0.5758639E+00
   0.1613000E-02   0.5651107E+00
   0.1640000E-02   0.5543856E+00
   0.1667000E-02   0.5436950E+00
   0.1695000E-02   0.5326512E+00
   0.1722000E-02   0.5220493E+00
   0.1749000E-02   0.5114999E+00
   0.1776000E-02   0.5010084E+00
   0.1803000E-02   0.4905804E+00
   0.1831000E-02   0.4798388E+00
   0.1858000E-02   0.4695560E+00
   0.1885000E-02   0.4593520E+00
   0.1912000E-02   0.4492314E+00
   0.1939000E-02   0.4391988E+00
   0.1966000E-02   0.4292584E+00
   0.1994000E-02   0.4190517E+00
   0.2021000E-02   0.4093117E+00
   0.2048000E-02   0.3996759E+00
   0.2075000E-02   0.3901477E+00
   0.2102000E-02   0.3807306E+00
   0.2129000E-02   0.3714276E+00
   0.2157000E-02   0.3619038E+00
   0.2184000E-02   0.3528423E+00
   0.2211000E-02   0.3439033E+00
   0.2238000E-02   0.3350894E+00
   0.2265000E-02   0.3264026E+00
   0.2292000E-02   0.3178450E+00
   0.2320000E-02   0.3091088E+00
   0.2347000E-02   0.3008200E+00
   0.2374000E-02   0.2926654E+00
   0.2401000E-02   0.2846464E+00
   0.2428000E-02   0.2767641E+00
   0.2455000E-02   0.2690197E+00
   0.2483000E-02   0.2611348E+00
   0.2510000E-02   0.2536733E+00
   0.2537000E-02   0.2463518E+00
   0.2564000E-02   0.2391704E+00
   0.2591000E-02   0.2321294E+00
   0.2618000E-02   0.2252290E+00
   0.2646000E-02   0.2182214E+00
   0.2673000E-02   0.2116070E+00
   0.2700000E-02   0.2051326E+00
