 Element: Xe
 Info: 8s,8p,7d,4f
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     9.9900e-14
3.7170e-05     1.3802e-12
6.4340e-05     4.1351e-12
9.1520e-05     8.3659e-12
1.1870e-04     1.4071e-11
1.4590e-04     2.1255e-11
1.7300e-04     2.9877e-11
2.0020e-04     4.0000e-11
2.2740e-04     5.1592e-11
2.5450e-04     6.4599e-11
2.8170e-04     7.9114e-11
3.0890e-04     9.5087e-11
3.3610e-04     1.1251e-10
3.6320e-04     1.3132e-10
3.9040e-04     1.5163e-10
4.1760e-04     1.7337e-10
4.4470e-04     1.9646e-10
4.7190e-04     2.2104e-10
4.9910e-04     2.4703e-10
5.2630e-04     2.7442e-10
5.5340e-04     3.0308e-10
5.8060e-04     3.3322e-10
6.0780e-04     3.6471e-10
6.3490e-04     3.9742e-10
6.6210e-04     4.3156e-10
6.8930e-04     4.6701e-10
7.1650e-04     5.0373e-10
7.4360e-04     5.4157e-10
7.7080e-04     5.8077e-10
7.9800e-04     6.2118e-10
8.2520e-04     6.6277e-10
8.5230e-04     7.0534e-10
8.7950e-04     7.4918e-10
9.0670e-04     7.9409e-10
9.3380e-04     8.3987e-10
9.6100e-04     8.8683e-10
9.8820e-04     9.3474e-10
1.0150e-03     9.8285e-10
1.0430e-03     1.0340e-09
1.0700e-03     1.0842e-09
1.0970e-03     1.1351e-09
1.1240e-03     1.1868e-09
1.1510e-03     1.2391e-09
1.1780e-03     1.2920e-09
1.2060e-03     1.3474e-09
1.2330e-03     1.4014e-09
1.2600e-03     1.4558e-09
1.2870e-03     1.5106e-09
1.3140e-03     1.5657e-09
1.3410e-03     1.6211e-09
1.3690e-03     1.6786e-09
1.3960e-03     1.7343e-09
1.4230e-03     1.7900e-09
1.4500e-03     1.8456e-09
1.4770e-03     1.9012e-09
1.5040e-03     1.9566e-09
1.5320e-03     2.0138e-09
1.5590e-03     2.0687e-09
1.5860e-03     2.1232e-09
1.6130e-03     2.1772e-09
1.6400e-03     2.2307e-09
1.6670e-03     2.2837e-09
1.6950e-03     2.3379e-09
1.7220e-03     2.3894e-09
1.7490e-03     2.4401e-09
1.7760e-03     2.4899e-09
1.8030e-03     2.5388e-09
1.8310e-03     2.5884e-09
1.8580e-03     2.6352e-09
1.8850e-03     2.6808e-09
1.9120e-03     2.7252e-09
1.9390e-03     2.7684e-09
1.9660e-03     2.8102e-09
1.9940e-03     2.8522e-09
2.0210e-03     2.8912e-09
2.0480e-03     2.9287e-09
2.0750e-03     2.9647e-09
2.1020e-03     2.9990e-09
2.1290e-03     3.0318e-09
2.1570e-03     3.0640e-09
2.1840e-03     3.0933e-09
2.2110e-03     3.1209e-09
2.2380e-03     3.1467e-09
2.2650e-03     3.1707e-09
2.2920e-03     3.1929e-09
2.3200e-03     3.2139e-09
2.3470e-03     3.2323e-09
2.3740e-03     3.2487e-09
2.4010e-03     3.2633e-09
2.4280e-03     3.2759e-09
2.4550e-03     3.2866e-09
2.4830e-03     3.2957e-09
2.5100e-03     3.3024e-09
2.5370e-03     3.3073e-09
2.5640e-03     3.3102e-09
2.5910e-03     3.3111e-09
2.6180e-03     3.3102e-09
2.6460e-03     3.3072e-09
2.6730e-03     3.3025e-09
2.7000e-03     3.2958e-09
