 Element: Xe
 Info: 8s,8p,7d,4f
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     5.6627e-12
3.7170e-05     7.8290e-11
6.4340e-05     2.3492e-10
9.1520e-05     4.7638e-10
1.1870e-04     8.0375e-10
1.4590e-04     1.2189e-09
1.7300e-04     1.7213e-09
2.0020e-04     2.3171e-09
2.2740e-04     3.0071e-09
2.5450e-04     3.7910e-09
2.8170e-04     4.6778e-09
3.0890e-04     5.6683e-09
3.3610e-04     6.7662e-09
3.6320e-04     7.9708e-09
3.9040e-04     9.2951e-09
4.1760e-04     1.0739e-08
4.4470e-04     1.2301e-08
4.7190e-04     1.3998e-08
4.9910e-04     1.5828e-08
5.2630e-04     1.7796e-08
5.5340e-04     1.9899e-08
5.8060e-04     2.2157e-08
6.0780e-04     2.4567e-08
6.3490e-04     2.7124e-08
6.6210e-04     2.9851e-08
6.8930e-04     3.2742e-08
7.1650e-04     3.5803e-08
7.4360e-04     3.9024e-08
7.7080e-04     4.2433e-08
7.9800e-04     4.6021e-08
8.2520e-04     4.9791e-08
8.5230e-04     5.3731e-08
8.7950e-04     5.7871e-08
9.0670e-04     6.2200e-08
9.3380e-04     6.6700e-08
9.6100e-04     7.1406e-08
9.8820e-04     7.6303e-08
1.0150e-03     8.1312e-08
1.0430e-03     8.6742e-08
1.0700e-03     9.2165e-08
1.0970e-03     9.7771e-08
1.1240e-03     1.0356e-07
1.1510e-03     1.0952e-07
1.1780e-03     1.1565e-07
1.2060e-03     1.2219e-07
1.2330e-03     1.2867e-07
1.2600e-03     1.3530e-07
1.2870e-03     1.4208e-07
1.3140e-03     1.4901e-07
1.3410e-03     1.5608e-07
1.3690e-03     1.6355e-07
1.3960e-03     1.7088e-07
1.4230e-03     1.7832e-07
1.4500e-03     1.8587e-07
1.4770e-03     1.9351e-07
1.5040e-03     2.0124e-07
1.5320e-03     2.0934e-07
1.5590e-03     2.1721e-07
1.5860e-03     2.2513e-07
1.6130e-03     2.3310e-07
1.6400e-03     2.4109e-07
1.6670e-03     2.4911e-07
1.6950e-03     2.5742e-07
1.7220e-03     2.6544e-07
1.7490e-03     2.7343e-07
1.7760e-03     2.8139e-07
1.8030e-03     2.8931e-07
1.8310e-03     2.9746e-07
1.8580e-03     3.0525e-07
1.8850e-03     3.1296e-07
1.9120e-03     3.2057e-07
1.9390e-03     3.2808e-07
1.9660e-03     3.3546e-07
1.9940e-03     3.4298e-07
2.0210e-03     3.5008e-07
2.0480e-03     3.5703e-07
2.0750e-03     3.6381e-07
2.1020e-03     3.7041e-07
2.1290e-03     3.7682e-07
2.1570e-03     3.8326e-07
2.1840e-03     3.8926e-07
2.2110e-03     3.9504e-07
2.2380e-03     4.0059e-07
2.2650e-03     4.0591e-07
2.2920e-03     4.1098e-07
2.3200e-03     4.1597e-07
2.3470e-03     4.2052e-07
2.3740e-03     4.2481e-07
2.4010e-03     4.2882e-07
2.4280e-03     4.3256e-07
2.4550e-03     4.3602e-07
2.4830e-03     4.3930e-07
2.5100e-03     4.4218e-07
2.5370e-03     4.4476e-07
2.5640e-03     4.4704e-07
2.5910e-03     4.4903e-07
2.6180e-03     4.5072e-07
2.6460e-03     4.5216e-07
2.6730e-03     4.5325e-07
2.7000e-03     4.5404e-07
