 Element: Xe
 Info: 8s,8p,7d,4f
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     2.1868e-08
3.7170e-05     3.0205e-07
6.4340e-05     9.0449e-07
9.1520e-05     1.8285e-06
1.1870e-04     3.0721e-06
1.4590e-04     4.6342e-06
1.7300e-04     6.5038e-06
2.0020e-04     8.6910e-06
2.2740e-04     1.1186e-05
2.5450e-04     1.3972e-05
2.8170e-04     1.7065e-05
3.0890e-04     2.0450e-05
3.3610e-04     2.4121e-05
3.6320e-04     2.8055e-05
3.9040e-04     3.2274e-05
4.1760e-04     3.6757e-05
4.4470e-04     4.1477e-05
4.7190e-04     4.6461e-05
4.9910e-04     5.1682e-05
5.2630e-04     5.7131e-05
5.5340e-04     6.2777e-05
5.8060e-04     6.8651e-05
6.0780e-04     7.4722e-05
6.3490e-04     8.0956e-05
6.6210e-04     8.7388e-05
6.8930e-04     9.3983e-05
7.1650e-04     1.0073e-04
7.4360e-04     1.0759e-04
7.7080e-04     1.1461e-04
7.9800e-04     1.2173e-04
8.2520e-04     1.2897e-04
8.5230e-04     1.3626e-04
8.7950e-04     1.4366e-04
9.0670e-04     1.5113e-04
9.3380e-04     1.5862e-04
9.6100e-04     1.6618e-04
9.8820e-04     1.7376e-04
1.0150e-03     1.8125e-04
1.0430e-03     1.8907e-04
1.0700e-03     1.9661e-04
1.0970e-03     2.0412e-04
1.1240e-03     2.1160e-04
1.1510e-03     2.1903e-04
1.1780e-03     2.2640e-04
1.2060e-03     2.3398e-04
1.2330e-03     2.4120e-04
1.2600e-03     2.4832e-04
1.2870e-03     2.5535e-04
1.3140e-03     2.6226e-04
1.3410e-03     2.6905e-04
1.3690e-03     2.7595e-04
1.3960e-03     2.8247e-04
1.4230e-03     2.8882e-04
1.4500e-03     2.9502e-04
1.4770e-03     3.0105e-04
1.5040e-03     3.0691e-04
1.5320e-03     3.1279e-04
1.5590e-03     3.1826e-04
1.5860e-03     3.2354e-04
1.6130e-03     3.2861e-04
1.6400e-03     3.3347e-04
1.6670e-03     3.3811e-04
1.6950e-03     3.4270e-04
1.7220e-03     3.4689e-04
1.7490e-03     3.5086e-04
1.7760e-03     3.5459e-04
1.8030e-03     3.5808e-04
1.8310e-03     3.6146e-04
1.8580e-03     3.6446e-04
1.8850e-03     3.6723e-04
1.9120e-03     3.6975e-04
1.9390e-03     3.7202e-04
1.9660e-03     3.7405e-04
1.9940e-03     3.7589e-04
2.0210e-03     3.7742e-04
2.0480e-03     3.7870e-04
2.0750e-03     3.7973e-04
2.1020e-03     3.8053e-04
2.1290e-03     3.8108e-04
2.1570e-03     3.8140e-04
2.1840e-03     3.8146e-04
2.2110e-03     3.8130e-04
2.2380e-03     3.8090e-04
2.2650e-03     3.8027e-04
2.2920e-03     3.7942e-04
2.3200e-03     3.7831e-04
2.3470e-03     3.7702e-04
2.3740e-03     3.7551e-04
2.4010e-03     3.7380e-04
2.4280e-03     3.7189e-04
2.4550e-03     3.6978e-04
2.4830e-03     3.6740e-04
2.5100e-03     3.6491e-04
2.5370e-03     3.6224e-04
2.5640e-03     3.5940e-04
2.5910e-03     3.5639e-04
2.6180e-03     3.5322e-04
2.6460e-03     3.4977e-04
2.6730e-03     3.4630e-04
2.7000e-03     3.4268e-04
