 Element: Xe
 Info: 8s,8p,7d,4f
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     1.5591e-09
3.7170e-05     2.1536e-08
6.4340e-05     6.4498e-08
9.1520e-05     1.3041e-07
1.1870e-04     2.1918e-07
1.4590e-04     3.3076e-07
1.7300e-04     4.6440e-07
2.0020e-04     6.2090e-07
2.2740e-04     7.9959e-07
2.5450e-04     9.9944e-07
2.8170e-04     1.2216e-06
3.0890e-04     1.4652e-06
3.3610e-04     1.7297e-06
3.6320e-04     2.0138e-06
3.9040e-04     2.3191e-06
4.1760e-04     2.6442e-06
4.4470e-04     2.9873e-06
4.7190e-04     3.3505e-06
4.9910e-04     3.7321e-06
5.2630e-04     4.1315e-06
5.5340e-04     4.5465e-06
5.8060e-04     4.9797e-06
6.0780e-04     5.4289e-06
6.3490e-04     5.8919e-06
6.6210e-04     6.3713e-06
6.8930e-04     6.8648e-06
7.1650e-04     7.3717e-06
7.4360e-04     7.8894e-06
7.7080e-04     8.4210e-06
7.9800e-04     8.9638e-06
8.2520e-04     9.5171e-06
8.5230e-04     1.0078e-05
8.7950e-04     1.0650e-05
9.0670e-04     1.1230e-05
9.3380e-04     1.1816e-05
9.6100e-04     1.2410e-05
9.8820e-04     1.3010e-05
1.0150e-03     1.3606e-05
1.0430e-03     1.4232e-05
1.0700e-03     1.4840e-05
1.0970e-03     1.5450e-05
1.1240e-03     1.6062e-05
1.1510e-03     1.6675e-05
1.1780e-03     1.7287e-05
1.2060e-03     1.7921e-05
1.2330e-03     1.8532e-05
1.2600e-03     1.9139e-05
1.2870e-03     1.9744e-05
1.3140e-03     2.0344e-05
1.3410e-03     2.0939e-05
1.3690e-03     2.1551e-05
1.3960e-03     2.2135e-05
1.4230e-03     2.2711e-05
1.4500e-03     2.3280e-05
1.4770e-03     2.3840e-05
1.5040e-03     2.4391e-05
1.5320e-03     2.4952e-05
1.5590e-03     2.5482e-05
1.5860e-03     2.6001e-05
1.6130e-03     2.6509e-05
1.6400e-03     2.7004e-05
1.6670e-03     2.7486e-05
1.6950e-03     2.7971e-05
1.7220e-03     2.8425e-05
1.7490e-03     2.8864e-05
1.7760e-03     2.9289e-05
1.8030e-03     2.9697e-05
1.8310e-03     3.0104e-05
1.8580e-03     3.0480e-05
1.8850e-03     3.0839e-05
1.9120e-03     3.1181e-05
1.9390e-03     3.1506e-05
1.9660e-03     3.1812e-05
1.9940e-03     3.2112e-05
2.0210e-03     3.2381e-05
2.0480e-03     3.2633e-05
2.0750e-03     3.2866e-05
2.1020e-03     3.3080e-05
2.1290e-03     3.3275e-05
2.1570e-03     3.3457e-05
2.1840e-03     3.3613e-05
2.2110e-03     3.3750e-05
2.2380e-03     3.3868e-05
2.2650e-03     3.3967e-05
2.2920e-03     3.4046e-05
2.3200e-03     3.4108e-05
2.3470e-03     3.4149e-05
2.3740e-03     3.4171e-05
2.4010e-03     3.4174e-05
2.4280e-03     3.4159e-05
2.4550e-03     3.4125e-05
2.4830e-03     3.4071e-05
2.5100e-03     3.4000e-05
2.5370e-03     3.3912e-05
2.5640e-03     3.3807e-05
2.5910e-03     3.3684e-05
2.6180e-03     3.3544e-05
2.6460e-03     3.3382e-05
2.6730e-03     3.3210e-05
2.7000e-03     3.3021e-05
