 Element: Xe
 Info: 8s,8p,7d,4f
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     2.3133e-06
3.7170e-05     3.1950e-05
6.4340e-05     9.5663e-05
9.1520e-05     1.9335e-04
1.1870e-04     3.2478e-04
1.4590e-04     4.8980e-04
1.7300e-04     6.8716e-04
2.0020e-04     9.1787e-04
2.2740e-04     1.1808e-03
2.5450e-04     1.4741e-03
2.8170e-04     1.7994e-03
3.0890e-04     2.1550e-03
3.3610e-04     2.5400e-03
3.6320e-04     2.9520e-03
3.9040e-04     3.3931e-03
4.1760e-04     3.8610e-03
4.4470e-04     4.3527e-03
4.7190e-04     4.8709e-03
4.9910e-04     5.4125e-03
5.2630e-04     5.9765e-03
5.5340e-04     6.5594e-03
5.8060e-04     7.1642e-03
6.0780e-04     7.7877e-03
6.3490e-04     8.4260e-03
6.6210e-04     9.0826e-03
6.8930e-04     9.7537e-03
7.1650e-04     1.0438e-02
7.4360e-04     1.1131e-02
7.7080e-04     1.1837e-02
7.9800e-04     1.2552e-02
8.2520e-04     1.3275e-02
8.5230e-04     1.4000e-02
8.7950e-04     1.4733e-02
9.0670e-04     1.5469e-02
9.3380e-04     1.6203e-02
9.6100e-04     1.6940e-02
9.8820e-04     1.7676e-02
1.0150e-03     1.8399e-02
1.0430e-03     1.9149e-02
1.0700e-03     1.9868e-02
1.0970e-03     2.0579e-02
1.1240e-03     2.1282e-02
1.1510e-03     2.1976e-02
1.1780e-03     2.2660e-02
1.2060e-03     2.3356e-02
1.2330e-03     2.4015e-02
1.2600e-03     2.4659e-02
1.2870e-03     2.5289e-02
1.3140e-03     2.5902e-02
1.3410e-03     2.6498e-02
1.3690e-03     2.7098e-02
1.3960e-03     2.7656e-02
1.4230e-03     2.8195e-02
1.4500e-03     2.8714e-02
1.4770e-03     2.9211e-02
1.5040e-03     2.9687e-02
1.5320e-03     3.0156e-02
1.5590e-03     3.0585e-02
1.5860e-03     3.0990e-02
1.6130e-03     3.1372e-02
1.6400e-03     3.1729e-02
1.6670e-03     3.2061e-02
1.6950e-03     3.2380e-02
1.7220e-03     3.2661e-02
1.7490e-03     3.2916e-02
1.7760e-03     3.3147e-02
1.8030e-03     3.3351e-02
1.8310e-03     3.3536e-02
1.8580e-03     3.3689e-02
1.8850e-03     3.3816e-02
1.9120e-03     3.3917e-02
1.9390e-03     3.3993e-02
1.9660e-03     3.4045e-02
1.9940e-03     3.4072e-02
2.0210e-03     3.4073e-02
2.0480e-03     3.4050e-02
2.0750e-03     3.4003e-02
2.1020e-03     3.3934e-02
2.1290e-03     3.3841e-02
2.1570e-03     3.3721e-02
2.1840e-03     3.3584e-02
2.2110e-03     3.3425e-02
2.2380e-03     3.3246e-02
2.2650e-03     3.3046e-02
2.2920e-03     3.2827e-02
2.3200e-03     3.2580e-02
2.3470e-03     3.2323e-02
2.3740e-03     3.2049e-02
2.4010e-03     3.1758e-02
2.4280e-03     3.1451e-02
2.4550e-03     3.1129e-02
2.4830e-03     3.0779e-02
2.5100e-03     3.0427e-02
2.5370e-03     3.0063e-02
2.5640e-03     2.9686e-02
2.5910e-03     2.9297e-02
2.6180e-03     2.8897e-02
2.6460e-03     2.8472e-02
2.6730e-03     2.8052e-02
2.7000e-03     2.7624e-02
