 Element: Xe
 Info: 6s,6p,5d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     2.5972e-11
3.7170e-05     4.9557e-09
6.4340e-05     4.4454e-08
9.1520e-05     1.8176e-07
1.1870e-04     5.1346e-07
1.4590e-04     1.1695e-06
1.7300e-04     2.3059e-06
2.0020e-04     4.1230e-06
2.2740e-04     6.8395e-06
2.5450e-04     1.0689e-05
2.8170e-04     1.5975e-05
3.0890e-04     2.2989e-05
3.3610e-04     3.2052e-05
3.6320e-04     4.3464e-05
3.9040e-04     5.7670e-05
4.1760e-04     7.5012e-05
4.4470e-04     9.5798e-05
4.7190e-04     1.2058e-04
4.9910e-04     1.4971e-04
5.2630e-04     1.8359e-04
5.5340e-04     2.2249e-04
5.8060e-04     2.6712e-04
6.0780e-04     3.1776e-04
6.3490e-04     3.7460e-04
6.6210e-04     4.3845e-04
6.8930e-04     5.0950e-04
7.1650e-04     5.8814e-04
7.4360e-04     6.7439e-04
7.7080e-04     7.6922e-04
7.9800e-04     8.7265e-04
8.2520e-04     9.8496e-04
8.5230e-04     1.1060e-03
8.7950e-04     1.2368e-03
9.0670e-04     1.3772e-03
9.3380e-04     1.5269e-03
9.6100e-04     1.6870e-03
9.8820e-04     1.8571e-03
1.0150e-03     2.0347e-03
1.0430e-03     2.2306e-03
1.0700e-03     2.4298e-03
1.0970e-03     2.6389e-03
1.1240e-03     2.8578e-03
1.1510e-03     3.0865e-03
1.1780e-03     3.3248e-03
1.2060e-03     3.5819e-03
1.2330e-03     3.8391e-03
1.2600e-03     4.1052e-03
1.2870e-03     4.3799e-03
1.3140e-03     4.6628e-03
1.3410e-03     4.9535e-03
1.3690e-03     5.2630e-03
1.3960e-03     5.5685e-03
1.4230e-03     5.8805e-03
1.4500e-03     6.1986e-03
1.4770e-03     6.5221e-03
1.5040e-03     6.8506e-03
1.5320e-03     7.1959e-03
1.5590e-03     7.5327e-03
1.5860e-03     7.8727e-03
1.6130e-03     8.2151e-03
1.6400e-03     8.5595e-03
1.6670e-03     8.9050e-03
1.6950e-03     9.2639e-03
1.7220e-03     9.6099e-03
1.7490e-03     9.9551e-03
1.7760e-03     1.0299e-02
1.8030e-03     1.0640e-02
1.8310e-03     1.0991e-02
1.8580e-03     1.1326e-02
1.8850e-03     1.1657e-02
1.9120e-03     1.1983e-02
1.9390e-03     1.2304e-02
1.9660e-03     1.2618e-02
1.9940e-03     1.2937e-02
2.0210e-03     1.3237e-02
2.0480e-03     1.3529e-02
2.0750e-03     1.3813e-02
2.1020e-03     1.4088e-02
2.1290e-03     1.4353e-02
2.1570e-03     1.4618e-02
2.1840e-03     1.4863e-02
2.2110e-03     1.5097e-02
2.2380e-03     1.5319e-02
2.2650e-03     1.5530e-02
2.2920e-03     1.5730e-02
2.3200e-03     1.5923e-02
2.3470e-03     1.6097e-02
2.3740e-03     1.6259e-02
2.4010e-03     1.6407e-02
2.4280e-03     1.6543e-02
2.4550e-03     1.6665e-02
2.4830e-03     1.6777e-02
2.5100e-03     1.6872e-02
2.5370e-03     1.6954e-02
2.5640e-03     1.7022e-02
2.5910e-03     1.7076e-02
2.6180e-03     1.7118e-02
2.6460e-03     1.7146e-02
2.6730e-03     1.7161e-02
2.7000e-03     1.7162e-02
