 Element: Xe
 Info: 8s,8p,7d,4f
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     1.0670e-05
3.7170e-05     1.4737e-04
6.4340e-05     4.4126e-04
9.1520e-05     8.9192e-04
1.1870e-04     1.4983e-03
1.4590e-04     2.2598e-03
1.7300e-04     3.1706e-03
2.0020e-04     4.2357e-03
2.2740e-04     5.4496e-03
2.5450e-04     6.8045e-03
2.8170e-04     8.3076e-03
3.0890e-04     9.9510e-03
3.3610e-04     1.1731e-02
3.6320e-04     1.3637e-02
3.9040e-04     1.5679e-02
4.1760e-04     1.7846e-02
4.4470e-04     2.0124e-02
4.7190e-04     2.2526e-02
4.9910e-04     2.5039e-02
5.2630e-04     2.7657e-02
5.5340e-04     3.0365e-02
5.8060e-04     3.3177e-02
6.0780e-04     3.6078e-02
6.3490e-04     3.9051e-02
6.6210e-04     4.2111e-02
6.8930e-04     4.5242e-02
7.1650e-04     4.8438e-02
7.4360e-04     5.1679e-02
7.7080e-04     5.4985e-02
7.9800e-04     5.8335e-02
8.2520e-04     6.1724e-02
8.5230e-04     6.5133e-02
8.7950e-04     6.8580e-02
9.0670e-04     7.2045e-02
9.3380e-04     7.5510e-02
9.6100e-04     7.8994e-02
9.8820e-04     8.2478e-02
1.0150e-03     8.5903e-02
1.0430e-03     8.9468e-02
1.0700e-03     9.2886e-02
1.0970e-03     9.6279e-02
1.1240e-03     9.9640e-02
1.1510e-03     1.0296e-01
1.1780e-03     1.0624e-01
1.2060e-03     1.0960e-01
1.2330e-03     1.1277e-01
1.2600e-03     1.1589e-01
1.2870e-03     1.1895e-01
1.3140e-03     1.2193e-01
1.3410e-03     1.2484e-01
1.3690e-03     1.2778e-01
1.3960e-03     1.3053e-01
1.4230e-03     1.3319e-01
1.4500e-03     1.3577e-01
1.4770e-03     1.3825e-01
1.5040e-03     1.4063e-01
1.5320e-03     1.4299e-01
1.5590e-03     1.4517e-01
1.5860e-03     1.4724e-01
1.6130e-03     1.4921e-01
1.6400e-03     1.5106e-01
1.6670e-03     1.5280e-01
1.6950e-03     1.5449e-01
1.7220e-03     1.5600e-01
1.7490e-03     1.5739e-01
1.7760e-03     1.5867e-01
1.8030e-03     1.5983e-01
1.8310e-03     1.6091e-01
1.8580e-03     1.6182e-01
1.8850e-03     1.6262e-01
1.9120e-03     1.6331e-01
1.9390e-03     1.6387e-01
1.9660e-03     1.6432e-01
1.9940e-03     1.6466e-01
2.0210e-03     1.6488e-01
2.0480e-03     1.6498e-01
2.0750e-03     1.6496e-01
2.1020e-03     1.6484e-01
2.1290e-03     1.6461e-01
2.1570e-03     1.6426e-01
2.1840e-03     1.6381e-01
2.2110e-03     1.6326e-01
2.2380e-03     1.6260e-01
2.2650e-03     1.6186e-01
2.2920e-03     1.6101e-01
2.3200e-03     1.6004e-01
2.3470e-03     1.5901e-01
2.3740e-03     1.5789e-01
2.4010e-03     1.5669e-01
2.4280e-03     1.5540e-01
2.4550e-03     1.5404e-01
2.4830e-03     1.5255e-01
2.5100e-03     1.5104e-01
2.5370e-03     1.4947e-01
2.5640e-03     1.4782e-01
2.5910e-03     1.4612e-01
2.6180e-03     1.4435e-01
2.6460e-03     1.4247e-01
2.6730e-03     1.4060e-01
2.7000e-03     1.3868e-01
