 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     6.3393e-08
5.6000e-01     3.7170e-05     8.7584e-07
5.6000e-01     6.4340e-05     2.6242e-06
5.6000e-01     9.1520e-05     5.3097e-06
5.6000e-01     1.1870e-04     8.9319e-06
5.6000e-01     1.4590e-04     1.3494e-05
5.6000e-01     1.7300e-04     1.8973e-05
5.6000e-01     2.0020e-04     2.5408e-05
5.6000e-01     2.2740e-04     3.2781e-05
5.6000e-01     2.5450e-04     4.1060e-05
5.6000e-01     2.8170e-04     5.0305e-05
5.6000e-01     3.0890e-04     6.0489e-05
5.6000e-01     3.3610e-04     7.1611e-05
5.6000e-01     3.6320e-04     8.3624e-05
5.6000e-01     3.9040e-04     9.6618e-05
5.6000e-01     4.1760e-04     1.1055e-04
5.6000e-01     4.4470e-04     1.2536e-04
5.6000e-01     4.7190e-04     1.4117e-04
5.6000e-01     4.9910e-04     1.5791e-04
5.6000e-01     5.2630e-04     1.7559e-04
5.6000e-01     5.5340e-04     1.9414e-04
5.6000e-01     5.8060e-04     2.1369e-04
5.6000e-01     6.0780e-04     2.3418e-04
5.6000e-01     6.3490e-04     2.5553e-04
5.6000e-01     6.6210e-04     2.7790e-04
5.6000e-01     6.8930e-04     3.0120e-04
5.6000e-01     7.1650e-04     3.2544e-04
5.6000e-01     7.4360e-04     3.5052e-04
5.6000e-01     7.7080e-04     3.7663e-04
5.6000e-01     7.9800e-04     4.0368e-04
5.6000e-01     8.2520e-04     4.3167e-04
5.6000e-01     8.5230e-04     4.6049e-04
5.6000e-01     8.7950e-04     4.9035e-04
5.6000e-01     9.0670e-04     5.2115e-04
5.6000e-01     9.3380e-04     5.5276e-04
5.6000e-01     9.6100e-04     5.8543e-04
5.6000e-01     9.8820e-04     6.1904e-04
5.6000e-01     1.0150e-03     6.5307e-04
5.6000e-01     1.0430e-03     6.8960e-04
5.6000e-01     1.0700e-03     7.2576e-04
5.6000e-01     1.0970e-03     7.6285e-04
5.6000e-01     1.1240e-03     8.0086e-04
5.6000e-01     1.1510e-03     8.3980e-04
5.6000e-01     1.1780e-03     8.7966e-04
5.6000e-01     1.2060e-03     9.2197e-04
5.6000e-01     1.2330e-03     9.6372e-04
5.6000e-01     1.2600e-03     1.0064e-03
5.6000e-01     1.2870e-03     1.0500e-03
5.6000e-01     1.3140e-03     1.0945e-03
5.6000e-01     1.3410e-03     1.1399e-03
5.6000e-01     1.3690e-03     1.1880e-03
5.6000e-01     1.3960e-03     1.2353e-03
5.6000e-01     1.4230e-03     1.2836e-03
5.6000e-01     1.4500e-03     1.3328e-03
5.6000e-01     1.4770e-03     1.3829e-03
5.6000e-01     1.5040e-03     1.4339e-03
5.6000e-01     1.5320e-03     1.4878e-03
5.6000e-01     1.5590e-03     1.5407e-03
5.6000e-01     1.5860e-03     1.5945e-03
5.6000e-01     1.6130e-03     1.6492e-03
5.6000e-01     1.6400e-03     1.7049e-03
5.6000e-01     1.6670e-03     1.7615e-03
5.6000e-01     1.6950e-03     1.8212e-03
5.6000e-01     1.7220e-03     1.8796e-03
5.6000e-01     1.7490e-03     1.9390e-03
5.6000e-01     1.7760e-03     1.9994e-03
5.6000e-01     1.8030e-03     2.0606e-03
5.6000e-01     1.8310e-03     2.1251e-03
5.6000e-01     1.8580e-03     2.1882e-03
5.6000e-01     1.8850e-03     2.2523e-03
5.6000e-01     1.9120e-03     2.3173e-03
5.6000e-01     1.9390e-03     2.3832e-03
5.6000e-01     1.9660e-03     2.4500e-03
