 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     9.4531e-08
5.6000e-01     3.7170e-05     1.3061e-06
5.6000e-01     6.4340e-05     3.9132e-06
5.6000e-01     9.1520e-05     7.9178e-06
5.6000e-01     1.1870e-04     1.3319e-05
5.6000e-01     1.4590e-04     2.0123e-05
5.6000e-01     1.7300e-04     2.8292e-05
5.6000e-01     2.0020e-04     3.7888e-05
5.6000e-01     2.2740e-04     4.8883e-05
5.6000e-01     2.5450e-04     6.1228e-05
5.6000e-01     2.8170e-04     7.5015e-05
5.6000e-01     3.0890e-04     9.0201e-05
5.6000e-01     3.3610e-04     1.0679e-04
5.6000e-01     3.6320e-04     1.2470e-04
5.6000e-01     3.9040e-04     1.4408e-04
5.6000e-01     4.1760e-04     1.6485e-04
5.6000e-01     4.4470e-04     1.8694e-04
5.6000e-01     4.7190e-04     2.1051e-04
5.6000e-01     4.9910e-04     2.3548e-04
5.6000e-01     5.2630e-04     2.6184e-04
5.6000e-01     5.5340e-04     2.8950e-04
5.6000e-01     5.8060e-04     3.1866e-04
5.6000e-01     6.0780e-04     3.4922e-04
5.6000e-01     6.3490e-04     3.8105e-04
5.6000e-01     6.6210e-04     4.1440e-04
5.6000e-01     6.8930e-04     4.4915e-04
5.6000e-01     7.1650e-04     4.8529e-04
5.6000e-01     7.4360e-04     5.2270e-04
5.6000e-01     7.7080e-04     5.6164e-04
5.6000e-01     7.9800e-04     6.0197e-04
5.6000e-01     8.2520e-04     6.4371e-04
5.6000e-01     8.5230e-04     6.8668e-04
5.6000e-01     8.7950e-04     7.3121e-04
5.6000e-01     9.0670e-04     7.7714e-04
5.6000e-01     9.3380e-04     8.2429e-04
5.6000e-01     9.6100e-04     8.7301e-04
5.6000e-01     9.8820e-04     9.2312e-04
5.6000e-01     1.0150e-03     9.7387e-04
5.6000e-01     1.0430e-03     1.0283e-03
5.6000e-01     1.0700e-03     1.0823e-03
5.6000e-01     1.0970e-03     1.1376e-03
5.6000e-01     1.1240e-03     1.1943e-03
5.6000e-01     1.1510e-03     1.2523e-03
5.6000e-01     1.1780e-03     1.3118e-03
5.6000e-01     1.2060e-03     1.3749e-03
5.6000e-01     1.2330e-03     1.4371e-03
5.6000e-01     1.2600e-03     1.5008e-03
5.6000e-01     1.2870e-03     1.5658e-03
5.6000e-01     1.3140e-03     1.6321e-03
5.6000e-01     1.3410e-03     1.6999e-03
5.6000e-01     1.3690e-03     1.7716e-03
5.6000e-01     1.3960e-03     1.8422e-03
5.6000e-01     1.4230e-03     1.9142e-03
5.6000e-01     1.4500e-03     1.9875e-03
5.6000e-01     1.4770e-03     2.0622e-03
5.6000e-01     1.5040e-03     2.1383e-03
5.6000e-01     1.5320e-03     2.2186e-03
5.6000e-01     1.5590e-03     2.2975e-03
5.6000e-01     1.5860e-03     2.3778e-03
5.6000e-01     1.6130e-03     2.4594e-03
5.6000e-01     1.6400e-03     2.5424e-03
5.6000e-01     1.6670e-03     2.6269e-03
5.6000e-01     1.6950e-03     2.7158e-03
5.6000e-01     1.7220e-03     2.8030e-03
5.6000e-01     1.7490e-03     2.8916e-03
