 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     2.8627e-09
5.6000e-01     3.7170e-05     3.9551e-08
5.6000e-01     6.4340e-05     1.1850e-07
5.6000e-01     9.1520e-05     2.3978e-07
5.6000e-01     1.1870e-04     4.0335e-07
5.6000e-01     1.4590e-04     6.0939e-07
5.6000e-01     1.7300e-04     8.5682e-07
5.6000e-01     2.0020e-04     1.1474e-06
5.6000e-01     2.2740e-04     1.4805e-06
5.6000e-01     2.5450e-04     1.8544e-06
5.6000e-01     2.8170e-04     2.2720e-06
5.6000e-01     3.0890e-04     2.7320e-06
5.6000e-01     3.3610e-04     3.2345e-06
5.6000e-01     3.6320e-04     3.7772e-06
5.6000e-01     3.9040e-04     4.3643e-06
5.6000e-01     4.1760e-04     4.9938e-06
5.6000e-01     4.4470e-04     5.6633e-06
5.6000e-01     4.7190e-04     6.3776e-06
5.6000e-01     4.9910e-04     7.1343e-06
5.6000e-01     5.2630e-04     7.9335e-06
5.6000e-01     5.5340e-04     8.7721e-06
5.6000e-01     5.8060e-04     9.6561e-06
5.6000e-01     6.0780e-04     1.0583e-05
5.6000e-01     6.3490e-04     1.1548e-05
5.6000e-01     6.6210e-04     1.2560e-05
5.6000e-01     6.8930e-04     1.3614e-05
5.6000e-01     7.1650e-04     1.4710e-05
5.6000e-01     7.4360e-04     1.5845e-05
5.6000e-01     7.7080e-04     1.7027e-05
5.6000e-01     7.9800e-04     1.8252e-05
5.6000e-01     8.2520e-04     1.9519e-05
5.6000e-01     8.5230e-04     2.0824e-05
5.6000e-01     8.7950e-04     2.2176e-05
5.6000e-01     9.0670e-04     2.3571e-05
5.6000e-01     9.3380e-04     2.5003e-05
5.6000e-01     9.6100e-04     2.6484e-05
5.6000e-01     9.8820e-04     2.8007e-05
5.6000e-01     1.0150e-03     2.9550e-05
5.6000e-01     1.0430e-03     3.1206e-05
5.6000e-01     1.0700e-03     3.2846e-05
5.6000e-01     1.0970e-03     3.4528e-05
5.6000e-01     1.1240e-03     3.6253e-05
5.6000e-01     1.1510e-03     3.8020e-05
5.6000e-01     1.1780e-03     3.9829e-05
5.6000e-01     1.2060e-03     4.1751e-05
5.6000e-01     1.2330e-03     4.3647e-05
5.6000e-01     1.2600e-03     4.5585e-05
5.6000e-01     1.2870e-03     4.7566e-05
5.6000e-01     1.3140e-03     4.9589e-05
5.6000e-01     1.3410e-03     5.1655e-05
5.6000e-01     1.3690e-03     5.3842e-05
5.6000e-01     1.3960e-03     5.5995e-05
5.6000e-01     1.4230e-03     5.8190e-05
5.6000e-01     1.4500e-03     6.0428e-05
5.6000e-01     1.4770e-03     6.2709e-05
5.6000e-01     1.5040e-03     6.5032e-05
5.6000e-01     1.5320e-03     6.7487e-05
5.6000e-01     1.5590e-03     6.9898e-05
5.6000e-01     1.5860e-03     7.2352e-05
5.6000e-01     1.6130e-03     7.4848e-05
5.6000e-01     1.6400e-03     7.7388e-05
5.6000e-01     1.6670e-03     7.9970e-05
5.6000e-01     1.6950e-03     8.2694e-05
5.6000e-01     1.7220e-03     8.5365e-05
5.6000e-01     1.7490e-03     8.8078e-05
5.6000e-01     1.7760e-03     9.0835e-05
5.6000e-01     1.8030e-03     9.3635e-05
5.6000e-01     1.8310e-03     9.6584e-05
5.6000e-01     1.8580e-03     9.9472e-05
5.6000e-01     1.8850e-03     1.0240e-04
5.6000e-01     1.9120e-03     1.0538e-04
5.6000e-01     1.9390e-03     1.0840e-04
5.6000e-01     1.9660e-03     1.1146e-04
5.6000e-01     1.9940e-03     1.1468e-04
5.6000e-01     2.0210e-03     1.1783e-04
5.6000e-01     2.0480e-03     1.2103e-04
5.6000e-01     2.0750e-03     1.2426e-04
5.6000e-01     2.1020e-03     1.2755e-04
5.6000e-01     2.1290e-03     1.3087e-04
5.6000e-01     2.1570e-03     1.3437e-04
5.6000e-01     2.1840e-03     1.3778e-04
5.6000e-01     2.2110e-03     1.4124e-04
5.6000e-01     2.2380e-03     1.4475e-04
5.6000e-01     2.2650e-03     1.4829e-04
5.6000e-01     2.2920e-03     1.5189e-04
5.6000e-01     2.3200e-03     1.5566e-04
5.6000e-01     2.3470e-03     1.5934e-04
5.6000e-01     2.3740e-03     1.6306e-04
5.6000e-01     2.4010e-03     1.6684e-04
5.6000e-01     2.4280e-03     1.7065e-04
5.6000e-01     2.4550e-03     1.7451e-04
5.6000e-01     2.4830e-03     1.7856e-04
5.6000e-01     2.5100e-03     1.8251e-04
5.6000e-01     2.5370e-03     1.8651e-04
5.6000e-01     2.5640e-03     1.9055e-04
5.6000e-01     2.5910e-03     1.9463e-04
5.6000e-01     2.6180e-03     1.9876e-04
5.6000e-01     2.6460e-03     2.0309e-04
5.6000e-01     2.6730e-03     2.0731e-04
5.6000e-01     2.7000e-03     2.1158e-04
6.3350e-01     1.0000e-05     2.1678e-09
6.3350e-01     3.7170e-05     2.9951e-08
6.3350e-01     6.4340e-05     8.9741e-08
6.3350e-01     9.1520e-05     1.8158e-07
6.3350e-01     1.1870e-04     3.0545e-07
6.3350e-01     1.4590e-04     4.6148e-07
6.3350e-01     1.7300e-04     6.4884e-07
6.3350e-01     2.0020e-04     8.6892e-07
6.3350e-01     2.2740e-04     1.1211e-06
6.3350e-01     2.5450e-04     1.4043e-06
6.3350e-01     2.8170e-04     1.7205e-06
6.3350e-01     3.0890e-04     2.0688e-06
6.3350e-01     3.3610e-04     2.4493e-06
6.3350e-01     3.6320e-04     2.8603e-06
6.3350e-01     3.9040e-04     3.3048e-06
6.3350e-01     4.1760e-04     3.7815e-06
6.3350e-01     4.4470e-04     4.2883e-06
6.3350e-01     4.7190e-04     4.8292e-06
6.3350e-01     4.9910e-04     5.4021e-06
6.3350e-01     5.2630e-04     6.0072e-06
6.3350e-01     5.5340e-04     6.6421e-06
6.3350e-01     5.8060e-04     7.3114e-06
6.3350e-01     6.0780e-04     8.0129e-06
6.3350e-01     6.3490e-04     8.7438e-06
6.3350e-01     6.6210e-04     9.5095e-06
6.3350e-01     6.8930e-04     1.0307e-05
6.3350e-01     7.1650e-04     1.1138e-05
6.3350e-01     7.4360e-04     1.1997e-05
6.3350e-01     7.7080e-04     1.2891e-05
6.3350e-01     7.9800e-04     1.3818e-05
6.3350e-01     8.2520e-04     1.4777e-05
6.3350e-01     8.5230e-04     1.5765e-05
6.3350e-01     8.7950e-04     1.6788e-05
6.3350e-01     9.0670e-04     1.7844e-05
6.3350e-01     9.3380e-04     1.8928e-05
6.3350e-01     9.6100e-04     2.0048e-05
6.3350e-01     9.8820e-04     2.1201e-05
6.3350e-01     1.0150e-03     2.2368e-05
6.3350e-01     1.0430e-03     2.3621e-05
6.3350e-01     1.0700e-03     2.4862e-05
6.3350e-01     1.0970e-03     2.6135e-05
6.3350e-01     1.1240e-03     2.7440e-05
6.3350e-01     1.1510e-03     2.8776e-05
6.3350e-01     1.1780e-03     3.0145e-05
6.3350e-01     1.2060e-03     3.1598e-05
6.3350e-01     1.2330e-03     3.3032e-05
6.3350e-01     1.2600e-03     3.4498e-05
6.3350e-01     1.2870e-03     3.5996e-05
6.3350e-01     1.3140e-03     3.7527e-05
6.3350e-01     1.3410e-03     3.9089e-05
6.3350e-01     1.3690e-03     4.0743e-05
6.3350e-01     1.3960e-03     4.2370e-05
6.3350e-01     1.4230e-03     4.4030e-05
6.3350e-01     1.4500e-03     4.5722e-05
6.3350e-01     1.4770e-03     4.7446e-05
6.3350e-01     1.5040e-03     4.9203e-05
6.3350e-01     1.5320e-03     5.1058e-05
6.3350e-01     1.5590e-03     5.2881e-05
6.3350e-01     1.5860e-03     5.4735e-05
6.3350e-01     1.6130e-03     5.6622e-05
6.3350e-01     1.6400e-03     5.8541e-05
6.3350e-01     1.6670e-03     6.0492e-05
6.3350e-01     1.6950e-03     6.2550e-05
6.3350e-01     1.7220e-03     6.4568e-05
6.3350e-01     1.7490e-03     6.6618e-05
6.3350e-01     1.7760e-03     6.8700e-05
6.3350e-01     1.8030e-03     7.0815e-05
6.3350e-01     1.8310e-03     7.3043e-05
6.3350e-01     1.8580e-03     7.5224e-05
6.3350e-01     1.8850e-03     7.7438e-05
6.3350e-01     1.9120e-03     7.9684e-05
6.3350e-01     1.9390e-03     8.1963e-05
6.3350e-01     1.9660e-03     8.4275e-05
6.3350e-01     1.9940e-03     8.6707e-05
6.3350e-01     2.0210e-03     8.9086e-05
6.3350e-01     2.0480e-03     9.1497e-05
6.3350e-01     2.0750e-03     9.3941e-05
6.3350e-01     2.1020e-03     9.6418e-05
6.3350e-01     2.1290e-03     9.8927e-05
6.3350e-01     2.1570e-03     1.0156e-04
6.3350e-01     2.1840e-03     1.0414e-04
6.3350e-01     2.2110e-03     1.0675e-04
6.3350e-01     2.2380e-03     1.0939e-04
6.3350e-01     2.2650e-03     1.1207e-04
6.3350e-01     2.2920e-03     1.1478e-04
6.3350e-01     2.3200e-03     1.1762e-04
6.3350e-01     2.3470e-03     1.2040e-04
6.3350e-01     2.3740e-03     1.2321e-04
6.3350e-01     2.4010e-03     1.2605e-04
6.3350e-01     2.4280e-03     1.2893e-04
6.3350e-01     2.4550e-03     1.3184e-04
6.3350e-01     2.4830e-03     1.3489e-04
6.3350e-01     2.5100e-03     1.3786e-04
6.3350e-01     2.5370e-03     1.4088e-04
6.3350e-01     2.5640e-03     1.4392e-04
6.3350e-01     2.5910e-03     1.4700e-04
6.3350e-01     2.6180e-03     1.5011e-04
6.3350e-01     2.6460e-03     1.5337e-04
6.3350e-01     2.6730e-03     1.5655e-04
6.3350e-01     2.7000e-03     1.5976e-04
7.1660e-01     1.0000e-05     1.6258e-09
7.1660e-01     3.7170e-05     2.2462e-08
7.1660e-01     6.4340e-05     6.7303e-08
7.1660e-01     9.1520e-05     1.3618e-07
7.1660e-01     1.1870e-04     2.2907e-07
7.1660e-01     1.4590e-04     3.4609e-07
7.1660e-01     1.7300e-04     4.8660e-07
7.1660e-01     2.0020e-04     6.5165e-07
7.1660e-01     2.2740e-04     8.4077e-07
7.1660e-01     2.5450e-04     1.0531e-06
7.1660e-01     2.8170e-04     1.2903e-06
7.1660e-01     3.0890e-04     1.5515e-06
7.1660e-01     3.3610e-04     1.8368e-06
7.1660e-01     3.6320e-04     2.1450e-06
7.1660e-01     3.9040e-04     2.4784e-06
7.1660e-01     4.1760e-04     2.8358e-06
7.1660e-01     4.4470e-04     3.2159e-06
7.1660e-01     4.7190e-04     3.6214e-06
7.1660e-01     4.9910e-04     4.0511e-06
7.1660e-01     5.2630e-04     4.5048e-06
7.1660e-01     5.5340e-04     4.9808e-06
7.1660e-01     5.8060e-04     5.4827e-06
7.1660e-01     6.0780e-04     6.0086e-06
7.1660e-01     6.3490e-04     6.5566e-06
7.1660e-01     6.6210e-04     7.1308e-06
7.1660e-01     6.8930e-04     7.7290e-06
7.1660e-01     7.1650e-04     8.3514e-06
7.1660e-01     7.4360e-04     8.9955e-06
7.1660e-01     7.7080e-04     9.6661e-06
7.1660e-01     7.9800e-04     1.0361e-05
7.1660e-01     8.2520e-04     1.1080e-05
7.1660e-01     8.5230e-04     1.1820e-05
7.1660e-01     8.7950e-04     1.2587e-05
7.1660e-01     9.0670e-04     1.3378e-05
7.1660e-01     9.3380e-04     1.4191e-05
7.1660e-01     9.6100e-04     1.5031e-05
7.1660e-01     9.8820e-04     1.5895e-05
7.1660e-01     1.0150e-03     1.6769e-05
7.1660e-01     1.0430e-03     1.7708e-05
7.1660e-01     1.0700e-03     1.8638e-05
7.1660e-01     1.0970e-03     1.9592e-05
7.1660e-01     1.1240e-03     2.0570e-05
7.1660e-01     1.1510e-03     2.1572e-05
7.1660e-01     1.1780e-03     2.2597e-05
7.1660e-01     1.2060e-03     2.3686e-05
7.1660e-01     1.2330e-03     2.4760e-05
7.1660e-01     1.2600e-03     2.5859e-05
7.1660e-01     1.2870e-03     2.6981e-05
7.1660e-01     1.3140e-03     2.8127e-05
7.1660e-01     1.3410e-03     2.9297e-05
7.1660e-01     1.3690e-03     3.0536e-05
7.1660e-01     1.3960e-03     3.1755e-05
7.1660e-01     1.4230e-03     3.2998e-05
7.1660e-01     1.4500e-03     3.4265e-05
7.1660e-01     1.4770e-03     3.5557e-05
7.1660e-01     1.5040e-03     3.6872e-05
7.1660e-01     1.5320e-03     3.8261e-05
7.1660e-01     1.5590e-03     3.9626e-05
7.1660e-01     1.5860e-03     4.1014e-05
7.1660e-01     1.6130e-03     4.2427e-05
7.1660e-01     1.6400e-03     4.3863e-05
7.1660e-01     1.6670e-03     4.5324e-05
7.1660e-01     1.6950e-03     4.6865e-05
7.1660e-01     1.7220e-03     4.8375e-05
7.1660e-01     1.7490e-03     4.9909e-05
7.1660e-01     1.7760e-03     5.1467e-05
7.1660e-01     1.8030e-03     5.3050e-05
7.1660e-01     1.8310e-03     5.4717e-05
7.1660e-01     1.8580e-03     5.6349e-05
7.1660e-01     1.8850e-03     5.8005e-05
7.1660e-01     1.9120e-03     5.9686e-05
7.1660e-01     1.9390e-03     6.1391e-05
7.1660e-01     1.9660e-03     6.3120e-05
7.1660e-01     1.9940e-03     6.4939e-05
7.1660e-01     2.0210e-03     6.6718e-05
7.1660e-01     2.0480e-03     6.8521e-05
7.1660e-01     2.0750e-03     7.0349e-05
7.1660e-01     2.1020e-03     7.2201e-05
7.1660e-01     2.1290e-03     7.4077e-05
7.1660e-01     2.1570e-03     7.6049e-05
7.1660e-01     2.1840e-03     7.7975e-05
7.1660e-01     2.2110e-03     7.9926e-05
7.1660e-01     2.2380e-03     8.1901e-05
7.1660e-01     2.2650e-03     8.3901e-05
7.1660e-01     2.2920e-03     8.5926e-05
7.1660e-01     2.3200e-03     8.8051e-05
7.1660e-01     2.3470e-03     9.0125e-05
7.1660e-01     2.3740e-03     9.2224e-05
7.1660e-01     2.4010e-03     9.4348e-05
7.1660e-01     2.4280e-03     9.6496e-05
7.1660e-01     2.4550e-03     9.8669e-05
7.1660e-01     2.4830e-03     1.0095e-04
7.1660e-01     2.5100e-03     1.0317e-04
7.1660e-01     2.5370e-03     1.0542e-04
7.1660e-01     2.5640e-03     1.0769e-04
7.1660e-01     2.5910e-03     1.0999e-04
7.1660e-01     2.6180e-03     1.1231e-04
7.1660e-01     2.6460e-03     1.1475e-04
7.1660e-01     2.6730e-03     1.1712e-04
7.1660e-01     2.7000e-03     1.1952e-04
8.1070e-01     1.0000e-05     1.2086e-09
8.1070e-01     3.7170e-05     1.6698e-08
8.1070e-01     6.4340e-05     5.0032e-08
8.1070e-01     9.1520e-05     1.0123e-07
8.1070e-01     1.1870e-04     1.7029e-07
8.1070e-01     1.4590e-04     2.5728e-07
8.1070e-01     1.7300e-04     3.6173e-07
8.1070e-01     2.0020e-04     4.8442e-07
8.1070e-01     2.2740e-04     6.2500e-07
8.1070e-01     2.5450e-04     7.8285e-07
8.1070e-01     2.8170e-04     9.5914e-07
8.1070e-01     3.0890e-04     1.1533e-06
8.1070e-01     3.3610e-04     1.3654e-06
8.1070e-01     3.6320e-04     1.5945e-06
8.1070e-01     3.9040e-04     1.8423e-06
8.1070e-01     4.1760e-04     2.1080e-06
8.1070e-01     4.4470e-04     2.3905e-06
8.1070e-01     4.7190e-04     2.6919e-06
8.1070e-01     4.9910e-04     3.0113e-06
8.1070e-01     5.2630e-04     3.3485e-06
8.1070e-01     5.5340e-04     3.7023e-06
8.1070e-01     5.8060e-04     4.0753e-06
8.1070e-01     6.0780e-04     4.4662e-06
8.1070e-01     6.3490e-04     4.8735e-06
8.1070e-01     6.6210e-04     5.3002e-06
8.1070e-01     6.8930e-04     5.7448e-06
8.1070e-01     7.1650e-04     6.2074e-06
8.1070e-01     7.4360e-04     6.6860e-06
8.1070e-01     7.7080e-04     7.1844e-06
8.1070e-01     7.9800e-04     7.7006e-06
8.1070e-01     8.2520e-04     8.2349e-06
8.1070e-01     8.5230e-04     8.7850e-06
8.1070e-01     8.7950e-04     9.3550e-06
8.1070e-01     9.0670e-04     9.9430e-06
8.1070e-01     9.3380e-04     1.0547e-05
8.1070e-01     9.6100e-04     1.1171e-05
8.1070e-01     9.8820e-04     1.1812e-05
8.1070e-01     1.0150e-03     1.2462e-05
8.1070e-01     1.0430e-03     1.3160e-05
8.1070e-01     1.0700e-03     1.3851e-05
8.1070e-01     1.0970e-03     1.4560e-05
8.1070e-01     1.1240e-03     1.5286e-05
8.1070e-01     1.1510e-03     1.6030e-05
8.1070e-01     1.1780e-03     1.6792e-05
8.1070e-01     1.2060e-03     1.7601e-05
8.1070e-01     1.2330e-03     1.8398e-05
8.1070e-01     1.2600e-03     1.9214e-05
8.1070e-01     1.2870e-03     2.0048e-05
8.1070e-01     1.3140e-03     2.0899e-05
8.1070e-01     1.3410e-03     2.1768e-05
8.1070e-01     1.3690e-03     2.2688e-05
8.1070e-01     1.3960e-03     2.3593e-05
8.1070e-01     1.4230e-03     2.4516e-05
8.1070e-01     1.4500e-03     2.5457e-05
8.1070e-01     1.4770e-03     2.6416e-05
8.1070e-01     1.5040e-03     2.7393e-05
8.1070e-01     1.5320e-03     2.8424e-05
8.1070e-01     1.5590e-03     2.9437e-05
8.1070e-01     1.5860e-03     3.0468e-05
8.1070e-01     1.6130e-03     3.1516e-05
8.1070e-01     1.6400e-03     3.2583e-05
8.1070e-01     1.6670e-03     3.3667e-05
8.1070e-01     1.6950e-03     3.4810e-05
8.1070e-01     1.7220e-03     3.5931e-05
8.1070e-01     1.7490e-03     3.7070e-05
8.1070e-01     1.7760e-03     3.8226e-05
8.1070e-01     1.8030e-03     3.9401e-05
8.1070e-01     1.8310e-03     4.0637e-05
8.1070e-01     1.8580e-03     4.1848e-05
8.1070e-01     1.8850e-03     4.3077e-05
8.1070e-01     1.9120e-03     4.4324e-05
8.1070e-01     1.9390e-03     4.5589e-05
8.1070e-01     1.9660e-03     4.6872e-05
8.1070e-01     1.9940e-03     4.8221e-05
8.1070e-01     2.0210e-03     4.9540e-05
8.1070e-01     2.0480e-03     5.0878e-05
8.1070e-01     2.0750e-03     5.2233e-05
8.1070e-01     2.1020e-03     5.3607e-05
8.1070e-01     2.1290e-03     5.4998e-05
