 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     6.1454e-09
5.6000e-01     3.7170e-05     8.4906e-08
5.6000e-01     6.4340e-05     2.5440e-07
5.6000e-01     9.1520e-05     5.1474e-07
5.6000e-01     1.1870e-04     8.6589e-07
5.6000e-01     1.4590e-04     1.3082e-06
5.6000e-01     1.7300e-04     1.8393e-06
5.6000e-01     2.0020e-04     2.4632e-06
5.6000e-01     2.2740e-04     3.1781e-06
5.6000e-01     2.5450e-04     3.9808e-06
5.6000e-01     2.8170e-04     4.8773e-06
5.6000e-01     3.0890e-04     5.8648e-06
5.6000e-01     3.3610e-04     6.9433e-06
5.6000e-01     3.6320e-04     8.1084e-06
5.6000e-01     3.9040e-04     9.3687e-06
5.6000e-01     4.1760e-04     1.0720e-05
5.6000e-01     4.4470e-04     1.2157e-05
5.6000e-01     4.7190e-04     1.3690e-05
5.6000e-01     4.9910e-04     1.5315e-05
5.6000e-01     5.2630e-04     1.7030e-05
5.6000e-01     5.5340e-04     1.8830e-05
5.6000e-01     5.8060e-04     2.0727e-05
5.6000e-01     6.0780e-04     2.2716e-05
5.6000e-01     6.3490e-04     2.4789e-05
5.6000e-01     6.6210e-04     2.6960e-05
5.6000e-01     6.8930e-04     2.9222e-05
5.6000e-01     7.1650e-04     3.1576e-05
5.6000e-01     7.4360e-04     3.4012e-05
5.6000e-01     7.7080e-04     3.6548e-05
5.6000e-01     7.9800e-04     3.9175e-05
5.6000e-01     8.2520e-04     4.1895e-05
5.6000e-01     8.5230e-04     4.4695e-05
5.6000e-01     8.7950e-04     4.7597e-05
5.6000e-01     9.0670e-04     5.0590e-05
5.6000e-01     9.3380e-04     5.3664e-05
5.6000e-01     9.6100e-04     5.6841e-05
5.6000e-01     9.8820e-04     6.0109e-05
5.6000e-01     1.0150e-03     6.3419e-05
5.6000e-01     1.0430e-03     6.6973e-05
5.6000e-01     1.0700e-03     7.0492e-05
5.6000e-01     1.0970e-03     7.4102e-05
5.6000e-01     1.1240e-03     7.7802e-05
5.6000e-01     1.1510e-03     8.1593e-05
5.6000e-01     1.1780e-03     8.5475e-05
5.6000e-01     1.2060e-03     8.9596e-05
5.6000e-01     1.2330e-03     9.3663e-05
5.6000e-01     1.2600e-03     9.7821e-05
5.6000e-01     1.2870e-03     1.0207e-04
5.6000e-01     1.3140e-03     1.0641e-04
5.6000e-01     1.3410e-03     1.1084e-04
5.6000e-01     1.3690e-03     1.1553e-04
5.6000e-01     1.3960e-03     1.2015e-04
5.6000e-01     1.4230e-03     1.2486e-04
5.6000e-01     1.4500e-03     1.2966e-04
5.6000e-01     1.4770e-03     1.3455e-04
5.6000e-01     1.5040e-03     1.3953e-04
5.6000e-01     1.5320e-03     1.4479e-04
5.6000e-01     1.5590e-03     1.4996e-04
5.6000e-01     1.5860e-03     1.5522e-04
5.6000e-01     1.6130e-03     1.6058e-04
5.6000e-01     1.6400e-03     1.6602e-04
5.6000e-01     1.6670e-03     1.7156e-04
5.6000e-01     1.6950e-03     1.7740e-04
5.6000e-01     1.7220e-03     1.8312e-04
5.6000e-01     1.7490e-03     1.8894e-04
5.6000e-01     1.7760e-03     1.9485e-04
5.6000e-01     1.8030e-03     2.0085e-04
5.6000e-01     1.8310e-03     2.0717e-04
5.6000e-01     1.8580e-03     2.1336e-04
5.6000e-01     1.8850e-03     2.1964e-04
5.6000e-01     1.9120e-03     2.2602e-04
5.6000e-01     1.9390e-03     2.3249e-04
5.6000e-01     1.9660e-03     2.3905e-04
5.6000e-01     1.9940e-03     2.4595e-04
5.6000e-01     2.0210e-03     2.5270e-04
5.6000e-01     2.0480e-03     2.5955e-04
5.6000e-01     2.0750e-03     2.6648e-04
5.6000e-01     2.1020e-03     2.7352e-04
5.6000e-01     2.1290e-03     2.8064e-04
5.6000e-01     2.1570e-03     2.8813e-04
5.6000e-01     2.1840e-03     2.9544e-04
5.6000e-01     2.2110e-03     3.0285e-04
5.6000e-01     2.2380e-03     3.1035e-04
5.6000e-01     2.2650e-03     3.1795e-04
5.6000e-01     2.2920e-03     3.2564e-04
5.6000e-01     2.3200e-03     3.3372e-04
5.6000e-01     2.3470e-03     3.4160e-04
5.6000e-01     2.3740e-03     3.4958e-04
5.6000e-01     2.4010e-03     3.5765e-04
5.6000e-01     2.4280e-03     3.6582e-04
5.6000e-01     2.4550e-03     3.7408e-04
5.6000e-01     2.4830e-03     3.8275e-04
5.6000e-01     2.5100e-03     3.9121e-04
5.6000e-01     2.5370e-03     3.9976e-04
5.6000e-01     2.5640e-03     4.0840e-04
5.6000e-01     2.5910e-03     4.1715e-04
5.6000e-01     2.6180e-03     4.2598e-04
5.6000e-01     2.6460e-03     4.3525e-04
5.6000e-01     2.6730e-03     4.4428e-04
5.6000e-01     2.7000e-03     4.5341e-04
6.3350e-01     1.0000e-05     4.5836e-09
6.3350e-01     3.7170e-05     6.3328e-08
6.3350e-01     6.4340e-05     1.8975e-07
6.3350e-01     9.1520e-05     3.8393e-07
6.3350e-01     1.1870e-04     6.4583e-07
6.3350e-01     1.4590e-04     9.7574e-07
6.3350e-01     1.7300e-04     1.3719e-06
6.3350e-01     2.0020e-04     1.8372e-06
6.3350e-01     2.2740e-04     2.3704e-06
6.3350e-01     2.5450e-04     2.9691e-06
6.3350e-01     2.8170e-04     3.6377e-06
6.3350e-01     3.0890e-04     4.3742e-06
6.3350e-01     3.3610e-04     5.1786e-06
6.3350e-01     3.6320e-04     6.0475e-06
6.3350e-01     3.9040e-04     6.9874e-06
6.3350e-01     4.1760e-04     7.9952e-06
6.3350e-01     4.4470e-04     9.0669e-06
6.3350e-01     4.7190e-04     1.0210e-05
6.3350e-01     4.9910e-04     1.1422e-05
6.3350e-01     5.2630e-04     1.2701e-05
6.3350e-01     5.5340e-04     1.4043e-05
6.3350e-01     5.8060e-04     1.5458e-05
6.3350e-01     6.0780e-04     1.6941e-05
6.3350e-01     6.3490e-04     1.8486e-05
6.3350e-01     6.6210e-04     2.0105e-05
6.3350e-01     6.8930e-04     2.1792e-05
6.3350e-01     7.1650e-04     2.3547e-05
6.3350e-01     7.4360e-04     2.5363e-05
6.3350e-01     7.7080e-04     2.7254e-05
6.3350e-01     7.9800e-04     2.9213e-05
6.3350e-01     8.2520e-04     3.1240e-05
6.3350e-01     8.5230e-04     3.3328e-05
6.3350e-01     8.7950e-04     3.5491e-05
6.3350e-01     9.0670e-04     3.7723e-05
6.3350e-01     9.3380e-04     4.0014e-05
6.3350e-01     9.6100e-04     4.2382e-05
6.3350e-01     9.8820e-04     4.4818e-05
6.3350e-01     1.0150e-03     4.7285e-05
6.3350e-01     1.0430e-03     4.9934e-05
6.3350e-01     1.0700e-03     5.2557e-05
6.3350e-01     1.0970e-03     5.5247e-05
6.3350e-01     1.1240e-03     5.8004e-05
6.3350e-01     1.1510e-03     6.0829e-05
6.3350e-01     1.1780e-03     6.3722e-05
6.3350e-01     1.2060e-03     6.6793e-05
6.3350e-01     1.2330e-03     6.9823e-05
6.3350e-01     1.2600e-03     7.2921e-05
6.3350e-01     1.2870e-03     7.6086e-05
6.3350e-01     1.3140e-03     7.9319e-05
6.3350e-01     1.3410e-03     8.2620e-05
6.3350e-01     1.3690e-03     8.6115e-05
6.3350e-01     1.3960e-03     8.9554e-05
6.3350e-01     1.4230e-03     9.3061e-05
6.3350e-01     1.4500e-03     9.6636e-05
6.3350e-01     1.4770e-03     1.0028e-04
6.3350e-01     1.5040e-03     1.0399e-04
6.3350e-01     1.5320e-03     1.0791e-04
6.3350e-01     1.5590e-03     1.1176e-04
6.3350e-01     1.5860e-03     1.1568e-04
6.3350e-01     1.6130e-03     1.1966e-04
6.3350e-01     1.6400e-03     1.2371e-04
6.3350e-01     1.6670e-03     1.2784e-04
6.3350e-01     1.6950e-03     1.3218e-04
6.3350e-01     1.7220e-03     1.3644e-04
6.3350e-01     1.7490e-03     1.4077e-04
6.3350e-01     1.7760e-03     1.4517e-04
6.3350e-01     1.8030e-03     1.4964e-04
6.3350e-01     1.8310e-03     1.5434e-04
6.3350e-01     1.8580e-03     1.5895e-04
6.3350e-01     1.8850e-03     1.6362e-04
6.3350e-01     1.9120e-03     1.6837e-04
6.3350e-01     1.9390e-03     1.7318e-04
6.3350e-01     1.9660e-03     1.7806e-04
6.3350e-01     1.9940e-03     1.8319e-04
6.3350e-01     2.0210e-03     1.8821e-04
6.3350e-01     2.0480e-03     1.9331e-04
6.3350e-01     2.0750e-03     1.9846e-04
6.3350e-01     2.1020e-03     2.0369e-04
6.3350e-01     2.1290e-03     2.0899e-04
6.3350e-01     2.1570e-03     2.1456e-04
6.3350e-01     2.1840e-03     2.2000e-04
6.3350e-01     2.2110e-03     2.2550e-04
6.3350e-01     2.2380e-03     2.3108e-04
6.3350e-01     2.2650e-03     2.3673e-04
6.3350e-01     2.2920e-03     2.4244e-04
6.3350e-01     2.3200e-03     2.4844e-04
6.3350e-01     2.3470e-03     2.5430e-04
6.3350e-01     2.3740e-03     2.6023e-04
6.3350e-01     2.4010e-03     2.6623e-04
6.3350e-01     2.4280e-03     2.7230e-04
6.3350e-01     2.4550e-03     2.7843e-04
6.3350e-01     2.4830e-03     2.8487e-04
6.3350e-01     2.5100e-03     2.9115e-04
6.3350e-01     2.5370e-03     2.9750e-04
6.3350e-01     2.5640e-03     3.0392e-04
6.3350e-01     2.5910e-03     3.1041e-04
6.3350e-01     2.6180e-03     3.1697e-04
6.3350e-01     2.6460e-03     3.2385e-04
6.3350e-01     2.6730e-03     3.3056e-04
6.3350e-01     2.7000e-03     3.3733e-04
7.1660e-01     1.0000e-05     3.3867e-09
7.1660e-01     3.7170e-05     4.6791e-08
7.1660e-01     6.4340e-05     1.4020e-07
7.1660e-01     9.1520e-05     2.8367e-07
7.1660e-01     1.1870e-04     4.7719e-07
7.1660e-01     1.4590e-04     7.2094e-07
7.1660e-01     1.7300e-04     1.0136e-06
7.1660e-01     2.0020e-04     1.3575e-06
7.1660e-01     2.2740e-04     1.7514e-06
7.1660e-01     2.5450e-04     2.1937e-06
7.1660e-01     2.8170e-04     2.6878e-06
7.1660e-01     3.0890e-04     3.2319e-06
7.1660e-01     3.3610e-04     3.8262e-06
7.1660e-01     3.6320e-04     4.4682e-06
7.1660e-01     3.9040e-04     5.1626e-06
7.1660e-01     4.1760e-04     5.9072e-06
7.1660e-01     4.4470e-04     6.6989e-06
7.1660e-01     4.7190e-04     7.5436e-06
7.1660e-01     4.9910e-04     8.4385e-06
7.1660e-01     5.2630e-04     9.3836e-06
7.1660e-01     5.5340e-04     1.0375e-05
7.1660e-01     5.8060e-04     1.1420e-05
7.1660e-01     6.0780e-04     1.2516e-05
7.1660e-01     6.3490e-04     1.3657e-05
7.1660e-01     6.6210e-04     1.4853e-05
7.1660e-01     6.8930e-04     1.6099e-05
7.1660e-01     7.1650e-04     1.7396e-05
7.1660e-01     7.4360e-04     1.8737e-05
7.1660e-01     7.7080e-04     2.0134e-05
7.1660e-01     7.9800e-04     2.1581e-05
7.1660e-01     8.2520e-04     2.3078e-05
7.1660e-01     8.5230e-04     2.4620e-05
7.1660e-01     8.7950e-04     2.6218e-05
7.1660e-01     9.0670e-04     2.7866e-05
7.1660e-01     9.3380e-04     2.9558e-05
7.1660e-01     9.6100e-04     3.1306e-05
7.1660e-01     9.8820e-04     3.3106e-05
7.1660e-01     1.0150e-03     3.4927e-05
7.1660e-01     1.0430e-03     3.6883e-05
7.1660e-01     1.0700e-03     3.8820e-05
7.1660e-01     1.0970e-03     4.0806e-05
7.1660e-01     1.1240e-03     4.2842e-05
7.1660e-01     1.1510e-03     4.4928e-05
7.1660e-01     1.1780e-03     4.7063e-05
7.1660e-01     1.2060e-03     4.9331e-05
7.1660e-01     1.2330e-03     5.1568e-05
7.1660e-01     1.2600e-03     5.3854e-05
7.1660e-01     1.2870e-03     5.6191e-05
7.1660e-01     1.3140e-03     5.8578e-05
7.1660e-01     1.3410e-03     6.1014e-05
7.1660e-01     1.3690e-03     6.3593e-05
7.1660e-01     1.3960e-03     6.6132e-05
7.1660e-01     1.4230e-03     6.8720e-05
7.1660e-01     1.4500e-03     7.1358e-05
7.1660e-01     1.4770e-03     7.4046e-05
7.1660e-01     1.5040e-03     7.6784e-05
7.1660e-01     1.5320e-03     7.9677e-05
7.1660e-01     1.5590e-03     8.2517e-05
7.1660e-01     1.5860e-03     8.5407e-05
7.1660e-01     1.6130e-03     8.8347e-05
7.1660e-01     1.6400e-03     9.1338e-05
7.1660e-01     1.6670e-03     9.4379e-05
7.1660e-01     1.6950e-03     9.7585e-05
7.1660e-01     1.7220e-03     1.0073e-04
7.1660e-01     1.7490e-03     1.0392e-04
7.1660e-01     1.7760e-03     1.0717e-04
7.1660e-01     1.8030e-03     1.1046e-04
7.1660e-01     1.8310e-03     1.1393e-04
7.1660e-01     1.8580e-03     1.1733e-04
7.1660e-01     1.8850e-03     1.2077e-04
7.1660e-01     1.9120e-03     1.2427e-04
7.1660e-01     1.9390e-03     1.2782e-04
7.1660e-01     1.9660e-03     1.3142e-04
7.1660e-01     1.9940e-03     1.3520e-04
7.1660e-01     2.0210e-03     1.3890e-04
7.1660e-01     2.0480e-03     1.4265e-04
7.1660e-01     2.0750e-03     1.4646e-04
7.1660e-01     2.1020e-03     1.5031e-04
7.1660e-01     2.1290e-03     1.5421e-04
7.1660e-01     2.1570e-03     1.5832e-04
7.1660e-01     2.1840e-03     1.6232e-04
7.1660e-01     2.2110e-03     1.6638e-04
7.1660e-01     2.2380e-03     1.7049e-04
7.1660e-01     2.2650e-03     1.7465e-04
7.1660e-01     2.2920e-03     1.7886e-04
7.1660e-01     2.3200e-03     1.8328e-04
7.1660e-01     2.3470e-03     1.8760e-04
7.1660e-01     2.3740e-03     1.9196e-04
7.1660e-01     2.4010e-03     1.9638e-04
7.1660e-01     2.4280e-03     2.0085e-04
7.1660e-01     2.4550e-03     2.0537e-04
7.1660e-01     2.4830e-03     2.1011e-04
7.1660e-01     2.5100e-03     2.1473e-04
7.1660e-01     2.5370e-03     2.1941e-04
7.1660e-01     2.5640e-03     2.2413e-04
7.1660e-01     2.5910e-03     2.2891e-04
7.1660e-01     2.6180e-03     2.3374e-04
7.1660e-01     2.6460e-03     2.3880e-04
7.1660e-01     2.6730e-03     2.4374e-04
7.1660e-01     2.7000e-03     2.4872e-04
8.1070e-01     1.0000e-05     2.4814e-09
8.1070e-01     3.7170e-05     3.4283e-08
8.1070e-01     6.4340e-05     1.0272e-07
8.1070e-01     9.1520e-05     2.0784e-07
8.1070e-01     1.1870e-04     3.4963e-07
8.1070e-01     1.4590e-04     5.2822e-07
8.1070e-01     1.7300e-04     7.4268e-07
8.1070e-01     2.0020e-04     9.9458e-07
8.1070e-01     2.2740e-04     1.2832e-06
8.1070e-01     2.5450e-04     1.6073e-06
8.1070e-01     2.8170e-04     1.9692e-06
8.1070e-01     3.0890e-04     2.3679e-06
8.1070e-01     3.3610e-04     2.8033e-06
8.1070e-01     3.6320e-04     3.2737e-06
8.1070e-01     3.9040e-04     3.7824e-06
8.1070e-01     4.1760e-04     4.3279e-06
8.1070e-01     4.4470e-04     4.9080e-06
8.1070e-01     4.7190e-04     5.5268e-06
8.1070e-01     4.9910e-04     6.1824e-06
8.1070e-01     5.2630e-04     6.8748e-06
8.1070e-01     5.5340e-04     7.6012e-06
8.1070e-01     5.8060e-04     8.3670e-06
8.1070e-01     6.0780e-04     9.1695e-06
8.1070e-01     6.3490e-04     1.0006e-05
8.1070e-01     6.6210e-04     1.0882e-05
8.1070e-01     6.8930e-04     1.1794e-05
8.1070e-01     7.1650e-04     1.2744e-05
8.1070e-01     7.4360e-04     1.3727e-05
8.1070e-01     7.7080e-04     1.4750e-05
8.1070e-01     7.9800e-04     1.5810e-05
8.1070e-01     8.2520e-04     1.6906e-05
8.1070e-01     8.5230e-04     1.8036e-05
8.1070e-01     8.7950e-04     1.9206e-05
8.1070e-01     9.0670e-04     2.0413e-05
8.1070e-01     9.3380e-04     2.1652e-05
8.1070e-01     9.6100e-04     2.2933e-05
8.1070e-01     9.8820e-04     2.4250e-05
8.1070e-01     1.0150e-03     2.5585e-05
