 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     3.5112e-09
5.6000e-01     3.7170e-05     4.8511e-08
5.6000e-01     6.4340e-05     1.4535e-07
5.6000e-01     9.1520e-05     2.9410e-07
5.6000e-01     1.1870e-04     4.9473e-07
5.6000e-01     1.4590e-04     7.4745e-07
5.6000e-01     1.7300e-04     1.0509e-06
5.6000e-01     2.0020e-04     1.4074e-06
5.6000e-01     2.2740e-04     1.8158e-06
5.6000e-01     2.5450e-04     2.2745e-06
5.6000e-01     2.8170e-04     2.7867e-06
5.6000e-01     3.0890e-04     3.3509e-06
5.6000e-01     3.3610e-04     3.9671e-06
5.6000e-01     3.6320e-04     4.6328e-06
5.6000e-01     3.9040e-04     5.3529e-06
5.6000e-01     4.1760e-04     6.1250e-06
5.6000e-01     4.4470e-04     6.9460e-06
5.6000e-01     4.7190e-04     7.8221e-06
5.6000e-01     4.9910e-04     8.7502e-06
5.6000e-01     5.2630e-04     9.7303e-06
5.6000e-01     5.5340e-04     1.0759e-05
5.6000e-01     5.8060e-04     1.1843e-05
5.6000e-01     6.0780e-04     1.2979e-05
5.6000e-01     6.3490e-04     1.4163e-05
5.6000e-01     6.6210e-04     1.5404e-05
5.6000e-01     6.8930e-04     1.6696e-05
5.6000e-01     7.1650e-04     1.8041e-05
5.6000e-01     7.4360e-04     1.9433e-05
5.6000e-01     7.7080e-04     2.0882e-05
5.6000e-01     7.9800e-04     2.2384e-05
5.6000e-01     8.2520e-04     2.3937e-05
5.6000e-01     8.5230e-04     2.5537e-05
5.6000e-01     8.7950e-04     2.7196e-05
5.6000e-01     9.0670e-04     2.8906e-05
5.6000e-01     9.3380e-04     3.0662e-05
5.6000e-01     9.6100e-04     3.2478e-05
5.6000e-01     9.8820e-04     3.4345e-05
5.6000e-01     1.0150e-03     3.6237e-05
5.6000e-01     1.0430e-03     3.8267e-05
5.6000e-01     1.0700e-03     4.0278e-05
5.6000e-01     1.0970e-03     4.2340e-05
5.6000e-01     1.1240e-03     4.4455e-05
5.6000e-01     1.1510e-03     4.6621e-05
5.6000e-01     1.1780e-03     4.8839e-05
5.6000e-01     1.2060e-03     5.1194e-05
5.6000e-01     1.2330e-03     5.3518e-05
5.6000e-01     1.2600e-03     5.5894e-05
5.6000e-01     1.2870e-03     5.8322e-05
5.6000e-01     1.3140e-03     6.0802e-05
5.6000e-01     1.3410e-03     6.3334e-05
5.6000e-01     1.3690e-03     6.6015e-05
5.6000e-01     1.3960e-03     6.8653e-05
5.6000e-01     1.4230e-03     7.1344e-05
5.6000e-01     1.4500e-03     7.4086e-05
5.6000e-01     1.4770e-03     7.6881e-05
5.6000e-01     1.5040e-03     7.9729e-05
5.6000e-01     1.5320e-03     8.2737e-05
5.6000e-01     1.5590e-03     8.5691e-05
5.6000e-01     1.5860e-03     8.8697e-05
5.6000e-01     1.6130e-03     9.1756e-05
5.6000e-01     1.6400e-03     9.4868e-05
5.6000e-01     1.6670e-03     9.8032e-05
5.6000e-01     1.6950e-03     1.0137e-04
5.6000e-01     1.7220e-03     1.0464e-04
5.6000e-01     1.7490e-03     1.0796e-04
5.6000e-01     1.7760e-03     1.1134e-04
5.6000e-01     1.8030e-03     1.1477e-04
5.6000e-01     1.8310e-03     1.1838e-04
5.6000e-01     1.8580e-03     1.2192e-04
5.6000e-01     1.8850e-03     1.2551e-04
5.6000e-01     1.9120e-03     1.2916e-04
5.6000e-01     1.9390e-03     1.3285e-04
5.6000e-01     1.9660e-03     1.3660e-04
5.6000e-01     1.9940e-03     1.4055e-04
5.6000e-01     2.0210e-03     1.4441e-04
5.6000e-01     2.0480e-03     1.4832e-04
5.6000e-01     2.0750e-03     1.5228e-04
5.6000e-01     2.1020e-03     1.5630e-04
5.6000e-01     2.1290e-03     1.6037e-04
5.6000e-01     2.1570e-03     1.6465e-04
5.6000e-01     2.1840e-03     1.6883e-04
5.6000e-01     2.2110e-03     1.7307e-04
5.6000e-01     2.2380e-03     1.7736e-04
5.6000e-01     2.2650e-03     1.8170e-04
5.6000e-01     2.2920e-03     1.8610e-04
5.6000e-01     2.3200e-03     1.9071e-04
5.6000e-01     2.3470e-03     1.9522e-04
5.6000e-01     2.3740e-03     1.9978e-04
5.6000e-01     2.4010e-03     2.0439e-04
