 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     4.5702e-07
5.6000e-01     3.7170e-05     6.3142e-06
5.6000e-01     6.4340e-05     1.8919e-05
5.6000e-01     9.1520e-05     3.8280e-05
5.6000e-01     1.1870e-04     6.4393e-05
5.6000e-01     1.4590e-04     9.7285e-05
5.6000e-01     1.7300e-04     1.3678e-04
5.6000e-01     2.0020e-04     1.8318e-04
5.6000e-01     2.2740e-04     2.3633e-04
5.6000e-01     2.5450e-04     2.9602e-04
5.6000e-01     2.8170e-04     3.6268e-04
5.6000e-01     3.0890e-04     4.3610e-04
5.6000e-01     3.3610e-04     5.1628e-04
5.6000e-01     3.6320e-04     6.0290e-04
5.6000e-01     3.9040e-04     6.9658e-04
5.6000e-01     4.1760e-04     7.9704e-04
5.6000e-01     4.4470e-04     9.0385e-04
5.6000e-01     4.7190e-04     1.0178e-03
5.6000e-01     4.9910e-04     1.1385e-03
5.6000e-01     5.2630e-04     1.2660e-03
5.6000e-01     5.5340e-04     1.3998e-03
5.6000e-01     5.8060e-04     1.5408e-03
5.6000e-01     6.0780e-04     1.6885e-03
5.6000e-01     6.3490e-04     1.8425e-03
5.6000e-01     6.6210e-04     2.0037e-03
5.6000e-01     6.8930e-04     2.1718e-03
5.6000e-01     7.1650e-04     2.3466e-03
5.6000e-01     7.4360e-04     2.5275e-03
5.6000e-01     7.7080e-04     2.7158e-03
5.6000e-01     7.9800e-04     2.9109e-03
5.6000e-01     8.2520e-04     3.1127e-03
5.6000e-01     8.5230e-04     3.3206e-03
5.6000e-01     8.7950e-04     3.5360e-03
5.6000e-01     9.0670e-04     3.7581e-03
5.6000e-01     9.3380e-04     3.9862e-03
5.6000e-01     9.6100e-04     4.2219e-03
5.6000e-01     9.8820e-04     4.4643e-03
5.6000e-01     1.0150e-03     4.7098e-03
5.6000e-01     1.0430e-03     4.9733e-03
5.6000e-01     1.0700e-03     5.2342e-03
5.6000e-01     1.0970e-03     5.5018e-03
5.6000e-01     1.1240e-03     5.7761e-03
5.6000e-01     1.1510e-03     6.0571e-03
5.6000e-01     1.1780e-03     6.3447e-03
5.6000e-01     1.2060e-03     6.6500e-03
5.6000e-01     1.2330e-03     6.9513e-03
5.6000e-01     1.2600e-03     7.2592e-03
5.6000e-01     1.2870e-03     7.5738e-03
5.6000e-01     1.3140e-03     7.8951e-03
5.6000e-01     1.3410e-03     8.2230e-03
5.6000e-01     1.3690e-03     8.5702e-03
5.6000e-01     1.3960e-03     8.9118e-03
5.6000e-01     1.4230e-03     9.2601e-03
5.6000e-01     1.4500e-03     9.6150e-03
5.6000e-01     1.4770e-03     9.9767e-03
5.6000e-01     1.5040e-03     1.0345e-02
5.6000e-01     1.5320e-03     1.0734e-02
5.6000e-01     1.5590e-03     1.1116e-02
5.6000e-01     1.5860e-03     1.1505e-02
5.6000e-01     1.6130e-03     1.1900e-02
5.6000e-01     1.6400e-03     1.2302e-02
5.6000e-01     1.6670e-03     1.2711e-02
5.6000e-01     1.6950e-03     1.3142e-02
5.6000e-01     1.7220e-03     1.3564e-02
5.6000e-01     1.7490e-03     1.3993e-02
5.6000e-01     1.7760e-03     1.4429e-02
5.6000e-01     1.8030e-03     1.4872e-02
5.6000e-01     1.8310e-03     1.5338e-02
5.6000e-01     1.8580e-03     1.5794e-02
5.6000e-01     1.8850e-03     1.6257e-02
5.6000e-01     1.9120e-03     1.6726e-02
5.6000e-01     1.9390e-03     1.7203e-02
5.6000e-01     1.9660e-03     1.7686e-02
5.6000e-01     1.9940e-03     1.8193e-02
5.6000e-01     2.0210e-03     1.8690e-02
5.6000e-01     2.0480e-03     1.9194e-02
5.6000e-01     2.0750e-03     1.9704e-02
5.6000e-01     2.1020e-03     2.0220e-02
5.6000e-01     2.1290e-03     2.0744e-02
5.6000e-01     2.1570e-03     2.1294e-02
5.6000e-01     2.1840e-03     2.1831e-02
5.6000e-01     2.2110e-03     2.2375e-02
5.6000e-01     2.2380e-03     2.2926e-02
5.6000e-01     2.2650e-03     2.3483e-02
5.6000e-01     2.2920e-03     2.4047e-02
5.6000e-01     2.3200e-03     2.4639e-02
5.6000e-01     2.3470e-03     2.5217e-02
5.6000e-01     2.3740e-03     2.5802e-02
5.6000e-01     2.4010e-03     2.6393e-02
5.6000e-01     2.4280e-03     2.6991e-02
5.6000e-01     2.4550e-03     2.7596e-02
5.6000e-01     2.4830e-03     2.8230e-02
5.6000e-01     2.5100e-03     2.8849e-02
5.6000e-01     2.5370e-03     2.9474e-02
5.6000e-01     2.5640e-03     3.0106e-02
5.6000e-01     2.5910e-03     3.0744e-02
5.6000e-01     2.6180e-03     3.1390e-02
5.6000e-01     2.6460e-03     3.2066e-02
5.6000e-01     2.6730e-03     3.2726e-02
5.6000e-01     2.7000e-03     3.3392e-02
6.3350e-01     1.0000e-05     3.6081e-07
6.3350e-01     3.7170e-05     4.9850e-06
6.3350e-01     6.4340e-05     1.4936e-05
6.3350e-01     9.1520e-05     3.0221e-05
6.3350e-01     1.1870e-04     5.0837e-05
6.3350e-01     1.4590e-04     7.6805e-05
6.3350e-01     1.7300e-04     1.0799e-04
6.3350e-01     2.0020e-04     1.4461e-04
6.3350e-01     2.2740e-04     1.8658e-04
6.3350e-01     2.5450e-04     2.3370e-04
6.3350e-01     2.8170e-04     2.8633e-04
6.3350e-01     3.0890e-04     3.4429e-04
6.3350e-01     3.3610e-04     4.0760e-04
6.3350e-01     3.6320e-04     4.7598e-04
6.3350e-01     3.9040e-04     5.4995e-04
6.3350e-01     4.1760e-04     6.2925e-04
6.3350e-01     4.4470e-04     7.1358e-04
6.3350e-01     4.7190e-04     8.0355e-04
6.3350e-01     4.9910e-04     8.9886e-04
6.3350e-01     5.2630e-04     9.9951e-04
6.3350e-01     5.5340e-04     1.1051e-03
6.3350e-01     5.8060e-04     1.2164e-03
6.3350e-01     6.0780e-04     1.3331e-03
6.3350e-01     6.3490e-04     1.4546e-03
6.3350e-01     6.6210e-04     1.5819e-03
6.3350e-01     6.8930e-04     1.7146e-03
6.3350e-01     7.1650e-04     1.8526e-03
6.3350e-01     7.4360e-04     1.9955e-03
6.3350e-01     7.7080e-04     2.1441e-03
6.3350e-01     7.9800e-04     2.2982e-03
6.3350e-01     8.2520e-04     2.4575e-03
6.3350e-01     8.5230e-04     2.6217e-03
