 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    50
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     2.6056e-09
1.0000e-04     3.7170e-05     3.5991e-08
1.0000e-04     6.4340e-05     1.0778e-07
1.0000e-04     9.1520e-05     2.1789e-07
1.0000e-04     1.1870e-04     3.6612e-07
1.0000e-04     1.4590e-04     5.5235e-07
1.0000e-04     1.7300e-04     7.7528e-07
1.0000e-04     2.0020e-04     1.0362e-06
1.0000e-04     2.2740e-04     1.3338e-06
1.0000e-04     2.5450e-04     1.6663e-06
1.0000e-04     2.8170e-04     2.0357e-06
1.0000e-04     3.0890e-04     2.4401e-06
1.0000e-04     3.3610e-04     2.8788e-06
1.0000e-04     3.6320e-04     3.3492e-06
1.0000e-04     3.9040e-04     3.8541e-06
1.0000e-04     4.1760e-04     4.3908e-06
1.0000e-04     4.4470e-04     4.9563e-06
1.0000e-04     4.7190e-04     5.5539e-06
1.0000e-04     4.9910e-04     6.1804e-06
1.0000e-04     5.2630e-04     6.8348e-06
1.0000e-04     5.5340e-04     7.5134e-06
1.0000e-04     5.8060e-04     8.2201e-06
1.0000e-04     6.0780e-04     8.9512e-06
1.0000e-04     6.3490e-04     9.7028e-06
1.0000e-04     6.6210e-04     1.0479e-05
1.0000e-04     6.8930e-04     1.1276e-05
1.0000e-04     7.1650e-04     1.2092e-05
1.0000e-04     7.4360e-04     1.2923e-05
1.0000e-04     7.7080e-04     1.3774e-05
1.0000e-04     7.9800e-04     1.4640e-05
1.0000e-04     8.2520e-04     1.5519e-05
1.0000e-04     8.5230e-04     1.6408e-05
1.0000e-04     8.7950e-04     1.7311e-05
1.0000e-04     9.0670e-04     1.8223e-05
1.0000e-04     9.3380e-04     1.9140e-05
1.0000e-04     9.6100e-04     2.0067e-05
1.0000e-04     9.8820e-04     2.0999e-05
1.0000e-04     1.0150e-03     2.1921e-05
1.0000e-04     1.0430e-03     2.2887e-05
1.0000e-04     1.0700e-03     2.3818e-05
1.0000e-04     1.0970e-03     2.4749e-05
1.0000e-04     1.1240e-03     2.5678e-05
1.0000e-04     1.1510e-03     2.6604e-05
1.0000e-04     1.1780e-03     2.7524e-05
1.0000e-04     1.2060e-03     2.8472e-05
1.0000e-04     1.2330e-03     2.9379e-05
1.0000e-04     1.2600e-03     3.0276e-05
1.0000e-04     1.2870e-03     3.1164e-05
1.0000e-04     1.3140e-03     3.2040e-05
1.0000e-04     1.3410e-03     3.2904e-05
1.0000e-04     1.3690e-03     3.3785e-05
1.0000e-04     1.3960e-03     3.4620e-05
1.0000e-04     1.4230e-03     3.5438e-05
1.0000e-04     1.4500e-03     3.6239e-05
1.0000e-04     1.4770e-03     3.7023e-05
1.0000e-04     1.5040e-03     3.7787e-05
1.0000e-04     1.5320e-03     3.8558e-05
1.0000e-04     1.5590e-03     3.9280e-05
1.0000e-04     1.5860e-03     3.9980e-05
1.0000e-04     1.6130e-03     4.0658e-05
1.0000e-04     1.6400e-03     4.1313e-05
1.0000e-04     1.6670e-03     4.1943e-05
1.0000e-04     1.6950e-03     4.2570e-05
1.0000e-04     1.7220e-03     4.3149e-05
1.0000e-04     1.7490e-03     4.3702e-05
1.0000e-04     1.7760e-03     4.4228e-05
1.0000e-04     1.8030e-03     4.4727e-05
1.0000e-04     1.8310e-03     4.5216e-05
1.0000e-04     1.8580e-03     4.5659e-05
1.0000e-04     1.8850e-03     4.6073e-05
1.0000e-04     1.9120e-03     4.6460e-05
1.0000e-04     1.9390e-03     4.6817e-05
1.0000e-04     1.9660e-03     4.7146e-05
1.0000e-04     1.9940e-03     4.7456e-05
1.0000e-04     2.0210e-03     4.7725e-05
1.0000e-04     2.0480e-03     4.7965e-05
1.0000e-04     2.0750e-03     4.8176e-05
1.0000e-04     2.1020e-03     4.8358e-05
1.0000e-04     2.1290e-03     4.8511e-05
1.0000e-04     2.1570e-03     4.8638e-05
1.0000e-04     2.1840e-03     4.8732e-05
1.0000e-04     2.2110e-03     4.8798e-05
1.0000e-04     2.2380e-03     4.8835e-05
1.0000e-04     2.2650e-03     4.8845e-05
1.0000e-04     2.2920e-03     4.8826e-05
1.0000e-04     2.3200e-03     4.8778e-05
1.0000e-04     2.3470e-03     4.8705e-05
1.0000e-04     2.3740e-03     4.8605e-05
1.0000e-04     2.4010e-03     4.8479e-05
1.0000e-04     2.4280e-03     4.8328e-05
1.0000e-04     2.4550e-03     4.8151e-05
1.0000e-04     2.4830e-03     4.7942e-05
1.0000e-04     2.5100e-03     4.7717e-05
1.0000e-04     2.5370e-03     4.7468e-05
1.0000e-04     2.5640e-03     4.7197e-05
1.0000e-04     2.5910e-03     4.6903e-05
1.0000e-04     2.6180e-03     4.6589e-05
1.0000e-04     2.6460e-03     4.6240e-05
1.0000e-04     2.6730e-03     4.5884e-05
1.0000e-04     2.7000e-03     4.5509e-05
1.1310e-04     1.0000e-05     2.6016e-09
1.1310e-04     3.7170e-05     3.5934e-08
1.1310e-04     6.4340e-05     1.0761e-07
1.1310e-04     9.1520e-05     2.1755e-07
1.1310e-04     1.1870e-04     3.6554e-07
1.1310e-04     1.4590e-04     5.5148e-07
1.1310e-04     1.7300e-04     7.7406e-07
1.1310e-04     2.0020e-04     1.0345e-06
1.1310e-04     2.2740e-04     1.3317e-06
1.1310e-04     2.5450e-04     1.6637e-06
1.1310e-04     2.8170e-04     2.0325e-06
1.1310e-04     3.0890e-04     2.4362e-06
1.1310e-04     3.3610e-04     2.8742e-06
1.1310e-04     3.6320e-04     3.3439e-06
1.1310e-04     3.9040e-04     3.8480e-06
1.1310e-04     4.1760e-04     4.3839e-06
1.1310e-04     4.4470e-04     4.9485e-06
1.1310e-04     4.7190e-04     5.5451e-06
1.1310e-04     4.9910e-04     6.1706e-06
1.1310e-04     5.2630e-04     6.8239e-06
1.1310e-04     5.5340e-04     7.5014e-06
1.1310e-04     5.8060e-04     8.2070e-06
1.1310e-04     6.0780e-04     8.9370e-06
1.1310e-04     6.3490e-04     9.6873e-06
1.1310e-04     6.6210e-04     1.0462e-05
1.1310e-04     6.8930e-04     1.1258e-05
1.1310e-04     7.1650e-04     1.2073e-05
1.1310e-04     7.4360e-04     1.2902e-05
1.1310e-04     7.7080e-04     1.3752e-05
1.1310e-04     7.9800e-04     1.4616e-05
1.1310e-04     8.2520e-04     1.5494e-05
1.1310e-04     8.5230e-04     1.6381e-05
1.1310e-04     8.7950e-04     1.7283e-05
1.1310e-04     9.0670e-04     1.8194e-05
1.1310e-04     9.3380e-04     1.9109e-05
1.1310e-04     9.6100e-04     2.0034e-05
1.1310e-04     9.8820e-04     2.0965e-05
1.1310e-04     1.0150e-03     2.1885e-05
