 Element: Xe
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    14
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     2.6057e-05
1.1310e-04     1.0000e-03     2.6016e-05
1.2800e-04     1.0000e-03     2.5970e-05
1.4480e-04     1.0000e-03     2.5918e-05
1.6380e-04     1.0000e-03     2.5860e-05
1.8520e-04     1.0000e-03     2.5796e-05
2.0950e-04     1.0000e-03     2.5723e-05
2.3700e-04     1.0000e-03     2.5642e-05
2.6810e-04     1.0000e-03     2.5551e-05
3.0330e-04     1.0000e-03     2.5450e-05
3.4310e-04     1.0000e-03     2.5338e-05
3.8820e-04     1.0000e-03     2.5214e-05
4.3910e-04     1.0000e-03     2.5077e-05
4.9670e-04     1.0000e-03     2.4925e-05
5.6190e-04     1.0000e-03     2.4758e-05
6.3560e-04     1.0000e-03     2.4575e-05
7.1900e-04     1.0000e-03     2.4376e-05
8.1340e-04     1.0000e-03     2.4159e-05
9.2010e-04     1.0000e-03     2.3924e-05
1.0410e-03     1.0000e-03     2.3672e-05
1.1770e-03     1.0000e-03     2.3403e-05
1.3320e-03     1.0000e-03     2.3114e-05
1.5070e-03     1.0000e-03     2.2810e-05
1.7040e-03     1.0000e-03     2.2493e-05
1.9280e-03     1.0000e-03     2.2162e-05
2.1810e-03     1.0000e-03     2.1820e-05
2.4670e-03     1.0000e-03     2.1471e-05
2.7910e-03     1.0000e-03     2.1118e-05
3.1570e-03     1.0000e-03     2.0765e-05
3.5710e-03     1.0000e-03     2.0414e-05
4.0400e-03     1.0000e-03     2.0071e-05
4.5700e-03     1.0000e-03     1.9740e-05
5.1700e-03     1.0000e-03     1.9424e-05
5.8480e-03     1.0000e-03     1.9128e-05
6.6150e-03     1.0000e-03     1.8855e-05
7.4830e-03     1.0000e-03     1.8608e-05
8.4650e-03     1.0000e-03     1.8388e-05
9.5760e-03     1.0000e-03     1.8199e-05
1.0830e-02     1.0000e-03     1.8042e-05
1.2250e-02     1.0000e-03     1.7917e-05
1.3860e-02     1.0000e-03     1.7824e-05
1.5680e-02     1.0000e-03     1.7763e-05
1.7740e-02     1.0000e-03     1.7732e-05
2.0070e-02     1.0000e-03     1.7730e-05
2.2700e-02     1.0000e-03     1.7755e-05
2.5680e-02     1.0000e-03     1.7803e-05
2.9050e-02     1.0000e-03     1.7872e-05
3.2860e-02     1.0000e-03     1.7958e-05
3.7170e-02     1.0000e-03     1.8057e-05
4.2050e-02     1.0000e-03     1.8167e-05
4.7570e-02     1.0000e-03     1.8281e-05
5.3810e-02     1.0000e-03     1.8397e-05
6.0870e-02     1.0000e-03     1.8509e-05
6.8850e-02     1.0000e-03     1.8616e-05
7.7890e-02     1.0000e-03     1.8711e-05
8.8110e-02     1.0000e-03     1.8791e-05
9.9670e-02     1.0000e-03     1.8852e-05
1.1270e-01     1.0000e-03     1.8891e-05
1.2750e-01     1.0000e-03     1.8902e-05
1.4430e-01     1.0000e-03     1.8883e-05
1.6320e-01     1.0000e-03     1.8831e-05
1.8460e-01     1.0000e-03     1.8742e-05
2.0890e-01     1.0000e-03     1.8610e-05
2.3630e-01     1.0000e-03     1.8432e-05
2.6730e-01     1.0000e-03     1.8203e-05
3.0230e-01     1.0000e-03     1.7929e-05
3.4200e-01     1.0000e-03     1.7595e-05
3.8690e-01     1.0000e-03     1.7203e-05
4.3760e-01     1.0000e-03     1.6747e-05
4.9510e-01     1.0000e-03     1.6235e-05
5.6000e-01     1.0000e-03     1.5655e-05
6.3350e-01     1.0000e-03     1.5019e-05
7.1660e-01     1.0000e-03     1.4309e-05
8.1070e-01     1.0000e-03     1.3553e-05
9.1700e-01     1.0000e-03     1.2743e-05
1.0370e+00     1.0000e-03     1.1894e-05
1.1730e+00     1.0000e-03     1.1000e-05
1.3270e+00     1.0000e-03     1.0091e-05
1.5020e+00     1.0000e-03     9.1545e-06
1.6990e+00     1.0000e-03     8.2066e-06
1.9220e+00     1.0000e-03     7.2855e-06
2.1740e+00     1.0000e-03     6.3880e-06
2.4590e+00     1.0000e-03     5.5280e-06
2.7820e+00     1.0000e-03     4.7173e-06
3.1470e+00     1.0000e-03     3.9703e-06
3.5600e+00     1.0000e-03     3.2924e-06
4.0270e+00     1.0000e-03     2.6912e-06
4.5550e+00     1.0000e-03     2.1605e-06
5.1530e+00     1.0000e-03     1.7055e-06
5.8290e+00     1.0000e-03     1.3241e-06
6.5940e+00     1.0000e-03     1.0100e-06
7.4590e+00     1.0000e-03     7.5579e-07
8.4370e+00     1.0000e-03     5.5396e-07
9.5450e+00     1.0000e-03     4.0400e-07
1.0800e+01     1.0000e-03     2.8742e-07
1.2210e+01     1.0000e-03     2.0025e-07
1.3820e+01     1.0000e-03     1.3742e-07
1.5630e+01     1.0000e-03     9.3182e-08
1.7680e+01     1.0000e-03     6.2457e-08
2.0000e+01     1.0000e-03     4.0618e-08
