 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    96
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     5.6797e-09
1.0000e-04     3.7170e-05     7.8451e-08
1.0000e-04     6.4340e-05     2.3493e-07
1.0000e-04     9.1520e-05     4.7494e-07
1.0000e-04     1.1870e-04     7.9800e-07
1.0000e-04     1.4590e-04     1.2039e-06
1.0000e-04     1.7300e-04     1.6897e-06
1.0000e-04     2.0020e-04     2.2582e-06
1.0000e-04     2.2740e-04     2.9066e-06
1.0000e-04     2.5450e-04     3.6311e-06
1.0000e-04     2.8170e-04     4.4357e-06
1.0000e-04     3.0890e-04     5.3164e-06
1.0000e-04     3.3610e-04     6.2716e-06
1.0000e-04     3.6320e-04     7.2959e-06
1.0000e-04     3.9040e-04     8.3948e-06
1.0000e-04     4.1760e-04     9.5628e-06
1.0000e-04     4.4470e-04     1.0793e-05
1.0000e-04     4.7190e-04     1.2093e-05
1.0000e-04     4.9910e-04     1.3456e-05
1.0000e-04     5.2630e-04     1.4878e-05
1.0000e-04     5.5340e-04     1.6353e-05
1.0000e-04     5.8060e-04     1.7889e-05
1.0000e-04     6.0780e-04     1.9477e-05
1.0000e-04     6.3490e-04     2.1109e-05
1.0000e-04     6.6210e-04     2.2794e-05
1.0000e-04     6.8930e-04     2.4523e-05
1.0000e-04     7.1650e-04     2.6293e-05
1.0000e-04     7.4360e-04     2.8095e-05
1.0000e-04     7.7080e-04     2.9938e-05
1.0000e-04     7.9800e-04     3.1814e-05
1.0000e-04     8.2520e-04     3.3719e-05
1.0000e-04     8.5230e-04     3.5642e-05
1.0000e-04     8.7950e-04     3.7596e-05
1.0000e-04     9.0670e-04     3.9568e-05
1.0000e-04     9.3380e-04     4.1550e-05
1.0000e-04     9.6100e-04     4.3552e-05
1.0000e-04     9.8820e-04     4.5564e-05
1.0000e-04     1.0150e-03     4.7553e-05
1.0000e-04     1.0430e-03     4.9634e-05
1.0000e-04     1.0700e-03     5.1641e-05
1.0000e-04     1.0970e-03     5.3646e-05
1.0000e-04     1.1240e-03     5.5645e-05
1.0000e-04     1.1510e-03     5.7634e-05
1.0000e-04     1.1780e-03     5.9612e-05
1.0000e-04     1.2060e-03     6.1648e-05
1.0000e-04     1.2330e-03     6.3593e-05
1.0000e-04     1.2600e-03     6.5517e-05
1.0000e-04     1.2870e-03     6.7418e-05
1.0000e-04     1.3140e-03     6.9293e-05
1.0000e-04     1.3410e-03     7.1140e-05
1.0000e-04     1.3690e-03     7.3022e-05
1.0000e-04     1.3960e-03     7.4802e-05
1.0000e-04     1.4230e-03     7.6547e-05
1.0000e-04     1.4500e-03     7.8253e-05
1.0000e-04     1.4770e-03     7.9918e-05
1.0000e-04     1.5040e-03     8.1541e-05
1.0000e-04     1.5320e-03     8.3177e-05
1.0000e-04     1.5590e-03     8.4707e-05
1.0000e-04     1.5860e-03     8.6189e-05
1.0000e-04     1.6130e-03     8.7620e-05
1.0000e-04     1.6400e-03     8.9000e-05
1.0000e-04     1.6670e-03     9.0327e-05
1.0000e-04     1.6950e-03     9.1645e-05
1.0000e-04     1.7220e-03     9.2859e-05
1.0000e-04     1.7490e-03     9.4015e-05
1.0000e-04     1.7760e-03     9.5114e-05
1.0000e-04     1.8030e-03     9.6153e-05
1.0000e-04     1.8310e-03     9.7168e-05
1.0000e-04     1.8580e-03     9.8084e-05
1.0000e-04     1.8850e-03     9.8939e-05
1.0000e-04     1.9120e-03     9.9732e-05
1.0000e-04     1.9390e-03     1.0046e-04
1.0000e-04     1.9660e-03     1.0113e-04
1.0000e-04     1.9940e-03     1.0176e-04
1.0000e-04     2.0210e-03     1.0230e-04
1.0000e-04     2.0480e-03     1.0277e-04
