 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    96
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     5.6797e-09
1.0000e-04     1.0580e-05     6.3577e-09
1.0000e-04     1.1200e-05     7.1246e-09
1.0000e-04     1.1850e-05     7.9756e-09
1.0000e-04     1.2540e-05     8.9314e-09
1.0000e-04     1.3270e-05     1.0001e-08
1.0000e-04     1.4040e-05     1.1196e-08
1.0000e-04     1.4860e-05     1.2542e-08
1.0000e-04     1.5720e-05     1.4035e-08
1.0000e-04     1.6640e-05     1.5726e-08
1.0000e-04     1.7600e-05     1.7593e-08
1.0000e-04     1.8630e-05     1.9712e-08
1.0000e-04     1.9710e-05     2.2064e-08
1.0000e-04     2.0860e-05     2.4713e-08
1.0000e-04     2.2070e-05     2.7663e-08
1.0000e-04     2.3360e-05     3.0991e-08
1.0000e-04     2.4710e-05     3.4676e-08
1.0000e-04     2.6150e-05     3.8835e-08
1.0000e-04     2.7670e-05     4.3480e-08
1.0000e-04     2.9280e-05     4.8686e-08
1.0000e-04     3.0990e-05     5.4538e-08
1.0000e-04     3.2790e-05     6.1056e-08
1.0000e-04     3.4700e-05     6.8374e-08
1.0000e-04     3.6720e-05     7.6564e-08
1.0000e-04     3.8850e-05     8.5701e-08
1.0000e-04     4.1110e-05     9.5958e-08
1.0000e-04     4.3510e-05     1.0749e-07
1.0000e-04     4.6040e-05     1.2034e-07
1.0000e-04     4.8710e-05     1.3470e-07
1.0000e-04     5.1550e-05     1.5086e-07
1.0000e-04     5.4550e-05     1.6891e-07
1.0000e-04     5.7720e-05     1.8910e-07
1.0000e-04     6.1080e-05     2.1174e-07
1.0000e-04     6.4630e-05     2.3705e-07
1.0000e-04     6.8390e-05     2.6541e-07
1.0000e-04     7.2370e-05     2.9716e-07
1.0000e-04     7.6580e-05     3.3270e-07
1.0000e-04     8.1040e-05     3.7253e-07
1.0000e-04     8.5750e-05     4.1702e-07
1.0000e-04     9.0740e-05     4.6689e-07
1.0000e-04     9.6020e-05     5.2270e-07
1.0000e-04     1.0160e-04     5.8509e-07
1.0000e-04     1.0750e-04     6.5485e-07
1.0000e-04     1.1380e-04     7.3365e-07
1.0000e-04     1.2040e-04     8.2096e-07
1.0000e-04     1.2740e-04     9.1887e-07
1.0000e-04     1.3480e-04     1.0283e-06
1.0000e-04     1.4270e-04     1.1519e-06
1.0000e-04     1.5100e-04     1.2891e-06
1.0000e-04     1.5970e-04     1.4412e-06
1.0000e-04     1.6900e-04     1.6129e-06
1.0000e-04     1.7890e-04     1.8062e-06
1.0000e-04     1.8930e-04     2.0207e-06
1.0000e-04     2.0030e-04     2.2604e-06
1.0000e-04     2.1190e-04     2.5274e-06
1.0000e-04     2.2430e-04     2.8287e-06
1.0000e-04     2.3730e-04     3.1623e-06
1.0000e-04     2.5110e-04     3.5360e-06
1.0000e-04     2.6570e-04     3.9531e-06
1.0000e-04     2.8120e-04     4.4202e-06
1.0000e-04     2.9750e-04     4.9381e-06
1.0000e-04     3.1490e-04     5.5207e-06
1.0000e-04     3.3320e-04     6.1663e-06
1.0000e-04     3.5260e-04     6.8867e-06
1.0000e-04     3.7310e-04     7.6877e-06
1.0000e-04     3.9480e-04     8.5791e-06
1.0000e-04     4.1770e-04     9.5673e-06
1.0000e-04     4.4200e-04     1.0668e-05
1.0000e-04     4.6780e-04     1.1893e-05
1.0000e-04     4.9500e-04     1.3246e-05
1.0000e-04     5.2380e-04     1.4745e-05
1.0000e-04     5.5420e-04     1.6398e-05
1.0000e-04     5.8650e-04     1.8229e-05
1.0000e-04     6.2060e-04     2.0242e-05
1.0000e-04     6.5670e-04     2.2455e-05
1.0000e-04     6.9490e-04     2.4884e-05
1.0000e-04     7.3540e-04     2.7546e-05
1.0000e-04     7.7810e-04     3.0439e-05
1.0000e-04     8.2340e-04     3.3592e-05
1.0000e-04     8.7130e-04     3.7004e-05
1.0000e-04     9.2200e-04     4.0685e-05
1.0000e-04     9.7570e-04     4.4638e-05
1.0000e-04     1.0320e-03     4.8816e-05
1.0000e-04     1.0920e-03     5.3275e-05
1.0000e-04     1.1560e-03     5.8002e-05
1.0000e-04     1.2230e-03     6.2875e-05
1.0000e-04     1.2940e-03     6.7907e-05
1.0000e-04     1.3700e-03     7.3088e-05
1.0000e-04     1.4490e-03     7.8190e-05
1.0000e-04     1.5340e-03     8.3292e-05
1.0000e-04     1.6230e-03     8.8138e-05
1.0000e-04     1.7170e-03     9.2638e-05
1.0000e-04     1.8170e-03     9.6669e-05
1.0000e-04     1.9230e-03     1.0004e-04
1.0000e-04     2.0350e-03     1.0255e-04
1.0000e-04     2.1530e-03     1.0403e-04
1.0000e-04     2.2790e-03     1.0431e-04
1.0000e-04     2.4110e-03     1.0324e-04
1.0000e-04     2.5520e-03     1.0068e-04
1.0000e-04     2.7000e-03     9.6627e-05
1.1310e-04     1.0000e-05     5.6702e-09
1.1310e-04     1.0580e-05     6.3470e-09
1.1310e-04     1.1200e-05     7.1127e-09
1.1310e-04     1.1850e-05     7.9622e-09
1.1310e-04     1.2540e-05     8.9164e-09
1.1310e-04     1.3270e-05     9.9847e-09
1.1310e-04     1.4040e-05     1.1177e-08
1.1310e-04     1.4860e-05     1.2521e-08
1.1310e-04     1.5720e-05     1.4012e-08
1.1310e-04     1.6640e-05     1.5700e-08
1.1310e-04     1.7600e-05     1.7563e-08
1.1310e-04     1.8630e-05     1.9679e-08
1.1310e-04     1.9710e-05     2.2027e-08
1.1310e-04     2.0860e-05     2.4672e-08
1.1310e-04     2.2070e-05     2.7617e-08
1.1310e-04     2.3360e-05     3.0939e-08
1.1310e-04     2.4710e-05     3.4618e-08
1.1310e-04     2.6150e-05     3.8770e-08
1.1310e-04     2.7670e-05     4.3407e-08
1.1310e-04     2.9280e-05     4.8604e-08
1.1310e-04     3.0990e-05     5.4446e-08
1.1310e-04     3.2790e-05     6.0953e-08
1.1310e-04     3.4700e-05     6.8259e-08
1.1310e-04     3.6720e-05     7.6436e-08
1.1310e-04     3.8850e-05     8.5558e-08
1.1310e-04     4.1110e-05     9.5798e-08
1.1310e-04     4.3510e-05     1.0731e-07
